Date,AURIONPRO
2015-01-01,266.15
2015-01-02,270.05
2015-01-05,255.55
2015-01-06,249.7
2015-01-07,263.85
2015-01-08,269.8
2015-01-09,265.35
2015-01-12,265.45
2015-01-13,265.05
2015-01-14,273.1
2015-01-15,284.15
2015-01-16,280.5
2015-01-19,280.95
2015-01-20,293.5
2015-01-21,288.45
2015-01-22,286.25
2015-01-23,282.4
2015-01-27,281.4
2015-01-28,276.4
2015-01-29,276.25
2015-01-30,274.4
2015-02-02,291.75
2015-02-03,287.05
2015-02-04,279.8
2015-02-05,271.4
2015-02-06,279.1
2015-02-09,277.8
2015-02-10,279.35
2015-02-11,278.25
2015-02-12,274.75
2015-02-13,270.75
2015-02-16,268.8
2015-02-18,265.4
2015-02-19,269.2
2015-02-20,264.7
2015-02-23,261.7
2015-02-24,252.6
2015-02-25,255.6
2015-02-26,248.2
2015-02-27,248.55
2015-02-28,239.55
2015-03-02,236.5
2015-03-03,238.05
2015-03-04,235.9
2015-03-05,232.85
2015-03-09,226.05
2015-03-10,216.4
2015-03-11,213.5
2015-03-12,212.7
2015-03-13,209.0
2015-03-16,201.2
2015-03-17,191.6
2015-03-18,191.2
2015-03-19,189.65
2015-03-20,185.45
2015-03-23,182.4
2015-03-24,181.1
2015-03-25,172.15
2015-03-26,181.9
2015-03-27,182.25
2015-03-30,187.65
2015-03-31,191.55
2015-04-01,217.55
2015-04-06,240.4
2015-04-07,259.35
2015-04-08,267.8
2015-04-09,257.6
2015-04-10,248.85
2015-04-13,241.5
2015-04-15,236.1
2015-04-16,223.3
2015-04-17,215.65
2015-04-20,207.35
2015-04-21,226.9
2015-04-22,215.2
2015-04-23,217.4
2015-04-24,212.35
2015-04-27,206.35
2015-04-28,201.95
2015-04-29,206.3
2015-04-30,210.3
2015-05-04,208.75
2015-05-05,205.9
2015-05-06,197.85
2015-05-07,185.95
2015-05-08,196.4
2015-05-11,209.35
2015-05-12,197.25
2015-05-13,200.75
2015-05-14,197.2
2015-05-15,195.1
2015-05-18,193.55
2015-05-19,198.95
2015-05-20,195.1
2015-05-21,191.3
2015-05-22,192.65
2015-05-25,190.6
2015-05-26,187.05
2015-05-27,187.05
2015-05-28,185.25
2015-05-29,199.65
2015-06-01,193.95
2015-06-02,189.5
2015-06-03,179.2
2015-06-04,179.1
2015-06-05,183.7
2015-06-08,180.35
2015-06-09,178.45
2015-06-10,175.45
2015-06-11,174.9
2015-06-12,172.05
2015-06-15,170.7
2015-06-16,171.2
2015-06-17,176.2
2015-06-18,175.7
2015-06-19,190.15
2015-06-22,190.75
2015-06-23,186.6
2015-06-24,182.05
2015-06-25,178.8
2015-06-26,176.95
2015-06-29,174.4
2015-06-30,174.0
2015-07-01,173.2
2015-07-02,170.95
2015-07-03,171.15
2015-07-06,174.3
2015-07-07,189.8
2015-07-08,186.6
2015-07-09,191.5
2015-07-10,185.95
2015-07-13,186.15
2015-07-14,198.15
2015-07-15,190.4
2015-07-16,187.65
2015-07-17,186.4
2015-07-20,190.6
2015-07-21,203.15
2015-07-22,200.6
2015-07-23,203.9
2015-07-24,197.75
2015-07-27,190.55
2015-07-28,188.6
2015-07-29,204.75
2015-07-30,210.3
2015-07-31,214.15
2015-08-03,237.45
2015-08-04,234.15
2015-08-05,227.4
2015-08-06,221.6
2015-08-07,216.55
2015-08-10,230.65
2015-08-11,222.85
2015-08-12,211.65
2015-08-13,196.85
2015-08-14,203.2
2015-08-17,198.7
2015-08-18,196.3
2015-08-19,235.55
2015-08-20,217.25
2015-08-21,227.55
2015-08-24,199.5
2015-08-25,196.1
2015-08-26,192.1
2015-08-27,203.9
2015-08-28,197.9
2015-08-31,205.4
2015-09-01,197.45
2015-09-02,194.15
2015-09-03,196.6
2015-09-04,186.35
2015-09-07,187.4
2015-09-08,190.05
2015-09-09,188.3
2015-09-10,192.0
2015-09-11,188.75
2015-09-14,189.8
2015-09-15,185.45
2015-09-16,182.5
2015-09-18,187.7
2015-09-21,191.2
2015-09-22,188.05
2015-09-23,186.7
2015-09-24,189.25
2015-09-28,188.35
2015-09-29,188.0
2015-09-30,195.35
2015-10-01,198.5
2015-10-05,226.35
2015-10-06,222.0
2015-10-07,221.3
2015-10-08,221.0
2015-10-09,221.95
2015-10-12,238.45
2015-10-13,246.65
2015-10-14,238.65
2015-10-15,236.5
2015-10-16,231.1
2015-10-19,232.25
2015-10-20,225.5
2015-10-21,227.4
2015-10-23,223.2
2015-10-26,215.3
2015-10-27,219.55
2015-10-28,220.6
2015-10-29,224.95
2015-10-30,220.35
2015-11-02,220.8
2015-11-03,218.4
2015-11-04,213.25
2015-11-05,211.4
2015-11-06,204.7
2015-11-09,207.7
2015-11-10,201.1
2015-11-11,206.25
2015-11-13,206.05
2015-11-16,204.15
2015-11-17,204.5
2015-11-18,199.9
2015-11-19,200.2
2015-11-20,215.8
2015-11-23,211.95
2015-11-24,226.3
2015-11-26,221.1
2015-11-27,219.05
2015-11-30,229.1
2015-12-01,222.9
2015-12-02,231.3
2015-12-03,228.8
2015-12-04,222.6
2015-12-07,219.8
2015-12-08,209.9
2015-12-09,202.75
2015-12-10,207.05
2015-12-11,202.75
2015-12-14,204.8
2015-12-15,203.8
2015-12-16,204.7
2015-12-17,207.75
2015-12-18,207.85
2015-12-21,214.6
2015-12-22,214.45
2015-12-23,214.7
2015-12-24,212.05
2015-12-28,220.7
2015-12-29,212.55
2015-12-30,209.05
2015-12-31,207.05
