Date,SSWL
2015-01-01,352.35
2015-01-02,358.15
2015-01-05,356.35
2015-01-06,346.1
2015-01-07,345.15
2015-01-08,363.2
2015-01-09,357.2
2015-01-12,360.1
2015-01-13,359.6
2015-01-14,354.4
2015-01-15,360.65
2015-01-16,369.1
2015-01-19,378.1
2015-01-20,366.6
2015-01-21,361.8
2015-01-22,359.6
2015-01-23,353.7
2015-01-27,348.1
2015-01-28,350.0
2015-01-29,346.5
2015-01-30,355.2
2015-02-02,346.95
2015-02-03,350.8
2015-02-04,356.75
2015-02-05,350.6
2015-02-06,353.45
2015-02-09,340.55
2015-02-10,345.0
2015-02-11,339.0
2015-02-12,343.0
2015-02-13,343.5
2015-02-16,343.3
2015-02-18,346.0
2015-02-19,339.65
2015-02-20,339.35
2015-02-23,334.95
2015-02-24,331.75
2015-02-25,347.85
2015-02-26,331.85
2015-02-27,339.35
2015-02-28,333.2
2015-03-02,323.15
2015-03-03,323.8
2015-03-04,323.6
2015-03-05,320.5
2015-03-09,313.15
2015-03-10,308.2
2015-03-11,337.8
2015-03-12,328.6
2015-03-13,319.8
2015-03-16,312.05
2015-03-17,311.4
2015-03-18,310.1
2015-03-19,311.15
2015-03-20,300.0
2015-03-23,292.9
2015-03-24,287.2
2015-03-25,276.35
2015-03-26,274.25
2015-03-27,267.65
2015-03-30,275.25
2015-03-31,280.15
2015-04-01,300.95
2015-04-06,304.65
2015-04-07,305.05
2015-04-08,310.45
2015-04-09,311.3
2015-04-10,320.95
2015-04-13,327.95
2015-04-15,332.6
2015-04-16,325.1
2015-04-17,324.35
2015-04-20,312.7
2015-04-21,306.15
2015-04-22,312.15
2015-04-23,316.35
2015-04-24,312.15
2015-04-27,292.0
2015-04-28,287.95
2015-04-29,290.5
2015-04-30,287.0
2015-05-04,292.35
2015-05-05,296.2
2015-05-06,286.9
2015-05-07,282.65
2015-05-08,290.15
2015-05-11,307.9
2015-05-12,304.4
2015-05-13,303.75
2015-05-14,299.95
2015-05-15,305.7
2015-05-18,303.6
2015-05-19,300.75
2015-05-20,309.3
2015-05-21,308.95
2015-05-22,307.05
2015-05-25,300.85
2015-05-26,300.4
2015-05-27,304.1
2015-05-28,301.0
2015-05-29,304.2
2015-06-01,302.85
2015-06-02,294.0
2015-06-03,286.3
2015-06-04,283.95
2015-06-05,284.3
2015-06-08,284.85
2015-06-09,278.65
2015-06-10,277.75
2015-06-11,273.05
2015-06-12,267.45
2015-06-15,267.6
2015-06-16,268.0
2015-06-17,269.2
2015-06-18,271.15
2015-06-19,269.7
2015-06-22,274.95
2015-06-23,278.4
2015-06-24,281.8
2015-06-25,284.1
2015-06-26,287.8
2015-06-29,274.7
2015-06-30,277.0
2015-07-01,284.95
2015-07-02,290.7
2015-07-03,296.45
2015-07-06,304.6
2015-07-07,298.3
2015-07-08,291.55
2015-07-09,292.15
2015-07-10,290.1
2015-07-13,303.2
2015-07-14,304.35
2015-07-15,312.7
2015-07-16,304.85
2015-07-17,307.75
2015-07-20,319.1
2015-07-21,324.0
2015-07-22,327.15
2015-07-23,325.55
2015-07-24,327.5
2015-07-27,319.4
2015-07-28,313.35
2015-07-29,326.75
2015-07-30,335.4
2015-07-31,357.95
2015-08-03,367.2
2015-08-04,365.8
2015-08-05,351.8
2015-08-06,367.55
2015-08-07,379.75
2015-08-10,374.5
2015-08-11,359.35
2015-08-12,343.8
2015-08-13,333.8
2015-08-14,339.85
2015-08-17,344.05
2015-08-18,349.6
2015-08-19,349.05
2015-08-20,359.6
2015-08-21,347.4
2015-08-24,310.45
2015-08-25,315.55
2015-08-26,318.0
2015-08-27,332.4
2015-08-28,331.15
2015-08-31,335.85
2015-09-01,322.05
2015-09-02,325.35
2015-09-03,328.3
2015-09-04,310.55
2015-09-07,299.35
2015-09-08,299.5
2015-09-09,320.5
2015-09-10,314.4
2015-09-11,325.1
2015-09-14,324.7
2015-09-15,320.6
2015-09-16,318.15
2015-09-18,326.0
2015-09-21,347.7
2015-09-22,356.45
2015-09-23,353.0
2015-09-24,354.25
2015-09-28,343.5
2015-09-29,328.75
2015-09-30,334.6
2015-10-01,333.75
2015-10-05,336.55
2015-10-06,336.85
2015-10-07,335.3
2015-10-08,335.35
2015-10-09,335.8
2015-10-12,336.6
2015-10-13,344.6
2015-10-14,366.85
2015-10-15,364.2
2015-10-16,354.5
2015-10-19,353.4
2015-10-20,360.45
2015-10-21,359.05
2015-10-23,360.05
2015-10-26,355.25
2015-10-27,349.65
2015-10-28,348.05
2015-10-29,343.7
2015-10-30,354.65
2015-11-02,358.45
2015-11-03,361.5
2015-11-04,361.8
2015-11-05,362.3
2015-11-06,372.05
2015-11-09,372.2
2015-11-10,365.1
2015-11-11,371.25
2015-11-13,359.75
2015-11-16,360.4
2015-11-17,357.55
2015-11-18,353.8
2015-11-19,355.45
2015-11-20,363.2
2015-11-23,366.3
2015-11-24,371.5
2015-11-26,379.0
2015-11-27,377.85
2015-11-30,376.95
2015-12-01,388.35
2015-12-02,384.05
2015-12-03,381.3
2015-12-04,375.9
2015-12-07,375.5
2015-12-08,372.35
2015-12-09,365.1
2015-12-10,369.15
2015-12-11,364.5
2015-12-14,366.15
2015-12-15,377.85
2015-12-16,372.35
2015-12-17,373.5
2015-12-18,371.6
2015-12-21,381.7
2015-12-22,383.95
2015-12-23,397.0
2015-12-24,435.15
2015-12-28,448.1
2015-12-29,425.4
2015-12-30,436.8
2015-12-31,441.0
