Date,SUPERSPIN
2015-01-01,7.75
2015-01-02,7.8
2015-01-05,7.85
2015-01-06,7.4
2015-01-07,7.7
2015-01-08,7.65
2015-01-09,7.6
2015-01-12,7.65
2015-01-13,7.45
2015-01-14,7.3
2015-01-15,7.35
2015-01-16,7.5
2015-01-19,7.8
2015-01-20,7.8
2015-01-21,7.35
2015-01-22,7.45
2015-01-23,7.3
2015-01-27,7.15
2015-01-28,6.9
2015-01-29,7.2
2015-01-30,7.1
2015-02-02,7.0
2015-02-03,7.4
2015-02-04,7.35
2015-02-05,7.05
2015-02-06,6.9
2015-02-09,6.8
2015-02-10,6.7
2015-02-11,6.65
2015-02-12,7.3
2015-02-13,6.95
2015-02-16,6.45
2015-02-18,6.45
2015-02-19,6.5
2015-02-20,6.6
2015-02-23,6.6
2015-02-24,6.5
2015-02-25,6.25
2015-02-26,6.2
2015-02-27,6.1
2015-02-28,6.05
2015-03-02,6.0
2015-03-03,6.3
2015-03-04,6.65
2015-03-05,6.3
2015-03-09,6.3
2015-03-10,6.0
2015-03-11,6.0
2015-03-12,5.9
2015-03-13,6.3
2015-03-16,5.75
2015-03-17,5.75
2015-03-18,6.25
2015-03-19,5.75
2015-03-20,6.0
2015-03-23,5.9
2015-03-24,6.0
2015-03-25,5.25
2015-03-26,5.5
2015-03-27,5.85
2015-03-30,5.5
2015-03-31,5.75
2015-04-01,5.65
2015-04-06,5.85
2015-04-07,5.8
2015-04-08,6.35
2015-04-09,6.2
2015-04-10,6.0
2015-04-13,6.5
2015-04-15,7.8
2015-04-16,9.15
2015-04-17,10.05
2015-04-20,9.1
2015-04-21,9.2
2015-04-22,10.05
2015-04-23,10.7
2015-04-24,9.7
2015-04-27,9.2
2015-04-28,9.4
2015-04-29,9.2
2015-04-30,10.0
2015-05-04,10.3
2015-05-05,10.4
2015-05-06,10.2
2015-05-07,9.95
2015-05-08,10.15
2015-05-11,10.0
2015-05-12,9.5
2015-05-13,9.7
2015-05-14,9.5
2015-05-15,9.5
2015-05-18,9.5
2015-05-19,9.9
2015-05-20,9.65
2015-05-21,9.85
2015-05-22,9.5
2015-05-25,9.55
2015-05-26,9.0
2015-05-27,8.65
2015-05-28,7.6
2015-05-29,8.4
2015-06-01,8.0
2015-06-02,7.8
2015-06-03,7.1
2015-06-04,7.4
2015-06-05,7.6
2015-06-08,7.25
2015-06-09,7.0
2015-06-10,7.0
2015-06-11,7.15
2015-06-12,6.85
2015-06-15,7.05
2015-06-16,6.85
2015-06-17,6.7
2015-06-18,6.7
2015-06-19,7.0
2015-06-22,7.4
2015-06-23,7.45
2015-06-24,8.4
2015-06-25,8.4
2015-06-26,8.25
2015-06-29,8.0
2015-06-30,8.0
2015-07-01,8.65
2015-07-02,8.2
2015-07-03,9.25
2015-07-06,9.8
2015-07-07,9.65
2015-07-08,9.15
2015-07-09,9.25
2015-07-10,9.0
2015-07-13,8.9
2015-07-14,8.85
2015-07-15,8.9
2015-07-16,8.8
2015-07-17,8.85
2015-07-20,8.9
2015-07-21,8.55
2015-07-22,8.75
2015-07-23,8.6
2015-07-24,8.55
2015-07-27,8.65
2015-07-28,8.6
2015-07-29,9.5
2015-07-30,9.75
2015-07-31,10.55
2015-08-03,11.45
2015-08-04,13.3
2015-08-05,12.1
2015-08-06,11.7
2015-08-07,11.55
2015-08-10,12.6
2015-08-11,11.35
2015-08-12,10.25
2015-08-13,9.25
2015-08-14,9.6
2015-08-17,9.55
2015-08-18,10.0
2015-08-19,9.9
2015-08-20,9.45
2015-08-21,9.0
2015-08-24,8.55
2015-08-25,8.15
2015-08-26,8.0
2015-08-27,8.15
2015-08-28,8.0
2015-08-31,7.85
2015-09-01,7.5
2015-09-02,7.15
2015-09-03,7.5
2015-09-04,7.4
2015-09-07,7.35
2015-09-08,7.35
2015-09-09,7.55
2015-09-10,7.4
2015-09-11,7.5
2015-09-14,8.1
2015-09-15,8.0
2015-09-16,7.75
2015-09-18,7.85
2015-09-21,7.8
2015-09-22,7.7
2015-09-23,8.05
2015-09-24,8.0
2015-09-28,7.75
2015-09-29,7.65
2015-09-30,7.6
2015-10-01,7.8
2015-10-05,8.0
2015-10-06,7.95
2015-10-07,7.7
2015-10-08,7.9
2015-10-09,7.75
2015-10-12,8.0
2015-10-13,7.6
2015-10-14,7.7
2015-10-15,7.7
2015-10-16,7.55
2015-10-19,7.6
2015-10-20,7.35
2015-10-21,7.45
2015-10-23,7.95
2015-10-26,7.5
2015-10-27,7.7
2015-10-28,7.95
2015-10-29,7.95
2015-10-30,7.8
2015-11-02,7.75
2015-11-03,7.65
2015-11-04,7.5
2015-11-05,7.4
2015-11-06,7.35
2015-11-09,6.9
2015-11-10,6.75
2015-11-11,7.05
2015-11-13,7.35
2015-11-16,6.95
2015-11-17,6.9
2015-11-18,6.7
2015-11-19,7.1
2015-11-20,7.3
2015-11-23,7.25
2015-11-24,7.15
2015-11-26,7.0
2015-11-27,6.95
2015-11-30,7.05
2015-12-01,7.05
2015-12-02,7.2
2015-12-03,7.65
2015-12-04,7.65
2015-12-07,7.7
2015-12-08,7.5
2015-12-09,7.3
2015-12-10,7.25
2015-12-11,7.15
2015-12-14,7.05
2015-12-15,8.45
2015-12-16,8.75
2015-12-17,8.95
2015-12-18,8.6
2015-12-21,8.5
2015-12-22,8.35
2015-12-23,8.6
2015-12-24,10.3
2015-12-28,10.0
2015-12-29,11.15
2015-12-30,10.85
2015-12-31,10.5
