Date,NECLIFE
2015-01-01,35.7
2015-01-02,35.25
2015-01-05,34.95
2015-01-06,33.3
2015-01-07,32.0
2015-01-08,33.2
2015-01-09,33.3
2015-01-12,33.25
2015-01-13,33.0
2015-01-14,32.35
2015-01-15,33.1
2015-01-16,32.75
2015-01-19,33.0
2015-01-20,33.2
2015-01-21,32.85
2015-01-22,35.55
2015-01-23,36.65
2015-01-27,37.9
2015-01-28,36.05
2015-01-29,36.0
2015-01-30,34.65
2015-02-02,35.9
2015-02-03,35.25
2015-02-04,36.25
2015-02-05,35.35
2015-02-06,33.95
2015-02-09,32.75
2015-02-10,32.5
2015-02-11,33.4
2015-02-12,33.8
2015-02-13,33.85
2015-02-16,33.3
2015-02-18,32.9
2015-02-19,32.8
2015-02-20,32.15
2015-02-23,31.5
2015-02-24,29.65
2015-02-25,28.9
2015-02-26,27.3
2015-02-27,28.15
2015-02-28,29.1
2015-03-02,34.9
2015-03-03,38.4
2015-03-04,37.55
2015-03-05,37.8
2015-03-09,37.35
2015-03-10,37.7
2015-03-11,36.95
2015-03-12,36.85
2015-03-13,36.7
2015-03-16,37.45
2015-03-17,40.35
2015-03-18,41.9
2015-03-19,41.25
2015-03-20,37.8
2015-03-23,37.85
2015-03-24,37.3
2015-03-25,36.35
2015-03-26,34.35
2015-03-27,33.35
2015-03-30,35.9
2015-03-31,36.9
2015-04-01,37.85
2015-04-06,38.9
2015-04-07,38.9
2015-04-08,39.75
2015-04-09,38.6
2015-04-10,38.15
2015-04-13,39.0
2015-04-15,38.0
2015-04-16,37.25
2015-04-17,36.75
2015-04-20,35.35
2015-04-21,34.95
2015-04-22,34.75
2015-04-23,34.45
2015-04-24,33.7
2015-04-27,32.5
2015-04-28,33.75
2015-04-29,34.05
2015-04-30,33.75
2015-05-04,34.9
2015-05-05,34.55
2015-05-06,32.7
2015-05-07,31.9
2015-05-08,32.4
2015-05-11,32.95
2015-05-12,31.55
2015-05-13,31.7
2015-05-14,31.8
2015-05-15,34.9
2015-05-18,35.35
2015-05-19,35.4
2015-05-20,37.05
2015-05-21,36.65
2015-05-22,35.85
2015-05-25,34.85
2015-05-26,34.15
2015-05-27,33.75
2015-05-28,33.7
2015-05-29,33.8
2015-06-01,33.5
2015-06-02,32.75
2015-06-03,31.55
2015-06-04,31.05
2015-06-05,31.1
2015-06-08,30.95
2015-06-09,30.2
2015-06-10,31.3
2015-06-11,30.3
2015-06-12,29.25
2015-06-15,29.2
2015-06-16,29.3
2015-06-17,30.3
2015-06-18,32.05
2015-06-19,32.65
2015-06-22,32.65
2015-06-23,31.9
2015-06-24,32.95
2015-06-25,33.75
2015-06-26,33.05
2015-06-29,31.6
2015-06-30,34.05
2015-07-01,34.35
2015-07-02,33.75
2015-07-03,33.15
2015-07-06,34.7
2015-07-07,35.3
2015-07-08,35.45
2015-07-09,36.15
2015-07-10,36.85
2015-07-13,37.2
2015-07-14,36.8
2015-07-15,36.45
2015-07-16,35.45
2015-07-17,36.1
2015-07-20,35.45
2015-07-21,33.7
2015-07-22,34.2
2015-07-23,33.7
2015-07-24,33.5
2015-07-27,34.05
2015-07-28,33.95
2015-07-29,36.5
2015-07-30,35.45
2015-07-31,35.6
2015-08-03,36.05
2015-08-04,39.4
2015-08-05,39.95
2015-08-06,40.2
2015-08-07,38.55
2015-08-10,38.6
2015-08-11,40.35
2015-08-12,39.35
2015-08-13,36.7
2015-08-14,39.1
2015-08-17,38.85
2015-08-18,40.35
2015-08-19,47.15
2015-08-20,46.85
2015-08-21,45.65
2015-08-24,36.8
2015-08-25,38.25
2015-08-26,37.8
2015-08-27,40.45
2015-08-28,39.55
2015-08-31,39.65
2015-09-01,37.75
2015-09-02,38.0
2015-09-03,38.3
2015-09-04,36.7
2015-09-07,35.2
2015-09-08,35.45
2015-09-09,35.7
2015-09-10,36.3
2015-09-11,36.0
2015-09-14,37.0
2015-09-15,36.15
2015-09-16,35.9
2015-09-18,36.7
2015-09-21,38.35
2015-09-22,37.45
2015-09-23,38.35
2015-09-24,38.15
2015-09-28,38.0
2015-09-29,37.5
2015-09-30,38.15
2015-10-01,40.15
2015-10-05,41.65
2015-10-06,42.65
2015-10-07,43.95
2015-10-08,46.25
2015-10-09,44.45
2015-10-12,44.9
2015-10-13,44.5
2015-10-14,44.1
2015-10-15,43.9
2015-10-16,43.8
2015-10-19,46.85
2015-10-20,48.45
2015-10-21,52.55
2015-10-23,53.35
2015-10-26,51.6
2015-10-27,54.3
2015-10-28,57.45
2015-10-29,54.8
2015-10-30,53.7
2015-11-02,51.95
2015-11-03,52.85
2015-11-04,51.35
2015-11-05,48.25
2015-11-06,48.15
2015-11-09,52.9
2015-11-10,51.65
2015-11-11,53.2
2015-11-13,52.1
2015-11-16,49.55
2015-11-17,50.15
2015-11-18,51.75
2015-11-19,51.7
2015-11-20,50.75
2015-11-23,52.4
2015-11-24,55.15
2015-11-26,54.95
2015-11-27,53.05
2015-11-30,54.05
2015-12-01,55.4
2015-12-02,58.6
2015-12-03,57.5
2015-12-04,57.1
2015-12-07,60.35
2015-12-08,57.35
2015-12-09,52.75
2015-12-10,55.25
2015-12-11,54.0
2015-12-14,54.5
2015-12-15,55.05
2015-12-16,53.7
2015-12-17,55.1
2015-12-18,54.85
2015-12-21,57.35
2015-12-22,56.55
2015-12-23,56.3
2015-12-24,56.8
2015-12-28,57.05
2015-12-29,54.6
2015-12-30,54.3
2015-12-31,54.15
