Date,UBL
2015-01-01,834.6
2015-01-02,835.6
2015-01-05,832.9
2015-01-06,832.45
2015-01-07,897.1
2015-01-08,893.35
2015-01-09,903.95
2015-01-12,912.95
2015-01-13,926.1
2015-01-14,931.15
2015-01-15,945.15
2015-01-16,942.35
2015-01-19,950.05
2015-01-20,942.9
2015-01-21,936.2
2015-01-22,992.75
2015-01-23,1040.25
2015-01-27,1038.3
2015-01-28,999.5
2015-01-29,988.1
2015-01-30,975.05
2015-02-02,976.45
2015-02-03,983.1
2015-02-04,992.15
2015-02-05,953.45
2015-02-06,954.25
2015-02-09,928.2
2015-02-10,934.55
2015-02-11,963.1
2015-02-12,974.2
2015-02-13,1010.3
2015-02-16,967.35
2015-02-18,970.1
2015-02-19,958.1
2015-02-20,974.45
2015-02-23,970.35
2015-02-24,961.1
2015-02-25,973.0
2015-02-26,956.95
2015-02-27,1008.65
2015-02-28,998.85
2015-03-02,996.95
2015-03-03,999.15
2015-03-04,1000.7
2015-03-05,1026.65
2015-03-09,1019.15
2015-03-10,1021.25
2015-03-11,1019.75
2015-03-12,1018.65
2015-03-13,993.6
2015-03-16,978.6
2015-03-17,990.2
2015-03-18,985.85
2015-03-19,994.15
2015-03-20,981.05
2015-03-23,966.75
2015-03-24,958.25
2015-03-25,966.75
2015-03-26,965.05
2015-03-27,980.4
2015-03-30,992.05
2015-03-31,1000.3
2015-04-01,996.1
2015-04-06,1004.15
2015-04-07,1112.8
2015-04-08,1122.35
2015-04-09,1104.5
2015-04-10,1142.3
2015-04-13,1164.8
2015-04-15,1161.85
2015-04-16,1170.45
2015-04-17,1163.05
2015-04-20,1107.9
2015-04-21,1070.7
2015-04-22,1078.85
2015-04-23,1071.65
2015-04-24,1068.1
2015-04-27,940.95
2015-04-28,930.55
2015-04-29,957.8
2015-04-30,932.4
2015-05-04,960.4
2015-05-05,977.8
2015-05-06,955.05
2015-05-07,925.65
2015-05-08,926.3
2015-05-11,944.2
2015-05-12,921.45
2015-05-13,905.6
2015-05-14,933.85
2015-05-15,954.15
2015-05-18,965.95
2015-05-19,966.2
2015-05-20,1007.3
2015-05-21,1013.65
2015-05-22,996.4
2015-05-25,982.15
2015-05-26,985.75
2015-05-27,961.05
2015-05-28,952.2
2015-05-29,953.25
2015-06-01,954.05
2015-06-02,935.1
2015-06-03,922.6
2015-06-04,918.25
2015-06-05,924.3
2015-06-08,900.5
2015-06-09,898.7
2015-06-10,909.4
2015-06-11,894.55
2015-06-12,891.35
2015-06-15,895.15
2015-06-16,876.95
2015-06-17,895.45
2015-06-18,901.45
2015-06-19,894.5
2015-06-22,909.45
2015-06-23,898.25
2015-06-24,901.45
2015-06-25,908.3
2015-06-26,895.65
2015-06-29,879.15
2015-06-30,934.25
2015-07-01,922.45
2015-07-02,935.4
2015-07-03,1019.25
2015-07-06,1025.2
2015-07-07,1013.7
2015-07-08,1010.0
2015-07-09,982.55
2015-07-10,987.65
2015-07-13,998.75
2015-07-14,1010.4
2015-07-15,1012.65
2015-07-16,1023.3
2015-07-17,1014.6
2015-07-20,1028.55
2015-07-21,992.05
2015-07-22,1009.3
2015-07-23,998.25
2015-07-24,1010.9
2015-07-27,1025.1
2015-07-28,1014.45
2015-07-29,1033.3
2015-07-30,1029.7
2015-07-31,1056.2
2015-08-03,1051.65
2015-08-04,1033.35
2015-08-05,1041.3
2015-08-06,1038.8
2015-08-07,1029.9
2015-08-10,1008.95
2015-08-11,993.3
2015-08-12,977.7
2015-08-13,974.55
2015-08-14,961.75
2015-08-17,950.95
2015-08-18,940.95
2015-08-19,962.9
2015-08-20,917.45
2015-08-21,929.35
2015-08-24,823.75
2015-08-25,853.9
2015-08-26,839.95
2015-08-27,876.1
2015-08-28,864.4
2015-08-31,854.85
2015-09-01,886.0
2015-09-02,847.25
2015-09-03,874.2
2015-09-04,846.75
2015-09-07,833.3
2015-09-08,832.0
2015-09-09,844.05
2015-09-10,864.4
2015-09-11,861.8
2015-09-14,856.05
2015-09-15,865.7
2015-09-16,852.05
2015-09-18,874.5
2015-09-21,869.2
2015-09-22,849.25
2015-09-23,840.45
2015-09-24,856.4
2015-09-28,840.3
2015-09-29,852.95
2015-09-30,881.65
2015-10-01,873.0
2015-10-05,914.0
2015-10-06,935.95
2015-10-07,918.6
2015-10-08,933.9
2015-10-09,921.35
2015-10-12,928.0
2015-10-13,935.95
2015-10-14,920.15
2015-10-15,901.0
2015-10-16,916.65
2015-10-19,919.5
2015-10-20,937.05
2015-10-21,950.85
2015-10-23,942.85
2015-10-26,955.35
2015-10-27,955.35
2015-10-28,956.35
2015-10-29,954.75
2015-10-30,938.55
2015-11-02,962.5
2015-11-03,952.95
2015-11-04,996.35
2015-11-05,954.1
2015-11-06,958.9
2015-11-09,972.85
2015-11-10,955.35
2015-11-11,960.9
2015-11-13,984.15
2015-11-16,964.25
2015-11-17,993.7
2015-11-18,962.65
2015-11-19,968.25
2015-11-20,978.8
2015-11-23,963.65
2015-11-24,956.3
2015-11-26,959.65
2015-11-27,975.5
2015-11-30,948.55
2015-12-01,978.1
2015-12-02,964.7
2015-12-03,948.2
2015-12-04,933.3
2015-12-07,921.9
2015-12-08,926.35
2015-12-09,893.25
2015-12-10,890.7
2015-12-11,893.6
2015-12-14,915.5
2015-12-15,915.65
2015-12-16,901.55
2015-12-17,906.6
2015-12-18,922.65
2015-12-21,932.4
2015-12-22,922.85
2015-12-23,923.55
2015-12-24,935.1
2015-12-28,948.95
2015-12-29,943.8
2015-12-30,936.65
2015-12-31,947.55
