Date,LGBFORGE
2015-01-01,3.75
2015-01-02,4.1
2015-01-05,3.95
2015-01-06,3.85
2015-01-07,3.8
2015-01-08,3.4
2015-01-09,3.7
2015-01-12,4.35
2015-01-13,4.75
2015-01-14,5.45
2015-01-15,5.65
2015-01-16,5.1
2015-01-19,5.1
2015-01-20,5.15
2015-01-21,4.95
2015-01-22,4.95
2015-01-23,5.0
2015-01-27,4.95
2015-01-28,4.6
2015-01-29,4.5
2015-01-30,4.8
2015-02-02,4.85
2015-02-03,4.75
2015-02-04,4.75
2015-02-05,4.7
2015-02-06,4.55
2015-02-09,4.5
2015-02-10,4.35
2015-02-11,4.75
2015-02-12,4.5
2015-02-13,4.65
2015-02-16,4.5
2015-02-18,4.5
2015-02-19,4.5
2015-02-20,4.55
2015-02-23,4.75
2015-02-24,5.7
2015-02-25,6.7
2015-02-26,6.65
2015-02-27,6.1
2015-02-28,6.2
2015-03-02,6.7
2015-03-03,7.0
2015-03-04,6.85
2015-03-05,6.8
2015-03-09,6.7
2015-03-10,6.5
2015-03-11,6.45
2015-03-12,6.7
2015-03-13,6.5
2015-03-16,6.2
2015-03-17,6.05
2015-03-18,6.25
2015-03-19,6.15
2015-03-20,5.9
2015-03-23,5.6
2015-03-24,5.5
2015-03-25,5.7
2015-03-26,5.6
2015-03-27,5.6
2015-03-30,5.8
2015-03-31,6.3
2015-04-01,6.1
2015-04-06,6.15
2015-04-07,6.85
2015-04-08,6.95
2015-04-09,6.7
2015-04-10,6.65
2015-04-13,6.7
2015-04-15,6.35
2015-04-16,6.25
2015-04-17,6.55
2015-04-20,6.2
2015-04-21,6.4
2015-04-22,6.65
2015-04-23,6.65
2015-04-24,6.45
2015-04-27,6.05
2015-04-28,6.15
2015-04-29,6.05
2015-04-30,5.7
2015-05-04,5.75
2015-05-05,5.8
2015-05-06,5.65
2015-05-07,5.25
2015-05-08,5.25
2015-05-11,5.1
2015-05-12,5.15
2015-05-13,5.1
2015-05-14,5.15
2015-05-15,5.15
2015-05-18,5.5
2015-05-19,5.4
2015-05-20,5.25
2015-05-21,5.4
2015-05-22,5.25
2015-05-25,5.25
2015-05-26,5.15
2015-05-27,5.15
2015-05-28,5.15
2015-05-29,5.15
2015-06-01,5.15
2015-06-02,5.0
2015-06-03,4.9
2015-06-04,4.9
2015-06-05,4.75
2015-06-08,4.75
2015-06-09,4.7
2015-06-10,4.7
2015-06-11,4.9
2015-06-12,4.7
2015-06-15,4.95
2015-06-16,4.9
2015-06-17,4.9
2015-06-18,4.95
2015-06-19,4.9
2015-06-22,4.8
2015-06-23,4.9
2015-06-24,5.0
2015-06-25,5.15
2015-06-26,5.15
2015-06-29,5.15
2015-06-30,5.15
2015-07-01,5.15
2015-07-02,5.0
2015-07-03,4.9
2015-07-06,5.0
2015-07-07,5.05
2015-07-08,5.65
2015-07-09,6.2
2015-07-10,6.15
2015-07-13,6.1
2015-07-14,7.1
2015-07-15,7.35
2015-07-16,7.1
2015-07-17,7.0
2015-07-20,6.8
2015-07-21,6.35
2015-07-22,6.65
2015-07-23,6.5
2015-07-24,6.6
2015-07-27,6.45
2015-07-28,6.5
2015-07-29,6.2
2015-07-30,6.45
2015-07-31,5.85
2015-08-03,5.6
2015-08-04,5.5
2015-08-05,6.05
2015-08-06,6.25
2015-08-07,6.8
2015-08-10,7.4
2015-08-11,7.35
2015-08-12,6.9
2015-08-13,6.8
2015-08-14,6.9
2015-08-17,6.75
2015-08-18,6.7
2015-08-19,6.85
2015-08-20,6.65
2015-08-21,6.65
2015-08-24,5.75
2015-08-25,5.95
2015-08-26,6.05
2015-08-27,6.0
2015-08-28,6.05
2015-08-31,6.0
2015-09-01,5.8
2015-09-02,5.65
2015-09-03,5.75
2015-09-04,5.65
2015-09-07,5.3
2015-09-08,5.45
2015-09-09,5.65
2015-09-10,5.55
2015-09-11,5.6
2015-09-14,5.45
2015-09-15,5.45
2015-09-16,5.4
2015-09-18,5.6
2015-09-21,5.45
2015-09-22,5.15
2015-09-23,5.2
2015-09-24,5.25
2015-09-28,5.15
2015-09-29,5.2
2015-09-30,5.35
2015-10-01,5.25
2015-10-05,5.4
2015-10-06,5.35
2015-10-07,5.6
2015-10-08,5.7
2015-10-09,5.6
2015-10-12,5.55
2015-10-13,5.3
2015-10-14,5.55
2015-10-15,5.45
2015-10-16,5.9
2015-10-19,5.75
2015-10-20,5.6
2015-10-21,5.8
2015-10-23,5.8
2015-10-26,5.8
2015-10-27,5.75
2015-10-28,5.7
2015-10-29,5.65
2015-10-30,5.7
2015-11-02,5.5
2015-11-03,5.55
2015-11-04,5.5
2015-11-05,5.4
2015-11-06,5.25
2015-11-09,5.35
2015-11-10,5.3
2015-11-11,5.35
2015-11-13,5.2
2015-11-16,5.1
2015-11-17,5.15
2015-11-18,5.15
2015-11-19,5.35
2015-11-20,5.3
2015-11-23,5.3
2015-11-24,5.2
2015-11-26,5.15
2015-11-27,5.15
2015-11-30,5.4
2015-12-01,5.5
2015-12-02,5.3
2015-12-03,5.8
2015-12-04,5.7
2015-12-07,5.3
2015-12-08,5.3
2015-12-09,5.15
2015-12-10,5.35
2015-12-11,5.45
2015-12-14,5.5
2015-12-15,6.55
2015-12-16,6.1
2015-12-17,6.7
2015-12-18,7.15
2015-12-21,7.65
2015-12-22,8.3
2015-12-23,9.0
2015-12-24,8.65
2015-12-28,8.5
2015-12-29,8.25
2015-12-30,8.3
2015-12-31,8.2
