Date,LUPIN
2015-01-01,1429.2
2015-01-02,1432.3
2015-01-05,1430.3
2015-01-06,1395.85
2015-01-07,1377.6
2015-01-08,1407.95
2015-01-09,1420.7
2015-01-12,1431.0
2015-01-13,1433.05
2015-01-14,1423.35
2015-01-15,1437.15
2015-01-16,1428.05
2015-01-19,1463.5
2015-01-20,1475.7
2015-01-21,1484.8
2015-01-22,1503.45
2015-01-23,1489.45
2015-01-27,1524.25
2015-01-28,1515.5
2015-01-29,1554.55
2015-01-30,1585.3
2015-02-02,1554.7
2015-02-03,1546.35
2015-02-04,1579.65
2015-02-05,1578.3
2015-02-06,1567.7
2015-02-09,1546.15
2015-02-10,1562.95
2015-02-11,1590.5
2015-02-12,1617.7
2015-02-13,1679.45
2015-02-16,1662.25
2015-02-18,1681.85
2015-02-19,1686.5
2015-02-20,1691.35
2015-02-23,1648.9
2015-02-24,1661.8
2015-02-25,1664.3
2015-02-26,1697.55
2015-02-27,1737.5
2015-02-28,1746.95
2015-03-02,1796.95
2015-03-03,1802.35
2015-03-04,1787.25
2015-03-05,1838.15
2015-03-09,1869.5
2015-03-10,1898.4
2015-03-11,1872.0
2015-03-12,1883.35
2015-03-13,1877.35
2015-03-16,1864.55
2015-03-17,1876.65
2015-03-18,1873.4
2015-03-19,1921.65
2015-03-20,1906.3
2015-03-23,1921.5
2015-03-24,2007.9
2015-03-25,2008.9
2015-03-26,1972.95
2015-03-27,1954.8
2015-03-30,1999.0
2015-03-31,2008.4
2015-04-01,2037.5
2015-04-06,2088.25
2015-04-07,2091.6
2015-04-08,2082.1
2015-04-09,2015.75
2015-04-10,1964.2
2015-04-13,1981.5
2015-04-15,1951.45
2015-04-16,1900.5
2015-04-17,1770.05
2015-04-20,1786.95
2015-04-21,1759.65
2015-04-22,1750.5
2015-04-23,1725.85
2015-04-24,1757.15
2015-04-27,1723.15
2015-04-28,1721.75
2015-04-29,1744.1
2015-04-30,1772.55
2015-05-04,1814.85
2015-05-05,1811.75
2015-05-06,1754.85
2015-05-07,1741.0
2015-05-08,1770.35
2015-05-11,1769.9
2015-05-12,1748.25
2015-05-13,1689.5
2015-05-14,1631.95
2015-05-15,1684.25
2015-05-18,1732.55
2015-05-19,1723.3
2015-05-20,1721.15
2015-05-21,1709.1
2015-05-22,1735.2
2015-05-25,1753.0
2015-05-26,1751.8
2015-05-27,1752.1
2015-05-28,1744.75
2015-05-29,1833.25
2015-06-01,1792.05
2015-06-02,1800.75
2015-06-03,1794.9
2015-06-04,1749.7
2015-06-05,1776.6
2015-06-08,1779.2
2015-06-09,1770.05
2015-06-10,1756.0
2015-06-11,1705.65
2015-06-12,1721.6
2015-06-15,1711.85
2015-06-16,1691.65
2015-06-17,1731.7
2015-06-18,1794.85
2015-06-19,1816.8
2015-06-22,1806.2
2015-06-23,1771.25
2015-06-24,1805.2
2015-06-25,1832.0
2015-06-26,1841.6
2015-06-29,1832.25
2015-06-30,1886.05
2015-07-01,1874.6
2015-07-02,1870.15
2015-07-03,1900.95
2015-07-06,1918.5
2015-07-07,1908.4
2015-07-08,1877.65
2015-07-09,1886.15
2015-07-10,1871.15
2015-07-13,1889.3
2015-07-14,1916.3
2015-07-15,1942.95
2015-07-16,1954.8
2015-07-17,1973.0
2015-07-20,1978.25
2015-07-21,1885.3
2015-07-22,1823.95
2015-07-23,1728.25
2015-07-24,1672.1
2015-07-27,1617.55
2015-07-28,1609.35
2015-07-29,1640.1
2015-07-30,1626.85
2015-07-31,1696.7
2015-08-03,1664.0
2015-08-04,1640.5
2015-08-05,1680.4
2015-08-06,1705.6
2015-08-07,1694.4
2015-08-10,1695.95
2015-08-11,1698.15
2015-08-12,1722.15
2015-08-13,1758.1
2015-08-14,1793.45
2015-08-17,1796.9
2015-08-18,1751.05
2015-08-19,1795.4
2015-08-20,1890.55
2015-08-21,1877.8
2015-08-24,1803.65
2015-08-25,1828.55
2015-08-26,1810.4
2015-08-27,1899.85
2015-08-28,1860.85
2015-08-31,1935.55
2015-09-01,1860.5
2015-09-02,1880.4
2015-09-03,1862.35
2015-09-04,1859.6
2015-09-07,1804.9
2015-09-08,1820.7
2015-09-09,1836.1
2015-09-10,1818.2
2015-09-11,1810.0
2015-09-14,1840.25
2015-09-15,1832.35
2015-09-16,1845.75
2015-09-18,1898.85
2015-09-21,1880.4
2015-09-22,1871.6
2015-09-23,1922.05
2015-09-24,1990.35
2015-09-28,2034.15
2015-09-29,2015.25
2015-09-30,2034.0
2015-10-01,2108.85
2015-10-05,2082.65
2015-10-06,2073.4
2015-10-07,2065.65
2015-10-08,2044.4
2015-10-09,2055.6
2015-10-12,2009.8
2015-10-13,2028.25
2015-10-14,2066.85
2015-10-15,2099.1
2015-10-16,2055.3
2015-10-19,2073.0
2015-10-20,2075.6
2015-10-21,2063.4
2015-10-23,2079.3
2015-10-26,2051.6
2015-10-27,1945.65
2015-10-28,1910.4
2015-10-29,1920.25
2015-10-30,1928.9
2015-11-02,1899.6
2015-11-03,1874.55
2015-11-04,1857.15
2015-11-05,1838.25
2015-11-06,1857.85
2015-11-09,1868.7
