Date,KOTAKBKETF
2015-01-01,186.9
2015-01-02,190.8
2015-01-05,191.0
2015-01-06,187.5
2015-01-07,184.5
2015-01-08,187.0
2015-01-09,186.5
2015-01-12,188.0
2015-01-13,189.0
2015-01-14,188.0
2015-01-15,189.13
2015-01-16,190.94
2015-01-19,193.0
2015-01-20,198.0
2015-01-21,197.88
2015-01-22,199.0
2015-01-23,201.0
2015-01-27,204.94
2015-01-28,205.16
2015-01-29,204.5
2015-01-30,200.0
2015-02-02,198.95
2015-02-03,197.0
2015-02-04,193.24
2015-02-05,191.05
2015-02-06,189.81
2015-02-09,185.5
2015-02-10,186.0
2015-02-11,191.0
2015-02-12,191.18
2015-02-13,192.0
2015-02-16,193.22
2015-02-18,193.1
2015-02-19,193.0
2015-02-20,192.5
2015-02-23,190.2
2015-02-24,183.7
2015-02-25,189.0
2015-02-26,184.87
2015-02-27,188.09
2015-02-28,194.61
2015-03-02,198.0
2015-03-03,199.0
2015-03-04,196.0
2015-03-05,197.93
2015-03-09,192.01
2015-03-10,191.0
2015-03-11,193.49
2015-03-12,193.99
2015-03-13,188.87
2015-03-16,189.1
2015-03-17,190.0
2015-03-18,189.0
2015-03-19,187.55
2015-03-20,188.25
2015-03-23,187.25
2015-03-24,186.0
2015-03-25,183.37
2015-03-26,178.96
2015-03-27,179.8
2015-03-30,182.0
2015-03-31,180.41
2015-04-01,184.52
2015-04-06,185.1
2015-04-07,184.02
2015-04-08,185.97
2015-04-09,189.37
2015-04-10,187.62
2015-04-13,187.02
2015-04-15,189.0
2015-04-16,186.0
2015-04-17,183.01
2015-04-20,183.0
2015-04-21,185.49
2015-04-22,182.88
2015-04-23,184.32
2015-04-24,181.49
2015-04-27,180.0
2015-04-28,183.19
2015-04-29,184.73
2015-04-30,187.77
2015-05-04,186.93
2015-05-05,187.79
2015-05-06,181.86
2015-05-07,174.9
2015-05-08,179.47
2015-05-11,180.0
2015-05-12,177.0
2015-05-13,179.34
2015-05-14,180.99
2015-05-15,182.25
2015-05-18,182.9
2015-05-19,184.44
2015-05-20,185.59
2015-05-21,185.5
2015-05-22,184.01
2015-05-25,183.58
2015-05-26,183.0
2015-05-27,184.91
2015-05-28,184.5
2015-05-29,186.45
2015-06-01,186.0
2015-06-02,181.0
2015-06-03,178.86
2015-06-04,178.99
2015-06-05,179.29
2015-06-08,175.0
2015-06-09,178.0
2015-06-10,178.0
2015-06-11,173.0
2015-06-12,175.0
2015-06-15,175.99
2015-06-16,177.0
2015-06-17,178.0
2015-06-18,176.39
2015-06-19,181.97
2015-06-22,183.0
2015-06-23,184.83
2015-06-24,184.13
2015-06-25,184.28
2015-06-26,183.51
2015-06-29,181.76
2015-06-30,183.27
2015-07-01,185.72
2015-07-02,187.03
2015-07-03,187.69
2015-07-06,189.14
2015-07-07,189.0
2015-07-08,187.0
2015-07-09,186.1
2015-07-10,189.48
2015-07-13,189.0
2015-07-14,192.68
2015-07-15,190.1
2015-07-16,192.92
2015-07-17,192.45
2015-07-20,192.09
2015-07-21,192.78
2015-07-22,191.3
2015-07-23,189.95
2015-07-24,188.14
2015-07-27,184.64
2015-07-28,183.61
2015-07-29,184.31
2015-07-30,186.8
2015-07-31,188.79
2015-08-03,190.47
2015-08-04,191.03
2015-08-05,191.0
2015-08-06,191.64
2015-08-07,192.9
2015-08-10,190.55
2015-08-11,188.59
2015-08-12,184.01
2015-08-13,183.2
2015-08-14,188.82
2015-08-17,189.06
2015-08-18,189.21
2015-08-19,189.53
2015-08-20,186.89
2015-08-21,183.03
2015-08-24,171.65
2015-08-25,172.94
2015-08-26,172.0
2015-08-27,174.0
2015-08-28,174.5
2015-08-31,174.35
2015-09-01,168.14
2015-09-02,165.58
2015-09-03,166.17
2015-09-04,162.68
2015-09-07,160.68
2015-09-08,164.54
2015-09-09,167.5
2015-09-10,168.03
2015-09-11,167.82
2015-09-14,170.0
2015-09-15,169.0
2015-09-16,169.82
2015-09-18,175.01
2015-09-21,176.5
2015-09-22,171.14
2015-09-23,174.0
2015-09-24,174.05
2015-09-28,173.0
2015-09-29,175.0
2015-09-30,174.27
2015-10-01,173.2
2015-10-05,177.45
2015-10-06,177.55
2015-10-07,178.05
2015-10-08,176.82
2015-10-09,177.2
2015-10-12,178.0
2015-10-13,176.52
2015-10-14,176.18
2015-10-15,178.0
2015-10-16,180.1
2015-10-19,179.5
2015-10-20,179.0
2015-10-21,177.88
2015-10-23,180.5
2015-10-26,179.01
2015-10-27,179.25
2015-10-28,175.9
2015-10-29,173.82
2015-10-30,174.7
2015-11-02,175.49
2015-11-03,174.58
2015-11-04,174.26
2015-11-05,171.88
2015-11-06,172.48
2015-11-09,171.45
2015-11-10,170.01
2015-11-11,170.78
2015-11-13,170.69
2015-11-16,173.15
2015-11-17,173.0
2015-11-18,170.0
2015-11-19,171.88
2015-11-20,172.68
2015-11-23,172.83
2015-11-24,172.08
2015-11-26,171.71
2015-11-27,174.92
2015-11-30,175.3
2015-12-01,175.49
2015-12-02,174.0
2015-12-03,173.17
2015-12-04,170.65
2015-12-07,171.0
2015-12-08,169.65
2015-12-09,168.6
2015-12-10,168.69
2015-12-11,165.18
2015-12-14,164.9
2015-12-15,164.95
2015-12-16,166.12
2015-12-17,169.5
2015-12-18,167.75
2015-12-21,169.0
2015-12-22,167.9
2015-12-23,169.25
2015-12-24,169.11
2015-12-28,171.0
2015-12-29,171.75
2015-12-30,171.49
2015-12-31,170.42
