Date,BROOKS
2015-01-01,44.95
2015-01-02,44.4
2015-01-05,43.75
2015-01-06,42.15
2015-01-07,41.95
2015-01-08,43.6
2015-01-09,42.8
2015-01-12,43.1
2015-01-13,41.25
2015-01-14,40.35
2015-01-15,40.35
2015-01-16,40.75
2015-01-19,41.0
2015-01-20,40.9
2015-01-21,43.0
2015-01-22,42.35
2015-01-23,41.35
2015-01-27,40.95
2015-01-28,41.05
2015-01-29,42.1
2015-01-30,41.45
2015-02-02,41.45
2015-02-03,40.85
2015-02-04,40.95
2015-02-05,40.9
2015-02-06,40.75
2015-02-09,39.7
2015-02-10,39.45
2015-02-11,40.0
2015-02-12,41.2
2015-02-13,41.95
2015-02-16,41.15
2015-02-18,40.45
2015-02-19,40.45
2015-02-20,40.2
2015-02-23,38.55
2015-02-24,38.2
2015-02-25,37.5
2015-02-26,36.95
2015-02-27,37.7
2015-02-28,36.95
2015-03-02,40.95
2015-03-03,40.35
2015-03-04,39.4
2015-03-05,40.1
2015-03-09,39.95
2015-03-10,39.05
2015-03-11,39.25
2015-03-12,39.4
2015-03-13,38.75
2015-03-16,37.95
2015-03-17,42.7
2015-03-18,40.45
2015-03-19,39.9
2015-03-20,38.4
2015-03-23,37.8
2015-03-24,38.2
2015-03-25,38.1
2015-03-26,37.1
2015-03-27,36.9
2015-03-30,38.05
2015-03-31,38.3
2015-04-01,39.3
2015-04-06,40.75
2015-04-07,40.5
2015-04-08,41.9
2015-04-09,41.65
2015-04-10,41.05
2015-04-13,41.85
2015-04-15,44.15
2015-04-16,45.95
2015-04-17,44.9
2015-04-20,42.3
2015-04-21,41.2
2015-04-22,41.6
2015-04-23,49.9
2015-04-24,53.1
2015-04-27,46.4
2015-04-28,49.15
2015-04-29,48.1
2015-04-30,47.8
2015-05-04,50.1
2015-05-05,49.05
2015-05-06,46.2
2015-05-07,45.1
2015-05-08,45.2
2015-05-11,48.4
2015-05-12,46.85
2015-05-13,47.2
2015-05-14,46.65
2015-05-15,46.75
2015-05-18,47.0
2015-05-19,48.9
2015-05-20,47.9
2015-05-21,47.25
2015-05-22,47.85
2015-05-25,45.9
2015-05-26,45.2
2015-05-27,44.8
2015-05-28,44.7
2015-05-29,45.55
2015-06-01,46.25
2015-06-02,43.85
2015-06-03,42.4
2015-06-04,41.75
2015-06-05,42.0
2015-06-08,41.7
2015-06-09,40.4
2015-06-10,41.4
2015-06-11,46.75
2015-06-12,44.75
2015-06-15,44.9
2015-06-16,43.75
2015-06-17,44.65
2015-06-18,45.2
2015-06-19,45.05
2015-06-22,45.05
2015-06-23,46.5
2015-06-24,46.5
2015-06-25,46.15
2015-06-26,45.5
2015-06-29,44.7
2015-06-30,45.45
2015-07-01,47.25
2015-07-02,56.7
2015-07-03,57.4
2015-07-06,60.95
2015-07-07,61.7
2015-07-08,60.1
2015-07-09,60.2
2015-07-10,59.3
2015-07-13,59.7
2015-07-14,68.3
2015-07-15,71.15
2015-07-16,71.3
2015-07-17,68.9
2015-07-20,68.3
2015-07-21,69.95
2015-07-22,71.85
2015-07-23,71.3
2015-07-24,70.55
2015-07-27,70.95
2015-07-28,85.1
2015-07-29,81.65
2015-07-30,95.55
2015-07-31,100.85
2015-08-03,99.55
2015-08-04,95.1
2015-08-05,95.55
2015-08-06,95.3
2015-08-07,94.05
2015-08-10,91.25
2015-08-11,88.7
2015-08-12,84.35
2015-08-13,75.95
2015-08-14,71.7
2015-08-17,75.25
2015-08-18,79.0
2015-08-19,82.95
2015-08-20,79.3
2015-08-21,77.15
2015-08-24,73.3
2015-08-25,69.65
2015-08-26,66.35
2015-08-27,69.65
2015-08-28,71.6
2015-08-31,70.0
2015-09-01,67.55
2015-09-02,66.75
2015-09-03,69.9
2015-09-04,64.9
2015-09-07,65.3
2015-09-08,64.55
2015-09-09,66.1
2015-09-10,64.55
2015-09-11,58.1
2015-09-14,52.3
2015-09-15,51.1
2015-09-16,52.2
2015-09-18,52.8
2015-09-21,53.05
2015-09-22,55.4
2015-09-23,58.15
2015-09-24,61.05
2015-09-28,64.1
2015-09-29,67.3
2015-09-30,70.65
2015-10-01,74.15
2015-10-05,77.85
2015-10-06,81.7
2015-10-07,78.55
2015-10-08,74.65
2015-10-09,73.9
2015-10-12,70.25
2015-10-13,68.25
2015-10-14,71.65
2015-10-15,75.2
2015-10-16,74.0
2015-10-19,74.45
2015-10-20,73.7
2015-10-21,71.75
2015-10-23,70.7
2015-10-26,70.45
2015-10-27,69.5
2015-10-28,68.75
2015-10-29,66.05
2015-10-30,63.85
2015-11-02,62.4
2015-11-03,65.5
2015-11-04,68.75
2015-11-05,69.25
2015-11-06,68.0
2015-11-09,68.2
2015-11-10,66.25
2015-11-11,68.7
2015-11-13,67.55
2015-11-16,74.2
2015-11-17,73.3
2015-11-18,71.05
2015-11-19,72.2
2015-11-20,71.95
2015-11-23,79.1
2015-11-24,82.75
2015-11-26,81.65
2015-11-27,89.8
2015-11-30,91.15
2015-12-01,89.6
2015-12-02,94.05
2015-12-03,92.05
2015-12-04,90.85
2015-12-07,90.5
2015-12-08,86.7
2015-12-09,82.4
2015-12-10,81.7
2015-12-11,79.7
2015-12-14,80.45
2015-12-15,84.45
2015-12-16,86.15
2015-12-17,86.45
2015-12-18,86.05
2015-12-21,90.35
2015-12-22,92.55
2015-12-23,91.8
2015-12-24,89.3
2015-12-28,85.9
2015-12-29,90.15
2015-12-30,88.1
2015-12-31,92.5
