Date,ABAN
2015-01-01,515.35
2015-01-02,511.45
2015-01-05,515.55
2015-01-06,488.85
2015-01-07,467.85
2015-01-08,482.35
2015-01-09,496.7
2015-01-12,492.8
2015-01-13,484.0
2015-01-14,468.5
2015-01-15,471.65
2015-01-16,475.55
2015-01-19,478.6
2015-01-20,507.35
2015-01-21,509.5
2015-01-22,489.75
2015-01-23,471.15
2015-01-27,481.55
2015-01-28,496.4
2015-01-29,493.6
2015-01-30,471.55
2015-02-02,482.35
2015-02-03,498.05
2015-02-04,491.65
2015-02-05,479.25
2015-02-06,476.45
2015-02-09,463.2
2015-02-10,475.35
2015-02-11,476.55
2015-02-12,485.0
2015-02-13,478.85
2015-02-16,482.65
2015-02-18,480.1
2015-02-19,476.25
2015-02-20,479.9
2015-02-23,477.05
2015-02-24,476.9
2015-02-25,472.75
2015-02-26,470.1
2015-02-27,471.6
2015-02-28,471.1
2015-03-02,471.35
2015-03-03,480.95
2015-03-04,481.65
2015-03-05,501.3
2015-03-09,492.45
2015-03-10,487.45
2015-03-11,477.95
2015-03-12,480.55
2015-03-13,468.35
2015-03-16,458.0
2015-03-17,461.9
2015-03-18,462.1
2015-03-19,458.55
2015-03-20,445.2
2015-03-23,441.9
2015-03-24,433.5
2015-03-25,423.6
2015-03-26,418.6
2015-03-27,405.85
2015-03-30,423.0
2015-03-31,426.4
2015-04-01,429.1
2015-04-06,462.9
2015-04-07,462.0
2015-04-08,454.45
2015-04-09,457.85
2015-04-10,457.5
2015-04-13,465.75
2015-04-15,465.6
2015-04-16,468.2
2015-04-17,466.55
2015-04-20,453.1
2015-04-21,448.9
2015-04-22,440.95
2015-04-23,439.35
2015-04-24,416.25
2015-04-27,405.65
2015-04-28,400.55
2015-04-29,400.0
2015-04-30,392.5
2015-05-04,404.75
2015-05-05,401.95
2015-05-06,398.85
2015-05-07,388.85
2015-05-08,391.55
2015-05-11,393.2
2015-05-12,385.45
2015-05-13,388.7
2015-05-14,391.15
2015-05-15,388.2
2015-05-18,394.05
2015-05-19,395.05
2015-05-20,394.3
2015-05-21,392.1
2015-05-22,394.65
2015-05-25,394.8
2015-05-26,394.1
2015-05-27,394.35
2015-05-28,395.4
2015-05-29,391.6
2015-06-01,390.35
2015-06-02,378.0
2015-06-03,348.75
2015-06-04,332.8
2015-06-05,328.45
2015-06-08,320.8
2015-06-09,310.1
2015-06-10,314.25
2015-06-11,308.95
2015-06-12,303.25
2015-06-15,306.35
2015-06-16,309.05
2015-06-17,311.55
2015-06-18,320.0
2015-06-19,315.4
2015-06-22,318.9
2015-06-23,323.35
2015-06-24,320.05
2015-06-25,317.3
2015-06-26,315.85
2015-06-29,303.6
2015-06-30,302.8
2015-07-01,304.2
2015-07-02,303.05
2015-07-03,298.55
2015-07-06,301.9
2015-07-07,298.1
2015-07-08,288.85
2015-07-09,285.5
2015-07-10,278.45
2015-07-13,277.25
2015-07-14,321.8
2015-07-15,327.65
2015-07-16,312.8
2015-07-17,308.2
2015-07-20,298.35
2015-07-21,287.0
2015-07-22,305.15
2015-07-23,303.85
2015-07-24,296.35
2015-07-27,301.8
2015-07-28,293.85
2015-07-29,295.75
2015-07-30,297.75
2015-07-31,300.4
2015-08-03,302.6
2015-08-04,305.1
2015-08-05,307.2
2015-08-06,304.2
2015-08-07,306.8
2015-08-10,303.15
2015-08-11,297.4
2015-08-12,288.9
2015-08-13,280.95
2015-08-14,285.7
2015-08-17,282.85
2015-08-18,287.65
2015-08-19,288.35
2015-08-20,281.4
2015-08-21,276.1
2015-08-24,240.9
2015-08-25,234.4
2015-08-26,234.0
2015-08-27,238.95
2015-08-28,254.05
2015-08-31,247.7
2015-09-01,243.1
2015-09-02,250.15
2015-09-03,250.95
2015-09-04,238.95
2015-09-07,229.0
2015-09-08,226.9
2015-09-09,236.3
2015-09-10,230.4
2015-09-11,231.7
2015-09-14,232.25
2015-09-15,233.2
2015-09-16,230.55
2015-09-18,240.65
2015-09-21,249.8
2015-09-22,237.85
2015-09-23,234.9
2015-09-24,232.4
2015-09-28,231.7
2015-09-29,230.25
2015-09-30,229.6
2015-10-01,230.1
2015-10-05,234.7
2015-10-06,232.25
2015-10-07,243.4
2015-10-08,247.55
2015-10-09,245.15
2015-10-12,237.75
2015-10-13,238.7
2015-10-14,237.05
2015-10-15,238.0
2015-10-16,239.2
2015-10-19,239.7
2015-10-20,237.15
2015-10-21,236.0
2015-10-23,231.7
2015-10-26,231.3
2015-10-27,232.35
2015-10-28,229.9
2015-10-29,231.55
2015-10-30,224.55
2015-11-02,220.55
2015-11-03,222.35
2015-11-04,222.15
2015-11-05,221.9
2015-11-06,218.7
2015-11-09,214.4
2015-11-10,211.45
2015-11-11,214.2
2015-11-13,210.15
2015-11-16,208.05
2015-11-17,211.15
2015-11-18,212.85
2015-11-19,214.9
2015-11-20,217.3
2015-11-23,218.9
2015-11-24,224.9
2015-11-26,222.4
2015-11-27,221.0
2015-11-30,218.4
2015-12-01,219.35
2015-12-02,234.65
2015-12-03,230.5
2015-12-04,226.3
2015-12-07,224.6
2015-12-08,216.55
2015-12-09,209.8
2015-12-10,211.95
2015-12-11,209.2
2015-12-14,206.65
2015-12-15,208.35
2015-12-16,210.7
2015-12-17,212.3
2015-12-18,212.4
2015-12-21,212.75
2015-12-22,213.85
2015-12-23,215.9
2015-12-24,218.85
2015-12-28,219.75
2015-12-29,228.5
2015-12-30,226.05
2015-12-31,227.0
