Date,MRPL
2015-01-01,47.85
2015-01-02,48.45
2015-01-05,48.75
2015-01-06,47.0
2015-01-07,46.3
2015-01-08,47.95
2015-01-09,50.3
2015-01-12,49.35
2015-01-13,48.15
2015-01-14,46.95
2015-01-15,47.5
2015-01-16,47.05
2015-01-19,47.6
2015-01-20,47.25
2015-01-21,48.95
2015-01-22,48.05
2015-01-23,50.5
2015-01-27,51.6
2015-01-28,52.9
2015-01-29,57.3
2015-01-30,59.05
2015-02-02,56.7
2015-02-03,54.8
2015-02-04,56.0
2015-02-05,53.75
2015-02-06,54.0
2015-02-09,54.35
2015-02-10,55.4
2015-02-11,54.5
2015-02-12,54.0
2015-02-13,58.95
2015-02-16,56.25
2015-02-18,61.35
2015-02-19,63.35
2015-02-20,63.2
2015-02-23,64.95
2015-02-24,65.0
2015-02-25,63.3
2015-02-26,62.35
2015-02-27,62.95
2015-02-28,62.3
2015-03-02,63.05
2015-03-03,63.3
2015-03-04,64.8
2015-03-05,68.25
2015-03-09,67.75
2015-03-10,69.0
2015-03-11,68.1
2015-03-12,67.0
2015-03-13,64.0
2015-03-16,63.65
2015-03-17,64.25
2015-03-18,66.05
2015-03-19,66.5
2015-03-20,66.3
2015-03-23,63.6
2015-03-24,63.25
2015-03-25,64.4
2015-03-26,64.05
2015-03-27,64.95
2015-03-30,67.3
2015-03-31,67.4
2015-04-01,70.5
2015-04-06,72.05
2015-04-07,73.1
2015-04-08,72.6
2015-04-09,72.25
2015-04-10,73.9
2015-04-13,73.25
2015-04-15,70.9
2015-04-16,71.95
2015-04-17,74.35
2015-04-20,74.6
2015-04-21,74.15
2015-04-22,72.45
2015-04-23,72.6
2015-04-24,70.85
2015-04-27,67.65
2015-04-28,69.55
2015-04-29,69.5
2015-04-30,69.95
2015-05-04,70.25
2015-05-05,70.75
2015-05-06,68.15
2015-05-07,70.0
2015-05-08,69.4
2015-05-11,69.55
2015-05-12,66.55
2015-05-13,67.55
2015-05-14,68.85
2015-05-15,71.6
2015-05-18,69.9
2015-05-19,69.4
2015-05-20,69.6
2015-05-21,68.5
2015-05-22,68.2
2015-05-25,68.95
2015-05-26,67.05
2015-05-27,67.0
2015-05-28,68.05
2015-05-29,70.5
2015-06-01,71.0
2015-06-02,67.05
2015-06-03,66.4
2015-06-04,66.4
2015-06-05,65.85
2015-06-08,65.55
2015-06-09,65.65
2015-06-10,66.7
2015-06-11,66.1
2015-06-12,71.5
2015-06-15,69.95
2015-06-16,72.15
2015-06-17,74.4
2015-06-18,76.1
2015-06-19,74.55
2015-06-22,74.5
2015-06-23,74.1
2015-06-24,72.4
2015-06-25,71.05
2015-06-26,70.1
2015-06-29,72.3
2015-06-30,75.05
2015-07-01,74.7
2015-07-02,75.0
2015-07-03,73.9
2015-07-06,75.0
2015-07-07,76.3
2015-07-08,75.4
2015-07-09,72.85
2015-07-10,73.75
2015-07-13,74.45
2015-07-14,79.0
2015-07-15,75.55
2015-07-16,78.75
2015-07-17,77.5
2015-07-20,78.2
2015-07-21,74.6
2015-07-22,75.8
2015-07-23,75.05
2015-07-24,74.0
2015-07-27,71.9
2015-07-28,70.5
2015-07-29,70.8
2015-07-30,72.3
2015-07-31,72.7
2015-08-03,71.6
2015-08-04,71.7
2015-08-05,71.8
2015-08-06,74.85
2015-08-07,82.1
2015-08-10,73.3
2015-08-11,73.4
2015-08-12,69.25
2015-08-13,67.0
2015-08-14,68.45
2015-08-17,66.7
2015-08-18,69.2
2015-08-19,67.7
2015-08-20,66.0
2015-08-21,65.55
2015-08-24,54.9
2015-08-25,51.45
2015-08-26,51.6
2015-08-27,53.35
2015-08-28,55.75
2015-08-31,55.4
2015-09-01,51.6
2015-09-02,53.05
2015-09-03,53.75
2015-09-04,52.15
2015-09-07,50.85
2015-09-08,49.85
2015-09-09,52.25
2015-09-10,52.95
2015-09-11,51.5
2015-09-14,51.6
2015-09-15,51.6
2015-09-16,51.5
2015-09-18,50.7
2015-09-21,51.65
2015-09-22,52.05
2015-09-23,52.4
2015-09-24,51.9
2015-09-28,51.8
2015-09-29,52.65
2015-09-30,53.75
2015-10-01,53.1
2015-10-05,53.8
2015-10-06,54.35
2015-10-07,55.0
2015-10-08,54.75
2015-10-09,54.7
2015-10-12,54.15
2015-10-13,55.9
2015-10-14,56.2
2015-10-15,55.75
2015-10-16,55.85
2015-10-19,57.5
2015-10-20,57.7
2015-10-21,56.8
2015-10-23,56.65
2015-10-26,56.15
2015-10-27,55.75
2015-10-28,56.15
2015-10-29,56.65
2015-10-30,54.75
2015-11-02,54.05
2015-11-03,52.65
2015-11-04,53.15
2015-11-05,53.5
2015-11-06,52.4
2015-11-09,53.95
2015-11-10,54.0
2015-11-11,53.95
2015-11-13,52.65
2015-11-16,53.55
2015-11-17,54.2
2015-11-18,53.6
2015-11-19,56.95
2015-11-20,56.55
2015-11-23,55.95
2015-11-24,59.8
2015-11-26,64.15
2015-11-27,67.95
2015-11-30,66.8
2015-12-01,67.95
2015-12-02,67.35
2015-12-03,66.95
2015-12-04,66.3
2015-12-07,65.05
2015-12-08,62.95
2015-12-09,61.55
2015-12-10,63.4
2015-12-11,63.3
2015-12-14,63.05
2015-12-15,63.8
2015-12-16,65.35
2015-12-17,67.9
2015-12-18,67.95
2015-12-21,67.0
2015-12-22,67.45
2015-12-23,66.95
2015-12-24,65.6
2015-12-28,65.05
2015-12-29,64.4
2015-12-30,65.1
2015-12-31,67.85
