Date,DIAPOWER
2015-01-01,68.0
2015-01-02,74.8
2015-01-05,79.45
2015-01-06,74.7
2015-01-07,76.1
2015-01-08,76.0
2015-01-09,72.9
2015-01-12,73.65
2015-01-13,74.35
2015-01-14,72.2
2015-01-15,72.45
2015-01-16,72.75
2015-01-19,73.9
2015-01-20,78.05
2015-01-21,76.85
2015-01-22,75.6
2015-01-23,73.65
2015-01-27,73.45
2015-01-28,72.1
2015-01-29,72.2
2015-01-30,71.75
2015-02-02,72.15
2015-02-03,71.5
2015-02-04,69.35
2015-02-05,65.1
2015-02-06,63.85
2015-02-09,58.1
2015-02-10,57.85
2015-02-11,61.35
2015-02-12,63.85
2015-02-13,63.35
2015-02-16,55.9
2015-02-18,56.85
2015-02-19,59.0
2015-02-20,58.95
2015-02-23,59.65
2015-02-24,57.95
2015-02-25,53.85
2015-02-26,53.95
2015-02-27,53.65
2015-02-28,53.15
2015-03-02,52.3
2015-03-03,44.8
2015-03-04,45.1
2015-03-05,44.0
2015-03-09,42.8
2015-03-10,41.65
2015-03-11,40.9
2015-03-12,41.05
2015-03-13,37.75
2015-03-16,45.3
2015-03-17,54.35
2015-03-18,62.3
2015-03-19,57.5
2015-03-20,52.5
2015-03-23,49.0
2015-03-24,46.55
2015-03-25,44.25
2015-03-26,44.9
2015-03-27,43.7
2015-03-30,45.85
2015-03-31,44.0
2015-04-01,45.55
2015-04-06,45.25
2015-04-07,47.25
2015-04-08,49.6
2015-04-09,52.05
2015-04-10,54.65
2015-04-13,57.35
2015-04-15,57.65
2015-04-16,54.9
2015-04-17,52.25
2015-04-20,50.5
2015-04-21,49.6
2015-04-22,48.9
2015-04-23,47.25
2015-04-24,45.65
2015-04-27,44.15
2015-04-28,43.95
2015-04-29,44.6
2015-04-30,44.35
2015-05-04,48.3
2015-05-05,53.1
2015-05-06,48.0
2015-05-07,46.45
2015-05-08,48.1
2015-05-11,47.35
2015-05-12,46.85
2015-05-13,48.0
2015-05-14,49.3
2015-05-15,46.6
2015-05-18,47.35
2015-05-19,49.05
2015-05-20,48.4
2015-05-21,47.35
2015-05-22,46.75
2015-05-25,48.3
2015-05-26,49.2
2015-05-27,48.6
2015-05-28,47.85
2015-05-29,49.95
2015-06-01,45.0
2015-06-02,40.5
2015-06-03,37.8
2015-06-04,39.65
2015-06-05,41.6
2015-06-08,43.65
2015-06-09,45.8
2015-06-10,45.65
2015-06-11,43.4
2015-06-12,41.25
2015-06-15,39.45
2015-06-16,40.15
2015-06-17,40.25
2015-06-18,42.25
2015-06-19,44.35
2015-06-22,44.45
2015-06-23,45.7
2015-06-24,44.45
2015-06-25,43.2
2015-06-26,43.85
2015-06-29,42.05
2015-06-30,42.25
2015-07-01,44.35
2015-07-02,42.3
2015-07-03,42.6
2015-07-06,42.2
2015-07-07,42.75
2015-07-08,42.05
2015-07-09,41.3
2015-07-10,44.15
2015-07-13,44.3
2015-07-14,44.0
2015-07-15,43.05
2015-07-16,43.4
2015-07-17,42.55
2015-07-20,42.15
2015-07-21,41.45
2015-07-22,41.05
2015-07-23,40.6
2015-07-24,39.5
2015-07-27,40.25
2015-07-28,39.65
2015-07-29,39.05
2015-07-30,40.85
2015-07-31,39.65
2015-08-03,40.05
2015-08-04,39.8
2015-08-05,40.0
2015-08-06,40.8
2015-08-07,44.0
2015-08-10,46.55
2015-08-11,47.35
2015-08-12,43.85
2015-08-13,43.4
2015-08-14,43.35
2015-08-17,42.05
2015-08-18,41.2
2015-08-19,40.5
2015-08-20,39.95
2015-08-21,39.95
2015-08-24,36.75
2015-08-25,37.6
2015-08-26,37.5
2015-08-27,38.4
2015-08-28,40.9
2015-08-31,44.2
2015-09-01,41.45
2015-09-02,41.2
2015-09-03,41.4
2015-09-04,38.75
2015-09-07,38.7
2015-09-08,38.95
2015-09-09,39.05
2015-09-10,37.95
2015-09-11,37.7
2015-09-14,37.65
2015-09-15,38.3
2015-09-16,38.25
2015-09-18,38.65
2015-09-21,39.55
2015-09-22,38.55
2015-09-23,38.6
2015-09-24,38.2
2015-09-28,39.0
2015-09-29,38.7
2015-09-30,38.05
2015-10-01,38.7
2015-10-05,39.05
2015-10-06,38.7
2015-10-07,40.1
2015-10-08,40.85
2015-10-09,40.1
2015-10-12,40.2
2015-10-13,39.8
2015-10-14,39.25
2015-10-15,38.95
2015-10-16,40.05
2015-10-19,40.75
2015-10-20,40.75
2015-10-21,40.5
2015-10-23,39.45
2015-10-26,39.6
2015-10-27,38.95
2015-10-28,38.55
2015-10-29,38.15
2015-10-30,37.9
2015-11-02,37.9
2015-11-03,37.7
2015-11-04,37.7
2015-11-05,36.9
2015-11-06,36.6
2015-11-09,35.75
2015-11-10,33.95
2015-11-11,33.7
2015-11-13,33.35
2015-11-16,33.95
2015-11-17,33.7
2015-11-18,35.85
2015-11-19,35.25
2015-11-20,36.2
2015-11-23,35.7
2015-11-24,35.45
2015-11-26,36.5
2015-11-27,40.35
2015-11-30,42.0
2015-12-01,40.0
2015-12-02,42.25
2015-12-03,40.1
2015-12-04,41.45
2015-12-07,40.05
2015-12-08,38.3
2015-12-09,36.8
2015-12-10,38.8
2015-12-11,38.2
2015-12-14,39.7
2015-12-15,39.15
2015-12-16,40.05
2015-12-17,42.55
2015-12-18,43.55
2015-12-21,45.15
2015-12-22,45.4
2015-12-23,43.7
2015-12-24,45.1
2015-12-28,44.5
2015-12-29,44.05
2015-12-30,43.5
2015-12-31,43.6
