Date,JCHAC
2015-01-01,890.5
2015-01-02,895.85
2015-01-05,890.1
2015-01-06,853.45
2015-01-07,859.9
2015-01-08,881.8
2015-01-09,873.85
2015-01-12,873.35
2015-01-13,870.65
2015-01-14,885.95
2015-01-15,901.15
2015-01-16,918.7
2015-01-19,980.5
2015-01-20,971.0
2015-01-21,974.2
2015-01-22,1169.0
2015-01-23,1132.8
2015-01-27,1144.15
2015-01-28,1163.3
2015-01-29,1121.0
2015-01-30,1119.65
2015-02-02,1075.4
2015-02-03,1053.25
2015-02-04,1097.2
2015-02-05,1077.05
2015-02-06,1056.8
2015-02-09,1056.45
2015-02-10,1055.4
2015-02-11,1077.9
2015-02-12,1084.1
2015-02-13,1125.95
2015-02-16,1137.05
2015-02-18,1167.4
2015-02-19,1147.6
2015-02-20,1153.5
2015-02-23,1147.6
2015-02-24,1161.85
2015-02-25,1161.5
2015-02-26,1164.65
2015-02-27,1178.65
2015-02-28,1180.5
2015-03-02,1182.15
2015-03-03,1202.55
2015-03-04,1208.95
2015-03-05,1219.25
2015-03-09,1201.95
2015-03-10,1281.95
2015-03-11,1266.6
2015-03-12,1275.05
2015-03-13,1276.15
2015-03-16,1294.9
2015-03-17,1317.45
2015-03-18,1385.7
2015-03-19,1372.35
2015-03-20,1330.8
2015-03-23,1340.45
2015-03-24,1337.25
2015-03-25,1353.75
2015-03-26,1347.95
2015-03-27,1355.65
2015-03-30,1421.7
2015-03-31,1453.0
2015-04-01,1487.75
2015-04-06,1529.9
2015-04-07,1567.45
2015-04-08,1611.15
2015-04-09,1696.25
2015-04-10,1639.3
2015-04-13,1598.7
2015-04-15,1554.25
2015-04-16,1491.95
2015-04-17,1441.3
2015-04-20,1430.7
2015-04-21,1427.8
2015-04-22,1452.15
2015-04-23,1461.6
2015-04-24,1396.95
2015-04-27,1335.25
2015-04-28,1419.15
2015-04-29,1425.75
2015-04-30,1481.1
2015-05-04,1537.25
2015-05-05,1505.25
2015-05-06,1449.85
2015-05-07,1404.15
2015-05-08,1464.2
2015-05-11,1489.7
2015-05-12,1460.9
2015-05-13,1469.0
2015-05-14,1476.95
2015-05-15,1509.1
2015-05-18,1524.2
2015-05-19,1503.5
2015-05-20,1499.85
2015-05-21,1488.75
2015-05-22,1598.3
2015-05-25,1672.8
2015-05-26,1626.8
2015-05-27,1574.5
2015-05-28,1586.95
2015-05-29,1599.3
2015-06-01,1612.75
2015-06-02,1549.45
2015-06-03,1549.15
2015-06-04,1560.3
2015-06-05,1561.8
2015-06-08,1532.4
2015-06-09,1508.8
2015-06-10,1570.05
2015-06-11,1508.7
2015-06-12,1474.45
2015-06-15,1569.85
2015-06-16,1614.9
2015-06-17,1630.9
2015-06-18,1638.05
2015-06-19,1689.7
2015-06-22,1688.8
2015-06-23,1647.1
2015-06-24,1616.2
2015-06-25,1622.5
2015-06-26,1619.65
2015-06-29,1607.65
2015-06-30,1588.35
2015-07-01,1630.4
2015-07-02,1602.3
2015-07-03,1618.2
2015-07-06,1627.75
2015-07-07,1618.35
2015-07-08,1616.2
2015-07-09,1591.35
2015-07-10,1545.7
2015-07-13,1570.95
2015-07-14,1597.1
2015-07-15,1594.3
2015-07-16,1587.65
2015-07-17,1601.25
2015-07-20,1599.75
2015-07-21,1584.65
2015-07-22,1593.45
2015-07-23,1582.65
2015-07-24,1515.9
2015-07-27,1483.0
2015-07-28,1462.2
2015-07-29,1478.95
2015-07-30,1477.0
2015-07-31,1486.15
2015-08-03,1451.15
2015-08-04,1404.95
2015-08-05,1425.3
2015-08-06,1440.65
2015-08-07,1415.7
2015-08-10,1384.8
2015-08-11,1425.05
2015-08-12,1365.05
2015-08-13,1313.1
2015-08-14,1357.95
2015-08-17,1350.6
2015-08-18,1369.6
2015-08-19,1384.9
2015-08-20,1358.05
2015-08-21,1328.95
2015-08-24,1295.5
2015-08-25,1359.85
2015-08-26,1323.15
2015-08-27,1371.1
2015-08-28,1387.55
2015-08-31,1426.2
2015-09-01,1376.9
2015-09-02,1360.2
2015-09-03,1363.45
2015-09-04,1323.8
2015-09-07,1277.25
2015-09-08,1299.85
2015-09-09,1318.9
2015-09-10,1313.95
2015-09-11,1364.95
2015-09-14,1347.15
2015-09-15,1341.2
2015-09-16,1341.35
2015-09-18,1323.95
2015-09-21,1329.05
2015-09-22,1318.45
2015-09-23,1322.7
2015-09-24,1311.7
2015-09-28,1336.85
2015-09-29,1336.45
2015-09-30,1425.65
2015-10-01,1487.6
2015-10-05,1502.6
2015-10-06,1492.6
2015-10-07,1473.95
2015-10-08,1432.8
2015-10-09,1439.45
2015-10-12,1443.6
2015-10-13,1492.65
2015-10-14,1448.1
2015-10-15,1469.0
2015-10-16,1487.6
2015-10-19,1494.5
2015-10-20,1494.3
2015-10-21,1512.45
2015-10-23,1485.15
2015-10-26,1478.25
2015-10-27,1353.3
2015-10-28,1361.65
2015-10-29,1371.0
2015-10-30,1343.4
2015-11-02,1350.15
2015-11-03,1340.7
2015-11-04,1337.45
2015-11-05,1332.7
2015-11-06,1352.7
2015-11-09,1370.15
2015-11-10,1369.45
2015-11-11,1370.45
2015-11-13,1368.9
2015-11-16,1354.65
2015-11-17,1355.3
2015-11-18,1357.05
2015-11-19,1356.65
2015-11-20,1355.45
2015-11-23,1359.9
2015-11-24,1357.1
2015-11-26,1338.85
2015-11-27,1316.95
2015-11-30,1338.35
2015-12-01,1340.3
2015-12-02,1343.5
2015-12-03,1336.0
2015-12-04,1333.05
2015-12-07,1313.05
2015-12-08,1320.95
2015-12-09,1290.4
2015-12-10,1292.2
2015-12-11,1314.3
2015-12-14,1309.9
2015-12-15,1358.9
2015-12-16,1385.75
2015-12-17,1403.35
2015-12-18,1434.0
2015-12-21,1413.3
2015-12-22,1390.2
2015-12-23,1375.35
2015-12-24,1360.6
2015-12-28,1355.15
2015-12-29,1339.55
2015-12-30,1368.1
2015-12-31,1366.65
