Date,HDIL
2015-01-01,68.3
2015-01-02,69.9
2015-01-05,71.8
2015-01-06,67.0
2015-01-07,66.9
2015-01-08,69.0
2015-01-09,68.05
2015-01-12,69.1
2015-01-13,67.15
2015-01-14,66.0
2015-01-15,77.65
2015-01-16,80.45
2015-01-19,79.8
2015-01-20,78.75
2015-01-21,77.3
2015-01-22,78.65
2015-01-23,79.9
2015-01-27,83.95
2015-01-28,86.7
2015-01-29,96.5
2015-01-30,110.05
2015-02-02,110.2
2015-02-03,105.15
2015-02-04,108.95
2015-02-05,105.7
2015-02-06,114.55
2015-02-09,109.25
2015-02-10,113.55
2015-02-11,110.3
2015-02-12,113.2
2015-02-13,110.1
2015-02-16,117.75
2015-02-18,117.6
2015-02-19,115.6
2015-02-20,118.15
2015-02-23,110.05
2015-02-24,112.15
2015-02-25,112.15
2015-02-26,113.05
2015-02-27,119.5
2015-02-28,119.1
2015-03-02,117.2
2015-03-03,115.65
2015-03-04,113.75
2015-03-05,114.3
2015-03-09,111.35
2015-03-10,112.1
2015-03-11,114.95
2015-03-12,116.2
2015-03-13,110.9
2015-03-16,111.0
2015-03-17,112.0
2015-03-18,113.95
2015-03-19,108.6
2015-03-20,99.2
2015-03-23,100.55
2015-03-24,100.1
2015-03-25,100.3
2015-03-26,101.3
2015-03-27,100.65
2015-03-30,102.5
2015-03-31,101.75
2015-04-01,103.75
2015-04-06,128.9
2015-04-07,128.6
2015-04-08,133.65
2015-04-09,134.0
2015-04-10,136.75
2015-04-13,138.55
2015-04-15,134.85
2015-04-16,128.1
2015-04-17,129.6
2015-04-20,117.55
2015-04-21,121.15
2015-04-22,123.85
2015-04-23,121.15
2015-04-24,115.45
2015-04-27,107.2
2015-04-28,114.0
2015-04-29,114.35
2015-04-30,118.3
2015-05-04,121.5
2015-05-05,122.5
2015-05-06,110.0
2015-05-07,109.2
2015-05-08,119.95
2015-05-11,119.95
2015-05-12,110.8
2015-05-13,110.8
2015-05-14,116.0
2015-05-15,107.55
2015-05-18,105.1
2015-05-19,107.25
2015-05-20,106.5
2015-05-21,109.6
2015-05-22,106.75
2015-05-25,106.4
2015-05-26,110.05
2015-05-27,110.35
2015-05-28,110.35
2015-05-29,109.3
2015-06-01,108.8
2015-06-02,104.05
2015-06-03,97.2
2015-06-04,100.4
2015-06-05,99.3
2015-06-08,98.45
2015-06-09,94.6
2015-06-10,95.15
2015-06-11,90.65
2015-06-12,88.05
2015-06-15,88.2
2015-06-16,88.95
2015-06-17,90.3
2015-06-18,91.6
2015-06-19,88.45
2015-06-22,95.6
2015-06-23,95.0
2015-06-24,92.0
2015-06-25,93.05
2015-06-26,93.7
2015-06-29,91.25
2015-06-30,92.05
2015-07-01,93.95
2015-07-02,93.15
2015-07-03,93.2
2015-07-06,95.5
2015-07-07,96.45
2015-07-08,91.05
2015-07-09,91.4
2015-07-10,89.8
2015-07-13,91.1
2015-07-14,89.85
2015-07-15,89.8
2015-07-16,90.15
2015-07-17,89.95
2015-07-20,88.55
2015-07-21,86.95
2015-07-22,88.6
2015-07-23,88.8
2015-07-24,87.4
2015-07-27,83.4
2015-07-28,78.65
2015-07-29,80.0
2015-07-30,83.85
2015-07-31,86.15
2015-08-03,86.45
2015-08-04,85.7
2015-08-05,89.5
2015-08-06,89.35
2015-08-07,89.05
2015-08-10,88.2
2015-08-11,86.9
2015-08-12,79.25
2015-08-13,76.1
2015-08-14,84.65
2015-08-17,82.05
2015-08-18,79.15
2015-08-19,77.55
2015-08-20,73.65
2015-08-21,72.45
2015-08-24,58.65
2015-08-25,62.8
2015-08-26,61.6
2015-08-27,63.1
2015-08-28,59.9
2015-08-31,59.95
2015-09-01,58.2
2015-09-02,58.55
2015-09-03,61.7
2015-09-04,57.0
2015-09-07,56.1
2015-09-08,58.1
2015-09-09,60.5
2015-09-10,59.65
2015-09-11,59.5
2015-09-14,60.95
2015-09-15,61.2
2015-09-16,60.1
2015-09-18,64.15
2015-09-21,65.1
2015-09-22,62.2
2015-09-23,64.0
2015-09-24,63.75
2015-09-28,66.2
2015-09-29,72.45
2015-09-30,73.65
2015-10-01,72.3
2015-10-05,73.6
2015-10-06,74.6
2015-10-07,75.85
2015-10-08,73.5
2015-10-09,74.5
2015-10-12,74.3
2015-10-13,76.65
2015-10-14,76.4
2015-10-15,77.1
2015-10-16,77.3
2015-10-19,79.4
2015-10-20,76.85
2015-10-21,75.45
2015-10-23,76.65
2015-10-26,74.55
2015-10-27,75.4
2015-10-28,76.0
2015-10-29,75.65
2015-10-30,72.65
2015-11-02,69.95
2015-11-03,69.8
2015-11-04,69.55
2015-11-05,67.6
2015-11-06,67.65
2015-11-09,64.6
2015-11-10,61.5
2015-11-11,63.1
2015-11-13,62.3
2015-11-16,62.15
2015-11-17,63.8
2015-11-18,62.5
2015-11-19,63.85
2015-11-20,64.5
2015-11-23,64.95
2015-11-24,67.15
2015-11-26,69.7
2015-11-27,69.4
2015-11-30,71.3
2015-12-01,70.9
2015-12-02,70.5
2015-12-03,70.6
2015-12-04,68.35
2015-12-07,69.55
2015-12-08,65.1
2015-12-09,64.2
2015-12-10,65.5
2015-12-11,62.9
2015-12-14,62.2
2015-12-15,62.8
2015-12-16,63.7
2015-12-17,66.25
2015-12-18,66.35
2015-12-21,70.4
2015-12-22,72.9
2015-12-23,73.2
2015-12-24,72.9
2015-12-28,73.9
2015-12-29,72.85
2015-12-30,72.95
2015-12-31,77.9
