Date,DHARSUGAR
2015-01-01,16.9
2015-01-02,17.6
2015-01-05,17.0
2015-01-06,16.9
2015-01-07,17.15
2015-01-08,17.85
2015-01-09,17.45
2015-01-12,17.6
2015-01-13,17.35
2015-01-14,17.65
2015-01-15,17.2
2015-01-16,17.25
2015-01-19,17.2
2015-01-20,16.95
2015-01-21,17.0
2015-01-22,17.25
2015-01-23,17.05
2015-01-27,17.35
2015-01-28,17.0
2015-01-29,17.1
2015-01-30,17.0
2015-02-02,17.0
2015-02-03,17.25
2015-02-04,17.2
2015-02-05,16.7
2015-02-06,16.6
2015-02-09,16.95
2015-02-10,17.4
2015-02-11,17.25
2015-02-12,16.6
2015-02-13,15.9
2015-02-16,16.1
2015-02-18,16.1
2015-02-19,17.05
2015-02-20,16.35
2015-02-23,16.25
2015-02-24,16.4
2015-02-25,16.5
2015-02-26,16.8
2015-02-27,16.15
2015-02-28,17.0
2015-03-02,16.55
2015-03-03,16.65
2015-03-04,16.55
2015-03-05,16.15
2015-03-09,16.0
2015-03-10,15.55
2015-03-11,15.55
2015-03-12,15.2
2015-03-13,15.65
2015-03-16,14.65
2015-03-17,15.0
2015-03-18,15.5
2015-03-19,15.3
2015-03-20,14.75
2015-03-23,14.05
2015-03-24,14.45
2015-03-25,14.5
2015-03-26,14.25
2015-03-27,14.65
2015-03-30,14.4
2015-03-31,14.1
2015-04-01,14.45
2015-04-06,14.75
2015-04-07,15.0
2015-04-08,15.05
2015-04-09,15.0
2015-04-10,15.0
2015-04-13,14.85
2015-04-15,14.55
2015-04-16,14.95
2015-04-17,15.4
2015-04-20,14.55
2015-04-21,14.85
2015-04-22,14.8
2015-04-23,14.5
2015-04-24,14.0
2015-04-27,13.5
2015-04-28,13.8
2015-04-29,14.25
2015-04-30,13.8
2015-05-04,14.45
2015-05-05,12.1
2015-05-06,11.95
2015-05-07,11.8
2015-05-08,11.7
2015-05-11,11.95
2015-05-12,11.75
2015-05-13,11.95
2015-05-14,11.85
2015-05-15,11.85
2015-05-18,11.5
2015-05-19,11.55
2015-05-20,11.4
2015-05-21,11.6
2015-05-22,11.85
2015-05-25,11.4
2015-05-26,11.8
2015-05-27,11.8
2015-05-28,11.6
2015-05-29,12.0
2015-06-01,13.75
2015-06-02,13.6
2015-06-03,12.55
2015-06-04,12.45
2015-06-05,12.5
2015-06-08,12.0
2015-06-09,11.85
2015-06-10,12.0
2015-06-11,12.05
2015-06-12,12.3
2015-06-15,12.4
2015-06-16,12.6
2015-06-17,12.65
2015-06-18,12.1
2015-06-19,12.0
2015-06-22,12.2
2015-06-23,12.45
2015-06-24,12.85
2015-06-25,13.55
2015-06-26,13.45
2015-06-29,12.65
2015-06-30,12.9
2015-07-01,12.8
2015-07-02,13.25
2015-07-03,13.6
2015-07-06,13.55
2015-07-07,13.05
2015-07-08,13.4
2015-07-09,13.4
2015-07-10,13.3
2015-07-13,13.4
2015-07-14,14.25
2015-07-15,13.6
2015-07-16,13.55
2015-07-17,14.05
2015-07-20,13.5
2015-07-21,13.7
2015-07-22,13.55
2015-07-23,13.5
2015-07-24,13.55
2015-07-27,14.0
2015-07-28,13.5
2015-07-29,13.5
2015-07-30,14.1
2015-07-31,13.6
2015-08-03,13.35
2015-08-04,14.15
2015-08-05,13.9
2015-08-06,14.4
2015-08-07,13.75
2015-08-10,14.7
2015-08-11,13.55
2015-08-12,13.1
2015-08-13,13.65
2015-08-14,13.5
2015-08-17,13.1
2015-08-18,13.1
2015-08-19,13.2
2015-08-20,12.8
2015-08-21,12.3
2015-08-24,11.5
2015-08-25,10.65
2015-08-26,11.0
2015-08-27,10.45
2015-08-28,10.4
2015-08-31,10.55
2015-09-01,10.5
2015-09-02,10.4
2015-09-03,10.6
2015-09-04,10.5
2015-09-07,10.4
2015-09-08,10.95
2015-09-09,11.4
2015-09-10,11.6
2015-09-11,10.85
2015-09-14,11.35
2015-09-15,11.85
2015-09-16,11.75
2015-09-18,12.5
2015-09-21,13.2
2015-09-22,12.75
2015-09-23,12.35
2015-09-24,12.55
2015-09-28,12.65
2015-09-29,12.8
2015-09-30,12.15
2015-10-01,12.4
2015-10-05,13.0
2015-10-06,14.5
2015-10-07,15.35
2015-10-08,15.05
2015-10-09,16.0
2015-10-12,15.35
2015-10-13,16.75
2015-10-14,16.4
2015-10-15,16.75
2015-10-16,17.15
2015-10-19,17.85
2015-10-20,18.55
2015-10-21,20.9
2015-10-23,21.95
2015-10-26,20.65
2015-10-27,19.6
2015-10-28,18.6
2015-10-29,17.55
2015-10-30,18.1
2015-11-02,17.45
2015-11-03,17.6
2015-11-04,17.3
2015-11-05,17.05
2015-11-06,16.55
2015-11-09,17.15
2015-11-10,16.3
2015-11-11,17.5
2015-11-13,18.0
2015-11-16,21.6
2015-11-17,25.9
2015-11-18,26.45
2015-11-19,23.85
2015-11-20,22.5
2015-11-23,22.85
2015-11-24,23.0
2015-11-26,22.75
2015-11-27,22.2
2015-11-30,21.6
2015-12-01,21.05
2015-12-02,22.65
2015-12-03,22.85
2015-12-04,23.0
2015-12-07,23.4
2015-12-08,22.2
2015-12-09,20.85
2015-12-10,21.65
2015-12-11,20.6
2015-12-14,21.5
2015-12-15,23.65
2015-12-16,22.8
2015-12-17,22.6
2015-12-18,22.05
2015-12-21,21.85
2015-12-22,21.9
2015-12-23,22.65
2015-12-24,22.4
2015-12-28,21.8
2015-12-29,22.55
2015-12-30,22.2
2015-12-31,21.3
