Date,ARROWTEX
2015-01-01,27.8
2015-01-02,29.15
2015-01-05,29.9
2015-01-06,28.6
2015-01-07,27.2
2015-01-08,28.55
2015-01-09,29.9
2015-01-12,29.1
2015-01-13,27.65
2015-01-14,26.45
2015-01-15,25.15
2015-01-16,26.4
2015-01-19,27.7
2015-01-20,29.05
2015-01-21,27.6
2015-01-22,28.95
2015-01-23,28.45
2015-01-27,27.7
2015-01-28,26.4
2015-01-29,27.7
2015-01-30,26.6
2015-02-02,26.45
2015-02-03,27.75
2015-02-04,29.1
2015-02-05,30.25
2015-02-06,33.25
2015-02-09,36.2
2015-02-10,37.1
2015-02-11,34.45
2015-02-12,33.05
2015-02-13,36.35
2015-02-16,38.45
2015-02-18,35.6
2015-02-19,36.4
2015-02-20,36.0
2015-02-23,35.65
2015-02-24,34.25
2015-02-25,33.15
2015-02-26,32.5
2015-02-27,35.75
2015-02-28,34.4
2015-03-02,35.55
2015-03-03,35.15
2015-03-04,33.7
2015-03-05,33.6
2015-03-09,34.75
2015-03-10,33.5
2015-03-11,33.65
2015-03-12,33.35
2015-03-13,32.1
2015-03-16,30.45
2015-03-17,31.5
2015-03-18,31.25
2015-03-19,29.85
2015-03-20,27.25
2015-03-23,25.1
2015-03-24,24.65
2015-03-25,23.65
2015-03-26,23.25
2015-03-27,27.0
2015-03-30,26.2
2015-03-31,26.8
2015-04-01,26.55
2015-04-06,26.45
2015-04-07,27.35
2015-04-08,31.75
2015-04-09,31.55
2015-04-10,31.35
2015-04-13,31.5
2015-04-15,34.2
2015-04-16,32.75
2015-04-17,31.3
2015-04-20,30.05
2015-04-21,29.75
2015-04-22,29.0
2015-04-23,29.15
2015-04-24,27.95
2015-04-27,26.2
2015-04-28,27.1
2015-04-29,26.95
2015-04-30,27.2
2015-05-04,28.55
2015-05-05,28.55
2015-05-06,26.75
2015-05-07,26.8
2015-05-08,27.15
2015-05-11,27.95
2015-05-12,26.9
2015-05-13,25.3
2015-05-14,24.95
2015-05-15,24.45
2015-05-18,24.75
2015-05-19,24.85
2015-05-20,24.15
2015-05-21,24.05
2015-05-22,23.65
2015-05-25,22.6
2015-05-26,21.3
2015-05-27,21.3
2015-05-28,24.5
2015-05-29,23.55
2015-06-01,22.4
2015-06-02,22.6
2015-06-03,21.85
2015-06-04,20.9
2015-06-05,22.1
2015-06-08,20.9
2015-06-09,21.2
2015-06-10,21.55
2015-06-11,20.75
2015-06-12,20.55
2015-06-15,20.8
2015-06-16,20.4
2015-06-17,21.0
2015-06-18,22.6
2015-06-19,22.6
2015-06-22,23.5
2015-06-23,23.45
2015-06-24,22.95
2015-06-25,22.5
2015-06-26,22.45
2015-06-29,22.0
2015-06-30,22.25
2015-07-01,24.75
2015-07-02,23.75
2015-07-03,23.1
2015-07-06,27.0
2015-07-07,26.7
2015-07-08,24.95
2015-07-09,26.85
2015-07-10,26.6
2015-07-13,28.4
2015-07-14,28.35
2015-07-15,27.8
2015-07-16,28.0
2015-07-17,26.75
2015-07-20,29.6
2015-07-21,34.75
2015-07-22,37.2
2015-07-23,35.15
2015-07-24,36.05
2015-07-27,32.55
2015-07-28,29.75
2015-07-29,33.05
2015-07-30,32.8
2015-07-31,32.35
2015-08-03,31.35
2015-08-04,31.0
2015-08-05,31.2
2015-08-06,31.1
2015-08-07,29.9
2015-08-10,28.85
2015-08-11,28.65
2015-08-12,27.6
2015-08-13,26.35
2015-08-14,26.6
2015-08-17,26.4
2015-08-18,26.8
2015-08-19,27.05
2015-08-20,25.3
2015-08-21,25.75
2015-08-24,23.1
2015-08-25,22.75
2015-08-26,23.05
2015-08-27,23.65
2015-08-28,23.7
2015-08-31,23.85
2015-09-01,22.15
2015-09-02,22.1
2015-09-03,22.7
2015-09-04,22.3
2015-09-07,20.6
2015-09-08,21.4
2015-09-09,23.0
2015-09-10,22.65
2015-09-11,22.05
2015-09-14,22.35
2015-09-15,21.85
2015-09-16,22.0
2015-09-18,22.8
2015-09-21,22.8
2015-09-22,22.65
2015-09-23,22.6
2015-09-24,23.1
2015-09-28,22.7
2015-09-29,22.95
2015-09-30,23.45
2015-10-01,23.1
2015-10-05,23.45
2015-10-06,23.75
2015-10-07,28.5
2015-10-08,30.95
2015-10-09,28.9
2015-10-12,26.7
2015-10-13,26.35
2015-10-14,26.6
2015-10-15,26.85
2015-10-16,29.05
2015-10-19,31.9
2015-10-20,34.95
2015-10-21,32.75
2015-10-23,31.65
2015-10-26,29.2
2015-10-27,29.25
2015-10-28,29.0
2015-10-29,29.05
2015-10-30,28.2
2015-11-02,27.1
2015-11-03,27.0
2015-11-04,26.7
2015-11-05,26.15
2015-11-06,26.35
2015-11-09,26.6
2015-11-10,26.4
2015-11-11,26.85
2015-11-13,26.1
2015-11-16,26.2
2015-11-17,26.4
2015-11-18,28.2
2015-11-19,28.45
2015-11-20,28.45
2015-11-23,28.15
2015-11-24,27.95
2015-11-26,29.7
2015-11-27,29.75
2015-11-30,32.1
2015-12-01,31.95
2015-12-02,33.7
2015-12-03,32.85
2015-12-04,31.5
2015-12-07,31.95
2015-12-08,33.85
2015-12-09,30.25
2015-12-10,31.35
2015-12-11,29.7
2015-12-14,30.0
2015-12-15,30.05
2015-12-16,29.85
2015-12-17,31.85
2015-12-18,31.9
2015-12-21,33.2
2015-12-22,34.4
2015-12-23,35.4
2015-12-24,34.05
2015-12-28,34.6
2015-12-29,33.8
2015-12-30,34.4
2015-12-31,33.15
