Date,RELIGARE
2015-01-01,365.0
2015-01-02,366.0
2015-01-05,365.05
2015-01-06,349.05
2015-01-07,340.85
2015-01-08,335.5
2015-01-09,336.25
2015-01-12,336.7
2015-01-13,335.6
2015-01-14,334.8
2015-01-15,348.7
2015-01-16,342.1
2015-01-19,344.2
2015-01-20,350.2
2015-01-21,351.35
2015-01-22,356.1
2015-01-23,357.6
2015-01-27,361.35
2015-01-28,355.9
2015-01-29,354.8
2015-01-30,356.05
2015-02-02,370.75
2015-02-03,372.7
2015-02-04,364.2
2015-02-05,354.3
2015-02-06,351.9
2015-02-09,341.2
2015-02-10,342.3
2015-02-11,339.25
2015-02-12,340.85
2015-02-13,342.0
2015-02-16,343.05
2015-02-18,343.9
2015-02-19,345.95
2015-02-20,345.35
2015-02-23,339.1
2015-02-24,353.05
2015-02-25,361.75
2015-02-26,357.85
2015-02-27,379.5
2015-02-28,370.4
2015-03-02,362.85
2015-03-03,388.75
2015-03-04,380.85
2015-03-05,384.5
2015-03-09,377.3
2015-03-10,373.25
2015-03-11,371.45
2015-03-12,381.45
2015-03-13,377.35
2015-03-16,367.05
2015-03-17,361.8
2015-03-18,361.1
2015-03-19,362.0
2015-03-20,342.75
2015-03-23,337.3
2015-03-24,338.1
2015-03-25,338.4
2015-03-26,338.65
2015-03-27,337.9
2015-03-30,342.2
2015-03-31,337.4
2015-04-01,343.85
2015-04-06,356.7
2015-04-07,357.8
2015-04-08,354.5
2015-04-09,356.2
2015-04-10,373.0
2015-04-13,377.8
2015-04-15,381.55
2015-04-16,380.85
2015-04-17,368.9
2015-04-20,349.4
2015-04-21,390.75
2015-04-22,377.45
2015-04-23,374.2
2015-04-24,361.55
2015-04-27,376.7
2015-04-28,366.8
2015-04-29,364.05
2015-04-30,364.5
2015-05-04,378.15
2015-05-05,375.75
2015-05-06,359.05
2015-05-07,336.5
2015-05-08,360.75
2015-05-11,338.6
2015-05-12,332.85
2015-05-13,333.85
2015-05-14,338.15
2015-05-15,334.45
2015-05-18,343.1
2015-05-19,343.75
2015-05-20,345.75
2015-05-21,344.45
2015-05-22,345.3
2015-05-25,337.05
2015-05-26,333.25
2015-05-27,332.15
2015-05-28,335.25
2015-05-29,322.55
2015-06-01,322.85
2015-06-02,322.6
2015-06-03,322.15
2015-06-04,318.15
2015-06-05,315.1
2015-06-08,306.65
2015-06-09,324.9
2015-06-10,323.65
2015-06-11,321.6
2015-06-12,319.7
2015-06-15,314.5
2015-06-16,312.85
2015-06-17,322.65
2015-06-18,322.25
2015-06-19,319.25
2015-06-22,318.65
2015-06-23,319.0
2015-06-24,317.15
2015-06-25,318.45
2015-06-26,316.15
2015-06-29,325.6
2015-06-30,319.85
2015-07-01,320.3
2015-07-02,332.85
2015-07-03,330.3
2015-07-06,325.6
2015-07-07,327.25
2015-07-08,321.3
2015-07-09,314.95
2015-07-10,320.2
2015-07-13,323.2
2015-07-14,320.35
2015-07-15,329.7
2015-07-16,326.5
2015-07-17,326.7
2015-07-20,326.1
2015-07-21,321.35
2015-07-22,321.95
2015-07-23,322.9
2015-07-24,316.0
2015-07-27,309.95
2015-07-28,310.95
2015-07-29,311.95
2015-07-30,313.8
2015-07-31,311.15
2015-08-03,312.65
2015-08-04,304.9
2015-08-05,309.25
2015-08-06,308.4
2015-08-07,306.35
2015-08-10,307.45
2015-08-11,306.15
2015-08-12,303.3
2015-08-13,303.3
2015-08-14,302.55
2015-08-17,303.1
2015-08-18,309.85
2015-08-19,307.05
2015-08-20,309.95
2015-08-21,322.2
2015-08-24,291.45
2015-08-25,311.25
2015-08-26,299.4
2015-08-27,301.9
2015-08-28,300.2
2015-08-31,302.25
2015-09-01,300.05
2015-09-02,295.9
2015-09-03,298.2
2015-09-04,299.05
2015-09-07,292.25
2015-09-08,292.0
2015-09-09,291.4
2015-09-10,293.65
2015-09-11,300.65
2015-09-14,301.05
2015-09-15,300.2
2015-09-16,299.6
2015-09-18,297.4
2015-09-21,298.65
2015-09-22,296.75
2015-09-23,296.85
2015-09-24,295.85
2015-09-28,297.0
2015-09-29,291.45
2015-09-30,289.35
2015-10-01,290.3
2015-10-05,291.25
2015-10-06,291.4
2015-10-07,291.05
2015-10-08,290.65
2015-10-09,292.1
2015-10-12,290.35
2015-10-13,291.0
2015-10-14,293.1
2015-10-15,290.15
2015-10-16,288.9
2015-10-19,288.55
2015-10-20,293.15
2015-10-21,292.4
2015-10-23,295.5
2015-10-26,295.3
2015-10-27,291.3
2015-10-28,290.25
2015-10-29,294.45
2015-10-30,298.3
2015-11-02,298.95
2015-11-03,291.95
2015-11-04,289.3
2015-11-05,287.6
2015-11-06,283.05
2015-11-09,279.75
2015-11-10,277.4
2015-11-11,279.3
2015-11-13,276.0
2015-11-16,274.6
2015-11-17,273.4
2015-11-18,271.2
2015-11-19,266.3
2015-11-20,267.35
2015-11-23,264.4
2015-11-24,265.95
2015-11-26,279.3
2015-11-27,284.6
2015-11-30,277.0
2015-12-01,304.3
2015-12-02,308.85
2015-12-03,311.45
2015-12-04,312.6
2015-12-07,315.3
2015-12-08,315.3
2015-12-09,304.45
2015-12-10,317.9
2015-12-11,312.75
2015-12-14,309.4
2015-12-15,307.3
2015-12-16,319.4
2015-12-17,317.8
2015-12-18,319.55
2015-12-21,318.35
2015-12-22,314.8
2015-12-23,313.25
2015-12-24,315.0
2015-12-28,314.2
2015-12-29,315.95
2015-12-30,315.0
2015-12-31,314.85
