Date,INDBANK
2015-01-01,8.3
2015-01-02,8.7
2015-01-05,9.25
2015-01-06,9.05
2015-01-07,9.3
2015-01-08,9.5
2015-01-09,10.0
2015-01-12,12.0
2015-01-13,14.4
2015-01-14,15.3
2015-01-15,15.0
2015-01-16,14.3
2015-01-19,13.55
2015-01-20,14.15
2015-01-21,13.75
2015-01-22,13.2
2015-01-23,13.5
2015-01-27,13.1
2015-01-28,11.95
2015-01-29,13.1
2015-01-30,13.25
2015-02-02,13.65
2015-02-03,13.15
2015-02-04,13.0
2015-02-05,12.8
2015-02-06,12.4
2015-02-09,11.6
2015-02-10,11.2
2015-02-11,13.4
2015-02-12,13.35
2015-02-13,12.8
2015-02-16,12.85
2015-02-18,13.6
2015-02-19,12.9
2015-02-20,13.8
2015-02-23,13.45
2015-02-24,13.05
2015-02-25,13.1
2015-02-26,13.05
2015-02-27,12.85
2015-02-28,12.9
2015-03-02,13.0
2015-03-03,12.9
2015-03-04,13.3
2015-03-05,13.0
2015-03-09,12.5
2015-03-10,12.45
2015-03-11,12.8
2015-03-12,12.65
2015-03-13,12.45
2015-03-16,12.0
2015-03-17,11.95
2015-03-18,12.05
2015-03-19,11.85
2015-03-20,11.3
2015-03-23,10.55
2015-03-24,10.6
2015-03-25,10.3
2015-03-26,10.1
2015-03-27,10.0
2015-03-30,10.7
2015-03-31,10.5
2015-04-01,10.7
2015-04-06,11.55
2015-04-07,11.45
2015-04-08,11.65
2015-04-09,11.75
2015-04-10,11.6
2015-04-13,11.45
2015-04-15,11.45
2015-04-16,11.2
2015-04-17,10.85
2015-04-20,10.9
2015-04-21,10.8
2015-04-22,10.75
2015-04-23,10.8
2015-04-24,10.5
2015-04-27,9.95
2015-04-28,10.4
2015-04-29,10.15
2015-04-30,10.1
2015-05-04,10.3
2015-05-05,10.0
2015-05-06,9.75
2015-05-07,9.25
2015-05-08,9.45
2015-05-11,10.15
2015-05-12,9.25
2015-05-13,9.25
2015-05-14,9.1
2015-05-15,8.9
2015-05-18,10.65
2015-05-19,11.1
2015-05-20,10.4
2015-05-21,10.0
2015-05-22,9.7
2015-05-25,9.6
2015-05-26,9.55
2015-05-27,9.7
2015-05-28,9.5
2015-05-29,10.15
2015-06-01,9.55
2015-06-02,9.15
2015-06-03,9.25
2015-06-04,9.25
2015-06-05,9.2
2015-06-08,9.3
2015-06-09,9.1
2015-06-10,8.9
2015-06-11,9.0
2015-06-12,9.0
2015-06-15,9.0
2015-06-16,9.1
2015-06-17,8.95
2015-06-18,9.1
2015-06-19,8.85
2015-06-22,8.8
2015-06-23,8.8
2015-06-24,8.5
2015-06-25,8.35
2015-06-26,8.35
2015-06-29,8.35
2015-06-30,8.15
2015-07-01,8.35
2015-07-02,8.75
2015-07-03,8.85
2015-07-06,8.75
2015-07-07,9.4
2015-07-08,9.05
2015-07-09,9.0
2015-07-10,8.85
2015-07-13,8.9
2015-07-14,9.05
2015-07-15,9.0
2015-07-16,8.9
2015-07-17,9.2
2015-07-20,9.05
2015-07-21,8.75
2015-07-22,8.95
2015-07-23,8.85
2015-07-24,8.55
2015-07-27,8.3
2015-07-28,8.2
2015-07-29,8.25
2015-07-30,8.4
2015-07-31,8.85
2015-08-03,8.9
2015-08-04,8.85
2015-08-05,8.8
2015-08-06,9.0
2015-08-07,8.9
2015-08-10,8.7
2015-08-11,8.5
2015-08-12,8.6
2015-08-13,8.35
2015-08-14,8.4
2015-08-17,8.8
2015-08-18,8.7
2015-08-19,8.55
2015-08-20,8.35
2015-08-21,8.35
2015-08-24,7.75
2015-08-25,6.75
2015-08-26,6.9
2015-08-27,7.05
2015-08-28,6.95
2015-08-31,6.85
2015-09-01,6.8
2015-09-02,6.9
2015-09-03,6.75
2015-09-04,6.5
2015-09-07,6.4
2015-09-08,6.65
2015-09-09,6.55
2015-09-10,6.65
2015-09-11,6.65
2015-09-14,6.7
2015-09-15,6.85
2015-09-16,6.9
2015-09-18,7.0
2015-09-21,6.85
2015-09-22,7.15
2015-09-23,7.0
2015-09-24,7.0
2015-09-28,6.9
2015-09-29,6.7
2015-09-30,6.65
2015-10-01,6.55
2015-10-05,6.9
2015-10-06,6.9
2015-10-07,6.7
2015-10-08,6.6
2015-10-09,6.7
2015-10-12,6.7
2015-10-13,6.65
2015-10-14,6.65
2015-10-15,6.7
2015-10-16,6.8
2015-10-19,7.0
2015-10-20,6.95
2015-10-21,6.9
2015-10-23,6.9
2015-10-26,6.8
2015-10-27,6.7
2015-10-28,6.75
2015-10-29,6.55
2015-10-30,6.65
2015-11-02,6.65
2015-11-03,6.6
2015-11-04,7.9
2015-11-05,9.45
2015-11-06,8.55
2015-11-09,8.85
2015-11-10,8.25
2015-11-11,8.45
2015-11-13,7.95
2015-11-16,7.8
2015-11-17,7.6
2015-11-18,7.5
2015-11-19,7.75
2015-11-20,7.6
2015-11-23,7.5
2015-11-24,7.5
2015-11-26,7.7
2015-11-27,7.65
2015-11-30,7.7
2015-12-01,7.75
2015-12-02,7.9
2015-12-03,8.05
2015-12-04,9.15
2015-12-07,9.2
2015-12-08,9.15
2015-12-09,8.7
2015-12-10,8.75
2015-12-11,8.75
2015-12-14,8.7
2015-12-15,8.55
2015-12-16,8.35
2015-12-17,8.25
2015-12-18,8.55
2015-12-21,8.55
2015-12-22,8.45
2015-12-23,8.6
2015-12-24,8.7
2015-12-28,8.9
2015-12-29,8.95
2015-12-30,8.8
2015-12-31,8.75
