Date,MADHUCON
2015-01-01,34.55
2015-01-02,35.85
2015-01-05,35.5
2015-01-06,33.7
2015-01-07,34.2
2015-01-08,33.9
2015-01-09,33.4
2015-01-12,33.1
2015-01-13,33.1
2015-01-14,33.4
2015-01-15,34.85
2015-01-16,34.7
2015-01-19,34.6
2015-01-20,34.7
2015-01-21,34.4
2015-01-22,35.3
2015-01-23,35.5
2015-01-27,35.15
2015-01-28,35.25
2015-01-29,36.75
2015-01-30,36.95
2015-02-02,38.6
2015-02-03,37.25
2015-02-04,37.2
2015-02-05,36.35
2015-02-06,35.1
2015-02-09,34.95
2015-02-10,35.1
2015-02-11,36.1
2015-02-12,37.45
2015-02-13,36.8
2015-02-16,42.25
2015-02-18,44.95
2015-02-19,45.65
2015-02-20,46.65
2015-02-23,53.7
2015-02-24,53.2
2015-02-25,50.8
2015-02-26,48.7
2015-02-27,50.5
2015-02-28,49.2
2015-03-02,54.1
2015-03-03,59.5
2015-03-04,58.85
2015-03-05,63.8
2015-03-09,60.65
2015-03-10,59.85
2015-03-11,60.7
2015-03-12,62.45
2015-03-13,59.65
2015-03-16,57.55
2015-03-17,55.2
2015-03-18,57.95
2015-03-19,58.05
2015-03-20,57.85
2015-03-23,55.5
2015-03-24,55.15
2015-03-25,52.8
2015-03-26,51.0
2015-03-27,51.25
2015-03-30,53.8
2015-03-31,55.0
2015-04-01,56.9
2015-04-06,59.7
2015-04-07,61.6
2015-04-08,61.4
2015-04-09,61.5
2015-04-10,59.8
2015-04-13,59.4
2015-04-15,65.0
2015-04-16,71.25
2015-04-17,69.65
2015-04-20,66.9
2015-04-21,68.7
2015-04-22,67.2
2015-04-23,66.0
2015-04-24,61.55
2015-04-27,57.5
2015-04-28,59.5
2015-04-29,60.8
2015-04-30,60.1
2015-05-04,61.85
2015-05-05,64.25
2015-05-06,59.7
2015-05-07,57.1
2015-05-08,58.0
2015-05-11,60.1
2015-05-12,57.05
2015-05-13,58.45
2015-05-14,57.9
2015-05-15,59.15
2015-05-18,61.2
2015-05-19,61.9
2015-05-20,60.1
2015-05-21,58.85
2015-05-22,59.6
2015-05-25,60.4
2015-05-26,62.75
2015-05-27,61.45
2015-05-28,63.25
2015-05-29,67.85
2015-06-01,63.15
2015-06-02,60.6
2015-06-03,57.3
2015-06-04,62.75
2015-06-05,64.05
2015-06-08,60.05
2015-06-09,60.25
2015-06-10,61.35
2015-06-11,57.5
2015-06-12,58.4
2015-06-15,58.4
2015-06-16,60.35
2015-06-17,59.45
2015-06-18,61.15
2015-06-19,59.95
2015-06-22,60.35
2015-06-23,60.25
2015-06-24,59.8
2015-06-25,59.55
2015-06-26,59.45
2015-06-29,58.65
2015-06-30,61.4
2015-07-01,62.1
2015-07-02,62.1
2015-07-03,65.3
2015-07-06,69.3
2015-07-07,67.65
2015-07-08,67.75
2015-07-09,69.8
2015-07-10,68.2
2015-07-13,70.4
2015-07-14,69.85
2015-07-15,68.1
2015-07-16,68.7
2015-07-17,68.15
2015-07-20,68.8
2015-07-21,66.85
2015-07-22,68.15
2015-07-23,68.65
2015-07-24,69.65
2015-07-27,68.1
2015-07-28,68.5
2015-07-29,67.95
2015-07-30,70.45
2015-07-31,70.5
2015-08-03,70.6
2015-08-04,78.5
2015-08-05,81.2
2015-08-06,83.45
2015-08-07,84.6
2015-08-10,83.2
2015-08-11,79.75
2015-08-12,78.55
2015-08-13,76.3
2015-08-14,79.65
2015-08-17,75.95
2015-08-18,76.45
2015-08-19,74.35
2015-08-20,71.75
2015-08-21,68.75
2015-08-24,57.15
2015-08-25,57.9
2015-08-26,59.3
2015-08-27,59.4
2015-08-28,60.05
2015-08-31,61.2
2015-09-01,58.2
2015-09-02,57.75
2015-09-03,57.85
2015-09-04,54.2
2015-09-07,51.4
2015-09-08,53.15
2015-09-09,55.45
2015-09-10,55.4
2015-09-11,56.7
2015-09-14,58.65
2015-09-15,57.6
2015-09-16,57.65
2015-09-18,62.9
2015-09-21,63.6
2015-09-22,62.75
2015-09-23,64.65
2015-09-24,65.25
2015-09-28,62.3
2015-09-29,62.9
2015-09-30,63.9
2015-10-01,62.65
2015-10-05,65.55
2015-10-06,65.45
2015-10-07,66.0
2015-10-08,65.8
2015-10-09,66.75
2015-10-12,65.45
2015-10-13,64.85
2015-10-14,67.4
2015-10-15,70.9
2015-10-16,70.45
2015-10-19,77.4
2015-10-20,78.8
2015-10-21,76.3
2015-10-23,76.5
2015-10-26,77.7
2015-10-27,77.7
2015-10-28,78.55
2015-10-29,76.0
2015-10-30,75.1
2015-11-02,76.6
2015-11-03,79.05
2015-11-04,77.2
2015-11-05,74.15
2015-11-06,73.25
2015-11-09,75.85
2015-11-10,74.95
2015-11-11,76.35
2015-11-13,74.6
2015-11-16,70.75
2015-11-17,73.15
2015-11-18,69.65
2015-11-19,70.95
2015-11-20,70.65
2015-11-23,71.3
2015-11-24,72.15
2015-11-26,72.35
2015-11-27,72.45
2015-11-30,77.35
2015-12-01,78.2
2015-12-02,76.75
2015-12-03,79.65
2015-12-04,79.45
2015-12-07,82.9
2015-12-08,81.6
2015-12-09,77.65
2015-12-10,80.15
2015-12-11,77.9
2015-12-14,77.35
2015-12-15,76.5
2015-12-16,76.5
2015-12-17,79.85
2015-12-18,78.45
2015-12-21,78.55
2015-12-22,77.25
2015-12-23,76.9
2015-12-24,77.0
2015-12-28,76.85
2015-12-29,77.25
2015-12-30,74.55
2015-12-31,74.75
