Date,RAINBOWPAP
2015-01-01,69.75
2015-01-02,72.0
2015-01-05,71.45
2015-01-06,69.25
2015-01-07,69.15
2015-01-08,68.4
2015-01-09,67.0
2015-01-12,67.0
2015-01-13,66.2
2015-01-14,66.9
2015-01-15,67.0
2015-01-16,68.0
2015-01-19,66.9
2015-01-20,67.05
2015-01-21,67.55
2015-01-22,68.0
2015-01-23,70.35
2015-01-27,68.55
2015-01-28,72.5
2015-01-29,70.5
2015-01-30,69.0
2015-02-02,72.25
2015-02-03,70.95
2015-02-04,73.35
2015-02-05,72.95
2015-02-06,72.85
2015-02-09,72.2
2015-02-10,71.1
2015-02-11,71.75
2015-02-12,72.7
2015-02-13,72.55
2015-02-16,72.55
2015-02-18,71.9
2015-02-19,71.6
2015-02-20,71.5
2015-02-23,71.35
2015-02-24,71.6
2015-02-25,72.25
2015-02-26,71.75
2015-02-27,71.85
2015-02-28,71.4
2015-03-02,74.85
2015-03-03,77.35
2015-03-04,76.4
2015-03-05,75.7
2015-03-09,75.25
2015-03-10,75.5
2015-03-11,74.55
2015-03-12,75.25
2015-03-13,74.85
2015-03-16,75.1
2015-03-17,75.25
2015-03-18,74.3
2015-03-19,73.9
2015-03-20,73.85
2015-03-23,73.65
2015-03-24,73.0
2015-03-25,72.8
2015-03-26,72.7
2015-03-27,68.2
2015-03-30,72.15
2015-03-31,74.75
2015-04-01,72.4
2015-04-06,71.85
2015-04-07,71.9
2015-04-08,72.25
2015-04-09,72.6
2015-04-10,73.0
2015-04-13,74.2
2015-04-15,73.7
2015-04-16,72.95
2015-04-17,73.0
2015-04-20,72.25
2015-04-21,72.0
2015-04-22,71.9
2015-04-23,71.75
2015-04-24,71.25
2015-04-27,70.0
2015-04-28,70.8
2015-04-29,71.5
2015-04-30,71.25
2015-05-04,71.45
2015-05-05,71.4
2015-05-06,69.15
2015-05-07,69.65
2015-05-08,70.3
2015-05-11,71.1
2015-05-12,69.65
2015-05-13,71.2
2015-05-14,74.1
2015-05-15,75.5
2015-05-18,74.45
2015-05-19,74.7
2015-05-20,73.95
2015-05-21,74.2
2015-05-22,74.45
2015-05-25,73.1
2015-05-26,73.15
2015-05-27,74.15
2015-05-28,73.5
2015-05-29,73.5
2015-06-01,74.25
2015-06-02,73.4
2015-06-03,70.8
2015-06-04,71.4
2015-06-05,69.9
2015-06-08,69.85
2015-06-09,70.2
2015-06-10,71.85
2015-06-11,70.2
2015-06-12,70.45
2015-06-15,70.7
2015-06-16,70.65
2015-06-17,70.8
2015-06-18,71.85
2015-06-19,70.95
2015-06-22,68.05
2015-06-23,70.15
2015-06-24,69.4
2015-06-25,69.0
2015-06-26,68.15
2015-06-29,67.95
2015-06-30,67.1
2015-07-01,68.45
2015-07-02,69.0
2015-07-03,69.75
2015-07-06,71.45
2015-07-07,71.55
2015-07-08,71.25
2015-07-09,70.65
2015-07-10,70.0
2015-07-13,70.9
2015-07-14,71.0
2015-07-15,71.5
2015-07-16,71.5
2015-07-17,71.6
2015-07-20,70.35
2015-07-21,71.0
2015-07-22,71.5
2015-07-23,71.35
2015-07-24,71.6
2015-07-27,71.0
2015-07-28,69.7
2015-07-29,69.9
2015-07-30,70.0
2015-07-31,68.95
2015-08-03,68.95
2015-08-04,68.5
2015-08-05,68.4
2015-08-06,68.4
2015-08-07,67.8
2015-08-10,67.5
2015-08-11,67.0
2015-08-12,65.7
2015-08-13,64.1
2015-08-14,61.85
2015-08-17,58.35
2015-08-18,60.45
2015-08-19,60.0
2015-08-20,59.0
2015-08-21,59.0
2015-08-24,55.65
2015-08-25,57.7
2015-08-26,60.05
2015-08-27,56.55
2015-08-28,56.45
2015-08-31,54.1
2015-09-01,53.4
2015-09-02,54.4
2015-09-03,54.9
2015-09-04,55.6
2015-09-07,55.7
2015-09-08,55.45
2015-09-09,54.3
2015-09-10,54.25
2015-09-11,53.8
2015-09-14,52.9
2015-09-15,55.6
2015-09-16,52.95
2015-09-18,53.0
2015-09-21,56.25
2015-09-22,54.9
2015-09-23,54.6
2015-09-24,53.0
2015-09-28,53.65
2015-09-29,54.05
2015-09-30,53.3
2015-10-01,53.1
2015-10-05,53.55
2015-10-06,55.0
2015-10-07,54.3
2015-10-08,54.15
2015-10-09,51.85
2015-10-12,52.45
2015-10-13,52.15
2015-10-14,51.8
2015-10-15,50.45
2015-10-16,51.3
2015-10-19,50.4
2015-10-20,49.6
2015-10-21,50.8
2015-10-23,49.95
2015-10-26,49.65
2015-10-27,49.25
2015-10-28,49.0
2015-10-29,49.45
2015-10-30,47.1
2015-11-02,43.95
2015-11-03,44.4
2015-11-04,43.0
2015-11-05,42.0
2015-11-06,42.0
2015-11-09,42.0
2015-11-10,40.8
2015-11-11,42.15
2015-11-13,42.4
2015-11-16,44.5
2015-11-17,44.0
2015-11-18,43.9
2015-11-19,42.0
2015-11-20,42.05
2015-11-23,44.7
2015-11-24,43.7
2015-11-26,43.3
2015-11-27,43.0
2015-11-30,43.7
2015-12-01,43.0
2015-12-02,43.0
2015-12-03,43.0
2015-12-04,43.0
2015-12-07,51.25
2015-12-08,43.2
2015-12-09,41.05
2015-12-10,38.85
2015-12-11,40.0
2015-12-14,39.6
2015-12-15,39.0
2015-12-16,38.45
2015-12-17,39.85
2015-12-18,39.95
2015-12-21,40.15
2015-12-22,40.85
2015-12-23,39.55
2015-12-24,40.5
2015-12-28,38.8
2015-12-29,39.9
2015-12-30,39.2
2015-12-31,39.25
