Date,SURYALAXMI
2015-01-01,101.65
2015-01-02,102.9
2015-01-05,101.75
2015-01-06,95.7
2015-01-07,96.1
2015-01-08,104.1
2015-01-09,100.15
2015-01-12,100.2
2015-01-13,99.85
2015-01-14,99.5
2015-01-15,101.8
2015-01-16,100.75
2015-01-19,105.45
2015-01-20,107.65
2015-01-21,105.15
2015-01-22,103.6
2015-01-23,102.1
2015-01-27,100.1
2015-01-28,97.65
2015-01-29,94.65
2015-01-30,93.4
2015-02-02,90.85
2015-02-03,93.0
2015-02-04,94.0
2015-02-05,91.95
2015-02-06,91.9
2015-02-09,90.8
2015-02-10,94.0
2015-02-11,94.1
2015-02-12,94.6
2015-02-13,93.35
2015-02-16,97.4
2015-02-18,94.25
2015-02-19,93.85
2015-02-20,94.95
2015-02-23,93.0
2015-02-24,94.15
2015-02-25,93.8
2015-02-26,94.55
2015-02-27,92.9
2015-02-28,93.5
2015-03-02,92.25
2015-03-03,94.65
2015-03-04,93.0
2015-03-05,92.05
2015-03-09,92.55
2015-03-10,100.2
2015-03-11,97.6
2015-03-12,95.1
2015-03-13,91.85
2015-03-16,91.65
2015-03-17,88.65
2015-03-18,87.9
2015-03-19,87.6
2015-03-20,87.55
2015-03-23,87.05
2015-03-24,84.2
2015-03-25,80.65
2015-03-26,79.55
2015-03-27,77.25
2015-03-30,77.05
2015-03-31,77.05
2015-04-01,91.55
2015-04-06,90.95
2015-04-07,88.7
2015-04-08,88.0
2015-04-09,91.05
2015-04-10,89.1
2015-04-13,90.05
2015-04-15,90.3
2015-04-16,90.6
2015-04-17,90.55
2015-04-20,88.0
2015-04-21,88.25
2015-04-22,86.3
2015-04-23,85.5
2015-04-24,83.25
2015-04-27,81.65
2015-04-28,80.75
2015-04-29,79.6
2015-04-30,80.0
2015-05-04,81.0
2015-05-05,80.3
2015-05-06,78.8
2015-05-07,76.0
2015-05-08,81.1
2015-05-11,81.65
2015-05-12,79.35
2015-05-13,81.2
2015-05-14,82.65
2015-05-15,81.55
2015-05-18,82.9
2015-05-19,81.8
2015-05-20,81.9
2015-05-21,86.15
2015-05-22,85.7
2015-05-25,83.45
2015-05-26,83.0
2015-05-27,84.8
2015-05-28,86.8
2015-05-29,88.0
2015-06-01,90.25
2015-06-02,87.05
2015-06-03,90.35
2015-06-04,87.5
2015-06-05,90.95
2015-06-08,88.6
2015-06-09,87.95
2015-06-10,87.8
2015-06-11,85.35
2015-06-12,86.5
2015-06-15,85.0
2015-06-16,85.7
2015-06-17,85.05
2015-06-18,84.3
2015-06-19,82.55
2015-06-22,85.3
2015-06-23,86.0
2015-06-24,85.1
2015-06-25,85.9
2015-06-26,86.8
2015-06-29,86.5
2015-06-30,89.45
2015-07-01,90.5
2015-07-02,92.9
2015-07-03,93.5
2015-07-06,106.7
2015-07-07,104.1
2015-07-08,104.2
2015-07-09,106.85
2015-07-10,114.1
2015-07-13,115.1
2015-07-14,116.25
2015-07-15,112.75
2015-07-16,112.95
2015-07-17,109.5
2015-07-20,109.85
2015-07-21,108.35
2015-07-22,109.15
2015-07-23,110.65
2015-07-24,112.1
2015-07-27,115.7
2015-07-28,114.85
2015-07-29,115.05
2015-07-30,115.65
2015-07-31,126.25
2015-08-03,131.75
2015-08-04,129.9
2015-08-05,129.2
2015-08-06,132.35
2015-08-07,134.9
2015-08-10,135.45
2015-08-11,127.05
2015-08-12,120.65
2015-08-13,115.7
2015-08-14,116.7
2015-08-17,116.85
2015-08-18,119.35
2015-08-19,117.25
2015-08-20,113.15
2015-08-21,110.6
2015-08-24,102.45
2015-08-25,98.5
2015-08-26,98.15
2015-08-27,101.4
2015-08-28,101.25
2015-08-31,95.45
2015-09-01,92.55
2015-09-02,93.45
2015-09-03,94.3
2015-09-04,91.45
2015-09-07,88.95
2015-09-08,90.0
2015-09-09,92.85
2015-09-10,90.1
2015-09-11,90.05
2015-09-14,92.9
2015-09-15,93.3
2015-09-16,93.5
2015-09-18,93.0
2015-09-21,92.65
2015-09-22,93.5
2015-09-23,92.5
2015-09-24,92.75
2015-09-28,96.8
2015-09-29,96.45
2015-09-30,95.7
2015-10-01,98.0
2015-10-05,102.5
2015-10-06,106.25
2015-10-07,104.1
2015-10-08,102.95
2015-10-09,103.2
2015-10-12,103.5
2015-10-13,101.05
2015-10-14,102.0
2015-10-15,98.15
2015-10-16,102.5
2015-10-19,104.55
2015-10-20,103.9
2015-10-21,105.25
2015-10-23,105.0
2015-10-26,105.3
2015-10-27,103.55
2015-10-28,102.55
2015-10-29,102.85
2015-10-30,104.9
2015-11-02,102.65
2015-11-03,101.75
2015-11-04,102.5
2015-11-05,101.0
2015-11-06,101.0
2015-11-09,100.5
2015-11-10,98.9
2015-11-11,101.6
2015-11-13,97.1
2015-11-16,98.0
2015-11-17,98.7
2015-11-18,99.0
2015-11-19,109.85
2015-11-20,114.9
2015-11-23,109.85
2015-11-24,108.0
2015-11-26,106.85
2015-11-27,106.5
2015-11-30,106.75
2015-12-01,108.65
2015-12-02,110.1
2015-12-03,107.25
2015-12-04,102.95
2015-12-07,110.35
2015-12-08,110.8
2015-12-09,106.05
2015-12-10,108.35
2015-12-11,112.25
2015-12-14,114.5
2015-12-15,113.1
2015-12-16,110.55
2015-12-17,110.85
2015-12-18,111.6
2015-12-21,111.75
2015-12-22,112.0
2015-12-23,114.05
2015-12-24,120.2
2015-12-28,126.4
2015-12-29,129.4
2015-12-30,128.7
2015-12-31,128.2
