Date,CYBERTECH
2015-01-01,44.75
2015-01-02,43.6
2015-01-05,46.05
2015-01-06,43.65
2015-01-07,44.0
2015-01-08,46.9
2015-01-09,45.65
2015-01-12,45.95
2015-01-13,44.9
2015-01-14,44.05
2015-01-15,43.25
2015-01-16,44.0
2015-01-19,47.1
2015-01-20,45.4
2015-01-21,45.6
2015-01-22,45.3
2015-01-23,45.3
2015-01-27,45.0
2015-01-28,43.7
2015-01-29,43.45
2015-01-30,42.6
2015-02-02,42.85
2015-02-03,42.95
2015-02-04,41.95
2015-02-05,42.6
2015-02-06,37.95
2015-02-09,37.0
2015-02-10,36.05
2015-02-11,36.15
2015-02-12,37.4
2015-02-13,37.05
2015-02-16,37.3
2015-02-18,37.1
2015-02-19,36.7
2015-02-20,35.9
2015-02-23,35.5
2015-02-24,35.2
2015-02-25,32.85
2015-02-26,32.85
2015-02-27,34.75
2015-02-28,33.7
2015-03-02,34.65
2015-03-03,34.7
2015-03-04,34.85
2015-03-05,33.6
2015-03-09,32.85
2015-03-10,31.3
2015-03-11,30.6
2015-03-12,29.75
2015-03-13,29.05
2015-03-16,29.15
2015-03-17,28.75
2015-03-18,29.75
2015-03-19,29.65
2015-03-20,29.25
2015-03-23,28.75
2015-03-24,28.5
2015-03-25,27.1
2015-03-26,26.1
2015-03-27,24.95
2015-03-30,26.3
2015-03-31,27.9
2015-04-01,33.4
2015-04-06,33.35
2015-04-07,34.3
2015-04-08,36.85
2015-04-09,36.3
2015-04-10,39.85
2015-04-13,38.65
2015-04-15,39.15
2015-04-16,37.15
2015-04-17,35.15
2015-04-20,35.45
2015-04-21,35.05
2015-04-22,34.05
2015-04-23,37.0
2015-04-24,35.8
2015-04-27,33.85
2015-04-28,33.95
2015-04-29,34.7
2015-04-30,33.4
2015-05-04,34.4
2015-05-05,33.35
2015-05-06,32.3
2015-05-07,32.0
2015-05-08,31.5
2015-05-11,32.3
2015-05-12,31.85
2015-05-13,32.35
2015-05-14,33.2
2015-05-15,33.3
2015-05-18,35.0
2015-05-19,34.5
2015-05-20,34.05
2015-05-21,33.6
2015-05-22,33.6
2015-05-25,34.25
2015-05-26,33.35
2015-05-27,32.5
2015-05-28,32.95
2015-05-29,32.05
2015-06-01,31.25
2015-06-02,29.15
2015-06-03,27.45
2015-06-04,27.75
2015-06-05,28.65
2015-06-08,27.15
2015-06-09,26.8
2015-06-10,27.85
2015-06-11,27.85
2015-06-12,26.65
2015-06-15,26.5
2015-06-16,27.1
2015-06-17,27.9
2015-06-18,33.45
2015-06-19,36.2
2015-06-22,32.7
2015-06-23,32.8
2015-06-24,32.45
2015-06-25,33.0
2015-06-26,32.05
2015-06-29,31.85
2015-06-30,32.05
2015-07-01,33.0
2015-07-02,34.1
2015-07-03,34.55
2015-07-06,37.6
2015-07-07,36.95
2015-07-08,35.8
2015-07-09,39.65
2015-07-10,43.1
2015-07-13,40.6
2015-07-14,48.7
2015-07-15,49.2
2015-07-16,56.1
2015-07-17,52.6
2015-07-20,51.8
2015-07-21,49.1
2015-07-22,47.0
2015-07-23,46.75
2015-07-24,47.9
2015-07-27,46.2
2015-07-28,45.1
2015-07-29,45.7
2015-07-30,47.85
2015-07-31,48.55
2015-08-03,47.75
2015-08-04,48.75
2015-08-05,48.05
2015-08-06,48.0
2015-08-07,48.55
2015-08-10,47.55
2015-08-11,45.4
2015-08-12,43.35
2015-08-13,43.75
2015-08-14,42.15
2015-08-17,43.75
2015-08-18,44.15
2015-08-19,44.5
2015-08-20,43.3
2015-08-21,41.85
2015-08-24,36.0
2015-08-25,37.85
2015-08-26,36.5
2015-08-27,37.7
2015-08-28,36.9
2015-08-31,35.85
2015-09-01,34.55
2015-09-02,32.25
2015-09-03,37.55
2015-09-04,34.5
2015-09-07,33.85
2015-09-08,33.55
2015-09-09,35.25
2015-09-10,34.0
2015-09-11,34.6
2015-09-14,36.0
2015-09-15,35.95
2015-09-16,35.95
2015-09-18,36.4
2015-09-21,35.6
2015-09-22,35.5
2015-09-23,35.55
2015-09-24,38.85
2015-09-28,40.0
2015-09-29,39.95
2015-09-30,42.95
2015-10-01,44.25
2015-10-05,46.25
2015-10-06,45.45
2015-10-07,54.3
2015-10-08,55.25
2015-10-09,52.3
2015-10-12,48.05
2015-10-13,57.6
2015-10-14,55.5
2015-10-15,52.55
2015-10-16,50.55
2015-10-19,51.9
2015-10-20,54.4
2015-10-21,51.0
2015-10-23,49.3
2015-10-26,48.5
2015-10-27,50.05
2015-10-28,47.85
2015-10-29,50.9
2015-10-30,49.25
2015-11-02,49.9
2015-11-03,50.25
2015-11-04,48.9
2015-11-05,51.1
2015-11-06,51.0
2015-11-09,50.9
2015-11-10,50.1
2015-11-11,52.0
2015-11-13,56.7
2015-11-16,61.25
2015-11-17,61.65
2015-11-18,58.75
2015-11-19,58.05
2015-11-20,59.55
2015-11-23,64.35
2015-11-24,63.8
2015-11-26,62.15
2015-11-27,63.2
2015-11-30,61.85
2015-12-01,60.95
2015-12-02,59.5
2015-12-03,61.8
2015-12-04,59.15
2015-12-07,60.1
2015-12-08,57.2
2015-12-09,50.95
2015-12-10,51.7
2015-12-11,51.95
2015-12-14,51.55
2015-12-15,56.95
2015-12-16,57.2
2015-12-17,60.95
2015-12-18,59.8
2015-12-21,58.75
2015-12-22,59.25
2015-12-23,59.4
2015-12-24,56.8
2015-12-28,60.25
2015-12-29,57.7
2015-12-30,55.65
2015-12-31,56.55
