Date,GLOBOFFS
2015-01-01,704.75
2015-01-02,705.6
2015-01-05,730.95
2015-01-06,707.65
2015-01-07,710.2
2015-01-08,728.55
2015-01-09,740.35
2015-01-12,752.3
2015-01-13,763.3
2015-01-14,773.3
2015-01-15,776.45
2015-01-16,769.65
2015-01-19,751.65
2015-01-20,758.95
2015-01-21,756.35
2015-01-22,798.5
2015-01-23,792.6
2015-01-27,812.8
2015-01-28,813.0
2015-01-29,837.2
2015-01-30,835.3
2015-02-02,850.9
2015-02-03,845.65
2015-02-04,853.0
2015-02-05,842.0
2015-02-06,839.15
2015-02-09,833.9
2015-02-10,836.95
2015-02-11,835.05
2015-02-12,832.85
2015-02-13,834.8
2015-02-16,837.85
2015-02-18,832.15
2015-02-19,827.3
2015-02-20,817.7
2015-02-23,811.0
2015-02-24,807.45
2015-02-25,808.5
2015-02-26,805.75
2015-02-27,802.55
2015-02-28,803.7
2015-03-02,805.95
2015-03-03,809.45
2015-03-04,812.4
2015-03-05,806.25
2015-03-09,789.45
2015-03-10,785.75
2015-03-11,772.9
2015-03-12,725.45
2015-03-13,666.4
2015-03-16,599.1
2015-03-17,486.5
2015-03-18,519.95
2015-03-19,548.4
2015-03-20,523.15
2015-03-23,508.55
2015-03-24,533.05
2015-03-25,536.4
2015-03-26,547.4
2015-03-27,584.55
2015-03-30,641.35
2015-03-31,645.55
2015-04-01,654.35
2015-04-06,682.9
2015-04-07,703.45
2015-04-08,709.55
2015-04-09,689.95
2015-04-10,680.85
2015-04-13,672.35
2015-04-15,639.7
2015-04-16,607.75
2015-04-17,577.4
2015-04-20,548.55
2015-04-21,575.85
2015-04-22,568.5
2015-04-23,545.35
2015-04-24,537.35
2015-04-27,534.85
2015-04-28,523.3
2015-04-29,502.25
2015-04-30,527.1
2015-05-04,531.35
2015-05-05,537.9
2015-05-06,560.7
2015-05-07,547.95
2015-05-08,573.4
2015-05-11,600.05
2015-05-12,619.4
2015-05-13,639.0
2015-05-14,651.7
2015-05-15,642.5
2015-05-18,659.55
2015-05-19,643.85
2015-05-20,645.05
2015-05-21,640.5
2015-05-22,649.1
2015-05-25,648.85
2015-05-26,650.55
2015-05-27,642.75
2015-05-28,659.8
2015-05-29,668.25
2015-06-01,677.75
2015-06-02,686.85
2015-06-03,660.6
2015-06-04,629.5
2015-06-05,648.85
2015-06-08,648.3
2015-06-09,652.45
2015-06-10,653.45
2015-06-11,617.5
2015-06-12,635.65
2015-06-15,627.4
2015-06-16,623.8
2015-06-17,610.2
2015-06-18,609.8
2015-06-19,618.55
2015-06-22,622.15
2015-06-23,607.35
2015-06-24,601.5
2015-06-25,570.9
2015-06-26,562.75
2015-06-29,552.05
2015-06-30,560.05
2015-07-01,562.8
2015-07-02,566.4
2015-07-03,553.8
2015-07-06,556.1
2015-07-07,555.6
2015-07-08,581.0
2015-07-09,653.35
2015-07-10,625.7
2015-07-13,628.55
2015-07-14,612.9
2015-07-15,613.75
2015-07-16,620.35
2015-07-17,627.0
2015-07-20,620.4
2015-07-21,580.7
2015-07-22,594.9
2015-07-23,590.1
2015-07-24,580.1
2015-07-27,591.25
2015-07-28,592.25
2015-07-29,592.8
2015-07-30,604.8
2015-07-31,615.6
2015-08-03,610.15
2015-08-04,594.05
2015-08-05,597.15
2015-08-06,584.15
2015-08-07,582.6
2015-08-10,582.65
2015-08-11,586.7
2015-08-12,592.05
2015-08-13,593.2
2015-08-14,592.15
2015-08-17,582.6
2015-08-18,576.9
2015-08-19,574.15
2015-08-20,575.15
2015-08-21,564.15
2015-08-24,531.95
2015-08-25,503.35
2015-08-26,504.2
2015-08-27,514.5
2015-08-28,539.4
2015-08-31,578.6
2015-09-01,590.9
2015-09-02,586.6
2015-09-03,586.45
2015-09-04,582.1
2015-09-07,604.2
2015-09-08,591.85
2015-09-09,596.45
2015-09-10,602.5
2015-09-11,608.1
2015-09-14,613.8
2015-09-15,608.3
2015-09-16,610.65
2015-09-18,619.75
2015-09-21,621.55
2015-09-22,623.85
2015-09-23,632.05
2015-09-24,648.4
2015-09-28,661.8
2015-09-29,660.9
2015-09-30,660.8
2015-10-01,663.2
2015-10-05,674.7
2015-10-06,680.7
2015-10-07,688.95
2015-10-08,681.15
2015-10-09,624.75
2015-10-12,499.8
2015-10-13,401.65
2015-10-14,424.05
2015-10-15,426.6
2015-10-16,409.15
2015-10-19,407.65
2015-10-20,402.9
2015-10-21,401.95
2015-10-23,398.15
2015-10-26,388.65
2015-10-27,387.0
2015-10-28,385.25
2015-10-29,384.9
2015-10-30,393.25
2015-11-02,402.45
2015-11-03,400.65
2015-11-04,384.1
2015-11-05,378.15
2015-11-06,387.5
2015-11-09,379.8
2015-11-10,385.15
2015-11-11,387.8
2015-11-13,379.05
2015-11-16,370.35
2015-11-17,374.2
2015-11-18,372.2
2015-11-19,371.25
2015-11-20,368.85
2015-11-23,365.5
2015-11-24,364.8
2015-11-26,364.7
2015-11-27,355.45
2015-11-30,352.45
2015-12-01,344.85
2015-12-02,356.1
2015-12-03,376.1
2015-12-04,369.8
2015-12-07,367.6
2015-12-08,358.0
2015-12-09,340.35
2015-12-10,361.5
2015-12-11,370.25
2015-12-14,361.55
2015-12-15,357.8
2015-12-16,355.95
2015-12-17,355.8
2015-12-18,350.35
2015-12-21,347.35
2015-12-22,345.6
2015-12-23,347.15
2015-12-24,347.3
2015-12-28,340.6
2015-12-29,337.15
2015-12-30,336.4
2015-12-31,333.85
