Date,ARSHIYA
2015-01-01,16.65
2015-01-02,17.35
2015-01-05,16.95
2015-01-06,16.75
2015-01-07,16.55
2015-01-08,16.7
2015-01-09,16.75
2015-01-12,20.1
2015-01-13,24.0
2015-01-14,23.55
2015-01-15,22.55
2015-01-16,24.8
2015-01-19,24.45
2015-01-20,25.35
2015-01-21,24.75
2015-01-22,23.8
2015-01-23,23.45
2015-01-27,23.45
2015-01-28,21.9
2015-01-29,21.3
2015-01-30,22.05
2015-02-02,24.25
2015-02-03,26.65
2015-02-04,27.8
2015-02-05,26.45
2015-02-06,25.15
2015-02-09,24.35
2015-02-10,25.55
2015-02-11,26.8
2015-02-12,28.1
2015-02-13,27.25
2015-02-16,27.7
2015-02-18,26.55
2015-02-19,25.6
2015-02-20,26.65
2015-02-23,26.3
2015-02-24,26.75
2015-02-25,26.3
2015-02-26,26.75
2015-02-27,28.05
2015-02-28,26.95
2015-03-02,28.25
2015-03-03,29.65
2015-03-04,31.1
2015-03-05,32.65
2015-03-09,35.9
2015-03-10,37.85
2015-03-11,39.45
2015-03-12,38.7
2015-03-13,37.6
2015-03-16,38.3
2015-03-17,37.8
2015-03-18,38.05
2015-03-19,40.05
2015-03-20,40.0
2015-03-23,39.6
2015-03-24,38.1
2015-03-25,36.85
2015-03-26,38.35
2015-03-27,37.05
2015-03-30,40.75
2015-03-31,40.15
2015-04-01,40.0
2015-04-06,39.15
2015-04-07,39.2
2015-04-08,46.1
2015-04-09,45.3
2015-04-10,48.7
2015-04-13,50.9
2015-04-15,48.9
2015-04-16,52.45
2015-04-17,53.45
2015-04-20,53.9
2015-04-21,53.5
2015-04-22,54.75
2015-04-23,52.6
2015-04-24,46.15
2015-04-27,42.65
2015-04-28,43.4
2015-04-29,43.1
2015-04-30,42.2
2015-05-04,44.55
2015-05-05,43.0
2015-05-06,40.7
2015-05-07,37.6
2015-05-08,39.15
2015-05-11,39.95
2015-05-12,36.85
2015-05-13,38.8
2015-05-14,37.8
2015-05-15,38.8
2015-05-18,38.0
2015-05-19,42.25
2015-05-20,41.65
2015-05-21,41.85
2015-05-22,46.1
2015-05-25,49.8
2015-05-26,47.85
2015-05-27,46.45
2015-05-28,46.7
2015-05-29,46.1
2015-06-01,46.3
2015-06-02,44.1
2015-06-03,37.8
2015-06-04,38.75
2015-06-05,38.9
2015-06-08,37.1
2015-06-09,37.0
2015-06-10,38.55
2015-06-11,34.95
2015-06-12,37.05
2015-06-15,37.35
2015-06-16,37.15
2015-06-17,39.05
2015-06-18,38.75
2015-06-19,38.2
2015-06-22,39.4
2015-06-23,39.55
2015-06-24,41.9
2015-06-25,41.0
2015-06-26,41.55
2015-06-29,40.7
2015-06-30,40.8
2015-07-01,40.45
2015-07-02,40.15
2015-07-03,39.95
2015-07-06,40.35
2015-07-07,39.9
2015-07-08,39.25
2015-07-09,39.45
2015-07-10,39.45
2015-07-13,39.45
2015-07-14,38.85
2015-07-15,38.6
2015-07-16,38.3
2015-07-17,38.35
2015-07-20,42.55
2015-07-21,38.95
2015-07-22,39.55
2015-07-23,38.65
2015-07-24,37.75
2015-07-27,38.05
2015-07-28,37.4
2015-07-29,37.35
2015-07-30,38.1
2015-07-31,37.6
2015-08-03,37.7
2015-08-04,36.7
2015-08-05,35.95
2015-08-06,34.2
2015-08-07,35.45
2015-08-10,37.85
2015-08-11,40.75
2015-08-12,37.5
2015-08-13,35.9
2015-08-14,36.0
2015-08-17,35.65
2015-08-18,35.1
2015-08-19,35.4
2015-08-20,33.9
2015-08-21,32.45
2015-08-24,26.0
2015-08-25,24.0
2015-08-26,25.15
2015-08-27,27.65
2015-08-28,28.45
2015-08-31,28.1
2015-09-01,25.9
2015-09-02,26.1
2015-09-03,27.85
2015-09-04,25.85
2015-09-07,25.55
2015-09-08,27.4
2015-09-09,27.9
2015-09-10,27.45
2015-09-11,26.9
2015-09-14,28.55
2015-09-15,29.45
2015-09-16,30.35
2015-09-18,29.05
2015-09-21,28.25
2015-09-22,27.35
2015-09-23,27.15
2015-09-24,27.5
2015-09-28,28.95
2015-09-29,28.0
2015-09-30,27.85
2015-10-01,26.9
2015-10-05,28.7
2015-10-06,29.5
2015-10-07,29.6
2015-10-08,28.55
2015-10-09,29.3
2015-10-12,32.75
2015-10-13,34.8
2015-10-14,34.25
2015-10-15,37.35
2015-10-16,38.6
2015-10-19,39.0
2015-10-20,37.9
2015-10-21,38.45
2015-10-23,39.1
2015-10-26,38.25
2015-10-27,38.4
2015-10-28,40.85
2015-10-29,39.9
2015-10-30,38.35
2015-11-02,37.85
2015-11-03,38.1
2015-11-04,38.15
2015-11-05,36.3
2015-11-06,36.5
2015-11-09,36.4
2015-11-10,36.35
2015-11-11,37.05
2015-11-13,36.05
2015-11-16,42.55
2015-11-17,43.5
2015-11-18,41.25
2015-11-19,43.3
2015-11-20,41.75
2015-11-23,44.1
2015-11-24,42.4
2015-11-26,43.9
2015-11-27,44.35
2015-11-30,49.2
2015-12-01,48.35
2015-12-02,50.25
2015-12-03,50.55
2015-12-04,50.45
2015-12-07,51.3
2015-12-08,47.85
2015-12-09,46.65
2015-12-10,49.4
2015-12-11,48.95
2015-12-14,47.85
2015-12-15,47.4
2015-12-16,46.05
2015-12-17,46.15
2015-12-18,45.35
2015-12-21,43.75
2015-12-22,44.8
2015-12-23,44.25
2015-12-24,43.6
2015-12-28,42.85
2015-12-29,41.35
2015-12-30,41.95
2015-12-31,43.05
