Date,MUKANDENGG
2015-01-01,35.75
2015-01-02,35.8
2015-01-05,35.9
2015-01-06,34.85
2015-01-07,34.25
2015-01-08,34.8
2015-01-09,34.7
2015-01-12,35.7
2015-01-13,37.7
2015-01-14,35.8
2015-01-15,36.65
2015-01-16,36.15
2015-01-19,38.55
2015-01-20,36.5
2015-01-21,36.7
2015-01-22,36.2
2015-01-23,35.1
2015-01-27,34.95
2015-01-28,34.95
2015-01-29,34.65
2015-01-30,34.05
2015-02-02,34.3
2015-02-03,34.2
2015-02-04,34.15
2015-02-05,34.05
2015-02-06,33.85
2015-02-09,32.75
2015-02-10,32.3
2015-02-11,33.55
2015-02-12,32.9
2015-02-13,32.85
2015-02-16,31.9
2015-02-18,32.1
2015-02-19,32.35
2015-02-20,32.4
2015-02-23,33.0
2015-02-24,32.2
2015-02-25,33.45
2015-02-26,33.1
2015-02-27,32.85
2015-02-28,32.35
2015-03-02,32.45
2015-03-03,33.85
2015-03-04,32.75
2015-03-05,32.5
2015-03-09,32.05
2015-03-10,31.45
2015-03-11,31.2
2015-03-12,31.8
2015-03-13,31.75
2015-03-16,31.2
2015-03-17,30.9
2015-03-18,30.2
2015-03-19,30.5
2015-03-20,29.05
2015-03-23,27.5
2015-03-24,27.4
2015-03-25,27.1
2015-03-26,27.15
2015-03-27,26.5
2015-03-30,27.65
2015-03-31,26.75
2015-04-01,27.25
2015-04-06,28.1
2015-04-07,28.0
2015-04-08,28.6
2015-04-09,28.65
2015-04-10,30.0
2015-04-13,30.0
2015-04-15,30.0
2015-04-16,30.25
2015-04-17,29.8
2015-04-20,29.2
2015-04-21,29.1
2015-04-22,29.65
2015-04-23,29.45
2015-04-24,28.15
2015-04-27,26.9
2015-04-28,27.0
2015-04-29,27.4
2015-04-30,27.5
2015-05-04,28.25
2015-05-05,28.25
2015-05-06,27.25
2015-05-07,26.4
2015-05-08,26.5
2015-05-11,27.05
2015-05-12,27.0
2015-05-13,26.55
2015-05-14,27.2
2015-05-15,27.55
2015-05-18,27.3
2015-05-19,27.8
2015-05-20,27.45
2015-05-21,27.35
2015-05-22,27.25
2015-05-25,27.85
2015-05-26,27.25
2015-05-27,26.85
2015-05-28,27.0
2015-05-29,26.6
2015-06-01,25.55
2015-06-02,24.55
2015-06-03,23.4
2015-06-04,22.65
2015-06-05,22.9
2015-06-08,23.05
2015-06-09,22.7
2015-06-10,23.05
2015-06-11,21.75
2015-06-12,22.2
2015-06-15,22.25
2015-06-16,22.85
2015-06-17,23.2
2015-06-18,23.6
2015-06-19,23.65
2015-06-22,24.5
2015-06-23,29.4
2015-06-24,28.05
2015-06-25,26.9
2015-06-26,27.0
2015-06-29,26.45
2015-06-30,27.3
2015-07-01,28.15
2015-07-02,26.65
2015-07-03,27.8
2015-07-06,29.8
2015-07-07,32.55
2015-07-08,35.0
2015-07-09,34.0
2015-07-10,34.4
2015-07-13,35.4
2015-07-14,35.55
2015-07-15,34.9
2015-07-16,34.05
2015-07-17,33.55
2015-07-20,37.15
2015-07-21,35.05
2015-07-22,35.0
2015-07-23,34.85
2015-07-24,35.95
2015-07-27,35.0
2015-07-28,35.0
2015-07-29,35.05
2015-07-30,35.7
2015-07-31,34.95
2015-08-03,35.4
2015-08-04,37.95
2015-08-05,38.8
2015-08-06,38.65
2015-08-07,37.9
2015-08-10,37.6
2015-08-11,37.0
2015-08-12,32.55
2015-08-13,30.45
2015-08-14,31.45
2015-08-17,31.9
2015-08-18,31.55
2015-08-19,32.8
2015-08-20,30.25
2015-08-21,30.5
2015-08-24,27.15
2015-08-25,26.95
2015-08-26,27.15
2015-08-27,27.6
2015-08-28,28.3
2015-08-31,28.6
2015-09-01,27.45
2015-09-02,26.3
2015-09-03,26.3
2015-09-04,25.4
2015-09-07,24.75
2015-09-08,24.85
2015-09-09,25.35
2015-09-10,24.95
2015-09-11,24.35
2015-09-14,25.25
2015-09-15,25.25
2015-09-16,24.35
2015-09-18,25.75
2015-09-21,26.2
2015-09-22,25.1
2015-09-23,25.4
2015-09-24,26.05
2015-09-28,25.65
2015-09-29,27.0
2015-09-30,27.3
2015-10-01,26.25
2015-10-05,27.0
2015-10-06,26.75
2015-10-07,27.25
2015-10-08,27.1
2015-10-09,26.8
2015-10-12,27.8
2015-10-13,27.0
2015-10-14,27.25
2015-10-15,27.25
2015-10-16,27.35
2015-10-19,27.5
2015-10-20,27.55
2015-10-21,28.5
2015-10-23,28.05
2015-10-26,27.9
2015-10-27,27.8
2015-10-28,27.55
2015-10-29,28.05
2015-10-30,27.85
2015-11-02,27.85
2015-11-03,27.9
2015-11-04,27.65
2015-11-05,27.0
2015-11-06,26.8
2015-11-09,26.9
2015-11-10,26.2
2015-11-11,26.75
2015-11-13,27.05
2015-11-16,26.5
2015-11-17,27.55
2015-11-18,26.75
2015-11-19,26.85
2015-11-20,27.6
2015-11-23,28.05
2015-11-24,27.7
2015-11-26,29.6
2015-11-27,30.0
2015-11-30,32.0
2015-12-01,33.2
2015-12-02,34.8
2015-12-03,33.25
2015-12-04,32.5
2015-12-07,33.75
2015-12-08,31.65
2015-12-09,30.15
2015-12-10,30.45
2015-12-11,30.25
2015-12-14,30.8
2015-12-15,31.3
2015-12-16,31.7
2015-12-17,36.0
2015-12-18,37.15
2015-12-21,37.6
2015-12-22,35.4
2015-12-23,35.35
2015-12-24,35.75
2015-12-28,37.9
2015-12-29,37.1
2015-12-30,36.6
2015-12-31,36.5
