Date,CANTABIL
2015-01-01,37.25
2015-01-02,37.6
2015-01-05,37.0
2015-01-06,36.0
2015-01-07,36.6
2015-01-08,36.75
2015-01-09,37.05
2015-01-12,38.7
2015-01-13,39.2
2015-01-14,38.65
2015-01-15,39.5
2015-01-16,39.3
2015-01-19,38.75
2015-01-20,40.1
2015-01-21,42.05
2015-01-22,40.45
2015-01-23,40.0
2015-01-27,41.0
2015-01-28,43.5
2015-01-29,45.3
2015-01-30,46.9
2015-02-02,47.9
2015-02-03,47.65
2015-02-04,47.15
2015-02-05,44.5
2015-02-06,44.2
2015-02-09,43.25
2015-02-10,46.2
2015-02-11,47.0
2015-02-12,48.2
2015-02-13,50.0
2015-02-16,48.6
2015-02-18,50.45
2015-02-19,49.5
2015-02-20,48.55
2015-02-23,48.5
2015-02-24,48.0
2015-02-25,46.65
2015-02-26,47.9
2015-02-27,50.0
2015-02-28,50.05
2015-03-02,49.8
2015-03-03,49.9
2015-03-04,50.65
2015-03-05,49.7
2015-03-09,49.5
2015-03-10,48.15
2015-03-11,48.55
2015-03-12,50.5
2015-03-13,50.2
2015-03-16,51.65
2015-03-17,51.7
2015-03-18,52.15
2015-03-19,50.9
2015-03-20,50.0
2015-03-23,50.0
2015-03-24,48.0
2015-03-25,47.2
2015-03-26,47.45
2015-03-27,48.35
2015-03-30,50.0
2015-03-31,47.0
2015-04-01,50.25
2015-04-06,49.65
2015-04-07,50.25
2015-04-08,50.5
2015-04-09,53.55
2015-04-10,51.65
2015-04-13,51.7
2015-04-15,52.1
2015-04-16,51.3
2015-04-17,61.55
2015-04-20,70.75
2015-04-21,65.75
2015-04-22,64.2
2015-04-23,61.7
2015-04-24,57.5
2015-04-27,58.0
2015-04-28,60.6
2015-04-29,61.6
2015-04-30,59.6
2015-05-04,61.65
2015-05-05,62.05
2015-05-06,60.45
2015-05-07,59.9
2015-05-08,61.0
2015-05-11,60.05
2015-05-12,58.75
2015-05-13,59.55
2015-05-14,59.0
2015-05-15,58.35
2015-05-18,57.35
2015-05-19,54.9
2015-05-20,55.15
2015-05-21,57.05
2015-05-22,57.4
2015-05-25,58.4
2015-05-26,61.95
2015-05-27,63.85
2015-05-28,71.6
2015-05-29,67.05
2015-06-01,61.95
2015-06-02,61.05
2015-06-03,59.35
2015-06-04,58.4
2015-06-05,61.3
2015-06-08,57.6
2015-06-09,56.5
2015-06-10,57.45
2015-06-11,56.45
2015-06-12,57.35
2015-06-15,56.85
2015-06-16,57.65
2015-06-17,61.35
2015-06-18,59.15
2015-06-19,58.4
2015-06-22,57.75
2015-06-23,59.2
2015-06-24,57.55
2015-06-25,57.95
2015-06-26,57.55
2015-06-29,57.75
2015-06-30,58.05
2015-07-01,58.05
2015-07-02,58.05
2015-07-03,58.05
2015-07-06,58.55
2015-07-07,59.95
2015-07-08,61.35
2015-07-09,60.5
2015-07-10,60.1
2015-07-13,62.1
2015-07-14,64.5
2015-07-15,67.85
2015-07-16,70.95
2015-07-17,69.95
2015-07-20,69.35
2015-07-21,67.1
2015-07-22,64.95
2015-07-23,64.0
2015-07-24,63.4
2015-07-27,68.25
2015-07-28,65.2
2015-07-29,63.8
2015-07-30,64.9
2015-07-31,64.9
2015-08-03,74.9
2015-08-04,72.8
2015-08-05,71.65
2015-08-06,68.75
2015-08-07,69.45
2015-08-10,68.1
2015-08-11,67.2
2015-08-12,64.85
2015-08-13,64.4
2015-08-14,66.1
2015-08-17,66.4
2015-08-18,66.2
2015-08-19,66.55
2015-08-20,66.65
2015-08-21,64.8
2015-08-24,58.15
2015-08-25,54.1
2015-08-26,52.65
2015-08-27,53.0
2015-08-28,58.4
2015-08-31,58.55
2015-09-01,54.65
2015-09-02,53.65
2015-09-03,54.35
2015-09-04,53.4
2015-09-07,52.1
2015-09-08,52.2
2015-09-09,53.55
2015-09-10,53.45
2015-09-11,54.75
2015-09-14,54.2
2015-09-15,56.35
2015-09-16,57.35
2015-09-18,57.0
2015-09-21,56.0
2015-09-22,53.9
2015-09-23,54.5
2015-09-24,53.75
2015-09-28,54.1
2015-09-29,53.3
2015-09-30,54.9
2015-10-01,54.7
2015-10-05,55.95
2015-10-06,57.25
2015-10-07,56.9
2015-10-08,57.0
2015-10-09,57.7
2015-10-12,57.1
2015-10-13,57.05
2015-10-14,59.0
2015-10-15,58.95
2015-10-16,58.4
2015-10-19,57.3
2015-10-20,57.5
2015-10-21,59.25
2015-10-23,58.5
2015-10-26,59.9
2015-10-27,65.65
2015-10-28,65.8
2015-10-29,66.95
2015-10-30,68.25
2015-11-02,61.4
2015-11-03,59.95
2015-11-04,61.95
2015-11-05,60.25
2015-11-06,57.3
2015-11-09,58.8
2015-11-10,57.35
2015-11-11,60.5
2015-11-13,58.05
2015-11-16,59.75
2015-11-17,58.9
2015-11-18,58.55
2015-11-19,59.85
2015-11-20,59.75
2015-11-23,59.45
2015-11-24,60.05
2015-11-26,59.7
2015-11-27,59.7
2015-11-30,59.9
2015-12-01,61.15
2015-12-02,59.7
2015-12-03,59.25
2015-12-04,63.85
2015-12-07,62.6
2015-12-08,60.25
2015-12-09,58.9
2015-12-10,58.8
2015-12-11,58.6
2015-12-14,58.05
2015-12-15,58.3
2015-12-16,60.5
2015-12-17,61.05
2015-12-18,61.7
2015-12-21,61.05
2015-12-22,62.3
2015-12-23,60.45
2015-12-24,62.4
2015-12-28,62.85
2015-12-29,62.2
2015-12-30,60.8
2015-12-31,60.5
