Date,ROHLTD
2015-01-01,40.6
2015-01-02,42.85
2015-01-05,44.1
2015-01-06,44.7
2015-01-07,43.35
2015-01-08,43.6
2015-01-09,42.7
2015-01-12,42.7
2015-01-13,42.55
2015-01-14,43.1
2015-01-15,44.85
2015-01-16,44.45
2015-01-19,45.0
2015-01-20,44.5
2015-01-21,43.85
2015-01-22,44.95
2015-01-23,43.6
2015-01-27,43.55
2015-01-28,43.5
2015-01-29,44.0
2015-01-30,44.15
2015-02-02,43.1
2015-02-03,43.3
2015-02-04,43.2
2015-02-05,43.1
2015-02-06,42.15
2015-02-09,41.3
2015-02-10,41.75
2015-02-11,41.35
2015-02-12,41.45
2015-02-13,41.45
2015-02-16,41.25
2015-02-18,41.6
2015-02-19,42.2
2015-02-20,42.0
2015-02-23,41.9
2015-02-24,41.35
2015-02-25,40.4
2015-02-26,40.85
2015-02-27,40.4
2015-02-28,40.35
2015-03-02,40.6
2015-03-03,41.8
2015-03-04,42.15
2015-03-05,42.65
2015-03-09,41.7
2015-03-10,42.2
2015-03-11,42.1
2015-03-12,42.4
2015-03-13,41.1
2015-03-16,41.7
2015-03-17,40.5
2015-03-18,40.5
2015-03-19,40.2
2015-03-20,39.9
2015-03-23,38.5
2015-03-24,37.95
2015-03-25,37.55
2015-03-26,40.55
2015-03-27,39.0
2015-03-30,39.05
2015-03-31,41.05
2015-04-01,41.95
2015-04-06,42.0
2015-04-07,43.65
2015-04-08,48.6
2015-04-09,45.45
2015-04-10,47.65
2015-04-13,49.4
2015-04-15,49.35
2015-04-16,46.25
2015-04-17,47.05
2015-04-20,55.95
2015-04-21,47.85
2015-04-22,46.9
2015-04-23,49.05
2015-04-24,46.25
2015-04-27,43.95
2015-04-28,43.9
2015-04-29,42.75
2015-04-30,41.55
2015-05-04,43.35
2015-05-05,43.5
2015-05-06,42.05
2015-05-07,38.75
2015-05-08,40.45
2015-05-11,41.2
2015-05-12,39.55
2015-05-13,39.55
2015-05-14,40.0
2015-05-15,39.85
2015-05-18,41.35
2015-05-19,41.4
2015-05-20,40.55
2015-05-21,39.95
2015-05-22,40.15
2015-05-25,40.85
2015-05-26,40.7
2015-05-27,40.0
2015-05-28,39.6
2015-05-29,39.95
2015-06-01,40.3
2015-06-02,40.0
2015-06-03,39.0
2015-06-04,39.25
2015-06-05,39.75
2015-06-08,39.0
2015-06-09,39.05
2015-06-10,39.55
2015-06-11,39.25
2015-06-12,40.65
2015-06-15,40.45
2015-06-16,41.25
2015-06-17,40.85
2015-06-18,41.5
2015-06-19,40.55
2015-06-22,40.4
2015-06-23,40.4
2015-06-24,41.75
2015-06-25,41.25
2015-06-26,40.85
2015-06-29,40.25
2015-06-30,41.0
2015-07-01,41.0
2015-07-02,41.25
2015-07-03,43.5
2015-07-06,43.5
2015-07-07,43.35
2015-07-08,42.0
2015-07-09,44.45
2015-07-10,46.5
2015-07-13,47.75
2015-07-14,46.25
2015-07-15,45.75
2015-07-16,46.45
2015-07-17,45.35
2015-07-20,47.3
2015-07-21,50.15
2015-07-22,52.5
2015-07-23,51.1
2015-07-24,51.7
2015-07-27,55.8
2015-07-28,55.65
2015-07-29,53.3
2015-07-30,54.6
2015-07-31,55.65
2015-08-03,55.2
2015-08-04,53.75
2015-08-05,54.0
2015-08-06,57.25
2015-08-07,56.8
2015-08-10,51.15
2015-08-11,52.35
2015-08-12,49.4
2015-08-13,49.6
2015-08-14,49.2
2015-08-17,49.3
2015-08-18,51.75
2015-08-19,51.05
2015-08-20,51.15
2015-08-21,49.9
2015-08-24,46.05
2015-08-25,45.1
2015-08-26,45.45
2015-08-27,45.8
2015-08-28,47.5
2015-08-31,46.35
2015-09-01,45.6
2015-09-02,44.5
2015-09-03,44.95
2015-09-04,44.2
2015-09-07,43.6
2015-09-08,43.65
2015-09-09,45.3
2015-09-10,45.0
2015-09-11,44.3
2015-09-14,46.0
2015-09-15,44.3
2015-09-16,44.25
2015-09-18,45.45
2015-09-21,46.3
2015-09-22,46.0
2015-09-23,44.85
2015-09-24,44.9
2015-09-28,44.85
2015-09-29,45.45
2015-09-30,46.1
2015-10-01,45.3
2015-10-05,47.7
2015-10-06,47.65
2015-10-07,47.15
2015-10-08,47.7
2015-10-09,47.6
2015-10-12,46.95
2015-10-13,47.6
2015-10-14,47.2
2015-10-15,47.4
2015-10-16,49.55
2015-10-19,49.1
2015-10-20,48.4
2015-10-21,49.25
2015-10-23,49.05
2015-10-26,49.0
2015-10-27,49.1
2015-10-28,48.55
2015-10-29,48.5
2015-10-30,50.05
2015-11-02,49.4
2015-11-03,50.75
2015-11-04,50.05
2015-11-05,48.45
2015-11-06,48.0
2015-11-09,49.0
2015-11-10,47.55
2015-11-11,47.15
2015-11-13,47.2
2015-11-16,47.3
2015-11-17,47.5
2015-11-18,47.5
2015-11-19,47.65
2015-11-20,47.85
2015-11-23,48.8
2015-11-24,51.35
2015-11-26,53.5
2015-11-27,53.05
2015-11-30,54.05
2015-12-01,54.7
2015-12-02,59.35
2015-12-03,61.8
2015-12-04,62.95
2015-12-07,64.25
2015-12-08,61.8
2015-12-09,58.9
2015-12-10,57.55
2015-12-11,57.6
2015-12-14,63.2
2015-12-15,64.8
2015-12-16,63.5
2015-12-17,62.7
2015-12-18,61.1
2015-12-21,64.7
2015-12-22,63.0
2015-12-23,63.85
2015-12-24,62.85
2015-12-28,63.35
2015-12-29,63.95
2015-12-30,63.55
2015-12-31,73.4
