Date,MOSERBAER
2015-01-01,8.9
2015-01-02,10.15
2015-01-05,10.0
2015-01-06,9.3
2015-01-07,10.0
2015-01-08,10.25
2015-01-09,9.85
2015-01-12,10.0
2015-01-13,9.65
2015-01-14,10.55
2015-01-15,10.2
2015-01-16,10.45
2015-01-19,10.35
2015-01-20,10.05
2015-01-21,9.85
2015-01-22,10.25
2015-01-23,10.0
2015-01-27,11.05
2015-01-28,10.9
2015-01-29,10.95
2015-01-30,10.65
2015-02-02,10.95
2015-02-03,10.7
2015-02-04,10.55
2015-02-05,10.3
2015-02-06,10.05
2015-02-09,9.75
2015-02-10,9.8
2015-02-11,10.0
2015-02-12,10.1
2015-02-13,10.25
2015-02-16,11.0
2015-02-18,13.2
2015-02-19,15.45
2015-02-20,15.4
2015-02-23,16.9
2015-02-24,17.65
2015-02-25,15.9
2015-02-26,16.15
2015-02-27,16.35
2015-02-28,15.5
2015-03-02,13.95
2015-03-03,13.3
2015-03-04,12.65
2015-03-05,12.05
2015-03-09,12.65
2015-03-10,12.95
2015-03-11,12.4
2015-03-12,12.2
2015-03-13,11.6
2015-03-16,11.05
2015-03-17,11.1
2015-03-18,11.65
2015-03-19,11.25
2015-03-20,10.7
2015-03-23,10.2
2015-03-24,9.75
2015-03-25,9.55
2015-03-26,9.15
2015-03-27,8.95
2015-03-30,9.35
2015-03-31,9.8
2015-04-01,10.25
2015-04-06,10.75
2015-04-07,11.25
2015-04-08,11.8
2015-04-09,12.35
2015-04-10,12.55
2015-04-13,13.15
2015-04-15,13.05
2015-04-16,12.4
2015-04-17,12.0
2015-04-20,11.95
2015-04-21,12.45
2015-04-22,12.2
2015-04-23,12.05
2015-04-24,11.8
2015-04-27,11.25
2015-04-28,11.2
2015-04-29,10.95
2015-04-30,11.1
2015-05-04,12.2
2015-05-05,11.9
2015-05-06,11.15
2015-05-07,10.95
2015-05-08,11.3
2015-05-11,11.4
2015-05-12,11.15
2015-05-13,11.3
2015-05-14,12.0
2015-05-15,12.0
2015-05-18,11.8
2015-05-19,11.95
2015-05-20,12.1
2015-05-21,11.75
2015-05-22,11.55
2015-05-25,11.5
2015-05-26,11.25
2015-05-27,11.15
2015-05-28,11.8
2015-05-29,11.9
2015-06-01,11.95
2015-06-02,11.55
2015-06-03,10.6
2015-06-04,11.2
2015-06-05,10.95
2015-06-08,11.1
2015-06-09,10.95
2015-06-10,10.95
2015-06-11,10.55
2015-06-12,10.55
2015-06-15,10.6
2015-06-16,10.45
2015-06-17,11.7
2015-06-18,11.75
2015-06-19,11.25
2015-06-22,11.35
2015-06-23,11.85
2015-06-24,11.55
2015-06-25,11.65
2015-06-26,11.4
2015-06-29,11.05
2015-06-30,11.3
2015-07-01,11.45
2015-07-02,11.3
2015-07-03,11.1
2015-07-06,11.1
2015-07-07,11.5
2015-07-08,11.75
2015-07-09,11.8
2015-07-10,11.65
2015-07-13,11.45
2015-07-14,11.4
2015-07-15,11.45
2015-07-16,11.35
2015-07-17,11.3
2015-07-20,11.85
2015-07-21,11.35
2015-07-22,11.7
2015-07-23,11.5
2015-07-24,11.3
2015-07-27,11.05
2015-07-28,10.85
2015-07-29,10.9
2015-07-30,11.1
2015-07-31,11.1
2015-08-03,11.3
2015-08-04,11.1
2015-08-05,11.55
2015-08-06,11.85
2015-08-07,11.65
2015-08-10,11.45
2015-08-11,11.3
2015-08-12,10.7
2015-08-13,10.55
2015-08-14,10.55
2015-08-17,10.5
2015-08-18,10.4
2015-08-19,10.45
2015-08-20,10.3
2015-08-21,9.95
2015-08-24,8.75
2015-08-25,8.9
2015-08-26,9.1
2015-08-27,9.7
2015-08-28,10.1
2015-08-31,9.95
2015-09-01,9.35
2015-09-02,9.5
2015-09-03,10.1
2015-09-04,9.7
2015-09-07,9.25
2015-09-08,9.25
2015-09-09,9.5
2015-09-10,9.5
2015-09-11,9.45
2015-09-14,9.5
2015-09-15,9.35
2015-09-16,9.3
2015-09-18,9.45
2015-09-21,9.55
2015-09-22,9.3
2015-09-23,9.35
2015-09-24,9.15
2015-09-28,9.2
2015-09-29,9.4
2015-09-30,9.35
2015-10-01,9.95
2015-10-05,10.2
2015-10-06,10.1
2015-10-07,10.35
2015-10-08,10.55
2015-10-09,10.5
2015-10-12,10.5
2015-10-13,10.25
2015-10-14,10.3
2015-10-15,10.4
2015-10-16,10.3
2015-10-19,10.5
2015-10-20,10.35
2015-10-21,10.25
2015-10-23,10.1
2015-10-26,9.9
2015-10-27,9.8
2015-10-28,9.8
2015-10-29,9.75
2015-10-30,9.6
2015-11-02,9.4
2015-11-03,9.45
2015-11-04,9.4
2015-11-05,9.2
2015-11-06,9.1
2015-11-09,9.2
2015-11-10,8.75
2015-11-11,8.85
2015-11-13,8.75
2015-11-16,8.25
2015-11-17,8.75
2015-11-18,8.85
2015-11-19,9.05
2015-11-20,8.95
2015-11-23,8.85
2015-11-24,9.5
2015-11-26,9.55
2015-11-27,9.4
2015-11-30,9.9
2015-12-01,9.65
2015-12-02,9.55
2015-12-03,9.95
2015-12-04,9.8
2015-12-07,9.8
2015-12-08,9.45
2015-12-09,9.1
2015-12-10,9.25
2015-12-11,9.05
2015-12-14,9.1
2015-12-15,9.1
2015-12-16,9.1
2015-12-17,9.3
2015-12-18,9.5
2015-12-21,9.6
2015-12-22,9.45
2015-12-23,9.45
2015-12-24,9.4
2015-12-28,9.45
2015-12-29,9.35
2015-12-30,10.5
2015-12-31,10.25
