Date,JSWHL
2015-01-01,955.3
2015-01-02,957.4
2015-01-05,947.25
2015-01-06,944.05
2015-01-07,935.4
2015-01-08,948.55
2015-01-09,978.45
2015-01-12,962.65
2015-01-13,962.3
2015-01-14,965.75
2015-01-15,976.55
2015-01-16,1004.2
2015-01-19,1001.0
2015-01-20,1004.9
2015-01-21,976.0
2015-01-22,975.9
2015-01-23,980.9
2015-01-27,975.95
2015-01-28,973.6
2015-01-29,985.6
2015-01-30,1002.45
2015-02-02,1006.05
2015-02-03,1000.35
2015-02-04,998.9
2015-02-05,987.65
2015-02-06,972.0
2015-02-09,984.6
2015-02-10,986.6
2015-02-11,1022.95
2015-02-12,1003.2
2015-02-13,1005.95
2015-02-16,1019.3
2015-02-18,1017.0
2015-02-19,1062.2
2015-02-20,1016.2
2015-02-23,1008.3
2015-02-24,1019.25
2015-02-25,1022.25
2015-02-26,969.6
2015-02-27,978.3
2015-02-28,973.1
2015-03-02,993.7
2015-03-03,1045.4
2015-03-04,1030.3
2015-03-05,1035.85
2015-03-09,1007.1
2015-03-10,1160.8
2015-03-11,1136.45
2015-03-12,1145.1
2015-03-13,1094.1
2015-03-16,1035.5
2015-03-17,1030.15
2015-03-18,1050.0
2015-03-19,1049.1
2015-03-20,1028.5
2015-03-23,1045.7
2015-03-24,1052.95
2015-03-25,1052.5
2015-03-26,1049.9
2015-03-27,1050.6
2015-03-30,1086.35
2015-03-31,1063.3
2015-04-01,1051.75
2015-04-06,1050.85
2015-04-07,1131.45
2015-04-08,1128.1
2015-04-09,1108.75
2015-04-10,1109.7
2015-04-13,1138.2
2015-04-15,1111.1
2015-04-16,1092.7
2015-04-17,1078.9
2015-04-20,1061.85
2015-04-21,1076.95
2015-04-22,1098.45
2015-04-23,1153.7
2015-04-24,1144.75
2015-04-27,1083.15
2015-04-28,1107.75
2015-04-29,1145.7
2015-04-30,1151.95
2015-05-04,1176.65
2015-05-05,1203.35
2015-05-06,1195.65
2015-05-07,1202.2
2015-05-08,1186.05
2015-05-11,1192.75
2015-05-12,1198.65
2015-05-13,1230.5
2015-05-14,1237.45
2015-05-15,1202.75
2015-05-18,1224.6
2015-05-19,1234.95
2015-05-20,1229.55
2015-05-21,1238.3
2015-05-22,1229.65
2015-05-25,1229.9
2015-05-26,1226.95
2015-05-27,1230.05
2015-05-28,1231.55
2015-05-29,1228.65
2015-06-01,1229.45
2015-06-02,1230.2
2015-06-03,1156.55
2015-06-04,1182.3
2015-06-05,1189.7
2015-06-08,1174.95
2015-06-09,1186.2
2015-06-10,1192.2
2015-06-11,1183.85
2015-06-12,1126.3
2015-06-15,1130.9
2015-06-16,1135.5
2015-06-17,1062.55
2015-06-18,1082.25
2015-06-19,1061.25
2015-06-22,1055.65
2015-06-23,1049.9
2015-06-24,1054.45
2015-06-25,1061.55
2015-06-26,1059.45
2015-06-29,1049.5
2015-06-30,1058.95
2015-07-01,1077.55
2015-07-02,1066.15
2015-07-03,1092.05
2015-07-06,1080.65
2015-07-07,1084.3
2015-07-08,1080.1
2015-07-09,1077.65
2015-07-10,1087.3
2015-07-13,1074.25
2015-07-14,1064.45
2015-07-15,1053.7
2015-07-16,1033.45
2015-07-17,1030.9
2015-07-20,1011.3
2015-07-21,972.35
2015-07-22,989.4
2015-07-23,985.1
2015-07-24,972.45
2015-07-27,927.8
2015-07-28,860.3
2015-07-29,862.45
2015-07-30,852.1
2015-07-31,872.55
2015-08-03,875.7
2015-08-04,880.25
2015-08-05,890.05
2015-08-06,884.55
2015-08-07,880.2
2015-08-10,870.15
2015-08-11,848.9
2015-08-12,816.75
2015-08-13,785.35
2015-08-14,796.65
2015-08-17,821.4
2015-08-18,857.4
2015-08-19,873.55
2015-08-20,875.15
2015-08-21,877.15
2015-08-24,787.2
2015-08-25,812.4
2015-08-26,795.25
2015-08-27,857.9
2015-08-28,860.4
2015-08-31,893.55
2015-09-01,886.55
2015-09-02,897.35
2015-09-03,918.1
2015-09-04,912.15
2015-09-07,844.8
2015-09-08,894.05
2015-09-09,914.6
2015-09-10,919.0
2015-09-11,917.25
2015-09-14,931.4
2015-09-15,929.85
2015-09-16,929.9
2015-09-18,917.1
2015-09-21,930.05
2015-09-22,918.65
2015-09-23,929.65
2015-09-24,930.15
2015-09-28,932.55
2015-09-29,930.85
2015-09-30,945.95
2015-10-01,943.85
2015-10-05,928.25
2015-10-06,932.9
2015-10-07,926.9
2015-10-08,925.8
2015-10-09,928.75
2015-10-12,925.05
2015-10-13,932.5
2015-10-14,954.2
2015-10-15,943.6
2015-10-16,946.75
2015-10-19,947.9
2015-10-20,948.0
2015-10-21,949.9
2015-10-23,947.9
