Date,DEN
2015-01-01,139.0
2015-01-02,137.75
2015-01-05,142.2
2015-01-06,134.1
2015-01-07,132.55
2015-01-08,132.65
2015-01-09,131.7
2015-01-12,130.05
2015-01-13,128.1
2015-01-14,124.3
2015-01-15,122.5
2015-01-16,120.7
2015-01-19,124.55
2015-01-20,123.35
2015-01-21,121.75
2015-01-22,122.6
2015-01-23,120.25
2015-01-27,119.9
2015-01-28,117.05
2015-01-29,109.95
2015-01-30,108.2
2015-02-02,107.85
2015-02-03,104.45
2015-02-04,109.95
2015-02-05,115.5
2015-02-06,111.1
2015-02-09,109.6
2015-02-10,111.7
2015-02-11,109.55
2015-02-12,111.5
2015-02-13,120.2
2015-02-16,122.0
2015-02-18,131.0
2015-02-19,129.6
2015-02-20,125.4
2015-02-23,123.75
2015-02-24,119.75
2015-02-25,124.05
2015-02-26,120.5
2015-02-27,121.25
2015-02-28,121.05
2015-03-02,118.2
2015-03-03,118.65
2015-03-04,117.75
2015-03-05,117.25
2015-03-09,113.9
2015-03-10,112.15
2015-03-11,113.15
2015-03-12,117.55
2015-03-13,114.55
2015-03-16,122.65
2015-03-17,125.7
2015-03-18,122.5
2015-03-19,121.45
2015-03-20,126.2
2015-03-23,123.2
2015-03-24,119.15
2015-03-25,117.3
2015-03-26,117.6
2015-03-27,116.05
2015-03-30,119.9
2015-03-31,120.45
2015-04-01,122.4
2015-04-06,120.9
2015-04-07,121.75
2015-04-08,121.25
2015-04-09,120.25
2015-04-10,120.2
2015-04-13,120.7
2015-04-15,120.8
2015-04-16,120.25
2015-04-17,119.65
2015-04-20,116.8
2015-04-21,125.05
2015-04-22,128.9
2015-04-23,127.45
2015-04-24,126.1
2015-04-27,124.6
2015-04-28,125.25
2015-04-29,128.1
2015-04-30,129.55
2015-05-04,133.9
2015-05-05,134.2
2015-05-06,130.75
2015-05-07,135.7
2015-05-08,139.8
2015-05-11,140.6
2015-05-12,135.35
2015-05-13,136.7
2015-05-14,137.2
2015-05-15,142.2
2015-05-18,148.5
2015-05-19,149.25
2015-05-20,150.6
2015-05-21,153.6
2015-05-22,152.05
2015-05-25,148.85
2015-05-26,150.5
2015-05-27,150.75
2015-05-28,151.55
2015-05-29,141.3
2015-06-01,146.45
2015-06-02,146.25
2015-06-03,148.4
2015-06-04,149.35
2015-06-05,149.1
2015-06-08,149.65
2015-06-09,144.3
2015-06-10,141.45
2015-06-11,141.7
2015-06-12,139.05
2015-06-15,136.55
2015-06-16,135.8
2015-06-17,144.1
2015-06-18,148.15
2015-06-19,143.05
2015-06-22,146.55
2015-06-23,145.75
2015-06-24,146.95
2015-06-25,147.9
2015-06-26,148.6
2015-06-29,142.6
2015-06-30,141.65
2015-07-01,142.45
2015-07-02,141.85
2015-07-03,140.15
2015-07-06,140.9
2015-07-07,139.5
2015-07-08,139.95
2015-07-09,140.65
2015-07-10,142.8
2015-07-13,144.25
2015-07-14,147.45
2015-07-15,145.85
2015-07-16,145.15
2015-07-17,166.35
2015-07-20,162.7
2015-07-21,153.95
2015-07-22,159.5
2015-07-23,163.25
2015-07-24,159.6
2015-07-27,162.5
2015-07-28,157.35
2015-07-29,154.65
2015-07-30,153.45
2015-07-31,160.1
2015-08-03,155.85
2015-08-04,155.2
2015-08-05,159.6
2015-08-06,155.4
2015-08-07,152.4
2015-08-10,152.25
2015-08-11,152.35
2015-08-12,149.05
2015-08-13,142.15
2015-08-14,140.7
2015-08-17,138.1
2015-08-18,139.75
2015-08-19,136.95
2015-08-20,126.85
2015-08-21,125.9
2015-08-24,103.95
2015-08-25,110.8
2015-08-26,118.1
2015-08-27,124.7
2015-08-28,120.7
2015-08-31,123.0
2015-09-01,118.4
2015-09-02,121.25
2015-09-03,125.35
2015-09-04,121.2
2015-09-07,122.75
2015-09-08,122.45
2015-09-09,125.65
2015-09-10,125.2
2015-09-11,128.15
2015-09-14,122.85
2015-09-15,123.7
2015-09-16,124.25
2015-09-18,126.9
2015-09-21,126.5
2015-09-22,122.65
2015-09-23,120.65
2015-09-24,122.65
2015-09-28,124.65
2015-09-29,120.4
2015-09-30,121.05
2015-10-01,119.05
2015-10-05,118.85
2015-10-06,118.5
2015-10-07,118.65
2015-10-08,118.8
2015-10-09,117.3
2015-10-12,116.95
2015-10-13,115.85
2015-10-14,115.4
2015-10-15,116.5
2015-10-16,114.75
2015-10-19,116.85
2015-10-20,117.8
2015-10-21,115.8
2015-10-23,115.4
2015-10-26,115.85
2015-10-27,119.1
2015-10-28,116.55
2015-10-29,117.1
2015-10-30,114.0
2015-11-02,115.65
2015-11-03,114.65
2015-11-04,112.85
2015-11-05,111.1
2015-11-06,99.0
2015-11-09,101.7
2015-11-10,99.4
2015-11-11,115.95
2015-11-13,109.6
2015-11-16,106.75
2015-11-17,106.4
2015-11-18,104.15
2015-11-19,105.55
2015-11-20,104.45
2015-11-23,104.15
2015-11-24,103.8
2015-11-26,104.8
2015-11-27,105.1
2015-11-30,103.65
2015-12-01,104.15
2015-12-02,104.8
2015-12-03,104.7
2015-12-04,102.75
2015-12-07,103.25
2015-12-08,100.55
2015-12-09,96.7
2015-12-10,97.2
2015-12-11,94.6
2015-12-14,100.45
2015-12-15,99.4
2015-12-16,100.35
2015-12-17,106.0
2015-12-18,105.65
2015-12-21,105.05
2015-12-22,105.4
2015-12-23,104.5
2015-12-24,104.85
2015-12-28,105.55
2015-12-29,104.9
2015-12-30,114.0
2015-12-31,112.3
