Date,RAMCOIND
2015-01-01,73.1
2015-01-02,83.3
2015-01-05,80.7
2015-01-06,79.65
2015-01-07,78.6
2015-01-08,85.45
2015-01-09,90.95
2015-01-12,92.3
2015-01-13,87.85
2015-01-14,87.1
2015-01-15,99.7
2015-01-16,97.3
2015-01-19,99.2
2015-01-20,96.5
2015-01-21,95.5
2015-01-22,92.05
2015-01-23,88.85
2015-01-27,88.7
2015-01-28,94.4
2015-01-29,95.1
2015-01-30,90.6
2015-02-02,94.75
2015-02-03,93.0
2015-02-04,91.35
2015-02-05,91.65
2015-02-06,88.75
2015-02-09,86.35
2015-02-10,85.85
2015-02-11,86.95
2015-02-12,86.95
2015-02-13,87.6
2015-02-16,86.55
2015-02-18,88.65
2015-02-19,87.6
2015-02-20,86.1
2015-02-23,84.8
2015-02-24,82.0
2015-02-25,80.75
2015-02-26,78.65
2015-02-27,78.9
2015-02-28,81.7
2015-03-02,84.2
2015-03-03,85.8
2015-03-04,81.95
2015-03-05,80.35
2015-03-09,79.35
2015-03-10,77.1
2015-03-11,77.35
2015-03-12,76.55
2015-03-13,74.85
2015-03-16,72.4
2015-03-17,73.05
2015-03-18,72.2
2015-03-19,71.2
2015-03-20,69.75
2015-03-23,67.9
2015-03-24,64.5
2015-03-25,64.4
2015-03-26,62.95
2015-03-27,66.5
2015-03-30,70.05
2015-03-31,69.65
2015-04-01,69.95
2015-04-06,71.6
2015-04-07,69.95
2015-04-08,70.7
2015-04-09,69.75
2015-04-10,73.9
2015-04-13,78.75
2015-04-15,84.85
2015-04-16,82.85
2015-04-17,82.95
2015-04-20,79.9
2015-04-21,77.6
2015-04-22,78.2
2015-04-23,83.7
2015-04-24,79.25
2015-04-27,77.2
2015-04-28,81.95
2015-04-29,79.7
2015-04-30,77.3
2015-05-04,79.9
2015-05-05,79.0
2015-05-06,75.05
2015-05-07,73.45
2015-05-08,76.75
2015-05-11,78.95
2015-05-12,76.15
2015-05-13,76.5
2015-05-14,77.6
2015-05-15,77.45
2015-05-18,79.0
2015-05-19,78.6
2015-05-20,75.95
2015-05-21,77.15
2015-05-22,76.45
2015-05-25,76.85
2015-05-26,79.1
2015-05-27,82.5
2015-05-28,83.8
2015-05-29,83.75
2015-06-01,86.45
2015-06-02,81.35
2015-06-03,77.35
2015-06-04,79.6
2015-06-05,78.4
2015-06-08,78.1
2015-06-09,79.5
2015-06-10,79.95
2015-06-11,78.4
2015-06-12,78.05
2015-06-15,77.4
2015-06-16,78.85
2015-06-17,78.65
2015-06-18,80.0
2015-06-19,80.25
2015-06-22,78.85
2015-06-23,78.05
2015-06-24,78.5
2015-06-25,79.45
2015-06-26,78.1
2015-06-29,78.35
2015-06-30,82.8
2015-07-01,84.0
2015-07-02,86.25
2015-07-03,86.55
2015-07-06,86.8
2015-07-07,86.4
2015-07-08,83.7
2015-07-09,84.2
2015-07-10,82.8
2015-07-13,85.1
2015-07-14,87.25
2015-07-15,88.3
2015-07-16,88.45
2015-07-17,87.4
2015-07-20,91.45
2015-07-21,87.8
2015-07-22,89.25
2015-07-23,88.6
2015-07-24,86.45
2015-07-27,85.75
2015-07-28,84.7
2015-07-29,85.2
2015-07-30,98.05
2015-07-31,106.5
2015-08-03,105.8
2015-08-04,112.7
2015-08-05,110.8
2015-08-06,108.3
2015-08-07,108.4
2015-08-10,117.6
2015-08-11,117.2
2015-08-12,106.8
2015-08-13,103.1
2015-08-14,111.75
2015-08-17,129.7
2015-08-18,133.7
2015-08-19,144.2
2015-08-20,133.55
2015-08-21,127.8
2015-08-24,115.05
2015-08-25,112.55
2015-08-26,115.05
2015-08-27,118.9
2015-08-28,116.6
2015-08-31,116.95
2015-09-01,110.45
2015-09-02,115.3
2015-09-03,115.85
2015-09-04,112.35
2015-09-07,104.25
2015-09-08,106.85
2015-09-09,108.95
2015-09-10,106.7
2015-09-11,104.95
2015-09-14,105.8
2015-09-15,100.45
2015-09-16,99.5
2015-09-18,107.35
2015-09-21,112.65
2015-09-22,106.0
2015-09-23,109.2
2015-09-24,112.05
2015-09-28,109.0
2015-09-29,109.6
2015-09-30,113.1
2015-10-01,118.8
2015-10-05,123.45
2015-10-06,118.15
2015-10-07,118.85
2015-10-08,118.05
2015-10-09,117.65
2015-10-12,117.95
2015-10-13,120.7
2015-10-14,124.85
2015-10-15,124.6
2015-10-16,123.1
2015-10-19,128.8
2015-10-20,126.75
2015-10-21,127.9
2015-10-23,131.45
2015-10-26,127.95
2015-10-27,127.35
2015-10-28,125.2
2015-10-29,125.8
2015-10-30,123.5
2015-11-02,120.55
2015-11-03,122.75
2015-11-04,120.05
2015-11-05,117.25
2015-11-06,112.5
2015-11-09,118.7
2015-11-10,116.05
2015-11-11,120.1
2015-11-13,122.25
2015-11-16,120.35
2015-11-17,118.85
2015-11-18,117.5
2015-11-19,120.9
2015-11-20,119.15
2015-11-23,123.45
2015-11-24,124.05
2015-11-26,127.5
2015-11-27,129.5
2015-11-30,126.8
2015-12-01,124.8
2015-12-02,122.5
2015-12-03,125.35
2015-12-04,121.85
2015-12-07,120.1
2015-12-08,118.7
2015-12-09,115.6
2015-12-10,118.95
2015-12-11,116.55
2015-12-14,119.3
2015-12-15,122.85
2015-12-16,122.0
2015-12-17,122.6
2015-12-18,123.5
2015-12-21,123.8
2015-12-22,120.4
2015-12-23,119.1
2015-12-24,119.85
2015-12-28,122.75
2015-12-29,123.45
2015-12-30,121.5
2015-12-31,122.4
