Date,TAJGVK
2015-01-01,90.9
2015-01-02,92.85
2015-01-05,94.4
2015-01-06,88.9
2015-01-07,88.0
2015-01-08,91.3
2015-01-09,90.35
2015-01-12,89.35
2015-01-13,87.5
2015-01-14,87.35
2015-01-15,87.4
2015-01-16,85.55
2015-01-19,87.55
2015-01-20,87.45
2015-01-21,87.2
2015-01-22,89.0
2015-01-23,88.1
2015-01-27,88.2
2015-01-28,86.4
2015-01-29,85.65
2015-01-30,84.7
2015-02-02,84.45
2015-02-03,83.45
2015-02-04,85.65
2015-02-05,84.5
2015-02-06,80.9
2015-02-09,76.7
2015-02-10,75.85
2015-02-11,75.85
2015-02-12,76.4
2015-02-13,76.85
2015-02-16,77.5
2015-02-18,76.4
2015-02-19,76.0
2015-02-20,74.75
2015-02-23,76.7
2015-02-24,75.75
2015-02-25,75.0
2015-02-26,75.75
2015-02-27,75.6
2015-02-28,75.95
2015-03-02,77.9
2015-03-03,81.05
2015-03-04,78.55
2015-03-05,76.9
2015-03-09,75.75
2015-03-10,74.65
2015-03-11,73.05
2015-03-12,73.9
2015-03-13,73.05
2015-03-16,71.7
2015-03-17,70.65
2015-03-18,70.3
2015-03-19,72.05
2015-03-20,70.1
2015-03-23,69.55
2015-03-24,68.1
2015-03-25,68.45
2015-03-26,68.0
2015-03-27,69.75
2015-03-30,70.3
2015-03-31,68.95
2015-04-01,72.0
2015-04-06,73.05
2015-04-07,73.35
2015-04-08,73.8
2015-04-09,73.5
2015-04-10,75.3
2015-04-13,74.5
2015-04-15,73.4
2015-04-16,73.85
2015-04-17,73.55
2015-04-20,71.45
2015-04-21,71.5
2015-04-22,71.65
2015-04-23,71.8
2015-04-24,69.7
2015-04-27,68.75
2015-04-28,70.1
2015-04-29,69.1
2015-04-30,70.25
2015-05-04,71.45
2015-05-05,71.75
2015-05-06,68.65
2015-05-07,67.4
2015-05-08,68.6
2015-05-11,69.2
2015-05-12,67.45
2015-05-13,67.55
2015-05-14,66.5
2015-05-15,65.45
2015-05-18,66.15
2015-05-19,67.0
2015-05-20,67.45
2015-05-21,66.65
2015-05-22,67.55
2015-05-25,68.4
2015-05-26,67.0
2015-05-27,65.9
2015-05-28,65.6
2015-05-29,67.3
2015-06-01,68.1
2015-06-02,66.1
2015-06-03,63.7
2015-06-04,65.9
2015-06-05,66.15
2015-06-08,67.0
2015-06-09,66.15
2015-06-10,65.3
2015-06-11,63.4
2015-06-12,63.6
2015-06-15,62.6
2015-06-16,60.95
2015-06-17,65.95
2015-06-18,69.55
2015-06-19,66.0
2015-06-22,65.0
2015-06-23,65.15
2015-06-24,64.9
2015-06-25,67.6
2015-06-26,72.8
2015-06-29,70.4
2015-06-30,70.7
2015-07-01,69.7
2015-07-02,69.4
2015-07-03,68.05
2015-07-06,68.55
2015-07-07,69.4
2015-07-08,70.0
2015-07-09,69.45
2015-07-10,68.6
2015-07-13,68.45
2015-07-14,70.1
2015-07-15,73.4
2015-07-16,72.2
2015-07-17,71.75
2015-07-20,72.5
2015-07-21,69.9
2015-07-22,70.3
2015-07-23,69.8
2015-07-24,68.1
2015-07-27,68.5
2015-07-28,68.3
2015-07-29,73.05
2015-07-30,72.7
2015-07-31,71.35
2015-08-03,72.15
2015-08-04,72.7
2015-08-05,72.1
2015-08-06,75.95
2015-08-07,76.2
2015-08-10,81.6
2015-08-11,81.85
2015-08-12,76.15
2015-08-13,73.4
2015-08-14,73.8
2015-08-17,74.4
2015-08-18,74.25
2015-08-19,73.15
2015-08-20,71.35
2015-08-21,71.45
2015-08-24,64.55
2015-08-25,64.95
2015-08-26,65.15
2015-08-27,65.5
2015-08-28,65.45
2015-08-31,66.0
2015-09-01,63.45
2015-09-02,63.75
2015-09-03,64.75
2015-09-04,65.0
2015-09-07,68.85
2015-09-08,69.15
2015-09-09,69.25
2015-09-10,69.7
2015-09-11,69.3
2015-09-14,69.1
2015-09-15,71.05
2015-09-16,69.2
2015-09-18,70.0
2015-09-21,69.3
2015-09-22,69.2
2015-09-23,70.05
2015-09-24,70.2
2015-09-28,70.4
2015-09-29,69.15
2015-09-30,68.95
2015-10-01,69.0
2015-10-05,70.85
2015-10-06,70.6
2015-10-07,73.7
2015-10-08,73.55
2015-10-09,73.15
2015-10-12,71.4
2015-10-13,71.5
2015-10-14,71.5
2015-10-15,80.35
2015-10-16,84.8
2015-10-19,79.75
2015-10-20,82.55
2015-10-21,81.8
2015-10-23,78.95
2015-10-26,81.45
2015-10-27,80.0
2015-10-28,79.6
2015-10-29,80.05
2015-10-30,79.95
2015-11-02,79.75
2015-11-03,79.9
2015-11-04,78.6
2015-11-05,78.05
2015-11-06,75.05
2015-11-09,75.7
2015-11-10,74.65
2015-11-11,76.95
2015-11-13,78.15
2015-11-16,77.4
2015-11-17,77.35
2015-11-18,76.0
2015-11-19,77.45
2015-11-20,81.1
2015-11-23,91.0
2015-11-24,88.45
2015-11-26,85.5
2015-11-27,88.5
2015-11-30,91.65
2015-12-01,91.2
2015-12-02,97.3
2015-12-03,98.7
2015-12-04,101.25
2015-12-07,96.35
2015-12-08,95.65
2015-12-09,91.35
2015-12-10,90.2
2015-12-11,91.1
2015-12-14,96.35
2015-12-15,97.7
2015-12-16,97.75
2015-12-17,99.3
2015-12-18,99.7
2015-12-21,98.65
2015-12-22,96.5
2015-12-23,98.05
2015-12-24,97.65
2015-12-28,96.6
2015-12-29,95.75
2015-12-30,95.75
2015-12-31,101.25
