Date,RADICO
2015-01-01,87.4
2015-01-02,88.65
2015-01-05,87.5
2015-01-06,85.5
2015-01-07,84.4
2015-01-08,86.3
2015-01-09,84.6
2015-01-12,85.75
2015-01-13,87.55
2015-01-14,85.1
2015-01-15,84.25
2015-01-16,84.7
2015-01-19,93.5
2015-01-20,91.75
2015-01-21,90.1
2015-01-22,89.15
2015-01-23,87.85
2015-01-27,87.7
2015-01-28,90.55
2015-01-29,94.35
2015-01-30,95.7
2015-02-02,95.8
2015-02-03,96.05
2015-02-04,94.3
2015-02-05,94.85
2015-02-06,94.7
2015-02-09,87.45
2015-02-10,85.9
2015-02-11,85.3
2015-02-12,86.45
2015-02-13,86.1
2015-02-16,85.05
2015-02-18,86.65
2015-02-19,87.15
2015-02-20,86.5
2015-02-23,86.9
2015-02-24,88.35
2015-02-25,88.0
2015-02-26,87.55
2015-02-27,88.0
2015-02-28,86.95
2015-03-02,87.95
2015-03-03,87.4
2015-03-04,93.2
2015-03-05,95.45
2015-03-09,93.3
2015-03-10,92.3
2015-03-11,92.6
2015-03-12,94.35
2015-03-13,92.85
2015-03-16,91.3
2015-03-17,89.0
2015-03-18,89.15
2015-03-19,87.95
2015-03-20,88.05
2015-03-23,87.55
2015-03-24,88.75
2015-03-25,86.0
2015-03-26,85.15
2015-03-27,82.85
2015-03-30,86.95
2015-03-31,89.55
2015-04-01,89.85
2015-04-06,89.1
2015-04-07,93.25
2015-04-08,94.55
2015-04-09,93.5
2015-04-10,94.7
2015-04-13,99.55
2015-04-15,97.35
2015-04-16,96.15
2015-04-17,98.05
2015-04-20,95.05
2015-04-21,94.3
2015-04-22,91.05
2015-04-23,93.2
2015-04-24,89.65
2015-04-27,88.5
2015-04-28,88.95
2015-04-29,88.6
2015-04-30,90.15
2015-05-04,92.0
2015-05-05,91.5
2015-05-06,89.9
2015-05-07,87.05
2015-05-08,88.1
2015-05-11,88.05
2015-05-12,88.1
2015-05-13,89.1
2015-05-14,88.25
2015-05-15,87.85
2015-05-18,88.55
2015-05-19,88.3
2015-05-20,87.3
2015-05-21,90.25
2015-05-22,91.4
2015-05-25,89.95
2015-05-26,88.7
2015-05-27,87.05
2015-05-28,86.6
2015-05-29,86.65
2015-06-01,85.95
2015-06-02,85.3
2015-06-03,85.4
2015-06-04,86.75
2015-06-05,88.1
2015-06-08,85.95
2015-06-09,85.15
2015-06-10,84.05
2015-06-11,82.65
2015-06-12,80.2
2015-06-15,81.05
2015-06-16,80.85
2015-06-17,83.05
2015-06-18,83.9
2015-06-19,81.95
2015-06-22,83.25
2015-06-23,81.95
2015-06-24,82.0
2015-06-25,80.4
2015-06-26,80.9
2015-06-29,80.3
2015-06-30,81.75
2015-07-01,81.8
2015-07-02,81.65
2015-07-03,81.25
2015-07-06,83.0
2015-07-07,88.1
2015-07-08,87.7
2015-07-09,84.45
2015-07-10,82.7
2015-07-13,82.65
2015-07-14,81.95
2015-07-15,82.75
2015-07-16,82.7
2015-07-17,83.65
2015-07-20,85.1
2015-07-21,85.0
2015-07-22,86.2
2015-07-23,86.8
2015-07-24,91.85
2015-07-27,89.05
2015-07-28,87.75
2015-07-29,91.7
2015-07-30,92.85
2015-07-31,94.2
2015-08-03,93.2
2015-08-04,94.2
2015-08-05,94.0
2015-08-06,97.55
2015-08-07,98.85
2015-08-10,98.15
2015-08-11,95.05
2015-08-12,95.0
2015-08-13,92.0
2015-08-14,95.3
2015-08-17,94.15
2015-08-18,92.35
2015-08-19,93.1
2015-08-20,94.15
2015-08-21,93.2
2015-08-24,90.1
2015-08-25,88.95
2015-08-26,90.3
2015-08-27,93.6
2015-08-28,91.2
2015-08-31,89.5
2015-09-01,86.35
2015-09-02,87.55
2015-09-03,86.8
2015-09-04,84.85
2015-09-07,83.05
2015-09-08,83.95
2015-09-09,87.45
2015-09-10,85.15
2015-09-11,85.75
2015-09-14,85.15
2015-09-15,84.15
2015-09-16,84.1
2015-09-18,84.75
2015-09-21,85.9
2015-09-22,84.35
2015-09-23,84.1
2015-09-24,82.8
2015-09-28,83.65
2015-09-29,83.5
2015-09-30,84.3
2015-10-01,86.75
2015-10-05,86.45
2015-10-06,85.95
2015-10-07,86.45
2015-10-08,85.8
2015-10-09,85.45
2015-10-12,84.25
2015-10-13,85.3
2015-10-14,88.25
2015-10-15,88.6
2015-10-16,93.2
2015-10-19,94.75
2015-10-20,99.6
2015-10-21,97.45
2015-10-23,99.8
2015-10-26,96.6
2015-10-27,97.35
2015-10-28,100.95
2015-10-29,102.85
2015-10-30,101.85
2015-11-02,103.7
2015-11-03,108.8
2015-11-04,107.95
2015-11-05,105.4
2015-11-06,103.45
2015-11-09,109.2
2015-11-10,108.5
2015-11-11,110.95
2015-11-13,120.9
2015-11-16,124.7
2015-11-17,122.35
2015-11-18,117.7
2015-11-19,120.6
2015-11-20,123.2
2015-11-23,129.1
2015-11-24,122.45
2015-11-26,114.65
2015-11-27,114.8
2015-11-30,113.7
2015-12-01,109.9
2015-12-02,112.5
2015-12-03,110.75
2015-12-04,107.8
2015-12-07,108.6
2015-12-08,104.0
2015-12-09,101.35
2015-12-10,106.3
2015-12-11,104.4
2015-12-14,109.85
2015-12-15,107.8
2015-12-16,110.45
2015-12-17,112.75
2015-12-18,115.8
2015-12-21,115.55
2015-12-22,113.65
2015-12-23,111.7
2015-12-24,114.7
2015-12-28,112.75
2015-12-29,111.65
2015-12-30,115.05
2015-12-31,119.5
