Date,DALMIABHA
2015-01-01,448.7
2015-01-02,434.55
2015-01-05,434.9
2015-01-06,417.8
2015-01-07,412.75
2015-01-08,413.9
2015-01-09,414.05
2015-01-12,456.75
2015-01-13,463.95
2015-01-14,467.1
2015-01-15,468.2
2015-01-16,471.75
2015-01-19,464.5
2015-01-20,473.35
2015-01-21,466.5
2015-01-22,463.8
2015-01-23,469.6
2015-01-27,474.1
2015-01-28,486.05
2015-01-29,502.05
2015-01-30,480.05
2015-02-02,481.95
2015-02-03,500.0
2015-02-04,488.85
2015-02-05,470.45
2015-02-06,453.35
2015-02-09,431.1
2015-02-10,444.35
2015-02-11,460.65
2015-02-12,458.4
2015-02-13,468.7
2015-02-16,474.1
2015-02-18,467.4
2015-02-19,463.6
2015-02-20,466.75
2015-02-23,458.75
2015-02-24,467.1
2015-02-25,479.5
2015-02-26,471.65
2015-02-27,476.55
2015-02-28,477.75
2015-03-02,479.7
2015-03-03,482.4
2015-03-04,470.7
2015-03-05,471.9
2015-03-09,457.2
2015-03-10,462.65
2015-03-11,451.85
2015-03-12,451.6
2015-03-13,435.0
2015-03-16,438.25
2015-03-17,444.25
2015-03-18,440.2
2015-03-19,429.75
2015-03-20,430.1
2015-03-23,430.3
2015-03-24,431.0
2015-03-25,417.75
2015-03-26,414.6
2015-03-27,416.1
2015-03-30,415.55
2015-03-31,424.65
2015-04-01,432.65
2015-04-06,434.65
2015-04-07,431.65
2015-04-08,453.35
2015-04-09,452.6
2015-04-10,471.4
2015-04-13,463.7
2015-04-15,470.6
2015-04-16,459.95
2015-04-17,446.45
2015-04-20,461.8
2015-04-21,471.15
2015-04-22,468.5
2015-04-23,471.5
2015-04-24,456.7
2015-04-27,428.9
2015-04-28,450.05
2015-04-29,437.7
2015-04-30,439.9
2015-05-04,454.85
2015-05-05,456.45
2015-05-06,436.45
2015-05-07,422.6
2015-05-08,443.85
2015-05-11,451.95
2015-05-12,430.2
2015-05-13,473.2
2015-05-14,491.55
2015-05-15,504.35
2015-05-18,511.9
2015-05-19,515.25
2015-05-20,527.3
2015-05-21,535.5
2015-05-22,551.2
2015-05-25,560.9
2015-05-26,583.05
2015-05-27,610.25
2015-05-28,581.35
2015-05-29,606.9
2015-06-01,633.3
2015-06-02,602.25
2015-06-03,578.75
2015-06-04,578.15
2015-06-05,571.0
2015-06-08,541.0
2015-06-09,577.7
2015-06-10,600.05
2015-06-11,587.25
2015-06-12,586.45
2015-06-15,580.05
2015-06-16,587.55
2015-06-17,600.5
2015-06-18,601.75
2015-06-19,600.7
2015-06-22,617.4
2015-06-23,613.25
2015-06-24,619.3
2015-06-25,583.8
2015-06-26,582.55
2015-06-29,590.3
2015-06-30,587.15
2015-07-01,601.3
2015-07-02,588.85
2015-07-03,591.2
2015-07-06,582.65
2015-07-07,592.3
2015-07-08,583.85
2015-07-09,590.15
2015-07-10,581.65
2015-07-13,588.7
2015-07-14,601.25
2015-07-15,608.35
2015-07-16,614.75
2015-07-17,605.65
2015-07-20,598.1
2015-07-21,595.15
2015-07-22,589.85
2015-07-23,594.25
2015-07-24,616.5
2015-07-27,620.85
2015-07-28,639.0
2015-07-29,711.45
2015-07-30,709.65
2015-07-31,711.95
2015-08-03,716.25
2015-08-04,707.5
2015-08-05,715.5
2015-08-06,704.35
2015-08-07,710.15
2015-08-10,703.65
2015-08-11,691.15
2015-08-12,669.8
2015-08-13,652.55
2015-08-14,651.25
2015-08-17,665.4
2015-08-18,665.55
2015-08-19,671.05
2015-08-20,680.05
2015-08-21,669.9
2015-08-24,620.3
2015-08-25,629.7
2015-08-26,630.0
2015-08-27,641.5
2015-08-28,676.95
2015-08-31,689.3
2015-09-01,683.95
2015-09-02,661.0
2015-09-03,678.1
2015-09-04,632.25
2015-09-07,639.4
2015-09-08,644.65
2015-09-09,649.75
2015-09-10,657.1
2015-09-11,648.35
2015-09-14,660.25
2015-09-15,663.9
2015-09-16,663.0
2015-09-18,660.25
2015-09-21,664.2
2015-09-22,655.3
2015-09-23,654.95
2015-09-24,646.75
2015-09-28,647.25
2015-09-29,648.9
2015-09-30,649.9
2015-10-01,649.65
2015-10-05,657.0
2015-10-06,688.7
2015-10-07,685.4
2015-10-08,691.45
2015-10-09,683.35
2015-10-12,680.85
2015-10-13,695.4
2015-10-14,690.85
2015-10-15,692.1
2015-10-16,695.55
2015-10-19,701.1
2015-10-20,715.4
2015-10-21,715.0
2015-10-23,712.2
2015-10-26,711.2
2015-10-27,701.5
2015-10-28,706.15
2015-10-29,701.3
2015-10-30,702.55
2015-11-02,716.65
2015-11-03,703.3
2015-11-04,707.35
2015-11-05,712.85
2015-11-06,718.15
2015-11-09,710.35
2015-11-10,712.95
2015-11-11,718.3
2015-11-13,717.85
2015-11-16,716.6
2015-11-17,714.9
2015-11-18,719.7
2015-11-19,724.55
2015-11-20,720.25
2015-11-23,727.7
2015-11-24,726.7
2015-11-26,745.15
2015-11-27,755.85
2015-11-30,746.8
2015-12-01,748.65
2015-12-02,763.65
2015-12-03,779.15
2015-12-04,789.5
2015-12-07,771.95
2015-12-08,784.3
2015-12-09,756.15
2015-12-10,762.75
2015-12-11,755.55
2015-12-14,779.65
2015-12-15,774.9
2015-12-16,772.95
2015-12-17,774.5
2015-12-18,773.65
2015-12-21,780.9
2015-12-22,782.35
2015-12-23,782.65
2015-12-24,780.85
2015-12-28,783.45
2015-12-29,793.85
2015-12-30,826.9
2015-12-31,864.15
