Date,ZEEMEDIA
2015-01-01,19.05
2015-01-02,18.85
2015-01-05,19.8
2015-01-06,18.85
2015-01-07,18.7
2015-01-08,19.15
2015-01-09,19.0
2015-01-12,18.9
2015-01-13,18.85
2015-01-14,18.25
2015-01-15,18.55
2015-01-16,18.85
2015-01-19,18.95
2015-01-20,19.05
2015-01-21,19.35
2015-01-22,18.7
2015-01-23,18.35
2015-01-27,18.0
2015-01-28,18.3
2015-01-29,18.3
2015-01-30,18.3
2015-02-02,18.25
2015-02-03,18.1
2015-02-04,18.0
2015-02-05,17.65
2015-02-06,17.1
2015-02-09,16.35
2015-02-10,15.9
2015-02-11,15.4
2015-02-12,15.45
2015-02-13,16.05
2015-02-16,16.05
2015-02-18,16.0
2015-02-19,15.95
2015-02-20,16.3
2015-02-23,15.95
2015-02-24,16.6
2015-02-25,16.55
2015-02-26,16.9
2015-02-27,16.6
2015-02-28,17.6
2015-03-02,17.25
2015-03-03,17.25
2015-03-04,17.35
2015-03-05,17.3
2015-03-09,17.2
2015-03-10,17.65
2015-03-11,17.25
2015-03-12,17.35
2015-03-13,17.4
2015-03-16,17.1
2015-03-17,17.3
2015-03-18,17.2
2015-03-19,16.95
2015-03-20,16.5
2015-03-23,17.35
2015-03-24,16.9
2015-03-25,17.3
2015-03-26,17.25
2015-03-27,17.0
2015-03-30,17.45
2015-03-31,17.7
2015-04-01,18.25
2015-04-06,18.5
2015-04-07,19.05
2015-04-08,18.8
2015-04-09,20.3
2015-04-10,22.15
2015-04-13,21.15
2015-04-15,21.65
2015-04-16,21.15
2015-04-17,20.35
2015-04-20,19.65
2015-04-21,20.0
2015-04-22,19.55
2015-04-23,20.1
2015-04-24,19.2
2015-04-27,19.0
2015-04-28,19.25
2015-04-29,18.8
2015-04-30,18.65
2015-05-04,19.05
2015-05-05,19.5
2015-05-06,18.45
2015-05-07,18.05
2015-05-08,18.25
2015-05-11,18.95
2015-05-12,18.0
2015-05-13,18.1
2015-05-14,18.05
2015-05-15,17.95
2015-05-18,18.1
2015-05-19,18.0
2015-05-20,18.05
2015-05-21,18.25
2015-05-22,18.15
2015-05-25,18.0
2015-05-26,18.05
2015-05-27,18.05
2015-05-28,18.0
2015-05-29,18.0
2015-06-01,17.95
2015-06-02,17.8
2015-06-03,16.2
2015-06-04,16.6
2015-06-05,16.75
2015-06-08,16.55
2015-06-09,16.45
2015-06-10,16.45
2015-06-11,15.85
2015-06-12,16.0
2015-06-15,16.35
2015-06-16,16.45
2015-06-17,16.65
2015-06-18,17.0
2015-06-19,17.0
2015-06-22,17.4
2015-06-23,17.1
2015-06-24,17.15
2015-06-25,17.05
2015-06-26,17.15
2015-06-29,16.8
2015-06-30,16.8
2015-07-01,17.0
2015-07-02,18.6
2015-07-03,17.8
2015-07-06,18.4
2015-07-07,18.1
2015-07-08,17.75
2015-07-09,17.6
2015-07-10,19.35
2015-07-13,19.05
2015-07-14,19.75
2015-07-15,19.85
2015-07-16,19.75
2015-07-17,20.2
2015-07-20,20.7
2015-07-21,20.2
2015-07-22,20.4
2015-07-23,20.1
2015-07-24,20.05
2015-07-27,19.9
2015-07-28,19.45
2015-07-29,19.65
2015-07-30,19.35
2015-07-31,19.6
2015-08-03,20.05
2015-08-04,20.2
2015-08-05,20.65
2015-08-06,21.6
2015-08-07,21.55
2015-08-10,20.35
2015-08-11,19.6
2015-08-12,19.05
2015-08-13,18.75
2015-08-14,18.8
2015-08-17,18.55
2015-08-18,20.15
2015-08-19,21.65
2015-08-20,20.7
2015-08-21,20.35
2015-08-24,17.95
2015-08-25,18.1
2015-08-26,18.7
2015-08-27,19.35
2015-08-28,18.9
2015-08-31,18.35
2015-09-01,18.1
2015-09-02,18.2
2015-09-03,18.55
2015-09-04,17.65
2015-09-07,17.2
2015-09-08,17.05
2015-09-09,17.45
2015-09-10,17.15
2015-09-11,17.25
2015-09-14,17.35
2015-09-15,17.15
2015-09-16,17.05
2015-09-18,17.3
2015-09-21,17.45
2015-09-22,17.15
2015-09-23,17.2
2015-09-24,17.0
2015-09-28,16.95
2015-09-29,16.9
2015-09-30,17.4
2015-10-01,17.3
2015-10-05,17.55
2015-10-06,17.65
2015-10-07,18.5
2015-10-08,18.2
2015-10-09,18.0
2015-10-12,17.9
2015-10-13,19.25
2015-10-14,21.85
2015-10-15,21.85
2015-10-16,21.6
2015-10-19,23.0
2015-10-20,21.25
2015-10-21,20.4
2015-10-23,20.25
2015-10-26,20.25
2015-10-27,20.9
2015-10-28,21.35
2015-10-29,21.2
2015-10-30,22.45
2015-11-02,22.4
2015-11-03,22.65
2015-11-04,22.1
2015-11-05,21.2
2015-11-06,21.05
2015-11-09,21.65
2015-11-10,21.05
2015-11-11,22.8
2015-11-13,25.5
2015-11-16,24.9
2015-11-17,24.5
2015-11-18,23.5
2015-11-19,23.8
2015-11-20,25.05
2015-11-23,25.1
2015-11-24,24.95
2015-11-26,25.15
2015-11-27,25.05
2015-11-30,25.1
2015-12-01,24.45
2015-12-02,23.8
2015-12-03,24.75
2015-12-04,25.2
2015-12-07,25.55
2015-12-08,24.55
2015-12-09,23.15
2015-12-10,23.65
2015-12-11,23.0
2015-12-14,23.55
2015-12-15,23.7
2015-12-16,23.6
2015-12-17,24.25
2015-12-18,23.8
2015-12-21,24.2
2015-12-22,23.9
2015-12-23,23.8
2015-12-24,24.0
2015-12-28,23.75
2015-12-29,23.65
2015-12-30,23.3
2015-12-31,23.2
