Date,TTML
2015-01-01,8.05
2015-01-02,8.8
2015-01-05,9.3
2015-01-06,8.75
2015-01-07,8.8
2015-01-08,8.65
2015-01-09,8.55
2015-01-12,8.45
2015-01-13,8.35
2015-01-14,10.0
2015-01-15,10.15
2015-01-16,9.1
2015-01-19,9.25
2015-01-20,9.95
2015-01-21,10.2
2015-01-22,9.9
2015-01-23,9.6
2015-01-27,9.4
2015-01-28,9.2
2015-01-29,9.3
2015-01-30,9.15
2015-02-02,9.2
2015-02-03,9.1
2015-02-04,9.1
2015-02-05,8.9
2015-02-06,8.75
2015-02-09,8.45
2015-02-10,8.45
2015-02-11,8.45
2015-02-12,8.95
2015-02-13,8.75
2015-02-16,8.8
2015-02-18,8.85
2015-02-19,9.0
2015-02-20,9.05
2015-02-23,8.9
2015-02-24,8.75
2015-02-25,8.85
2015-02-26,8.7
2015-02-27,8.75
2015-02-28,8.65
2015-03-02,8.6
2015-03-03,9.15
2015-03-04,8.85
2015-03-05,8.75
2015-03-09,8.5
2015-03-10,8.65
2015-03-11,8.85
2015-03-12,9.05
2015-03-13,8.75
2015-03-16,8.55
2015-03-17,8.45
2015-03-18,8.4
2015-03-19,8.25
2015-03-20,8.1
2015-03-23,7.85
2015-03-24,7.65
2015-03-25,7.8
2015-03-26,7.8
2015-03-27,7.7
2015-03-30,7.9
2015-03-31,7.85
2015-04-01,8.2
2015-04-06,7.9
2015-04-07,8.05
2015-04-08,7.95
2015-04-09,7.9
2015-04-10,8.2
2015-04-13,8.1
2015-04-15,8.5
2015-04-16,8.3
2015-04-17,8.45
2015-04-20,8.15
2015-04-21,8.05
2015-04-22,8.0
2015-04-23,8.0
2015-04-24,7.8
2015-04-27,7.6
2015-04-28,7.6
2015-04-29,7.65
2015-04-30,7.6
2015-05-04,7.75
2015-05-05,7.75
2015-05-06,7.65
2015-05-07,7.5
2015-05-08,7.45
2015-05-11,7.6
2015-05-12,7.4
2015-05-13,7.45
2015-05-14,7.5
2015-05-15,7.5
2015-05-18,7.5
2015-05-19,7.45
2015-05-20,7.45
2015-05-21,7.4
2015-05-22,7.2
2015-05-25,7.1
2015-05-26,7.0
2015-05-27,6.85
2015-05-28,6.95
2015-05-29,7.1
2015-06-01,7.15
2015-06-02,6.95
2015-06-03,6.5
2015-06-04,6.6
2015-06-05,6.55
2015-06-08,6.25
2015-06-09,6.5
2015-06-10,6.55
2015-06-11,6.45
2015-06-12,6.45
2015-06-15,6.5
2015-06-16,6.55
2015-06-17,6.3
2015-06-18,6.5
2015-06-19,6.6
2015-06-22,6.75
2015-06-23,6.75
2015-06-24,6.6
2015-06-25,6.65
2015-06-26,6.6
2015-06-29,6.55
2015-06-30,6.6
2015-07-01,6.65
2015-07-02,6.85
2015-07-03,7.1
2015-07-06,6.95
2015-07-07,7.0
2015-07-08,6.9
2015-07-09,7.15
2015-07-10,7.05
2015-07-13,7.1
2015-07-14,7.15
2015-07-15,7.2
2015-07-16,7.1
2015-07-17,7.05
2015-07-20,8.45
2015-07-21,8.05
2015-07-22,8.0
2015-07-23,7.95
2015-07-24,7.65
2015-07-27,7.4
2015-07-28,7.3
2015-07-29,7.2
2015-07-30,7.25
2015-07-31,7.55
2015-08-03,7.55
2015-08-04,7.55
2015-08-05,7.75
2015-08-06,7.8
2015-08-07,7.7
2015-08-10,7.05
2015-08-11,7.0
2015-08-12,6.85
2015-08-13,7.1
2015-08-14,7.2
2015-08-17,7.25
2015-08-18,7.2
2015-08-19,7.1
2015-08-20,7.0
2015-08-21,7.05
2015-08-24,6.25
2015-08-25,6.2
2015-08-26,6.35
2015-08-27,6.45
2015-08-28,6.6
2015-08-31,6.5
2015-09-01,6.25
2015-09-02,6.2
2015-09-03,6.25
2015-09-04,6.15
2015-09-07,6.25
2015-09-08,6.25
2015-09-09,6.6
2015-09-10,6.5
2015-09-11,6.4
2015-09-14,6.5
2015-09-15,6.4
2015-09-16,6.3
2015-09-18,6.15
2015-09-21,6.35
2015-09-22,6.25
2015-09-23,6.2
2015-09-24,6.25
2015-09-28,6.15
2015-09-29,6.15
2015-09-30,6.2
2015-10-01,6.2
2015-10-05,6.3
2015-10-06,6.4
2015-10-07,6.65
2015-10-08,6.85
2015-10-09,6.75
2015-10-12,6.85
2015-10-13,7.3
2015-10-14,7.15
2015-10-15,7.05
2015-10-16,7.25
2015-10-19,7.2
2015-10-20,7.65
2015-10-21,7.45
2015-10-23,7.35
2015-10-26,7.3
2015-10-27,7.2
2015-10-28,7.1
2015-10-29,7.1
2015-10-30,7.05
2015-11-02,6.95
2015-11-03,6.95
2015-11-04,6.85
2015-11-05,6.45
2015-11-06,6.5
2015-11-09,6.55
2015-11-10,6.5
2015-11-11,6.65
2015-11-13,6.6
2015-11-16,6.65
2015-11-17,6.55
2015-11-18,6.6
2015-11-19,6.75
2015-11-20,6.95
2015-11-23,6.85
2015-11-24,6.9
2015-11-26,7.05
2015-11-27,6.9
2015-11-30,6.7
2015-12-01,6.95
2015-12-02,7.5
2015-12-03,8.3
2015-12-04,8.4
2015-12-07,8.7
2015-12-08,8.75
2015-12-09,7.9
2015-12-10,8.2
2015-12-11,7.95
2015-12-14,7.95
2015-12-15,7.8
2015-12-16,7.85
2015-12-17,7.95
2015-12-18,8.1
2015-12-21,8.25
2015-12-22,8.4
2015-12-23,8.7
2015-12-24,8.75
2015-12-28,8.4
2015-12-29,8.35
2015-12-30,8.2
2015-12-31,8.2
