Date,MONNETISPA
2015-01-01,70.3
2015-01-02,70.45
2015-01-05,70.9
2015-01-06,67.0
2015-01-07,66.9
2015-01-08,67.2
2015-01-09,65.75
2015-01-12,66.25
2015-01-13,66.2
2015-01-14,63.25
2015-01-15,62.75
2015-01-16,62.7
2015-01-19,62.85
2015-01-20,63.0
2015-01-21,62.45
2015-01-22,61.35
2015-01-23,61.85
2015-01-27,62.65
2015-01-28,62.1
2015-01-29,61.95
2015-01-30,61.05
2015-02-02,61.5
2015-02-03,62.15
2015-02-04,61.4
2015-02-05,60.45
2015-02-06,58.6
2015-02-09,56.1
2015-02-10,56.55
2015-02-11,57.3
2015-02-12,56.95
2015-02-13,56.5
2015-02-16,54.95
2015-02-18,54.75
2015-02-19,56.9
2015-02-20,55.85
2015-02-23,61.25
2015-02-24,60.3
2015-02-25,58.8
2015-02-26,57.65
2015-02-27,62.6
2015-02-28,62.05
2015-03-02,61.0
2015-03-03,63.65
2015-03-04,62.45
2015-03-05,64.05
2015-03-09,65.55
2015-03-10,70.95
2015-03-11,66.0
2015-03-12,65.65
2015-03-13,63.3
2015-03-16,58.9
2015-03-17,57.4
2015-03-18,57.15
2015-03-19,55.9
2015-03-20,53.75
2015-03-23,52.7
2015-03-24,53.7
2015-03-25,53.6
2015-03-26,52.25
2015-03-27,49.65
2015-03-30,50.95
2015-03-31,49.95
2015-04-01,51.05
2015-04-06,51.25
2015-04-07,53.1
2015-04-08,53.75
2015-04-09,53.35
2015-04-10,55.35
2015-04-13,55.35
2015-04-15,53.8
2015-04-16,53.9
2015-04-17,53.0
2015-04-20,50.8
2015-04-21,50.25
2015-04-22,50.15
2015-04-23,49.25
2015-04-24,45.95
2015-04-27,44.0
2015-04-28,42.7
2015-04-29,41.9
2015-04-30,41.0
2015-05-04,41.95
2015-05-05,42.35
2015-05-06,39.75
2015-05-07,39.5
2015-05-08,39.4
2015-05-11,39.95
2015-05-12,38.25
2015-05-13,38.55
2015-05-14,38.45
2015-05-15,38.2
2015-05-18,38.35
2015-05-19,37.3
2015-05-20,38.15
2015-05-21,37.75
2015-05-22,37.5
2015-05-25,37.3
2015-05-26,36.3
2015-05-27,35.35
2015-05-28,34.6
2015-05-29,35.3
2015-06-01,32.8
2015-06-02,31.75
2015-06-03,28.5
2015-06-04,28.4
2015-06-05,33.95
2015-06-08,35.05
2015-06-09,34.85
2015-06-10,33.35
2015-06-11,31.8
2015-06-12,30.5
2015-06-15,30.85
2015-06-16,30.2
2015-06-17,32.9
2015-06-18,33.2
2015-06-19,36.25
2015-06-22,35.5
2015-06-23,36.15
2015-06-24,34.6
2015-06-25,35.3
2015-06-26,35.25
2015-06-29,33.95
2015-06-30,34.25
2015-07-01,34.75
2015-07-02,35.85
2015-07-03,35.25
2015-07-06,35.1
2015-07-07,35.05
2015-07-08,35.05
2015-07-09,35.75
2015-07-10,42.9
2015-07-13,45.2
2015-07-14,43.4
2015-07-15,41.95
2015-07-16,41.5
2015-07-17,40.05
2015-07-20,39.95
2015-07-21,37.95
2015-07-22,37.15
2015-07-23,38.3
2015-07-24,39.65
2015-07-27,38.2
2015-07-28,37.55
2015-07-29,37.15
2015-07-30,39.0
2015-07-31,38.6
2015-08-03,39.05
2015-08-04,39.65
2015-08-05,39.1
2015-08-06,38.65
2015-08-07,38.65
2015-08-10,38.5
2015-08-11,37.85
2015-08-12,37.0
2015-08-13,33.6
2015-08-14,33.5
2015-08-17,32.0
2015-08-18,33.0
2015-08-19,32.15
2015-08-20,31.25
2015-08-21,33.0
2015-08-24,28.65
2015-08-25,29.9
2015-08-26,29.35
2015-08-27,30.25
2015-08-28,30.15
2015-08-31,31.0
2015-09-01,29.75
2015-09-02,30.2
2015-09-03,30.5
2015-09-04,28.95
2015-09-07,29.0
2015-09-08,29.15
2015-09-09,31.25
2015-09-10,32.1
2015-09-11,31.95
2015-09-14,32.4
2015-09-15,31.9
2015-09-16,31.6
2015-09-18,31.55
2015-09-21,31.75
2015-09-22,30.65
2015-09-23,30.45
2015-09-24,33.7
2015-09-28,33.7
2015-09-29,34.3
2015-09-30,37.0
2015-10-01,38.3
2015-10-05,40.9
2015-10-06,39.35
2015-10-07,39.4
2015-10-08,39.05
2015-10-09,38.45
2015-10-12,38.4
2015-10-13,38.2
2015-10-14,36.45
2015-10-15,35.85
2015-10-16,38.6
2015-10-19,37.65
2015-10-20,37.25
2015-10-21,37.85
2015-10-23,36.8
2015-10-26,36.55
2015-10-27,35.5
2015-10-28,35.5
2015-10-29,36.1
2015-10-30,36.4
2015-11-02,34.75
2015-11-03,34.3
2015-11-04,33.6
2015-11-05,32.65
2015-11-06,31.6
2015-11-09,32.0
2015-11-10,31.95
2015-11-11,32.25
2015-11-13,32.0
2015-11-16,31.3
2015-11-17,31.8
2015-11-18,31.7
2015-11-19,31.85
2015-11-20,32.65
2015-11-23,32.3
2015-11-24,32.0
2015-11-26,32.2
2015-11-27,33.45
2015-11-30,35.6
2015-12-01,34.85
2015-12-02,34.15
2015-12-03,34.1
2015-12-04,33.6
2015-12-07,33.45
2015-12-08,32.65
2015-12-09,32.2
2015-12-10,32.4
2015-12-11,32.35
2015-12-14,32.25
2015-12-15,31.95
2015-12-16,32.1
2015-12-17,32.85
2015-12-18,33.25
2015-12-21,34.1
2015-12-22,33.75
2015-12-23,33.9
2015-12-24,33.85
2015-12-28,33.8
2015-12-29,33.6
2015-12-30,33.85
2015-12-31,35.35
