Date,GOKEX
2015-01-01,68.45
2015-01-02,69.05
2015-01-05,68.35
2015-01-06,66.4
2015-01-07,66.05
2015-01-08,68.5
2015-01-09,66.65
2015-01-12,66.85
2015-01-13,65.9
2015-01-14,65.8
2015-01-15,65.05
2015-01-16,64.65
2015-01-19,66.0
2015-01-20,65.05
2015-01-21,63.55
2015-01-22,62.95
2015-01-23,59.9
2015-01-27,61.95
2015-01-28,62.1
2015-01-29,60.65
2015-01-30,61.0
2015-02-02,60.5
2015-02-03,59.85
2015-02-04,57.8
2015-02-05,57.45
2015-02-06,55.25
2015-02-09,53.85
2015-02-10,54.1
2015-02-11,54.05
2015-02-12,57.75
2015-02-13,56.55
2015-02-16,51.0
2015-02-18,51.9
2015-02-19,50.8
2015-02-20,52.2
2015-02-23,52.6
2015-02-24,51.25
2015-02-25,51.5
2015-02-26,51.65
2015-02-27,52.2
2015-02-28,51.7
2015-03-02,51.3
2015-03-03,53.75
2015-03-04,54.05
2015-03-05,52.55
2015-03-09,51.8
2015-03-10,50.5
2015-03-11,50.2
2015-03-12,49.85
2015-03-13,48.3
2015-03-16,47.1
2015-03-17,47.75
2015-03-18,46.15
2015-03-19,47.5
2015-03-20,46.4
2015-03-23,43.8
2015-03-24,46.2
2015-03-25,45.6
2015-03-26,43.6
2015-03-27,41.65
2015-03-30,42.95
2015-03-31,41.45
2015-04-01,43.95
2015-04-06,52.7
2015-04-07,48.95
2015-04-08,51.35
2015-04-09,49.45
2015-04-10,49.45
2015-04-13,50.85
2015-04-15,60.8
2015-04-16,56.95
2015-04-17,62.5
2015-04-20,59.5
2015-04-21,63.0
2015-04-22,63.55
2015-04-23,60.7
2015-04-24,58.1
2015-04-27,53.05
2015-04-28,56.4
2015-04-29,55.0
2015-04-30,55.55
2015-05-04,58.65
2015-05-05,58.65
2015-05-06,56.2
2015-05-07,59.5
2015-05-08,59.25
2015-05-11,62.2
2015-05-12,62.75
2015-05-13,62.7
2015-05-14,60.6
2015-05-15,59.9
2015-05-18,61.75
2015-05-19,61.6
2015-05-20,61.75
2015-05-21,60.5
2015-05-22,60.5
2015-05-25,60.95
2015-05-26,57.75
2015-05-27,54.85
2015-05-28,53.55
2015-05-29,53.25
2015-06-01,54.85
2015-06-02,53.3
2015-06-03,52.1
2015-06-04,50.35
2015-06-05,52.75
2015-06-08,50.9
2015-06-09,49.95
2015-06-10,50.65
2015-06-11,49.0
2015-06-12,48.9
2015-06-15,49.65
2015-06-16,49.1
2015-06-17,50.55
2015-06-18,50.3
2015-06-19,49.4
2015-06-22,51.0
2015-06-23,54.75
2015-06-24,55.45
2015-06-25,53.85
2015-06-26,55.1
2015-06-29,54.15
2015-06-30,54.45
2015-07-01,65.3
2015-07-02,63.15
2015-07-03,68.85
2015-07-06,69.7
2015-07-07,68.65
2015-07-08,67.65
2015-07-09,65.35
2015-07-10,65.1
2015-07-13,75.9
2015-07-14,72.65
2015-07-15,69.3
2015-07-16,69.4
2015-07-17,68.5
2015-07-20,67.15
2015-07-21,62.95
2015-07-22,71.95
2015-07-23,77.9
2015-07-24,83.0
2015-07-27,79.6
2015-07-28,78.55
2015-07-29,79.3
2015-07-30,81.4
2015-07-31,84.75
2015-08-03,88.75
2015-08-04,96.35
2015-08-05,89.9
2015-08-06,87.6
2015-08-07,83.85
2015-08-10,84.6
2015-08-11,82.7
2015-08-12,76.05
2015-08-13,65.65
2015-08-14,74.35
2015-08-17,71.45
2015-08-18,73.75
2015-08-19,72.5
2015-08-20,69.85
2015-08-21,69.05
2015-08-24,57.05
2015-08-25,56.5
2015-08-26,57.85
2015-08-27,60.35
2015-08-28,59.8
2015-08-31,58.4
2015-09-01,55.7
2015-09-02,55.9
2015-09-03,57.7
2015-09-04,56.2
2015-09-07,54.3
2015-09-08,53.7
2015-09-09,54.8
2015-09-10,52.6
2015-09-11,55.35
2015-09-14,58.1
2015-09-15,57.1
2015-09-16,55.5
2015-09-18,60.55
2015-09-21,62.6
2015-09-22,58.05
2015-09-23,59.95
2015-09-24,60.05
2015-09-28,59.15
2015-09-29,58.0
2015-09-30,57.9
2015-10-01,56.8
2015-10-05,58.95
2015-10-06,62.15
2015-10-07,62.95
2015-10-08,61.7
2015-10-09,61.25
2015-10-12,58.65
2015-10-13,58.4
2015-10-14,59.55
2015-10-15,61.3
2015-10-16,60.35
2015-10-19,59.6
2015-10-20,58.75
2015-10-21,58.4
2015-10-23,59.7
2015-10-26,58.45
2015-10-27,58.45
2015-10-28,56.65
2015-10-29,57.55
2015-10-30,56.75
2015-11-02,55.25
2015-11-03,57.5
2015-11-04,60.25
2015-11-05,58.55
2015-11-06,58.25
2015-11-09,59.25
2015-11-10,57.0
2015-11-11,63.45
2015-11-13,66.5
2015-11-16,65.7
2015-11-17,63.65
2015-11-18,61.7
2015-11-19,64.95
2015-11-20,63.7
2015-11-23,64.15
2015-11-24,63.5
2015-11-26,64.95
2015-11-27,65.9
2015-11-30,67.35
2015-12-01,67.4
2015-12-02,67.4
2015-12-03,65.15
2015-12-04,63.45
2015-12-07,63.5
2015-12-08,60.9
2015-12-09,59.1
2015-12-10,59.7
2015-12-11,59.3
2015-12-14,58.9
2015-12-15,59.6
2015-12-16,59.95
2015-12-17,65.9
2015-12-18,68.05
2015-12-21,67.7
2015-12-22,67.55
2015-12-23,67.1
2015-12-24,68.6
2015-12-28,68.15
2015-12-29,67.9
2015-12-30,66.35
2015-12-31,66.45
