Date,VAIBHAVGBL
2015-01-01,622.2
2015-01-02,629.65
2015-01-05,632.15
2015-01-06,646.15
2015-01-07,648.9
2015-01-08,663.85
2015-01-09,663.65
2015-01-12,669.4
2015-01-13,673.5
2015-01-14,707.4
2015-01-15,711.8
2015-01-16,709.6
2015-01-19,730.85
2015-01-20,733.75
2015-01-21,752.6
2015-01-22,759.85
2015-01-23,762.7
2015-01-27,770.3
2015-01-28,816.8
2015-01-29,841.85
2015-01-30,825.45
2015-02-02,827.65
2015-02-03,820.4
2015-02-04,822.2
2015-02-05,806.75
2015-02-06,811.95
2015-02-09,811.25
2015-02-10,803.55
2015-02-11,806.6
2015-02-12,815.25
2015-02-13,818.7
2015-02-16,813.25
2015-02-18,800.65
2015-02-19,783.15
2015-02-20,798.6
2015-02-23,806.2
2015-02-24,805.05
2015-02-25,799.45
2015-02-26,806.4
2015-02-27,806.25
2015-02-28,810.95
2015-03-02,825.7
2015-03-03,830.55
2015-03-04,822.7
2015-03-05,820.0
2015-03-09,810.05
2015-03-10,801.5
2015-03-11,787.2
2015-03-12,801.75
2015-03-13,786.8
2015-03-16,776.35
2015-03-17,801.4
2015-03-18,801.1
2015-03-19,782.95
2015-03-20,775.6
2015-03-23,798.65
2015-03-24,792.5
2015-03-25,783.5
2015-03-26,784.85
2015-03-27,796.65
2015-03-30,800.65
2015-03-31,800.85
2015-04-01,804.75
2015-04-06,804.0
2015-04-07,793.6
2015-04-08,809.95
2015-04-09,811.8
2015-04-10,813.0
2015-04-13,816.6
2015-04-15,813.0
2015-04-16,816.9
2015-04-17,804.7
2015-04-20,798.6
2015-04-21,799.55
2015-04-22,799.35
2015-04-23,806.05
2015-04-24,806.4
2015-04-27,795.7
2015-04-28,803.75
2015-04-29,801.35
2015-04-30,799.8
2015-05-04,798.85
2015-05-05,799.8
2015-05-06,790.3
2015-05-07,787.1
2015-05-08,793.05
2015-05-11,779.85
2015-05-12,768.8
2015-05-13,770.05
2015-05-14,776.45
2015-05-15,765.9
2015-05-18,768.05
2015-05-19,776.0
2015-05-20,781.6
2015-05-21,773.5
2015-05-22,660.15
2015-05-25,619.15
2015-05-26,609.4
2015-05-27,600.7
2015-05-28,599.85
2015-05-29,597.75
2015-06-01,586.35
2015-06-02,574.6
2015-06-03,565.6
2015-06-04,562.5
2015-06-05,559.8
2015-06-08,539.6
2015-06-09,544.1
2015-06-10,553.05
2015-06-11,542.5
2015-06-12,539.25
2015-06-15,539.85
2015-06-16,534.6
2015-06-17,533.65
2015-06-18,538.7
2015-06-19,532.25
2015-06-22,525.1
2015-06-23,524.4
2015-06-24,509.85
2015-06-25,507.75
2015-06-26,508.6
2015-06-29,490.7
2015-06-30,489.5
2015-07-01,489.75
2015-07-02,487.95
2015-07-03,488.8
2015-07-06,492.05
2015-07-07,485.8
2015-07-08,469.05
2015-07-09,453.4
2015-07-10,437.25
2015-07-13,449.05
2015-07-14,458.1
2015-07-15,448.1
2015-07-16,440.55
2015-07-17,439.1
2015-07-20,455.25
2015-07-21,453.5
2015-07-22,455.55
2015-07-23,462.8
2015-07-24,465.15
2015-07-27,465.95
2015-07-28,469.0
2015-07-29,402.85
2015-07-30,394.85
2015-07-31,397.3
2015-08-03,397.45
2015-08-04,397.1
2015-08-05,397.4
2015-08-06,398.1
2015-08-07,395.25
2015-08-10,399.05
2015-08-11,398.45
2015-08-12,398.9
2015-08-13,398.8
2015-08-14,400.25
2015-08-17,433.3
2015-08-18,433.55
2015-08-19,429.7
2015-08-20,410.35
2015-08-21,412.5
2015-08-24,398.3
2015-08-25,399.05
2015-08-26,396.3
2015-08-27,398.15
2015-08-28,395.25
2015-08-31,399.9
2015-09-01,390.3
2015-09-02,386.95
2015-09-03,382.95
2015-09-04,379.85
2015-09-07,377.7
2015-09-08,375.1
2015-09-09,384.75
2015-09-10,387.35
2015-09-11,392.5
2015-09-14,393.2
2015-09-15,388.35
2015-09-16,389.55
2015-09-18,376.6
2015-09-21,373.0
2015-09-22,375.65
2015-09-23,374.6
2015-09-24,374.4
2015-09-28,376.9
2015-09-29,374.45
2015-09-30,376.6
2015-10-01,379.4
2015-10-05,369.7
2015-10-06,365.95
2015-10-07,358.9
2015-10-08,360.8
2015-10-09,357.95
2015-10-12,409.95
2015-10-13,424.05
2015-10-14,415.5
2015-10-15,498.6
2015-10-16,539.75
2015-10-19,514.15
2015-10-20,491.7
2015-10-21,497.75
2015-10-23,484.65
2015-10-26,477.8
2015-10-27,460.2
2015-10-28,459.2
2015-10-29,465.95
2015-10-30,484.3
2015-11-02,484.7
2015-11-03,486.25
2015-11-04,475.75
2015-11-05,465.15
2015-11-06,462.1
2015-11-09,456.3
2015-11-10,446.65
2015-11-11,455.0
2015-11-13,453.25
2015-11-16,475.45
2015-11-17,477.1
2015-11-18,467.55
2015-11-19,475.85
2015-11-20,500.15
2015-11-23,515.5
2015-11-24,539.8
2015-11-26,533.35
2015-11-27,526.4
2015-11-30,558.05
2015-12-01,590.9
2015-12-02,579.6
2015-12-03,570.65
2015-12-04,550.95
2015-12-07,541.75
2015-12-08,527.0
2015-12-09,521.1
2015-12-10,536.1
2015-12-11,531.0
2015-12-14,527.0
2015-12-15,519.95
2015-12-16,513.45
2015-12-17,518.1
2015-12-18,514.65
2015-12-21,512.25
2015-12-22,512.6
2015-12-23,507.25
2015-12-24,508.65
2015-12-28,507.55
2015-12-29,504.7
2015-12-30,499.1
2015-12-31,498.75
