Date,AGCNET
2015-01-01,81.35
2015-01-02,80.4
2015-01-05,81.25
2015-01-06,78.1
2015-01-07,77.6
2015-01-08,78.7
2015-01-09,78.25
2015-01-12,76.7
2015-01-13,76.7
2015-01-14,76.4
2015-01-15,76.9
2015-01-16,75.45
2015-01-19,76.05
2015-01-20,76.15
2015-01-21,77.25
2015-01-22,92.5
2015-01-23,91.15
2015-01-27,91.7
2015-01-28,88.6
2015-01-29,87.45
2015-01-30,86.3
2015-02-02,85.65
2015-02-03,87.35
2015-02-04,96.65
2015-02-05,91.0
2015-02-06,88.65
2015-02-09,88.95
2015-02-10,86.15
2015-02-11,90.55
2015-02-12,101.3
2015-02-13,106.1
2015-02-16,104.25
2015-02-18,106.65
2015-02-19,113.5
2015-02-20,111.1
2015-02-23,110.5
2015-02-24,107.35
2015-02-25,104.95
2015-02-26,100.0
2015-02-27,103.7
2015-02-28,100.2
2015-03-02,100.85
2015-03-03,112.2
2015-03-04,110.3
2015-03-05,109.95
2015-03-09,101.35
2015-03-10,104.3
2015-03-11,103.25
2015-03-12,103.05
2015-03-13,100.8
2015-03-16,99.35
2015-03-17,97.5
2015-03-18,98.35
2015-03-19,96.25
2015-03-20,96.3
2015-03-23,92.75
2015-03-24,96.75
2015-03-25,96.15
2015-03-26,92.9
2015-03-27,91.5
2015-03-30,93.75
2015-03-31,91.4
2015-04-01,93.0
2015-04-06,94.85
2015-04-07,92.35
2015-04-08,93.7
2015-04-09,95.05
2015-04-10,105.8
2015-04-13,106.5
2015-04-15,109.8
2015-04-16,106.65
2015-04-17,103.5
2015-04-20,101.1
2015-04-21,100.85
2015-04-22,102.65
2015-04-23,102.35
2015-04-24,96.95
2015-04-27,94.25
2015-04-28,94.4
2015-04-29,96.9
2015-04-30,98.0
2015-05-04,98.1
2015-05-05,101.0
2015-05-06,105.05
2015-05-07,104.7
2015-05-08,103.65
2015-05-11,107.7
2015-05-12,103.15
2015-05-13,104.15
2015-05-14,104.3
2015-05-15,106.0
2015-05-18,104.25
2015-05-19,106.8
2015-05-20,128.15
2015-05-21,135.2
2015-05-22,124.85
2015-05-25,123.3
2015-05-26,120.85
2015-05-27,144.3
2015-05-28,131.45
2015-05-29,120.4
2015-06-01,118.55
2015-06-02,117.0
2015-06-03,106.8
2015-06-04,107.15
2015-06-05,105.9
2015-06-08,101.95
2015-06-09,101.45
2015-06-10,105.05
2015-06-11,101.0
2015-06-12,100.9
2015-06-15,100.75
2015-06-16,102.95
2015-06-17,102.0
2015-06-18,103.1
2015-06-19,104.25
2015-06-22,103.15
2015-06-23,103.1
2015-06-24,103.25
2015-06-25,102.65
2015-06-26,101.9
2015-06-29,101.4
2015-06-30,103.9
2015-07-01,103.25
2015-07-02,102.5
2015-07-03,101.5
2015-07-06,104.85
2015-07-07,109.7
2015-07-08,119.4
2015-07-09,120.25
2015-07-10,118.2
2015-07-13,117.65
2015-07-14,114.1
2015-07-15,115.75
2015-07-16,130.75
2015-07-17,129.5
2015-07-20,133.2
2015-07-21,125.5
2015-07-22,129.6
2015-07-23,128.95
2015-07-24,143.05
2015-07-27,144.4
2015-07-28,141.7
2015-07-29,136.35
2015-07-30,138.4
2015-07-31,138.2
2015-08-03,139.55
2015-08-04,135.35
2015-08-05,134.9
2015-08-06,118.15
2015-08-07,116.8
2015-08-10,116.05
2015-08-11,110.2
2015-08-12,105.15
2015-08-13,108.1
2015-08-14,106.4
2015-08-17,111.25
2015-08-18,116.25
2015-08-19,116.45
2015-08-20,113.25
2015-08-21,109.15
2015-08-24,97.15
2015-08-25,92.9
2015-08-26,95.55
2015-08-27,103.85
2015-08-28,103.8
2015-08-31,102.4
2015-09-01,99.5
2015-09-02,97.6
2015-09-03,98.7
2015-09-04,94.25
2015-09-07,87.6
2015-09-08,93.05
2015-09-09,98.4
2015-09-10,98.8
2015-09-11,99.75
2015-09-14,102.45
2015-09-15,100.1
2015-09-16,101.5
2015-09-18,102.2
2015-09-21,101.15
2015-09-22,98.4
2015-09-23,98.4
2015-09-24,99.85
2015-09-28,96.95
2015-09-29,98.2
2015-09-30,98.45
2015-10-01,95.85
2015-10-05,98.6
2015-10-06,98.35
2015-10-07,97.35
2015-10-08,97.35
2015-10-09,96.75
2015-10-12,100.2
2015-10-13,97.65
2015-10-14,98.25
2015-10-15,98.0
2015-10-16,97.65
2015-10-19,97.8
2015-10-20,97.7
2015-10-21,104.65
2015-10-23,101.7
2015-10-26,98.8
2015-10-27,99.25
2015-10-28,98.95
2015-10-29,100.8
2015-10-30,97.7
2015-11-02,97.6
2015-11-03,98.1
2015-11-04,98.5
2015-11-05,94.95
2015-11-06,85.95
2015-11-09,88.0
2015-11-10,85.9
2015-11-11,87.7
2015-11-13,86.95
2015-11-16,86.15
2015-11-17,84.5
2015-11-18,86.0
2015-11-19,86.05
2015-11-20,88.0
2015-11-23,94.0
2015-11-24,92.3
2015-11-26,89.75
2015-11-27,92.6
2015-11-30,92.05
2015-12-01,92.2
2015-12-02,94.0
2015-12-03,94.1
2015-12-04,93.1
2015-12-07,94.2
2015-12-08,92.8
2015-12-09,87.9
2015-12-10,88.3
2015-12-11,92.6
2015-12-14,93.45
2015-12-15,93.95
2015-12-16,93.65
2015-12-17,94.9
2015-12-18,92.85
2015-12-21,93.95
2015-12-22,97.5
2015-12-23,98.05
2015-12-24,98.5
2015-12-28,98.95
2015-12-29,94.9
2015-12-30,94.65
2015-12-31,94.85
