Date,VMART
2015-01-01,539.55
2015-01-02,536.5
2015-01-05,551.9
2015-01-06,538.05
2015-01-07,532.2
2015-01-08,528.85
2015-01-09,526.6
2015-01-12,524.5
2015-01-13,524.15
2015-01-14,511.2
2015-01-15,534.7
2015-01-16,539.9
2015-01-19,506.35
2015-01-20,501.7
2015-01-21,497.15
2015-01-22,525.8
2015-01-23,536.0
2015-01-27,521.95
2015-01-28,527.45
2015-01-29,535.1
2015-01-30,525.2
2015-02-02,534.25
2015-02-03,529.65
2015-02-04,525.5
2015-02-05,525.15
2015-02-06,526.6
2015-02-09,518.15
2015-02-10,520.0
2015-02-11,550.3
2015-02-12,550.5
2015-02-13,547.2
2015-02-16,547.4
2015-02-18,556.3
2015-02-19,582.2
2015-02-20,582.2
2015-02-23,642.7
2015-02-24,618.75
2015-02-25,602.9
2015-02-26,572.95
2015-02-27,578.8
2015-02-28,579.65
2015-03-02,573.9
2015-03-03,562.4
2015-03-04,555.35
2015-03-05,569.35
2015-03-09,551.3
2015-03-10,551.25
2015-03-11,554.15
2015-03-12,555.2
2015-03-13,539.15
2015-03-16,542.15
2015-03-17,546.05
2015-03-18,535.4
2015-03-19,530.1
2015-03-20,530.65
2015-03-23,525.95
2015-03-24,534.4
2015-03-25,525.0
2015-03-26,527.5
2015-03-27,527.75
2015-03-30,537.15
2015-03-31,567.95
2015-04-01,561.0
2015-04-06,562.5
2015-04-07,544.6
2015-04-08,552.0
2015-04-09,561.45
2015-04-10,560.15
2015-04-13,565.0
2015-04-15,563.7
2015-04-16,567.4
2015-04-17,560.2
2015-04-20,576.85
2015-04-21,559.7
2015-04-22,570.25
2015-04-23,562.0
2015-04-24,546.9
2015-04-27,522.7
2015-04-28,524.95
2015-04-29,535.65
2015-04-30,552.45
2015-05-04,551.35
2015-05-05,545.3
2015-05-06,532.2
2015-05-07,510.25
2015-05-08,514.15
2015-05-11,528.45
2015-05-12,534.9
2015-05-13,534.75
2015-05-14,539.55
2015-05-15,526.75
2015-05-18,524.3
2015-05-19,524.1
2015-05-20,527.75
2015-05-21,520.0
2015-05-22,521.7
2015-05-25,521.7
2015-05-26,525.0
2015-05-27,515.75
2015-05-28,501.95
2015-05-29,499.1
2015-06-01,496.25
2015-06-02,468.2
2015-06-03,470.35
2015-06-04,480.15
2015-06-05,473.9
2015-06-08,485.1
2015-06-09,479.9
2015-06-10,472.2
2015-06-11,470.65
2015-06-12,470.15
2015-06-15,478.0
2015-06-16,477.75
2015-06-17,470.0
2015-06-18,470.65
2015-06-19,458.35
2015-06-22,453.8
2015-06-23,455.2
2015-06-24,475.3
2015-06-25,478.4
2015-06-26,473.85
2015-06-29,465.9
2015-06-30,493.4
2015-07-01,482.9
2015-07-02,489.5
2015-07-03,500.4
2015-07-06,494.85
2015-07-07,489.2
2015-07-08,465.2
2015-07-09,468.45
2015-07-10,473.15
2015-07-13,474.0
2015-07-14,486.85
2015-07-15,538.05
2015-07-16,555.55
2015-07-17,553.1
2015-07-20,555.8
2015-07-21,529.35
2015-07-22,538.95
2015-07-23,548.9
2015-07-24,532.3
2015-07-27,535.05
2015-07-28,532.15
2015-07-29,523.9
2015-07-30,510.75
2015-07-31,518.25
2015-08-03,545.2
2015-08-04,563.1
2015-08-05,570.1
2015-08-06,570.75
2015-08-07,558.4
2015-08-10,540.85
2015-08-11,527.2
2015-08-12,519.35
2015-08-13,518.6
2015-08-14,529.3
2015-08-17,535.05
2015-08-18,538.95
2015-08-19,546.4
2015-08-20,535.5
2015-08-21,524.95
2015-08-24,494.5
2015-08-25,474.75
2015-08-26,473.1
2015-08-27,502.6
2015-08-28,489.85
2015-08-31,483.8
2015-09-01,492.5
2015-09-02,477.65
2015-09-03,476.1
2015-09-04,475.25
2015-09-07,462.4
2015-09-08,476.3
2015-09-09,476.0
2015-09-10,472.4
2015-09-11,472.65
2015-09-14,502.5
2015-09-15,481.0
2015-09-16,492.6
2015-09-18,486.95
2015-09-21,500.0
2015-09-22,493.35
2015-09-23,507.55
2015-09-24,519.65
2015-09-28,505.75
2015-09-29,523.4
2015-09-30,499.05
2015-10-01,489.4
2015-10-05,503.35
2015-10-06,495.4
2015-10-07,499.9
2015-10-08,499.75
2015-10-09,498.7
2015-10-12,501.85
2015-10-13,499.4
2015-10-14,499.45
2015-10-15,509.9
2015-10-16,495.35
2015-10-19,488.15
2015-10-20,482.8
2015-10-21,487.1
2015-10-23,500.0
2015-10-26,486.05
2015-10-27,487.35
2015-10-28,488.7
2015-10-29,498.25
2015-10-30,485.2
2015-11-02,470.95
2015-11-03,471.65
2015-11-04,483.7
2015-11-05,469.05
2015-11-06,445.45
2015-11-09,450.35
2015-11-10,439.6
2015-11-11,452.4
2015-11-13,467.5
2015-11-16,460.35
2015-11-17,445.85
2015-11-18,442.2
2015-11-19,440.3
2015-11-20,454.7
2015-11-23,439.25
2015-11-24,449.4
2015-11-26,457.05
2015-11-27,459.15
2015-11-30,460.0
2015-12-01,454.9
2015-12-02,453.55
2015-12-03,458.65
2015-12-04,473.25
2015-12-07,471.2
2015-12-08,471.55
2015-12-09,458.3
2015-12-10,443.6
2015-12-11,444.25
2015-12-14,448.95
2015-12-15,449.35
2015-12-16,447.85
2015-12-17,459.6
2015-12-18,454.35
2015-12-21,469.3
2015-12-22,477.15
2015-12-23,489.1
2015-12-24,586.3
2015-12-28,615.4
2015-12-29,651.25
2015-12-30,656.2
2015-12-31,640.7
