Date,NAHARPOLY
2015-01-01,28.65
2015-01-02,30.1
2015-01-05,29.95
2015-01-06,28.55
2015-01-07,28.75
2015-01-08,27.5
2015-01-09,28.0
2015-01-12,27.2
2015-01-13,27.7
2015-01-14,26.65
2015-01-15,27.05
2015-01-16,27.9
2015-01-19,26.7
2015-01-20,27.0
2015-01-21,26.65
2015-01-22,26.2
2015-01-23,26.3
2015-01-27,25.9
2015-01-28,25.75
2015-01-29,25.35
2015-01-30,25.85
2015-02-02,25.7
2015-02-03,25.5
2015-02-04,23.3
2015-02-05,22.3
2015-02-06,21.5
2015-02-09,20.0
2015-02-10,19.2
2015-02-11,19.5
2015-02-12,19.2
2015-02-13,20.6
2015-02-16,19.9
2015-02-18,19.75
2015-02-19,20.55
2015-02-20,21.25
2015-02-23,21.45
2015-02-24,21.05
2015-02-25,21.0
2015-02-26,20.5
2015-02-27,20.15
2015-02-28,20.3
2015-03-02,21.4
2015-03-03,21.5
2015-03-04,21.5
2015-03-05,21.0
2015-03-09,19.85
2015-03-10,20.1
2015-03-11,19.65
2015-03-12,20.05
2015-03-13,19.5
2015-03-16,19.3
2015-03-17,20.0
2015-03-18,20.95
2015-03-19,23.0
2015-03-20,22.0
2015-03-23,21.0
2015-03-24,20.55
2015-03-25,21.05
2015-03-26,20.9
2015-03-27,20.2
2015-03-30,20.6
2015-03-31,20.5
2015-04-01,22.25
2015-04-06,22.3
2015-04-07,21.65
2015-04-08,21.8
2015-04-09,22.5
2015-04-10,22.9
2015-04-13,23.4
2015-04-15,23.2
2015-04-16,23.5
2015-04-17,24.2
2015-04-20,24.9
2015-04-21,24.25
2015-04-22,24.55
2015-04-23,24.25
2015-04-24,23.5
2015-04-27,23.5
2015-04-28,23.5
2015-04-29,25.0
2015-04-30,24.15
2015-05-04,26.5
2015-05-05,25.95
2015-05-06,24.4
2015-05-07,24.25
2015-05-08,24.25
2015-05-11,24.3
2015-05-12,26.15
2015-05-13,24.55
2015-05-15,25.0
2015-05-18,25.25
2015-05-19,25.0
2015-05-20,24.9
2015-05-21,26.15
2015-05-22,25.0
2015-05-25,26.0
2015-05-26,24.85
2015-05-27,25.1
2015-05-28,25.0
2015-05-29,25.0
2015-06-01,22.15
2015-06-02,24.75
2015-06-03,24.95
2015-06-04,25.55
2015-06-05,25.4
2015-06-08,25.4
2015-06-10,24.65
2015-06-11,24.4
2015-06-12,24.55
2015-06-15,24.65
2015-06-16,24.55
2015-06-17,24.3
2015-06-18,24.3
2015-06-19,24.75
2015-06-22,25.45
2015-06-23,25.5
2015-06-24,25.75
2015-06-25,26.55
2015-06-26,26.5
2015-06-29,26.9
2015-06-30,26.2
2015-07-01,27.15
2015-07-02,26.3
2015-07-03,27.55
2015-07-06,28.8
2015-07-07,30.3
2015-07-08,29.5
2015-07-09,30.05
2015-07-10,30.8
2015-07-13,30.45
2015-07-14,30.3
2015-07-15,31.85
2015-07-16,30.8
2015-07-17,31.85
2015-07-20,30.2
2015-07-21,29.8
2015-07-22,30.0
2015-07-23,30.2
2015-07-24,30.5
2015-07-27,30.45
2015-07-28,29.6
2015-07-29,31.85
2015-07-30,30.1
2015-07-31,32.7
2015-08-03,34.25
2015-08-04,35.55
2015-08-05,36.3
2015-08-06,43.55
2015-08-07,40.1
2015-08-10,40.55
2015-08-11,38.3
2015-08-12,37.0
2015-08-13,36.25
2015-08-14,38.0
2015-08-17,37.65
2015-08-18,39.25
2015-08-19,39.45
2015-08-20,38.45
2015-08-21,36.85
2015-08-24,33.25
2015-08-25,33.2
2015-08-26,34.0
2015-08-27,34.0
2015-08-28,34.6
2015-08-31,33.15
2015-09-01,33.7
2015-09-02,34.2
2015-09-03,35.1
2015-09-04,35.55
2015-09-07,34.05
2015-09-08,34.0
2015-09-09,34.3
2015-09-10,33.6
2015-09-11,33.95
2015-09-14,34.75
2015-09-15,33.85
2015-09-16,33.1
2015-09-18,30.65
2015-09-21,32.4
2015-09-22,36.65
2015-09-23,38.35
2015-09-24,38.0
2015-09-28,37.25
2015-09-29,35.95
2015-09-30,37.0
2015-10-01,37.2
2015-10-05,35.7
2015-10-06,36.15
2015-10-07,37.2
2015-10-08,37.0
2015-10-09,37.0
2015-10-12,39.85
2015-10-13,46.95
2015-10-14,47.2
2015-10-15,47.3
2015-10-16,46.4
2015-10-19,47.35
2015-10-20,47.2
2015-10-21,46.9
2015-10-23,51.85
2015-10-26,62.2
2015-10-27,58.7
2015-10-28,58.45
2015-10-29,59.3
2015-10-30,59.55
2015-11-02,59.85
2015-11-03,59.6
2015-11-04,59.8
2015-11-05,57.65
2015-11-06,56.2
2015-11-09,54.6
2015-11-10,55.75
2015-11-11,50.2
2015-11-13,45.5
2015-11-16,45.1
2015-11-17,46.0
2015-11-18,44.4
2015-11-19,45.35
2015-11-20,44.9
2015-11-23,44.65
2015-11-24,45.0
2015-11-26,47.25
2015-11-27,47.35
2015-11-30,46.05
2015-12-01,48.35
2015-12-02,50.75
2015-12-03,50.5
2015-12-04,49.9
2015-12-07,50.15
2015-12-08,48.3
2015-12-09,45.0
2015-12-10,45.9
2015-12-11,45.45
2015-12-14,45.6
2015-12-15,46.35
2015-12-16,46.6
2015-12-17,47.65
2015-12-18,47.9
2015-12-21,49.4
2015-12-22,48.25
2015-12-23,48.2
2015-12-24,48.0
2015-12-28,52.8
2015-12-29,54.05
2015-12-30,52.15
2015-12-31,52.7
