Date,INDLMETER
2015-01-01,46.7
2015-01-02,50.0
2015-01-05,49.5
2015-01-06,46.3
2015-01-07,46.1
2015-01-08,46.1
2015-01-09,49.4
2015-01-12,59.25
2015-01-13,56.3
2015-01-14,56.9
2015-01-15,64.7
2015-01-16,71.15
2015-01-19,78.25
2015-01-20,85.75
2015-01-21,79.7
2015-01-22,78.9
2015-01-23,76.2
2015-01-27,72.8
2015-01-28,71.9
2015-01-29,74.45
2015-01-30,73.75
2015-02-02,77.7
2015-02-03,78.95
2015-02-04,77.75
2015-02-05,76.45
2015-02-06,76.0
2015-02-09,74.85
2015-02-10,70.2
2015-02-11,73.5
2015-02-12,72.9
2015-02-13,73.05
2015-02-16,72.1
2015-02-18,72.7
2015-02-19,72.7
2015-02-20,73.7
2015-02-23,72.1
2015-02-24,69.6
2015-02-25,73.15
2015-02-26,71.1
2015-02-27,69.35
2015-02-28,66.55
2015-03-02,72.0
2015-03-03,75.55
2015-03-04,73.55
2015-03-05,73.95
2015-03-09,74.7
2015-03-10,76.05
2015-03-11,76.55
2015-03-12,75.95
2015-03-13,74.9
2015-03-16,73.05
2015-03-17,76.25
2015-03-18,75.05
2015-03-19,73.55
2015-03-20,75.85
2015-03-23,74.55
2015-03-24,74.15
2015-03-25,74.15
2015-03-26,73.35
2015-03-27,72.0
2015-03-30,73.9
2015-03-31,75.0
2015-04-01,78.9
2015-04-06,79.7
2015-04-07,83.05
2015-04-08,83.4
2015-04-09,81.25
2015-04-10,80.5
2015-04-13,81.9
2015-04-15,81.5
2015-04-16,80.25
2015-04-17,78.1
2015-04-20,76.0
2015-04-21,77.25
2015-04-22,77.55
2015-04-23,77.35
2015-04-24,78.2
2015-04-27,76.0
2015-04-28,76.75
2015-04-29,77.5
2015-04-30,79.2
2015-05-04,76.5
2015-05-05,76.0
2015-05-06,74.75
2015-05-07,75.0
2015-05-08,75.0
2015-05-11,77.8
2015-05-12,75.45
2015-05-13,76.0
2015-05-14,75.0
2015-05-15,74.1
2015-05-18,69.05
2015-05-19,72.0
2015-05-20,69.95
2015-05-21,69.9
2015-05-22,69.95
2015-05-25,71.0
2015-05-26,69.25
2015-05-27,69.0
2015-05-28,68.25
2015-05-29,68.95
2015-06-01,72.6
2015-06-02,70.0
2015-06-03,69.0
2015-06-04,68.7
2015-06-05,69.05
2015-06-08,68.9
2015-06-09,70.95
2015-06-10,70.25
2015-06-11,67.75
2015-06-12,67.25
2015-06-15,69.65
2015-06-16,70.0
2015-06-17,70.3
2015-06-18,70.0
2015-06-19,69.0
2015-06-22,69.0
2015-06-23,69.05
2015-06-24,69.75
2015-06-25,69.0
2015-06-26,68.0
2015-06-29,68.3
2015-06-30,67.85
2015-07-01,66.9
2015-07-02,68.45
2015-07-03,68.8
2015-07-06,67.95
2015-07-07,67.5
2015-07-08,68.0
2015-07-09,66.6
2015-07-10,66.95
2015-07-13,65.8
2015-07-14,67.0
2015-07-15,66.15
2015-07-16,71.8
2015-07-17,76.7
2015-07-20,84.35
2015-07-21,79.0
2015-07-22,80.9
2015-07-23,81.0
2015-07-24,79.5
2015-07-27,79.25
2015-07-28,86.8
2015-07-29,85.55
2015-07-30,83.9
2015-07-31,83.5
2015-08-03,90.35
2015-08-04,90.55
2015-08-05,89.85
2015-08-06,86.5
2015-08-07,81.85
2015-08-10,82.05
2015-08-11,80.85
2015-08-12,75.9
2015-08-13,75.4
2015-08-14,70.6
2015-08-17,74.9
2015-08-18,73.15
2015-08-19,72.15
2015-08-20,69.75
2015-08-21,69.35
2015-08-24,55.5
2015-08-25,56.8
2015-08-26,55.45
2015-08-27,63.0
2015-08-28,60.8
2015-08-31,64.9
2015-09-01,61.3
2015-09-02,60.0
2015-09-03,59.6
2015-09-04,54.85
2015-09-07,50.55
2015-09-08,49.7
2015-09-09,51.9
2015-09-10,52.6
2015-09-11,52.5
2015-09-14,52.85
2015-09-15,50.5
2015-09-16,51.75
2015-09-18,52.35
2015-09-21,54.15
2015-09-22,63.2
2015-09-23,66.7
2015-09-24,65.3
2015-09-28,62.6
2015-09-29,62.95
2015-09-30,61.75
2015-10-01,62.75
2015-10-05,61.6
2015-10-06,67.65
2015-10-07,66.1
2015-10-08,65.05
2015-10-09,65.5
2015-10-12,67.6
2015-10-13,66.2
2015-10-14,67.25
2015-10-15,70.0
2015-10-16,69.35
2015-10-19,69.55
2015-10-20,69.0
2015-10-21,68.15
2015-10-23,68.05
2015-10-26,68.65
2015-10-27,70.0
2015-10-28,70.9
2015-10-29,68.4
2015-10-30,67.8
2015-11-03,68.0
2015-11-04,68.0
2015-11-05,67.0
2015-11-06,66.0
2015-11-09,64.15
2015-11-10,65.85
2015-11-11,65.0
2015-11-13,64.5
2015-11-16,61.05
2015-11-17,62.55
2015-11-18,62.5
2015-11-19,61.75
2015-11-20,62.0
2015-11-23,64.4
2015-11-24,66.45
2015-11-26,70.6
2015-11-27,71.6
2015-11-30,85.15
2015-12-01,82.25
2015-12-02,82.1
2015-12-03,79.95
2015-12-04,81.2
2015-12-07,78.6
2015-12-08,78.45
2015-12-09,75.4
2015-12-10,79.6
2015-12-11,77.9
2015-12-14,75.1
2015-12-15,79.15
2015-12-16,84.4
2015-12-17,88.05
2015-12-18,86.6
2015-12-21,103.9
2015-12-22,119.75
2015-12-23,117.0
2015-12-24,115.25
2015-12-28,111.1
2015-12-29,107.1
2015-12-30,109.7
2015-12-31,118.8
