Date,AMARAJABAT
2015-01-01,815.2
2015-01-02,806.85
2015-01-05,811.5
2015-01-06,790.7
2015-01-07,814.5
2015-01-08,825.0
2015-01-09,815.75
2015-01-12,816.3
2015-01-13,821.95
2015-01-14,841.1
2015-01-15,847.8
2015-01-16,848.15
2015-01-19,828.5
2015-01-20,832.05
2015-01-21,820.85
2015-01-22,823.05
2015-01-23,849.4
2015-01-27,892.65
2015-01-28,919.6
2015-01-29,895.0
2015-01-30,860.45
2015-02-02,893.25
2015-02-03,917.5
2015-02-04,922.15
2015-02-05,910.7
2015-02-06,886.8
2015-02-09,864.55
2015-02-10,837.85
2015-02-11,839.7
2015-02-12,855.65
2015-02-13,886.5
2015-02-16,881.25
2015-02-18,880.4
2015-02-19,875.25
2015-02-20,898.65
2015-02-23,877.35
2015-02-24,880.1
2015-02-25,880.0
2015-02-26,857.55
2015-02-27,887.2
2015-02-28,879.2
2015-03-02,875.4
2015-03-03,880.45
2015-03-04,897.45
2015-03-05,905.1
2015-03-09,864.55
2015-03-10,845.35
2015-03-11,852.9
2015-03-12,851.6
2015-03-13,860.45
2015-03-16,867.25
2015-03-17,869.75
2015-03-18,862.75
2015-03-19,865.3
2015-03-20,858.1
2015-03-23,850.55
2015-03-24,829.8
2015-03-25,819.75
2015-03-26,817.15
2015-03-27,810.3
2015-03-30,815.4
2015-03-31,833.05
2015-04-01,843.9
2015-04-06,852.05
2015-04-07,849.55
2015-04-08,852.2
2015-04-09,877.65
2015-04-10,870.1
2015-04-13,875.4
2015-04-15,865.0
2015-04-16,861.05
2015-04-17,864.65
2015-04-20,850.15
2015-04-21,825.75
2015-04-22,834.15
2015-04-23,829.9
2015-04-24,816.8
2015-04-27,790.9
2015-04-28,800.05
2015-04-29,798.85
2015-04-30,794.8
2015-05-04,798.35
2015-05-05,821.75
2015-05-06,811.75
2015-05-07,824.0
2015-05-08,817.1
2015-05-11,810.3
2015-05-12,810.35
2015-05-13,815.3
2015-05-14,834.85
2015-05-15,839.95
2015-05-18,842.85
2015-05-19,838.9
2015-05-20,838.5
2015-05-21,833.8
2015-05-22,867.15
2015-05-25,883.9
2015-05-26,877.65
2015-05-27,867.0
2015-05-28,864.0
2015-05-29,885.6
2015-06-01,875.75
2015-06-02,878.45
2015-06-03,872.5
2015-06-04,876.35
2015-06-05,880.45
2015-06-08,877.65
2015-06-09,883.55
2015-06-10,902.2
2015-06-11,875.5
2015-06-12,846.6
2015-06-15,843.35
2015-06-16,853.35
2015-06-17,872.5
2015-06-18,886.45
2015-06-19,878.0
2015-06-22,880.35
2015-06-23,875.15
2015-06-24,870.95
2015-06-25,859.85
2015-06-26,873.2
2015-06-29,866.7
2015-06-30,883.35
2015-07-01,882.4
2015-07-02,881.95
2015-07-03,880.9
2015-07-06,883.85
2015-07-07,880.4
2015-07-08,864.75
2015-07-09,864.0
2015-07-10,852.95
2015-07-13,861.0
2015-07-14,879.25
2015-07-15,868.35
2015-07-16,877.9
2015-07-17,869.7
2015-07-20,867.0
2015-07-21,861.25
2015-07-22,869.6
2015-07-23,869.7
2015-07-24,861.0
2015-07-27,844.45
2015-07-28,864.4
2015-07-29,886.9
2015-07-30,879.8
2015-07-31,882.4
2015-08-03,949.3
2015-08-04,975.4
2015-08-05,982.2
2015-08-06,948.35
2015-08-07,972.35
2015-08-10,964.65
2015-08-11,954.65
2015-08-12,911.95
2015-08-13,937.8
2015-08-14,973.9
2015-08-17,1056.05
2015-08-18,1037.75
2015-08-19,1057.85
2015-08-20,1048.85
2015-08-21,1073.25
2015-08-24,991.75
2015-08-25,1081.45
2015-08-26,1056.9
2015-08-27,1062.3
2015-08-28,1022.15
2015-08-31,1008.05
2015-09-01,988.5
2015-09-02,973.05
2015-09-03,974.2
2015-09-04,948.0
2015-09-07,926.4
2015-09-08,901.7
2015-09-09,947.95
2015-09-10,933.35
2015-09-11,929.85
2015-09-14,954.85
2015-09-15,961.4
2015-09-16,958.65
2015-09-18,1016.2
2015-09-21,1009.0
2015-09-22,989.55
2015-09-23,977.9
2015-09-24,984.6
2015-09-28,981.35
2015-09-29,1015.15
2015-09-30,1029.65
2015-10-01,1030.95
2015-10-05,1036.15
2015-10-06,1046.6
2015-10-07,1028.65
2015-10-08,1008.9
2015-10-09,988.25
2015-10-12,1004.75
2015-10-13,998.65
2015-10-14,995.0
2015-10-15,992.75
2015-10-16,996.25
2015-10-19,1020.25
2015-10-20,1023.45
2015-10-21,1010.35
2015-10-23,1001.85
2015-10-26,981.25
2015-10-27,974.6
2015-10-28,915.1
2015-10-29,899.65
2015-10-30,903.5
2015-11-02,891.95
2015-11-03,875.85
2015-11-04,890.1
2015-11-05,882.55
2015-11-06,887.9
2015-11-09,908.35
2015-11-10,888.8
2015-11-11,895.9
2015-11-13,880.45
2015-11-16,888.1
2015-11-17,902.1
2015-11-18,894.95
2015-11-19,899.5
2015-11-20,894.0
2015-11-23,871.1
2015-11-24,883.25
2015-11-26,868.0
2015-11-27,874.75
2015-11-30,874.65
2015-12-01,871.4
2015-12-02,878.1
2015-12-03,858.8
2015-12-04,844.05
2015-12-07,845.9
2015-12-08,848.05
2015-12-09,838.1
2015-12-10,840.7
2015-12-11,837.5
2015-12-14,845.1
2015-12-15,853.1
2015-12-16,851.85
2015-12-17,854.95
2015-12-18,853.85
2015-12-21,854.45
2015-12-22,851.4
2015-12-23,853.45
2015-12-24,861.9
2015-12-28,860.7
2015-12-29,863.6
2015-12-30,864.6
2015-12-31,861.8
