Date,ORCHIDPHAR
2015-01-01,65.8
2015-01-02,67.2
2015-01-05,66.3
2015-01-06,63.55
2015-01-07,62.65
2015-01-08,63.7
2015-01-09,64.3
2015-01-12,64.4
2015-01-13,63.45
2015-01-14,62.7
2015-01-15,63.5
2015-01-16,63.2
2015-01-19,66.5
2015-01-20,67.85
2015-01-21,66.15
2015-01-22,64.65
2015-01-23,63.85
2015-01-27,64.3
2015-01-28,63.35
2015-01-29,63.3
2015-01-30,62.3
2015-02-02,62.2
2015-02-03,65.8
2015-02-04,65.9
2015-02-05,63.9
2015-02-06,65.8
2015-02-09,63.45
2015-02-10,62.5
2015-02-11,64.0
2015-02-12,65.25
2015-02-13,64.35
2015-02-16,62.55
2015-02-18,63.45
2015-02-19,63.35
2015-02-20,66.05
2015-02-23,68.3
2015-02-24,65.6
2015-02-25,63.85
2015-02-26,63.55
2015-02-27,64.15
2015-02-28,63.35
2015-03-02,63.5
2015-03-03,64.3
2015-03-04,63.3
2015-03-05,63.3
2015-03-09,62.15
2015-03-10,62.7
2015-03-11,61.95
2015-03-12,62.9
2015-03-13,61.45
2015-03-16,60.2
2015-03-17,60.65
2015-03-18,60.0
2015-03-19,59.0
2015-03-20,56.15
2015-03-23,54.0
2015-03-24,52.3
2015-03-25,50.6
2015-03-26,49.5
2015-03-27,47.8
2015-03-30,52.15
2015-03-31,51.6
2015-04-01,53.35
2015-04-06,54.75
2015-04-07,57.3
2015-04-08,57.25
2015-04-09,56.8
2015-04-10,58.4
2015-04-13,57.8
2015-04-15,59.85
2015-04-16,58.05
2015-04-17,57.65
2015-04-20,55.3
2015-04-21,54.65
2015-04-22,54.75
2015-04-23,54.65
2015-04-24,52.0
2015-04-27,50.0
2015-04-28,50.4
2015-04-29,50.75
2015-04-30,50.5
2015-05-04,51.9
2015-05-05,52.0
2015-05-06,49.85
2015-05-07,48.05
2015-05-08,48.45
2015-05-11,48.65
2015-05-12,47.95
2015-05-13,47.3
2015-05-14,47.2
2015-05-15,47.35
2015-05-18,48.2
2015-05-19,51.65
2015-05-20,52.05
2015-05-21,50.35
2015-05-22,49.95
2015-05-25,50.05
2015-05-26,49.45
2015-05-27,49.25
2015-05-28,50.25
2015-05-29,49.6
2015-06-01,49.45
2015-06-02,48.4
2015-06-03,44.95
2015-06-04,44.05
2015-06-05,44.8
2015-06-08,44.25
2015-06-09,43.6
2015-06-10,43.8
2015-06-11,42.85
2015-06-12,44.95
2015-06-15,45.9
2015-06-16,45.1
2015-06-17,49.25
2015-06-18,57.05
2015-06-19,55.45
2015-06-22,54.85
2015-06-23,62.6
2015-06-24,60.9
2015-06-25,61.0
2015-06-26,58.9
2015-06-29,55.75
2015-06-30,59.7
2015-07-01,60.8
2015-07-02,59.8
2015-07-03,59.1
2015-07-06,61.5
2015-07-07,62.9
2015-07-08,61.4
2015-07-09,60.7
2015-07-10,60.65
2015-07-13,61.2
2015-07-14,63.2
2015-07-15,63.6
2015-07-16,63.05
2015-07-17,64.6
2015-07-20,66.55
2015-07-21,63.7
2015-07-22,64.2
2015-07-23,63.4
2015-07-24,62.95
2015-07-27,61.1
2015-07-28,60.3
2015-07-29,61.35
2015-07-30,64.9
2015-07-31,66.5
2015-08-03,64.4
2015-08-04,64.0
2015-08-05,64.5
2015-08-06,73.65
2015-08-07,71.45
2015-08-10,70.9
2015-08-11,70.85
2015-08-12,67.65
2015-08-13,64.25
2015-08-14,62.35
2015-08-17,61.05
2015-08-18,67.3
2015-08-19,64.85
2015-08-20,64.0
2015-08-21,65.45
2015-08-24,55.35
2015-08-25,55.95
2015-08-26,55.25
2015-08-27,56.75
2015-08-28,56.75
2015-08-31,56.15
2015-09-01,54.8
2015-09-02,54.05
2015-09-03,54.85
2015-09-04,52.25
2015-09-07,50.3
2015-09-08,50.95
2015-09-09,53.1
2015-09-10,52.3
2015-09-11,52.55
2015-09-14,53.0
2015-09-15,52.85
2015-09-16,54.3
2015-09-18,53.8
2015-09-21,54.75
2015-09-22,54.0
2015-09-23,57.05
2015-09-24,58.35
2015-09-28,57.2
2015-09-29,56.1
2015-09-30,56.6
2015-10-01,57.9
2015-10-05,57.9
2015-10-06,60.25
2015-10-07,61.6
2015-10-08,61.8
2015-10-09,62.55
2015-10-12,61.15
2015-10-13,61.05
2015-10-14,61.1
2015-10-15,60.85
2015-10-16,61.1
2015-10-19,61.7
2015-10-20,63.55
2015-10-21,62.95
2015-10-23,60.95
2015-10-26,61.3
2015-10-27,62.55
2015-10-28,61.7
2015-10-29,60.95
2015-10-30,59.45
2015-11-02,58.5
2015-11-03,59.3
2015-11-04,58.6
2015-11-05,57.95
2015-11-06,56.25
2015-11-09,56.95
2015-11-10,53.95
2015-11-11,55.0
2015-11-13,53.0
2015-11-16,51.55
2015-11-17,51.65
2015-11-18,49.45
2015-11-19,50.1
2015-11-20,49.85
2015-11-23,49.5
2015-11-24,50.55
2015-11-26,50.75
2015-11-27,50.4
2015-11-30,50.85
2015-12-01,54.2
2015-12-02,54.4
2015-12-03,53.7
2015-12-04,52.95
2015-12-07,53.65
2015-12-08,51.6
2015-12-09,49.35
2015-12-10,50.45
2015-12-11,52.05
2015-12-14,50.3
2015-12-15,51.05
2015-12-16,52.0
2015-12-17,53.05
2015-12-18,51.25
2015-12-21,52.4
2015-12-22,61.45
2015-12-23,62.6
2015-12-24,61.85
2015-12-28,62.65
2015-12-29,60.7
2015-12-30,59.1
2015-12-31,65.25
