Date,SAKUMA
2015-01-02,20.1
2015-01-05,20.5
2015-01-06,20.95
2015-01-07,20.05
2015-01-08,20.7
2015-01-09,20.85
2015-01-12,21.45
2015-01-13,21.5
2015-01-14,22.5
2015-01-15,20.65
2015-01-16,21.65
2015-01-19,22.1
2015-01-20,21.5
2015-01-21,20.8
2015-01-22,21.3
2015-01-23,21.05
2015-01-27,21.0
2015-01-28,20.5
2015-01-29,22.0
2015-01-30,21.2
2015-02-02,21.5
2015-02-03,22.3
2015-02-04,22.15
2015-02-05,21.4
2015-02-06,20.7
2015-02-09,21.6
2015-02-10,20.65
2015-02-11,21.75
2015-02-12,20.95
2015-02-13,22.05
2015-02-16,21.95
2015-02-18,21.65
2015-02-19,21.95
2015-02-20,22.8
2015-02-24,21.65
2015-02-25,22.6
2015-02-27,21.8
2015-02-28,21.95
2015-03-02,21.05
2015-03-03,21.25
2015-03-04,20.9
2015-03-05,21.2
2015-03-09,20.5
2015-03-10,20.0
2015-03-11,21.55
2015-03-12,21.0
2015-03-13,20.35
2015-03-16,20.8
2015-03-17,20.15
2015-03-18,21.65
2015-03-19,20.8
2015-03-20,19.2
2015-03-23,18.5
2015-03-24,19.3
2015-03-25,19.3
2015-03-26,19.15
2015-03-27,19.65
2015-03-30,20.65
2015-03-31,20.1
2015-04-01,19.75
2015-04-06,20.4
2015-04-07,21.6
2015-04-08,20.45
2015-04-09,21.25
2015-04-10,22.45
2015-04-13,26.9
2015-04-15,26.05
2015-04-16,24.25
2015-04-17,23.9
2015-04-20,24.4
2015-04-21,23.7
2015-04-22,23.7
2015-04-23,24.8
2015-04-24,24.35
2015-04-27,24.35
2015-04-28,24.4
2015-04-29,23.45
2015-04-30,23.35
2015-05-04,24.9
2015-05-05,24.4
2015-05-06,24.05
2015-05-07,23.25
2015-05-08,24.65
2015-05-11,24.4
2015-05-12,24.5
2015-05-13,22.9
2015-05-14,22.1
2015-05-15,22.8
2015-05-18,27.35
2015-05-19,32.8
2015-05-20,31.75
2015-05-21,28.5
2015-05-22,28.15
2015-05-25,27.75
2015-05-26,28.0
2015-05-27,26.05
2015-05-28,27.35
2015-05-29,28.0
2015-06-01,27.35
2015-06-02,27.05
2015-06-03,27.8
2015-06-04,27.4
2015-06-05,27.9
2015-06-08,27.3
2015-06-09,27.9
2015-06-10,27.35
2015-06-11,28.0
2015-06-12,27.45
2015-06-15,27.45
2015-06-16,27.8
2015-06-17,28.4
2015-06-18,30.8
2015-06-19,30.65
2015-06-22,30.45
2015-06-23,30.45
2015-06-24,30.5
2015-06-25,30.55
2015-06-26,31.25
2015-06-29,29.55
2015-06-30,30.45
2015-07-01,31.9
2015-07-02,30.75
2015-07-03,30.5
2015-07-06,33.75
2015-07-07,34.2
2015-07-08,33.0
2015-07-09,33.6
2015-07-10,33.15
2015-07-13,34.05
2015-07-14,32.5
2015-07-15,32.6
2015-07-16,32.1
2015-07-17,31.2
2015-07-20,32.3
2015-07-21,30.9
2015-07-22,31.35
2015-07-23,31.75
2015-07-24,32.0
2015-07-27,33.4
2015-07-28,33.15
2015-07-29,36.7
2015-07-30,39.35
2015-07-31,39.25
2015-08-03,38.65
2015-08-04,37.4
2015-08-05,41.6
2015-08-06,39.45
2015-08-07,38.15
2015-08-10,39.9
2015-08-11,39.05
2015-08-12,38.65
2015-08-13,38.75
2015-08-14,38.5
2015-08-17,38.95
2015-08-18,46.7
2015-08-19,46.1
2015-08-20,43.1
2015-08-21,42.6
2015-08-24,37.5
2015-08-25,36.0
2015-08-26,34.8
2015-08-27,37.1
2015-08-28,36.05
2015-08-31,35.95
2015-09-01,33.8
2015-09-02,33.0
2015-09-03,34.0
2015-09-04,32.45
2015-09-07,32.3
2015-09-08,32.2
2015-09-09,33.2
2015-09-10,33.05
2015-09-11,33.2
2015-09-14,34.05
2015-09-15,33.5
2015-09-16,34.45
2015-09-18,34.75
2015-09-21,34.75
2015-09-22,34.0
2015-09-23,34.1
2015-09-24,34.2
2015-09-28,33.9
2015-09-29,33.5
2015-09-30,34.05
2015-10-01,34.05
2015-10-05,36.55
2015-10-06,35.6
2015-10-07,35.95
2015-10-08,35.45
2015-10-09,36.05
2015-10-12,36.6
2015-10-13,38.25
2015-10-14,39.7
2015-10-15,40.25
2015-10-16,40.05
2015-10-19,48.05
2015-10-20,52.1
2015-10-21,52.85
2015-10-23,51.95
2015-10-26,51.25
2015-10-27,51.0
2015-10-28,50.75
2015-10-29,52.35
2015-10-30,50.95
2015-11-02,49.45
2015-11-03,48.75
2015-11-04,52.85
2015-11-05,53.8
2015-11-06,53.35
2015-11-09,53.75
2015-11-10,57.85
2015-11-11,59.5
2015-11-13,56.95
2015-11-16,68.3
2015-11-17,73.35
2015-11-18,73.5
2015-11-19,80.85
2015-11-20,95.05
2015-11-23,98.75
2015-11-24,94.7
2015-11-26,93.85
2015-11-27,89.15
2015-11-30,86.1
2015-12-01,94.7
2015-12-02,97.3
2015-12-03,94.7
2015-12-04,91.4
2015-12-07,92.7
2015-12-08,90.45
2015-12-09,83.15
2015-12-10,85.35
2015-12-11,81.8
2015-12-14,77.95
2015-12-15,78.85
2015-12-16,77.75
2015-12-17,85.5
2015-12-18,89.0
2015-12-21,91.45
2015-12-22,89.65
2015-12-23,87.5
2015-12-24,85.8
2015-12-28,86.4
2015-12-29,83.5
2015-12-30,84.95
2015-12-31,92.5
