Date,MANINFRA
2015-01-01,30.35
2015-01-02,35.5
2015-01-05,34.7
2015-01-06,32.2
2015-01-07,32.4
2015-01-08,34.65
2015-01-09,34.2
2015-01-12,34.55
2015-01-13,35.2
2015-01-14,37.3
2015-01-15,37.8
2015-01-16,37.15
2015-01-19,38.95
2015-01-20,38.35
2015-01-21,37.35
2015-01-22,36.95
2015-01-23,36.05
2015-01-27,36.4
2015-01-28,36.0
2015-01-29,43.2
2015-01-30,45.3
2015-02-02,46.9
2015-02-03,44.45
2015-02-04,42.65
2015-02-05,41.75
2015-02-06,40.65
2015-02-09,40.1
2015-02-10,41.3
2015-02-11,43.65
2015-02-12,44.35
2015-02-13,46.75
2015-02-16,45.85
2015-02-18,46.45
2015-02-19,44.55
2015-02-20,45.7
2015-02-23,45.1
2015-02-24,43.95
2015-02-25,43.75
2015-02-26,42.35
2015-02-27,43.3
2015-02-28,42.5
2015-03-02,44.8
2015-03-03,44.85
2015-03-04,43.0
2015-03-05,45.35
2015-03-09,44.85
2015-03-10,43.85
2015-03-11,42.8
2015-03-12,43.0
2015-03-13,41.95
2015-03-16,42.0
2015-03-17,42.85
2015-03-18,42.65
2015-03-19,41.35
2015-03-20,40.8
2015-03-23,39.55
2015-03-24,39.65
2015-03-25,39.6
2015-03-26,38.7
2015-03-27,38.75
2015-03-30,40.0
2015-03-31,39.8
2015-04-01,40.15
2015-04-06,42.1
2015-04-07,43.45
2015-04-08,43.25
2015-04-09,44.85
2015-04-10,45.5
2015-04-13,44.7
2015-04-15,44.6
2015-04-16,43.7
2015-04-17,43.25
2015-04-20,41.9
2015-04-21,43.45
2015-04-22,44.15
2015-04-23,49.45
2015-04-24,47.15
2015-04-27,43.9
2015-04-28,45.65
2015-04-29,45.95
2015-04-30,44.75
2015-05-04,46.9
2015-05-05,45.7
2015-05-06,43.1
2015-05-07,42.5
2015-05-08,43.35
2015-05-11,44.35
2015-05-12,43.1
2015-05-13,43.8
2015-05-14,45.5
2015-05-15,45.85
2015-05-18,47.65
2015-05-19,46.35
2015-05-20,49.0
2015-05-21,48.9
2015-05-22,50.6
2015-05-25,49.6
2015-05-26,49.3
2015-05-27,50.75
2015-05-28,47.65
2015-05-29,48.8
2015-06-01,49.65
2015-06-02,46.95
2015-06-03,45.1
2015-06-04,44.1
2015-06-05,45.15
2015-06-08,44.75
2015-06-09,46.1
2015-06-10,46.8
2015-06-11,44.65
2015-06-12,44.75
2015-06-15,44.7
2015-06-16,45.55
2015-06-17,45.55
2015-06-18,45.4
2015-06-19,45.7
2015-06-22,46.8
2015-06-23,46.45
2015-06-24,45.4
2015-06-25,45.65
2015-06-26,45.55
2015-06-29,44.7
2015-06-30,45.85
2015-07-01,46.8
2015-07-02,47.9
2015-07-03,47.4
2015-07-06,45.85
2015-07-07,45.7
2015-07-08,44.4
2015-07-09,44.5
2015-07-10,44.6
2015-07-13,45.55
2015-07-14,46.85
2015-07-15,46.25
2015-07-16,46.35
2015-07-17,45.95
2015-07-20,45.25
2015-07-21,44.2
2015-07-22,44.1
2015-07-23,43.35
2015-07-24,42.5
2015-07-27,40.95
2015-07-28,39.65
2015-07-29,42.0
2015-07-30,41.9
2015-07-31,42.25
2015-08-03,42.35
2015-08-04,42.4
2015-08-05,42.7
2015-08-06,43.1
2015-08-07,42.6
2015-08-10,42.1
2015-08-11,40.9
2015-08-12,39.05
2015-08-13,38.15
2015-08-14,40.45
2015-08-17,39.45
2015-08-18,38.9
2015-08-19,40.55
2015-08-20,39.0
2015-08-21,37.7
2015-08-24,34.65
2015-08-25,34.45
2015-08-26,34.35
2015-08-27,35.25
2015-08-28,35.05
2015-08-31,35.85
2015-09-01,34.6
2015-09-02,34.3
2015-09-03,34.5
2015-09-04,32.0
2015-09-07,30.85
2015-09-08,30.75
2015-09-09,32.0
2015-09-10,31.45
2015-09-11,32.65
2015-09-14,34.75
2015-09-15,34.2
2015-09-16,33.55
2015-09-18,35.15
2015-09-21,35.9
2015-09-22,33.85
2015-09-23,34.4
2015-09-24,34.75
2015-09-28,37.25
2015-09-29,36.5
2015-09-30,36.1
2015-10-01,35.35
2015-10-05,36.5
2015-10-06,36.9
2015-10-07,36.9
2015-10-08,36.55
2015-10-09,36.0
2015-10-12,35.05
2015-10-13,35.1
2015-10-14,35.15
2015-10-15,35.2
2015-10-16,36.5
2015-10-19,37.6
2015-10-20,36.8
2015-10-21,37.15
2015-10-23,37.85
2015-10-26,36.7
2015-10-27,34.35
2015-10-28,33.6
2015-10-29,34.85
2015-10-30,35.15
2015-11-02,34.65
2015-11-03,35.1
2015-11-04,34.65
2015-11-05,34.6
2015-11-06,34.05
2015-11-09,34.8
2015-11-10,34.0
2015-11-11,34.75
2015-11-13,34.6
2015-11-16,34.6
2015-11-17,37.55
2015-11-18,37.0
2015-11-19,38.75
2015-11-20,39.9
2015-11-23,41.05
2015-11-24,42.95
2015-11-26,42.15
2015-11-27,43.25
2015-11-30,43.35
2015-12-01,43.65
2015-12-02,43.05
2015-12-03,45.75
2015-12-04,47.45
2015-12-07,46.05
2015-12-08,43.35
2015-12-09,40.7
2015-12-10,42.8
2015-12-11,41.7
2015-12-14,41.7
2015-12-15,42.9
2015-12-16,42.75
2015-12-17,44.15
2015-12-18,42.85
2015-12-21,44.05
2015-12-22,44.0
2015-12-23,45.3
2015-12-24,45.8
2015-12-28,46.35
2015-12-29,47.8
2015-12-30,46.55
2015-12-31,47.0
