Date,GHCL
2015-01-01,75.25
2015-01-02,75.55
2015-01-05,74.25
2015-01-06,70.95
2015-01-07,69.9
2015-01-08,71.4
2015-01-09,71.75
2015-01-12,70.95
2015-01-13,70.75
2015-01-14,70.6
2015-01-15,70.95
2015-01-16,70.9
2015-01-19,71.7
2015-01-20,72.9
2015-01-21,72.15
2015-01-22,71.7
2015-01-23,71.35
2015-01-27,75.25
2015-01-28,79.5
2015-01-29,76.9
2015-01-30,75.0
2015-02-02,75.4
2015-02-03,74.5
2015-02-04,74.3
2015-02-05,73.05
2015-02-06,71.0
2015-02-09,69.5
2015-02-10,70.3
2015-02-11,71.65
2015-02-12,72.5
2015-02-13,71.4
2015-02-16,71.0
2015-02-18,71.95
2015-02-19,71.95
2015-02-20,71.6
2015-02-23,71.25
2015-02-24,70.3
2015-02-25,70.9
2015-02-26,69.7
2015-02-27,70.95
2015-02-28,70.2
2015-03-02,69.75
2015-03-03,70.25
2015-03-04,68.8
2015-03-05,68.95
2015-03-09,66.85
2015-03-10,66.05
2015-03-11,64.55
2015-03-12,64.4
2015-03-13,64.05
2015-03-16,63.0
2015-03-17,62.4
2015-03-18,62.75
2015-03-19,62.65
2015-03-20,60.3
2015-03-23,57.95
2015-03-24,57.35
2015-03-25,55.9
2015-03-26,58.2
2015-03-27,60.2
2015-03-30,61.1
2015-03-31,61.55
2015-04-01,65.8
2015-04-06,66.65
2015-04-07,64.6
2015-04-08,65.0
2015-04-09,69.85
2015-04-10,73.0
2015-04-13,73.45
2015-04-15,78.65
2015-04-16,77.7
2015-04-17,81.9
2015-04-20,78.4
2015-04-21,77.7
2015-04-22,79.5
2015-04-23,78.85
2015-04-24,74.65
2015-04-27,72.85
2015-04-28,77.65
2015-04-29,77.15
2015-04-30,77.3
2015-05-04,78.2
2015-05-05,76.25
2015-05-06,74.0
2015-05-07,73.4
2015-05-08,75.0
2015-05-11,77.7
2015-05-12,76.6
2015-05-13,77.7
2015-05-14,78.05
2015-05-15,83.9
2015-05-18,90.85
2015-05-19,90.25
2015-05-20,86.3
2015-05-21,92.5
2015-05-22,90.4
2015-05-25,84.9
2015-05-26,84.55
2015-05-27,83.55
2015-05-28,82.05
2015-05-29,81.95
2015-06-01,80.8
2015-06-02,75.2
2015-06-03,72.6
2015-06-04,72.1
2015-06-05,72.05
2015-06-08,72.1
2015-06-09,70.2
2015-06-10,71.9
2015-06-11,69.05
2015-06-12,70.0
2015-06-15,70.3
2015-06-16,70.4
2015-06-17,71.15
2015-06-18,74.8
2015-06-19,74.95
2015-06-22,76.9
2015-06-23,77.85
2015-06-24,78.3
2015-06-25,81.0
2015-06-26,79.0
2015-06-29,76.2
2015-06-30,76.5
2015-07-01,78.6
2015-07-02,77.85
2015-07-03,78.15
2015-07-06,78.7
2015-07-07,85.0
2015-07-08,85.2
2015-07-09,85.45
2015-07-10,85.1
2015-07-13,85.75
2015-07-14,86.75
2015-07-15,85.4
2015-07-16,84.6
2015-07-17,84.2
2015-07-20,85.05
2015-07-21,82.7
2015-07-22,83.0
2015-07-23,83.6
2015-07-24,82.9
2015-07-27,82.65
2015-07-28,91.85
2015-07-29,92.8
2015-07-30,88.9
2015-07-31,90.0
2015-08-03,91.35
2015-08-04,90.7
2015-08-05,92.2
2015-08-06,97.65
2015-08-07,117.15
2015-08-10,131.65
2015-08-11,133.05
2015-08-12,131.05
2015-08-13,118.5
2015-08-14,120.05
2015-08-17,121.95
2015-08-18,129.85
2015-08-19,129.15
2015-08-20,124.75
2015-08-21,127.6
2015-08-24,114.85
2015-08-25,118.5
2015-08-26,115.95
2015-08-27,122.4
2015-08-28,115.7
2015-08-31,115.45
2015-09-01,113.45
2015-09-02,115.3
2015-09-03,121.0
2015-09-04,116.55
2015-09-07,114.5
2015-09-08,113.95
2015-09-09,121.95
2015-09-10,118.3
2015-09-11,119.25
2015-09-14,120.45
2015-09-15,129.75
2015-09-16,129.75
2015-09-18,130.5
2015-09-21,134.7
2015-09-22,130.0
2015-09-23,133.6
2015-09-24,141.15
2015-09-28,135.9
2015-09-29,136.95
2015-09-30,136.35
2015-10-01,137.6
2015-10-05,140.55
2015-10-06,139.25
2015-10-07,140.1
2015-10-08,136.5
2015-10-09,133.65
2015-10-12,134.3
2015-10-13,137.0
2015-10-14,135.1
2015-10-15,134.65
2015-10-16,133.95
2015-10-19,136.7
2015-10-20,141.25
2015-10-21,141.35
2015-10-23,141.4
2015-10-26,136.5
2015-10-27,138.95
2015-10-28,141.6
2015-10-29,141.4
2015-10-30,144.9
2015-11-02,141.4
2015-11-03,138.0
2015-11-04,140.55
2015-11-05,139.75
2015-11-06,139.8
2015-11-09,140.85
2015-11-10,137.45
2015-11-11,142.2
2015-11-13,144.1
2015-11-16,143.1
2015-11-17,140.9
2015-11-18,140.85
2015-11-19,140.85
2015-11-20,140.65
2015-11-23,138.0
2015-11-24,136.65
2015-11-26,135.05
2015-11-27,136.9
2015-11-30,138.6
2015-12-01,146.25
2015-12-02,143.15
2015-12-03,141.8
2015-12-04,139.7
2015-12-07,140.1
2015-12-08,137.35
2015-12-09,132.3
2015-12-10,134.65
2015-12-11,129.5
2015-12-14,134.85
2015-12-15,135.65
2015-12-16,135.75
2015-12-17,138.25
2015-12-18,136.55
2015-12-21,135.9
2015-12-22,133.9
2015-12-23,134.4
2015-12-24,133.5
2015-12-28,134.05
2015-12-29,132.1
2015-12-30,133.4
2015-12-31,134.2
