Date,GEECEE
2015-01-01,45.05
2015-01-02,45.9
2015-01-05,45.7
2015-01-06,45.65
2015-01-07,45.3
2015-01-08,46.0
2015-01-09,44.65
2015-01-12,46.0
2015-01-13,45.05
2015-01-14,46.0
2015-01-15,46.9
2015-01-16,46.2
2015-01-19,45.6
2015-01-20,44.9
2015-01-21,44.0
2015-01-22,44.1
2015-01-23,43.1
2015-01-27,43.6
2015-01-28,44.25
2015-01-29,44.75
2015-01-30,45.1
2015-02-02,44.0
2015-02-03,46.45
2015-02-04,46.5
2015-02-05,47.55
2015-02-06,47.3
2015-02-09,44.85
2015-02-10,44.45
2015-02-11,44.0
2015-02-12,46.0
2015-02-13,46.1
2015-02-16,45.7
2015-02-18,46.05
2015-02-19,46.5
2015-02-20,46.9
2015-02-23,46.0
2015-02-24,46.4
2015-02-25,46.0
2015-02-26,45.05
2015-02-27,45.25
2015-02-28,43.75
2015-03-02,44.05
2015-03-03,45.0
2015-03-04,44.6
2015-03-05,45.8
2015-03-09,44.5
2015-03-10,45.1
2015-03-11,46.05
2015-03-12,46.4
2015-03-13,46.0
2015-03-16,45.15
2015-03-17,45.05
2015-03-18,44.85
2015-03-19,44.8
2015-03-20,43.05
2015-03-23,42.1
2015-03-24,43.85
2015-03-25,42.5
2015-03-26,42.6
2015-03-27,44.6
2015-03-30,44.2
2015-03-31,43.0
2015-04-01,46.2
2015-04-06,48.7
2015-04-07,50.0
2015-04-08,50.95
2015-04-09,52.6
2015-04-10,51.9
2015-04-13,52.05
2015-04-15,52.5
2015-04-16,53.45
2015-04-17,54.75
2015-04-20,54.35
2015-04-21,53.5
2015-04-22,52.8
2015-04-23,53.5
2015-04-24,51.0
2015-04-27,49.6
2015-04-28,51.0
2015-04-29,50.5
2015-04-30,48.35
2015-05-04,50.0
2015-05-05,50.3
2015-05-06,48.3
2015-05-07,46.7
2015-05-08,49.4
2015-05-11,49.3
2015-05-12,48.6
2015-05-13,49.6
2015-05-14,49.65
2015-05-15,50.15
2015-05-18,51.0
2015-05-19,51.0
2015-05-20,52.15
2015-05-21,55.0
2015-05-22,55.4
2015-05-25,54.2
2015-05-26,54.1
2015-05-27,54.2
2015-05-28,53.4
2015-05-29,52.55
2015-06-01,53.7
2015-06-02,54.85
2015-06-03,51.3
2015-06-04,57.8
2015-06-05,58.4
2015-06-08,58.6
2015-06-09,57.0
2015-06-10,58.1
2015-06-11,59.1
2015-06-12,60.15
2015-06-15,60.0
2015-06-16,58.95
2015-06-17,59.6
2015-06-18,60.75
2015-06-19,60.15
2015-06-22,60.05
2015-06-23,61.15
2015-06-24,60.7
2015-06-25,63.9
2015-06-26,75.95
2015-06-29,70.35
2015-06-30,71.9
2015-07-01,79.25
2015-07-02,77.8
2015-07-03,81.85
2015-07-06,81.45
2015-07-07,77.85
2015-07-08,73.0
2015-07-09,70.75
2015-07-10,74.5
2015-07-13,78.4
2015-07-14,79.5
2015-07-15,83.0
2015-07-16,87.95
2015-07-17,87.05
2015-07-20,87.0
2015-07-21,81.95
2015-07-22,83.45
2015-07-23,86.1
2015-07-24,86.1
2015-07-27,85.8
2015-07-28,91.7
2015-07-29,95.4
2015-07-30,97.9
2015-07-31,95.3
2015-08-03,92.85
2015-08-04,88.9
2015-08-05,83.05
2015-08-06,78.2
2015-08-07,80.05
2015-08-10,84.65
2015-08-11,87.85
2015-08-12,83.0
2015-08-13,81.95
2015-08-14,82.4
2015-08-17,81.7
2015-08-18,80.9
2015-08-19,79.85
2015-08-20,81.2
2015-08-21,81.45
2015-08-24,71.1
2015-08-25,73.8
2015-08-26,71.95
2015-08-27,74.05
2015-08-28,71.95
2015-08-31,75.25
2015-09-01,74.3
2015-09-02,73.0
2015-09-03,73.1
2015-09-04,68.75
2015-09-07,66.05
2015-09-08,68.4
2015-09-09,71.75
2015-09-10,72.7
2015-09-11,72.5
2015-09-14,75.75
2015-09-15,75.3
2015-09-16,76.7
2015-09-18,80.15
2015-09-21,76.05
2015-09-22,77.15
2015-09-23,78.8
2015-09-24,78.3
2015-09-28,77.3
2015-09-29,74.35
2015-09-30,74.5
2015-10-01,73.5
2015-10-05,77.2
2015-10-06,77.05
2015-10-07,77.15
2015-10-08,79.2
2015-10-09,78.9
2015-10-12,78.9
2015-10-13,83.55
2015-10-14,83.6
2015-10-15,83.3
2015-10-16,82.0
2015-10-19,85.4
2015-10-20,86.85
2015-10-21,87.1
2015-10-23,86.9
2015-10-26,86.45
2015-10-27,87.7
2015-10-28,87.0
2015-10-29,88.5
2015-10-30,84.75
2015-11-02,84.0
2015-11-03,86.3
2015-11-04,86.0
2015-11-05,103.2
2015-11-06,105.6
2015-11-09,105.1
2015-11-10,102.55
2015-11-11,101.65
2015-11-13,104.2
2015-11-16,104.4
2015-11-17,102.45
2015-11-18,103.05
2015-11-19,103.2
2015-11-20,107.15
2015-11-23,125.5
2015-11-24,127.55
2015-11-26,120.9
2015-11-27,123.95
2015-11-30,128.9
2015-12-01,125.9
2015-12-02,133.6
2015-12-03,136.35
2015-12-04,132.05
2015-12-07,144.3
2015-12-08,137.65
2015-12-09,130.7
2015-12-10,135.25
2015-12-11,140.55
2015-12-14,141.1
2015-12-15,144.3
2015-12-16,144.25
2015-12-17,145.0
2015-12-18,144.6
2015-12-21,142.75
2015-12-22,139.05
2015-12-23,135.9
2015-12-24,137.95
2015-12-28,139.15
2015-12-29,137.6
2015-12-30,137.5
2015-12-31,136.95
