Date,NIPPOBATRY
2015-01-01,809.65
2015-01-02,813.6
2015-01-05,817.3
2015-01-06,785.6
2015-01-07,780.7
2015-01-08,774.6
2015-01-09,762.0
2015-01-12,771.9
2015-01-13,766.7
2015-01-14,760.0
2015-01-15,760.0
2015-01-16,763.35
2015-01-19,765.55
2015-01-20,782.5
2015-01-21,786.1
2015-01-22,788.5
2015-01-23,771.85
2015-01-27,794.6
2015-01-28,780.0
2015-01-29,776.8
2015-01-30,759.15
2015-02-02,773.6
2015-02-03,772.1
2015-02-04,773.95
2015-02-05,790.85
2015-02-06,726.15
2015-02-09,742.1
2015-02-10,733.25
2015-02-11,731.55
2015-02-12,731.4
2015-02-13,755.45
2015-02-16,742.75
2015-02-18,745.4
2015-02-19,747.8
2015-02-20,742.15
2015-02-23,736.6
2015-02-24,717.05
2015-02-25,727.1
2015-02-26,724.15
2015-02-27,715.15
2015-02-28,716.4
2015-03-02,726.55
2015-03-03,718.5
2015-03-04,709.15
2015-03-05,716.05
2015-03-09,712.95
2015-03-10,711.6
2015-03-11,703.9
2015-03-12,700.2
2015-03-13,693.9
2015-03-16,686.6
2015-03-17,689.2
2015-03-18,678.6
2015-03-19,689.2
2015-03-20,667.25
2015-03-23,653.25
2015-03-24,658.35
2015-03-25,633.1
2015-03-26,625.1
2015-03-27,647.1
2015-03-30,652.9
2015-03-31,686.25
2015-04-01,696.0
2015-04-06,711.45
2015-04-07,706.5
2015-04-08,725.25
2015-04-09,770.1
2015-04-10,765.9
2015-04-13,767.5
2015-04-15,756.05
2015-04-16,769.7
2015-04-17,760.75
2015-04-20,733.75
2015-04-21,736.65
2015-04-22,734.85
2015-04-23,749.6
2015-04-24,731.6
2015-04-27,705.35
2015-04-28,698.2
2015-04-29,705.0
2015-04-30,695.9
2015-05-04,703.6
2015-05-05,698.25
2015-05-06,688.35
2015-05-07,669.3
2015-05-08,668.75
2015-05-11,675.55
2015-05-12,667.95
2015-05-13,659.55
2015-05-14,752.2
2015-05-15,743.85
2015-05-18,718.6
2015-05-19,721.4
2015-05-20,711.4
