Date,KPRMILL
2015-01-01,370.5
2015-01-02,377.3
2015-01-05,374.1
2015-01-06,354.65
2015-01-07,350.85
2015-01-08,367.9
2015-01-09,391.45
2015-01-12,394.1
2015-01-13,390.15
2015-01-14,390.95
2015-01-15,385.8
2015-01-16,388.85
2015-01-19,390.35
2015-01-20,390.55
2015-01-21,386.35
2015-01-22,389.45
2015-01-23,384.3
2015-01-27,398.25
2015-01-28,391.55
2015-01-29,390.4
2015-01-30,391.15
2015-02-02,399.05
2015-02-03,396.1
2015-02-04,427.9
2015-02-05,431.15
2015-02-06,424.9
2015-02-09,421.15
2015-02-10,426.9
2015-02-11,453.25
2015-02-12,474.55
2015-02-13,471.0
2015-02-16,464.75
2015-02-18,470.4
2015-02-19,471.7
2015-02-20,480.65
2015-02-23,488.05
2015-02-24,493.4
2015-02-25,496.7
2015-02-26,508.2
2015-02-27,518.95
2015-02-28,521.75
2015-03-02,515.25
2015-03-03,525.25
2015-03-04,514.3
2015-03-05,517.1
2015-03-09,518.2
2015-03-10,503.85
2015-03-11,510.0
2015-03-12,512.0
2015-03-13,504.25
2015-03-16,498.9
2015-03-17,495.35
2015-03-18,499.0
2015-03-19,495.65
2015-03-20,481.9
2015-03-23,470.85
2015-03-24,467.8
2015-03-25,474.65
2015-03-26,470.3
2015-03-27,460.6
2015-03-30,478.35
2015-03-31,475.05
2015-04-01,495.1
2015-04-06,521.9
2015-04-07,534.0
2015-04-08,563.9
2015-04-09,543.5
2015-04-10,549.95
2015-04-13,569.2
2015-04-15,583.45
2015-04-16,591.9
2015-04-17,576.75
2015-04-20,577.6
2015-04-21,575.8
2015-04-22,585.8
2015-04-23,580.6
2015-04-24,574.95
2015-04-27,561.9
2015-04-28,566.5
2015-04-29,606.5
2015-04-30,618.45
2015-05-04,642.45
2015-05-05,627.65
2015-05-06,587.35
2015-05-07,580.65
2015-05-08,604.8
2015-05-11,599.95
2015-05-12,597.05
2015-05-13,596.55
2015-05-14,599.3
2015-05-15,597.35
2015-05-18,604.85
2015-05-19,601.1
2015-05-20,587.3
2015-05-21,597.8
2015-05-22,592.75
2015-05-25,603.95
2015-05-26,598.35
2015-05-27,601.45
2015-05-28,589.65
2015-05-29,598.0
2015-06-01,612.9
2015-06-02,602.15
2015-06-03,596.85
2015-06-04,596.8
2015-06-05,595.7
2015-06-08,583.8
2015-06-09,576.35
2015-06-10,587.65
2015-06-11,569.15
2015-06-12,572.35
2015-06-15,575.45
2015-06-16,580.55
2015-06-17,581.2
2015-06-18,580.1
2015-06-19,581.75
2015-06-22,617.3
2015-06-23,615.0
2015-06-24,611.8
2015-06-25,608.35
2015-06-26,605.35
2015-06-29,599.95
2015-06-30,607.75
2015-07-01,665.2
2015-07-02,668.75
2015-07-03,673.25
2015-07-06,670.85
2015-07-07,660.45
2015-07-08,639.4
2015-07-09,642.25
2015-07-10,635.4
2015-07-13,636.45
2015-07-14,637.25
2015-07-15,637.15
2015-07-16,636.9
2015-07-17,643.2
2015-07-20,666.5
2015-07-21,640.75
2015-07-22,638.45
2015-07-23,665.75
2015-07-24,652.55
2015-07-27,641.7
2015-07-28,686.0
2015-07-29,728.85
2015-07-30,767.8
2015-07-31,769.3
2015-08-03,800.25
2015-08-04,797.6
2015-08-05,823.9
2015-08-06,800.35
2015-08-07,815.7
2015-08-10,812.65
2015-08-11,763.85
2015-08-12,740.5
2015-08-13,741.4
2015-08-14,768.9
2015-08-17,785.7
2015-08-18,785.95
2015-08-19,783.05
2015-08-20,770.65
2015-08-21,778.65
2015-08-24,666.4
2015-08-25,700.15
2015-08-26,688.4
2015-08-27,718.55
2015-08-28,730.1
2015-08-31,747.65
2015-09-01,713.8
2015-09-02,732.35
2015-09-03,738.5
2015-09-04,717.25
2015-09-07,699.4
2015-09-08,697.85
2015-09-09,709.6
2015-09-10,703.2
2015-09-11,706.95
2015-09-14,723.85
2015-09-15,711.4
2015-09-16,728.3
2015-09-18,724.9
2015-09-21,725.95
2015-09-22,722.15
2015-09-23,727.8
2015-09-24,776.1
2015-09-28,787.3
2015-09-29,785.1
2015-09-30,812.6
2015-10-01,808.3
2015-10-05,811.35
2015-10-06,802.7
2015-10-07,800.4
2015-10-08,792.75
2015-10-09,768.45
2015-10-12,789.0
2015-10-13,778.3
2015-10-14,790.9
2015-10-15,772.75
2015-10-16,764.4
2015-10-19,753.35
2015-10-20,765.7
2015-10-21,821.6
2015-10-23,853.95
2015-10-26,825.25
2015-10-27,805.9
2015-10-28,801.55
2015-10-29,808.85
2015-10-30,802.25
2015-11-02,801.75
2015-11-03,800.4
2015-11-04,800.2
2015-11-05,798.1
2015-11-06,790.45
2015-11-09,789.55
2015-11-10,781.65
2015-11-11,781.35
2015-11-13,783.25
2015-11-16,785.7
2015-11-17,794.6
2015-11-18,795.05
2015-11-19,806.65
2015-11-20,812.75
2015-11-23,827.7
2015-11-24,828.25
2015-11-26,831.95
2015-11-27,825.05
2015-11-30,828.35
2015-12-01,824.05
2015-12-02,813.95
2015-12-03,819.65
2015-12-04,811.0
2015-12-07,820.65
2015-12-08,807.65
2015-12-09,778.6
2015-12-10,777.85
2015-12-11,763.0
2015-12-14,776.9
2015-12-15,771.95
2015-12-16,794.6
2015-12-17,807.5
2015-12-18,818.85
2015-12-21,822.6
2015-12-22,821.6
2015-12-23,820.75
2015-12-24,825.75
2015-12-28,866.8
2015-12-29,884.4
2015-12-30,883.35
2015-12-31,870.2
