Date,JAYAGROGN
2015-01-01,126.65
2015-01-02,127.65
2015-01-05,127.25
2015-01-06,123.05
2015-01-07,123.2
2015-01-08,124.35
2015-01-09,125.25
2015-01-12,122.4
2015-01-13,120.7
2015-01-14,121.75
2015-01-15,121.25
2015-01-16,120.95
2015-01-19,119.75
2015-01-20,120.8
2015-01-21,120.95
2015-01-22,123.4
2015-01-23,124.6
2015-01-27,123.8
2015-01-28,126.65
2015-01-29,125.95
2015-01-30,125.75
2015-02-02,125.2
2015-02-03,126.2
2015-02-04,125.8
2015-02-05,125.1
2015-02-06,122.05
2015-02-09,122.45
2015-02-10,121.15
2015-02-11,121.85
2015-02-12,120.2
2015-02-13,109.0
2015-02-16,101.2
2015-02-18,114.25
2015-02-19,114.55
2015-02-20,112.65
2015-02-23,112.1
2015-02-24,110.85
2015-02-25,110.75
2015-02-26,107.3
2015-02-27,109.0
2015-02-28,107.9
2015-03-02,108.25
2015-03-03,107.15
2015-03-04,107.85
2015-03-05,109.55
2015-03-09,109.05
2015-03-10,106.7
2015-03-11,107.55
2015-03-12,105.05
2015-03-13,105.15
2015-03-16,104.3
2015-03-17,104.15
2015-03-18,105.15
2015-03-19,102.3
2015-03-20,98.2
2015-03-23,98.6
2015-03-24,98.3
2015-03-25,97.05
2015-03-26,97.65
2015-03-27,95.65
2015-03-30,99.05
2015-03-31,99.2
2015-04-01,102.15
2015-04-06,103.45
2015-04-07,104.4
2015-04-08,103.25
2015-04-09,103.95
2015-04-10,105.0
2015-04-13,108.45
2015-04-15,105.55
2015-04-16,103.15
2015-04-17,104.4
2015-04-20,101.0
2015-04-21,102.05
2015-04-22,102.0
2015-04-23,100.8
2015-04-24,102.55
2015-04-27,103.7
2015-04-28,102.35
2015-04-29,104.65
2015-04-30,103.3
2015-05-04,105.95
2015-05-05,101.15
2015-05-06,101.1
2015-05-07,99.1
2015-05-08,101.55
2015-05-11,102.35
2015-05-12,99.65
2015-05-13,101.7
2015-05-14,97.4
2015-05-15,97.2
2015-05-18,99.85
2015-05-19,100.2
2015-05-20,102.4
2015-05-21,99.1
2015-05-22,98.65
2015-05-25,98.5
2015-05-26,98.4
2015-05-27,98.8
2015-05-28,99.0
2015-05-29,100.1
2015-06-01,101.95
2015-06-02,99.6
2015-06-03,96.5
2015-06-04,95.05
2015-06-05,95.55
2015-06-08,95.0
2015-06-09,96.9
2015-06-10,96.2
2015-06-11,97.0
2015-06-12,95.05
2015-06-15,95.75
2015-06-16,95.1
2015-06-17,95.45
2015-06-18,95.25
2015-06-19,96.6
2015-06-22,94.75
2015-06-23,95.1
2015-06-24,94.0
2015-06-25,96.45
2015-06-26,95.4
2015-06-29,90.1
2015-06-30,94.25
2015-07-01,97.85
2015-07-02,95.1
2015-07-03,99.0
2015-07-06,96.05
2015-07-07,96.8
2015-07-08,92.75
2015-07-09,93.55
2015-07-10,94.0
2015-07-13,98.6
2015-07-14,99.95
2015-07-15,103.35
2015-07-16,107.45
2015-07-17,112.7
2015-07-20,107.55
2015-07-21,107.15
2015-07-22,112.0
2015-07-23,110.4
2015-07-24,114.0
2015-07-27,113.55
2015-07-28,112.05
2015-07-29,116.35
2015-07-30,116.2
2015-07-31,116.15
2015-08-03,118.55
2015-08-04,114.1
2015-08-05,115.0
2015-08-06,113.65
2015-08-07,115.0
2015-08-10,112.25
2015-08-11,113.7
2015-08-12,110.0
2015-08-13,107.75
2015-08-14,114.4
2015-08-17,114.75
2015-08-18,112.1
2015-08-19,110.65
2015-08-20,110.45
2015-08-21,108.0
2015-08-24,102.45
2015-08-25,100.2
2015-08-26,100.05
2015-08-27,94.15
2015-08-28,101.45
2015-08-31,97.5
2015-09-01,95.75
2015-09-02,97.6
2015-09-03,100.0
2015-09-04,99.75
2015-09-07,99.6
2015-09-08,99.85
2015-09-09,106.0
2015-09-10,104.95
2015-09-11,102.4
2015-09-14,112.1
2015-09-15,114.05
2015-09-16,111.4
2015-09-18,114.3
2015-09-21,112.25
2015-09-22,110.1
2015-09-23,110.05
2015-09-24,111.45
2015-09-28,108.15
2015-09-29,110.25
2015-09-30,109.8
2015-10-01,111.6
2015-10-05,111.55
2015-10-06,111.5
2015-10-07,110.8
2015-10-08,111.55
2015-10-09,111.9
2015-10-12,111.85
2015-10-13,113.5
2015-10-14,112.0
2015-10-15,114.3
2015-10-16,112.95
2015-10-19,112.5
2015-10-20,111.4
2015-10-21,112.0
2015-10-23,114.2
2015-10-26,117.1
2015-10-27,113.95
2015-10-28,113.55
2015-10-29,114.7
2015-10-30,112.75
2015-11-02,110.5
2015-11-03,113.55
2015-11-04,115.5
2015-11-05,115.75
2015-11-06,113.4
2015-11-09,110.65
2015-11-10,110.55
2015-11-11,112.9
2015-11-13,110.8
2015-11-16,107.65
2015-11-17,105.95
2015-11-18,108.95
2015-11-19,111.1
2015-11-20,106.0
2015-11-23,111.15
2015-11-24,109.2
2015-11-26,109.8
2015-11-27,110.25
2015-11-30,108.3
2015-12-01,109.65
2015-12-02,110.65
2015-12-03,110.05
2015-12-04,121.45
2015-12-07,116.5
2015-12-08,115.0
2015-12-09,111.6
2015-12-10,110.0
2015-12-11,108.55
2015-12-14,112.45
2015-12-15,112.5
2015-12-16,112.0
2015-12-17,111.8
2015-12-18,110.1
2015-12-21,109.5
2015-12-22,111.7
2015-12-23,111.9
2015-12-24,111.5
2015-12-28,115.25
2015-12-29,112.7
2015-12-30,114.3
2015-12-31,113.6
