Date,LIBERTSHOE
2015-01-01,262.2
2015-01-02,266.35
2015-01-05,272.5
2015-01-06,259.45
2015-01-07,256.1
2015-01-08,266.35
2015-01-09,273.55
2015-01-12,271.0
2015-01-13,269.75
2015-01-14,265.5
2015-01-15,264.0
2015-01-16,267.35
2015-01-19,270.8
2015-01-20,272.1
2015-01-21,272.65
2015-01-22,279.35
2015-01-23,288.75
2015-01-27,278.35
2015-01-28,268.8
2015-01-29,267.85
2015-01-30,266.25
2015-02-02,263.75
2015-02-03,253.85
2015-02-04,255.4
2015-02-05,254.05
2015-02-06,252.9
2015-02-09,244.15
2015-02-10,240.8
2015-02-11,242.55
2015-02-12,263.4
2015-02-13,260.1
2015-02-16,266.9
2015-02-18,269.05
2015-02-19,296.55
2015-02-20,300.1
2015-02-23,291.35
2015-02-24,284.3
2015-02-25,282.8
2015-02-26,273.9
2015-02-27,281.0
2015-02-28,297.85
2015-03-02,287.5
2015-03-03,287.3
2015-03-04,281.05
2015-03-05,276.7
2015-03-09,274.8
2015-03-10,275.3
2015-03-11,270.7
2015-03-12,270.15
2015-03-13,263.2
2015-03-16,257.7
2015-03-17,260.45
2015-03-18,267.35
2015-03-19,260.7
2015-03-20,247.25
2015-03-23,242.8
2015-03-24,239.8
2015-03-25,234.55
2015-03-26,225.7
2015-03-27,221.75
2015-03-30,254.4
2015-03-31,247.5
2015-04-01,260.1
2015-04-06,265.9
2015-04-07,260.5
2015-04-08,266.55
2015-04-09,269.9
2015-04-10,269.9
2015-04-13,267.8
2015-04-15,281.05
2015-04-16,273.55
2015-04-17,270.6
2015-04-20,257.25
2015-04-21,258.2
2015-04-22,258.2
2015-04-23,260.0
2015-04-24,249.8
2015-04-27,238.85
2015-04-28,239.45
2015-04-29,243.4
2015-04-30,241.85
2015-05-04,252.0
2015-05-05,252.7
2015-05-06,241.55
2015-05-07,234.4
2015-05-08,248.55
2015-05-11,250.3
2015-05-12,239.15
2015-05-13,240.95
2015-05-14,239.9
2015-05-15,240.95
2015-05-18,244.05
2015-05-19,239.15
2015-05-20,239.9
2015-05-21,237.85
2015-05-22,237.9
2015-05-25,236.0
2015-05-26,233.0
2015-05-27,229.5
2015-05-28,230.3
2015-05-29,231.85
2015-06-01,237.7
2015-06-02,231.45
2015-06-03,222.2
2015-06-04,217.55
2015-06-05,218.55
2015-06-08,214.1
2015-06-09,216.1
2015-06-10,220.2
2015-06-11,215.4
2015-06-12,210.6
2015-06-15,212.1
2015-06-16,214.5
2015-06-17,224.75
2015-06-18,229.15
2015-06-19,231.75
2015-06-22,229.7
2015-06-23,231.8
2015-06-24,228.15
2015-06-25,227.0
2015-06-26,224.6
2015-06-29,220.3
2015-06-30,226.65
2015-07-01,230.45
2015-07-02,228.05
2015-07-03,228.4
2015-07-06,236.5
2015-07-07,240.9
2015-07-08,234.7
2015-07-09,235.9
2015-07-10,246.85
2015-07-13,248.55
2015-07-14,244.45
2015-07-15,253.4
2015-07-16,249.6
2015-07-17,244.85
2015-07-20,245.55
2015-07-21,242.85
2015-07-22,247.65
2015-07-23,245.9
2015-07-24,247.45
2015-07-27,245.8
2015-07-28,245.5
2015-07-29,243.9
2015-07-30,242.9
2015-07-31,248.05
2015-08-03,257.65
2015-08-04,270.7
2015-08-05,269.75
2015-08-06,273.75
2015-08-07,270.4
2015-08-10,269.15
2015-08-11,258.8
2015-08-12,249.95
2015-08-13,244.95
2015-08-14,270.15
2015-08-17,253.1
2015-08-18,253.25
2015-08-19,250.35
2015-08-20,238.0
2015-08-21,229.4
2015-08-24,202.0
2015-08-25,203.1
2015-08-26,204.05
2015-08-27,211.3
2015-08-28,215.65
2015-08-31,208.2
2015-09-01,202.9
2015-09-02,207.2
2015-09-03,205.95
2015-09-04,200.6
2015-09-07,193.45
2015-09-08,192.55
2015-09-09,197.05
2015-09-10,195.85
2015-09-11,201.9
2015-09-14,200.35
2015-09-15,194.75
2015-09-16,193.0
2015-09-18,197.1
2015-09-21,206.15
2015-09-22,197.5
2015-09-23,198.55
2015-09-24,199.25
2015-09-28,197.0
2015-09-29,190.85
2015-09-30,191.6
2015-10-01,192.05
2015-10-05,197.55
2015-10-06,200.35
2015-10-07,202.55
2015-10-08,196.8
2015-10-09,199.05
2015-10-12,198.55
2015-10-13,199.4
2015-10-14,199.65
2015-10-15,215.1
2015-10-16,210.6
2015-10-19,213.6
2015-10-20,209.05
2015-10-21,213.0
2015-10-23,209.1
2015-10-26,203.8
2015-10-27,206.15
2015-10-28,209.0
2015-10-29,207.15
2015-10-30,204.55
2015-11-02,198.2
2015-11-03,202.05
2015-11-04,201.3
2015-11-05,198.3
2015-11-06,194.7
2015-11-09,193.95
2015-11-10,194.0
2015-11-11,195.4
2015-11-13,192.4
2015-11-16,192.75
2015-11-17,194.3
2015-11-18,199.45
2015-11-19,200.15
2015-11-20,203.5
2015-11-23,201.65
2015-11-24,202.55
2015-11-26,207.6
2015-11-27,211.85
2015-11-30,216.45
2015-12-01,216.05
2015-12-02,208.8
2015-12-03,206.4
2015-12-04,208.7
2015-12-07,207.05
2015-12-08,200.5
2015-12-09,192.8
2015-12-10,195.75
2015-12-11,192.9
2015-12-14,193.2
2015-12-15,194.0
2015-12-16,197.55
2015-12-17,196.1
2015-12-18,196.0
2015-12-21,200.75
2015-12-22,205.2
2015-12-23,203.05
2015-12-24,203.45
2015-12-28,204.35
2015-12-29,202.2
2015-12-30,199.7
2015-12-31,200.55
