Date,KOTHARIPET
2015-01-01,14.4
2015-01-02,15.25
2015-01-05,15.5
2015-01-06,15.15
2015-01-07,14.95
2015-01-08,14.7
2015-01-09,14.4
2015-01-12,14.9
2015-01-13,17.85
2015-01-14,17.0
2015-01-15,17.35
2015-01-16,17.3
2015-01-19,17.0
2015-01-20,16.6
2015-01-21,15.7
2015-01-22,16.2
2015-01-23,15.4
2015-01-27,15.4
2015-01-28,14.75
2015-01-29,14.7
2015-01-30,14.65
2015-02-02,14.55
2015-02-03,14.55
2015-02-04,14.05
2015-02-05,14.25
2015-02-06,14.95
2015-02-09,14.1
2015-02-10,14.25
2015-02-11,14.2
2015-02-12,15.3
2015-02-13,14.95
2015-02-16,15.15
2015-02-18,15.0
2015-02-19,14.75
2015-02-20,15.1
2015-02-23,14.9
2015-02-24,14.85
2015-02-25,14.7
2015-02-26,14.4
2015-02-27,14.3
2015-02-28,15.05
2015-03-02,14.55
2015-03-03,15.2
2015-03-04,14.5
2015-03-05,14.25
2015-03-09,14.0
2015-03-10,14.2
2015-03-11,13.5
2015-03-12,13.9
2015-03-13,13.7
2015-03-16,12.85
2015-03-17,12.7
2015-03-18,12.75
2015-03-19,12.6
2015-03-20,12.85
2015-03-23,11.75
2015-03-24,11.5
2015-03-25,11.75
2015-03-26,10.95
2015-03-27,11.75
2015-03-30,12.1
2015-03-31,11.9
2015-04-01,12.7
2015-04-06,13.2
2015-04-07,11.7
2015-04-08,11.75
2015-04-09,12.25
2015-04-10,12.3
2015-04-13,12.35
2015-04-15,12.7
2015-04-16,12.7
2015-04-17,12.4
2015-04-20,12.15
2015-04-21,12.75
2015-04-22,12.5
2015-04-23,12.45
2015-04-24,12.3
2015-04-27,11.25
2015-04-28,10.8
2015-04-29,11.0
2015-04-30,11.6
2015-05-04,12.55
2015-05-05,12.95
2015-05-06,12.0
2015-05-07,11.6
2015-05-08,12.1
2015-05-11,12.25
2015-05-12,11.85
2015-05-13,11.75
2015-05-14,12.5
2015-05-15,11.75
2015-05-18,11.8
2015-05-19,12.5
2015-05-20,12.05
2015-05-21,12.3
2015-05-22,12.05
2015-05-25,12.75
2015-05-26,12.65
2015-05-27,12.1
2015-05-28,12.3
2015-05-29,12.65
2015-06-01,13.0
2015-06-02,13.0
2015-06-03,13.0
2015-06-04,13.0
2015-06-05,12.95
2015-06-08,12.65
2015-06-09,12.75
2015-06-10,13.3
2015-06-11,12.9
2015-06-12,12.8
2015-06-15,13.0
2015-06-16,12.85
2015-06-17,12.95
2015-06-18,12.8
2015-06-19,12.7
2015-06-22,13.0
2015-06-23,13.15
2015-06-24,13.25
2015-06-25,13.4
2015-06-26,13.2
2015-06-29,13.05
2015-06-30,13.8
2015-07-01,14.25
2015-07-02,14.35
2015-07-03,13.95
2015-07-06,13.75
2015-07-07,13.55
2015-07-08,13.9
2015-07-09,14.15
2015-07-10,14.55
2015-07-13,14.75
2015-07-14,15.3
2015-07-15,15.25
2015-07-16,15.65
2015-07-17,16.05
2015-07-20,16.0
2015-07-21,15.85
2015-07-22,18.9
2015-07-23,18.0
2015-07-24,20.8
2015-07-27,21.7
2015-07-28,24.25
2015-07-29,24.35
2015-07-30,23.05
2015-07-31,21.05
2015-08-03,21.75
2015-08-04,22.5
2015-08-05,21.25
2015-08-06,20.4
2015-08-07,20.15
2015-08-10,20.95
2015-08-11,19.2
2015-08-12,17.95
2015-08-13,17.65
2015-08-14,18.95
2015-08-17,17.7
2015-08-18,17.45
2015-08-19,17.7
2015-08-20,17.2
2015-08-21,16.8
2015-08-24,15.15
2015-08-25,14.45
2015-08-26,15.15
2015-08-27,15.1
2015-08-28,14.65
2015-08-31,14.85
2015-09-01,14.3
2015-09-02,14.0
2015-09-03,14.1
2015-09-04,14.25
2015-09-07,13.85
2015-09-08,14.3
2015-09-09,14.15
2015-09-10,14.4
2015-09-11,14.5
2015-09-14,15.15
2015-09-15,14.7
2015-09-16,14.75
2015-09-18,14.85
2015-09-21,14.95
2015-09-22,15.1
2015-09-23,15.45
2015-09-24,14.75
2015-09-28,14.55
2015-09-29,14.4
2015-09-30,14.7
2015-10-01,14.85
2015-10-05,16.3
2015-10-06,16.9
2015-10-07,16.65
2015-10-08,16.0
2015-10-09,16.55
2015-10-12,16.2
2015-10-13,16.6
2015-10-14,17.05
2015-10-15,16.9
2015-10-16,18.55
2015-10-19,20.4
2015-10-20,22.4
2015-10-21,23.5
2015-10-23,24.65
2015-10-26,24.75
2015-10-27,24.2
2015-10-28,23.3
2015-10-29,24.25
2015-10-30,24.25
2015-11-02,24.65
2015-11-03,24.7
2015-11-04,24.45
2015-11-05,23.95
2015-11-06,23.75
2015-11-09,23.7
2015-11-10,23.0
2015-11-11,24.2
2015-11-13,23.25
2015-11-16,23.15
2015-11-17,23.35
2015-11-18,23.05
2015-11-19,22.9
2015-11-20,23.0
2015-11-23,22.95
2015-11-24,23.95
2015-11-26,23.8
2015-11-27,23.85
2015-11-30,24.35
2015-12-01,24.3
2015-12-02,24.9
2015-12-03,24.75
2015-12-04,23.7
2015-12-07,23.5
2015-12-08,23.65
2015-12-09,23.1
2015-12-10,23.8
2015-12-11,23.0
2015-12-14,23.35
2015-12-15,24.05
2015-12-16,23.7
2015-12-17,24.1
2015-12-18,24.0
2015-12-21,28.8
2015-12-22,29.0
2015-12-23,29.25
2015-12-24,28.0
2015-12-28,27.9
2015-12-29,27.45
2015-12-30,29.35
2015-12-31,29.15
