Date,NIITLTD
2015-01-01,48.9
2015-01-02,49.6
2015-01-05,49.4
2015-01-06,47.4
2015-01-07,47.65
2015-01-08,48.2
2015-01-09,48.4
2015-01-12,51.6
2015-01-13,50.05
2015-01-14,48.35
2015-01-15,48.2
2015-01-16,46.6
2015-01-19,46.9
2015-01-20,46.85
2015-01-21,45.45
2015-01-22,46.15
2015-01-23,45.5
2015-01-27,45.05
2015-01-28,44.55
2015-01-29,44.05
2015-01-30,44.25
2015-02-02,43.2
2015-02-03,43.25
2015-02-04,43.3
2015-02-05,42.2
2015-02-06,41.2
2015-02-09,40.35
2015-02-10,40.65
2015-02-11,41.85
2015-02-12,43.55
2015-02-13,42.55
2015-02-16,41.95
2015-02-18,44.95
2015-02-19,44.7
2015-02-20,47.45
2015-02-23,45.6
2015-02-24,44.65
2015-02-25,44.9
2015-02-26,43.75
2015-02-27,45.15
2015-02-28,44.9
2015-03-02,44.1
2015-03-03,44.55
2015-03-04,43.05
2015-03-05,42.45
2015-03-09,41.85
2015-03-10,41.45
2015-03-11,41.9
2015-03-12,42.15
2015-03-13,40.85
2015-03-16,39.95
2015-03-17,39.5
2015-03-18,38.85
2015-03-19,38.85
2015-03-20,36.85
2015-03-23,38.5
2015-03-24,37.25
2015-03-25,37.2
2015-03-26,35.65
2015-03-27,35.6
2015-03-30,36.8
2015-03-31,35.95
2015-04-01,38.85
2015-04-06,38.6
2015-04-07,38.6
2015-04-08,39.65
2015-04-09,40.35
2015-04-10,40.1
2015-04-13,40.7
2015-04-15,40.15
2015-04-16,38.75
2015-04-17,39.05
2015-04-20,39.1
2015-04-21,39.3
2015-04-22,39.15
2015-04-23,38.85
2015-04-24,37.95
2015-04-27,36.6
2015-04-28,36.25
2015-04-29,36.15
2015-04-30,36.0
2015-05-04,36.05
2015-05-05,37.8
2015-05-06,36.7
2015-05-07,36.3
2015-05-08,37.75
2015-05-11,39.45
2015-05-12,38.05
2015-05-13,38.3
2015-05-14,37.35
2015-05-15,37.95
2015-05-18,38.1
2015-05-19,39.3
2015-05-20,41.35
2015-05-21,42.15
2015-05-22,41.75
2015-05-25,40.45
2015-05-26,40.35
2015-05-27,37.7
2015-05-28,38.45
2015-05-29,38.95
2015-06-01,39.6
2015-06-02,39.85
2015-06-03,38.5
2015-06-04,39.15
2015-06-05,38.5
2015-06-08,38.9
2015-06-09,38.3
2015-06-10,38.8
2015-06-11,37.95
2015-06-12,37.6
2015-06-15,37.85
2015-06-16,38.2
2015-06-17,39.45
2015-06-18,40.1
2015-06-19,40.2
2015-06-22,40.95
2015-06-23,41.6
2015-06-24,42.2
2015-06-25,42.25
2015-06-26,41.75
2015-06-29,40.1
2015-06-30,41.3
2015-07-01,42.8
2015-07-02,45.2
2015-07-03,45.95
2015-07-06,49.95
2015-07-07,48.0
2015-07-08,48.05
2015-07-09,49.25
2015-07-10,47.9
2015-07-13,49.1
2015-07-14,51.05
2015-07-15,53.35
2015-07-16,52.15
2015-07-17,58.15
2015-07-20,67.0
2015-07-21,63.5
2015-07-22,65.65
2015-07-23,66.5
2015-07-24,64.65
2015-07-27,67.3
2015-07-28,70.3
2015-07-29,73.65
2015-07-30,81.0
2015-07-31,81.5
2015-08-03,81.15
2015-08-04,78.2
2015-08-05,80.05
2015-08-06,77.1
2015-08-07,75.8
2015-08-10,74.25
2015-08-11,77.15
2015-08-12,73.3
2015-08-13,69.85
2015-08-14,73.3
2015-08-17,76.95
2015-08-18,77.25
2015-08-19,81.0
2015-08-20,77.7
2015-08-21,80.75
2015-08-24,76.75
2015-08-25,72.95
2015-08-26,69.65
2015-08-27,71.15
2015-08-28,74.5
2015-08-31,71.9
2015-09-01,69.0
2015-09-02,69.65
2015-09-03,71.35
2015-09-04,68.25
2015-09-07,65.9
2015-09-08,67.5
2015-09-09,68.45
2015-09-10,69.1
2015-09-11,70.55
2015-09-14,68.7
2015-09-15,68.0
2015-09-16,67.0
2015-09-18,67.45
2015-09-21,70.5
2015-09-22,68.85
2015-09-23,69.45
2015-09-24,71.35
2015-09-28,70.6
2015-09-29,72.75
2015-09-30,73.5
2015-10-01,73.95
2015-10-05,81.8
2015-10-06,92.55
2015-10-07,93.95
2015-10-08,97.25
2015-10-09,96.25
2015-10-12,91.35
2015-10-13,92.75
2015-10-14,91.9
2015-10-15,94.55
2015-10-16,96.2
2015-10-19,102.6
2015-10-20,100.35
2015-10-21,97.9
2015-10-23,93.25
2015-10-26,94.45
2015-10-27,94.75
2015-10-28,94.85
2015-10-29,96.1
2015-10-30,93.75
2015-11-02,94.5
2015-11-03,90.8
2015-11-04,91.35
2015-11-05,88.35
2015-11-06,89.4
2015-11-09,87.75
2015-11-10,85.75
2015-11-11,88.85
2015-11-13,86.65
2015-11-16,87.25
2015-11-17,91.15
2015-11-18,91.65
2015-11-19,92.6
2015-11-20,91.65
2015-11-23,93.05
2015-11-24,93.9
2015-11-26,92.35
2015-11-27,97.75
2015-11-30,99.1
2015-12-01,97.2
2015-12-02,95.6
2015-12-03,96.5
2015-12-04,94.75
2015-12-07,95.05
2015-12-08,92.5
2015-12-09,90.5
2015-12-10,92.75
2015-12-11,91.65
2015-12-14,91.6
2015-12-15,93.75
2015-12-16,92.7
2015-12-17,98.15
2015-12-18,100.5
2015-12-21,100.1
2015-12-22,97.85
2015-12-23,98.05
2015-12-24,98.05
2015-12-28,105.85
2015-12-29,102.85
2015-12-30,100.15
2015-12-31,99.05
