Date,REFEX
2015-01-01,6.8
2015-01-02,6.5
2015-01-05,6.45
2015-01-06,6.1
2015-01-07,6.1
2015-01-08,6.65
2015-01-09,6.45
2015-01-12,6.45
2015-01-13,7.05
2015-01-14,8.45
2015-01-15,10.1
2015-01-16,10.55
2015-01-19,11.6
2015-01-20,10.5
2015-01-21,11.05
2015-01-22,11.7
2015-01-23,11.1
2015-01-27,10.8
2015-01-28,10.1
2015-01-29,9.35
2015-01-30,9.25
2015-02-02,9.0
2015-02-03,8.75
2015-02-04,8.65
2015-02-05,9.05
2015-02-06,9.5
2015-02-09,9.5
2015-02-10,9.9
2015-02-11,10.35
2015-02-12,10.85
2015-02-13,11.35
2015-02-16,11.8
2015-02-18,11.25
2015-02-19,11.35
2015-02-20,10.85
2015-02-23,10.55
2015-02-24,11.0
2015-02-25,11.0
2015-02-26,10.7
2015-02-27,10.9
2015-02-28,10.6
2015-03-02,10.25
2015-03-03,10.0
2015-03-04,9.55
2015-03-05,9.15
2015-03-09,10.05
2015-03-10,10.6
2015-03-11,10.25
2015-03-12,9.6
2015-03-13,9.7
2015-03-16,9.15
2015-03-17,10.0
2015-03-18,9.45
2015-03-19,9.85
2015-03-20,9.35
2015-03-23,9.0
2015-03-24,9.15
2015-03-25,9.85
2015-03-26,10.0
2015-03-27,10.8
2015-03-30,11.75
2015-03-31,11.2
2015-04-01,10.75
2015-04-06,10.3
2015-04-07,10.1
2015-04-08,9.9
2015-04-09,9.85
2015-04-10,10.15
2015-04-13,10.0
2015-04-15,9.75
2015-04-16,9.75
2015-04-17,9.9
2015-04-20,10.05
2015-04-21,9.75
2015-04-22,9.75
2015-04-23,9.45
2015-04-24,9.35
2015-04-27,9.15
2015-04-28,9.4
2015-04-29,9.35
2015-04-30,8.9
2015-05-04,9.0
2015-05-05,8.95
2015-05-06,8.45
2015-05-07,9.0
2015-05-08,8.5
2015-05-11,9.2
2015-05-12,8.3
2015-05-13,8.55
2015-05-15,8.05
2015-05-18,8.05
2015-05-19,7.9
2015-05-20,7.95
2015-05-21,7.9
2015-05-22,7.85
2015-05-25,7.85
2015-05-27,8.3
2015-05-28,8.5
2015-05-29,7.8
2015-06-01,8.55
2015-06-02,9.4
2015-06-03,10.3
2015-06-04,11.3
2015-06-05,10.75
2015-06-08,10.45
2015-06-09,10.5
2015-06-10,10.3
2015-06-11,10.6
2015-06-12,10.3
2015-06-15,10.8
2015-06-16,11.3
2015-06-17,11.85
2015-06-18,12.4
2015-06-19,12.95
2015-06-22,13.55
2015-06-23,14.2
2015-06-24,14.9
2015-06-25,15.6
2015-06-26,16.35
2015-06-29,17.15
2015-06-30,17.3
2015-07-01,18.15
2015-07-02,19.05
2015-07-03,18.1
2015-07-06,19.0
2015-07-07,19.95
2015-07-08,20.7
2015-07-09,19.7
2015-07-10,18.75
2015-07-13,17.85
2015-07-14,17.0
2015-07-15,16.15
2015-07-16,15.35
2015-07-17,14.6
2015-07-20,13.9
2015-07-21,13.25
2015-07-22,13.9
2015-07-23,14.55
2015-07-24,13.85
2015-07-27,13.2
2015-07-28,12.8
2015-07-29,12.9
2015-07-30,12.4
2015-07-31,12.9
2015-08-03,12.55
2015-08-04,12.55
2015-08-05,12.05
2015-08-06,11.7
2015-08-07,11.7
2015-08-10,11.2
2015-08-11,11.15
2015-08-12,10.65
2015-08-13,10.15
2015-08-14,9.75
2015-08-17,9.3
2015-08-18,8.85
2015-08-19,9.25
2015-08-20,9.65
2015-08-21,9.55
2015-08-24,9.1
2015-08-25,8.65
2015-08-26,8.4
2015-08-27,8.8
2015-08-28,8.95
2015-08-31,8.95
2015-09-01,8.55
2015-09-02,8.4
2015-09-03,8.8
2015-09-04,8.65
2015-09-07,8.25
2015-09-08,8.35
2015-09-09,8.4
2015-09-10,8.25
2015-09-11,8.0
2015-09-14,7.9
2015-09-15,8.25
2015-09-16,8.55
2015-09-18,8.45
2015-09-21,8.1
2015-09-22,8.35
2015-09-23,8.0
2015-09-24,7.75
2015-09-28,8.0
2015-09-29,8.35
2015-09-30,8.55
2015-10-01,8.95
2015-10-05,9.8
2015-10-06,10.25
2015-10-07,9.6
2015-10-08,9.85
2015-10-09,9.9
2015-10-12,9.55
2015-10-13,9.95
2015-10-14,9.7
2015-10-15,9.6
2015-10-16,9.4
2015-10-19,9.5
2015-10-20,10.1
2015-10-21,11.1
2015-10-23,10.2
2015-10-26,9.2
2015-10-27,9.2
2015-10-28,10.05
2015-10-29,9.8
2015-10-30,9.65
2015-11-02,9.1
2015-11-03,9.3
2015-11-04,9.25
2015-11-05,9.5
2015-11-06,9.25
2015-11-09,8.85
2015-11-10,9.25
2015-11-11,9.45
2015-11-13,9.4
2015-11-16,8.75
2015-11-17,8.7
2015-11-18,8.6
2015-11-19,8.95
2015-11-20,8.55
2015-11-23,9.2
2015-11-24,9.2
2015-11-26,8.75
2015-11-27,8.75
2015-11-30,8.6
2015-12-01,8.7
2015-12-02,8.75
2015-12-03,8.8
2015-12-04,8.75
2015-12-07,8.55
2015-12-08,8.65
2015-12-09,8.4
2015-12-10,8.5
2015-12-11,8.6
2015-12-14,8.3
2015-12-15,8.55
2015-12-16,8.6
2015-12-17,8.5
2015-12-18,8.4
2015-12-21,8.8
2015-12-22,8.5
2015-12-23,8.0
2015-12-24,8.45
2015-12-28,8.6
2015-12-29,8.75
2015-12-30,8.65
2015-12-31,8.6
