Date,DLINKINDIA
2015-01-01,169.05
2015-01-02,171.55
2015-01-05,168.05
2015-01-06,162.0
2015-01-07,163.35
2015-01-08,164.6
2015-01-09,163.1
2015-01-12,160.45
2015-01-13,160.4
2015-01-14,159.5
2015-01-15,162.25
2015-01-16,163.5
2015-01-19,164.65
2015-01-20,165.85
2015-01-21,168.05
2015-01-22,166.4
2015-01-23,167.35
2015-01-27,168.0
2015-01-28,167.05
2015-01-29,170.3
2015-01-30,168.35
2015-02-02,167.6
2015-02-03,167.05
2015-02-04,176.2
2015-02-05,175.2
2015-02-06,168.0
2015-02-09,174.85
2015-02-10,171.7
2015-02-11,169.35
2015-02-12,167.9
2015-02-13,169.4
2015-02-16,189.0
2015-02-18,179.3
2015-02-19,181.55
2015-02-20,178.8
2015-02-23,172.1
2015-02-24,168.25
2015-02-25,170.6
2015-02-26,173.0
2015-02-27,174.35
2015-02-28,170.35
2015-03-02,168.9
2015-03-03,173.05
2015-03-04,174.4
2015-03-05,174.95
2015-03-09,174.95
2015-03-10,172.9
2015-03-11,172.7
2015-03-12,173.05
2015-03-13,171.4
2015-03-16,170.85
2015-03-17,170.95
2015-03-18,167.15
2015-03-19,166.55
2015-03-20,167.15
2015-03-23,164.6
2015-03-24,168.2
2015-03-25,171.25
2015-03-26,162.5
2015-03-27,164.45
2015-03-30,165.95
2015-03-31,166.75
2015-04-01,164.75
2015-04-06,168.55
2015-04-07,166.25
2015-04-08,169.4
2015-04-09,179.5
2015-04-10,179.0
2015-04-13,181.4
2015-04-15,187.6
2015-04-16,193.0
2015-04-17,194.7
2015-04-20,179.45
2015-04-21,180.9
2015-04-22,182.75
2015-04-23,181.95
2015-04-24,176.3
2015-04-27,169.6
2015-04-28,172.3
2015-04-29,178.55
2015-04-30,180.45
2015-05-04,186.0
2015-05-05,187.1
2015-05-06,181.55
2015-05-07,168.0
2015-05-08,174.6
2015-05-11,176.75
2015-05-12,173.95
2015-05-13,178.7
2015-05-14,180.1
2015-05-15,215.4
2015-05-18,206.4
2015-05-19,208.4
2015-05-20,189.75
2015-05-21,186.6
2015-05-22,187.25
2015-05-25,186.25
2015-05-26,183.9
2015-05-27,176.55
2015-05-28,177.95
2015-05-29,179.75
2015-06-01,177.85
2015-06-02,174.1
2015-06-03,171.25
2015-06-04,168.75
2015-06-05,169.15
2015-06-08,174.2
2015-06-09,170.8
2015-06-10,173.4
2015-06-11,169.0
2015-06-12,181.1
2015-06-15,182.7
2015-06-16,182.95
2015-06-17,193.75
2015-06-18,197.95
2015-06-19,192.8
2015-06-22,194.9
2015-06-23,194.15
2015-06-24,191.1
2015-06-25,189.5
2015-06-26,189.4
2015-06-29,186.9
2015-06-30,195.4
2015-07-01,198.7
2015-07-02,196.6
2015-07-03,206.4
2015-07-06,236.15
2015-07-07,233.75
2015-07-08,225.9
2015-07-09,229.7
2015-07-10,244.5
2015-07-13,237.45
2015-07-14,231.4
2015-07-15,228.85
2015-07-16,242.3
2015-07-17,233.45
2015-07-20,231.85
2015-07-21,229.3
2015-07-22,234.45
2015-07-23,234.3
2015-07-24,230.2
2015-07-27,232.3
2015-07-28,229.7
2015-07-29,228.55
2015-07-30,229.45
2015-07-31,228.05
2015-08-03,228.2
2015-08-04,236.6
2015-08-05,233.0
2015-08-06,227.45
2015-08-07,210.25
2015-08-10,197.2
2015-08-11,199.8
2015-08-12,196.45
2015-08-13,191.95
2015-08-14,196.2
2015-08-17,192.9
2015-08-18,193.0
2015-08-19,191.5
2015-08-20,186.0
2015-08-21,179.65
2015-08-24,159.75
2015-08-25,168.65
2015-08-26,161.1
2015-08-27,177.45
2015-08-28,179.8
2015-08-31,174.1
2015-09-01,165.15
2015-09-02,162.15
2015-09-03,171.55
2015-09-04,159.9
2015-09-07,151.65
2015-09-08,157.05
2015-09-09,162.15
2015-09-10,157.55
2015-09-11,157.7
2015-09-14,163.65
2015-09-15,162.95
2015-09-16,164.7
2015-09-18,168.8
2015-09-21,165.95
2015-09-22,162.25
2015-09-23,164.65
2015-09-24,164.3
2015-09-28,165.7
2015-09-29,163.55
2015-09-30,164.95
2015-10-01,165.3
2015-10-05,167.5
2015-10-06,169.85
2015-10-07,179.8
2015-10-08,178.3
2015-10-09,178.3
2015-10-12,171.6
2015-10-13,173.55
2015-10-14,172.1
2015-10-15,170.65
2015-10-16,173.55
2015-10-19,173.25
2015-10-20,174.3
2015-10-21,173.1
2015-10-23,182.2
2015-10-26,180.05
2015-10-27,181.45
2015-10-28,179.0
2015-10-29,175.45
2015-10-30,170.9
2015-11-02,169.05
2015-11-03,170.9
2015-11-04,170.25
2015-11-05,170.7
2015-11-06,161.6
2015-11-09,150.9
2015-11-10,152.55
2015-11-11,153.85
2015-11-13,148.65
2015-11-16,147.0
2015-11-17,150.85
2015-11-18,148.7
2015-11-19,150.1
2015-11-20,156.5
2015-11-23,154.0
2015-11-24,155.75
2015-11-26,155.7
2015-11-27,161.25
2015-11-30,162.15
2015-12-01,164.25
2015-12-02,167.1
2015-12-03,166.3
2015-12-04,169.3
2015-12-07,166.9
2015-12-08,163.7
2015-12-09,156.75
2015-12-10,161.1
2015-12-11,158.6
2015-12-14,160.65
2015-12-15,159.7
2015-12-16,160.85
2015-12-17,166.5
2015-12-18,167.1
2015-12-21,168.1
2015-12-22,173.55
2015-12-23,178.35
2015-12-24,178.0
2015-12-28,174.7
2015-12-29,175.1
2015-12-30,175.15
2015-12-31,176.15
