Date,LUMAXIND
2015-01-01,418.15
2015-01-02,434.4
2015-01-05,438.65
2015-01-06,415.2
2015-01-07,419.65
2015-01-08,430.0
2015-01-09,428.3
2015-01-12,434.25
2015-01-13,434.5
2015-01-14,428.85
2015-01-15,428.35
2015-01-16,428.95
2015-01-19,427.75
2015-01-20,426.9
2015-01-21,427.45
2015-01-22,416.4
2015-01-23,414.55
2015-01-27,422.5
2015-01-28,414.6
2015-01-29,411.75
2015-01-30,407.5
2015-02-02,419.2
2015-02-03,417.15
2015-02-04,410.6
2015-02-05,411.4
2015-02-06,397.3
2015-02-09,392.6
2015-02-10,392.25
2015-02-11,403.5
2015-02-12,401.65
2015-02-13,400.55
2015-02-16,393.7
2015-02-18,391.4
2015-02-19,384.35
2015-02-20,379.75
2015-02-23,379.9
2015-02-24,369.05
2015-02-25,364.3
2015-02-26,358.9
2015-02-27,367.5
2015-02-28,368.45
2015-03-02,368.55
2015-03-03,367.25
2015-03-04,365.05
2015-03-05,366.1
2015-03-09,358.85
2015-03-10,343.1
2015-03-11,348.5
2015-03-12,347.9
2015-03-13,336.85
2015-03-16,338.0
2015-03-17,334.95
2015-03-18,328.25
2015-03-19,332.7
2015-03-20,321.5
2015-03-23,328.25
2015-03-24,337.2
2015-03-25,326.8
2015-03-26,321.3
2015-03-27,320.8
2015-03-30,331.85
2015-03-31,332.1
2015-04-01,328.95
2015-04-06,334.25
2015-04-07,335.95
2015-04-08,343.1
2015-04-09,339.05
2015-04-10,339.4
2015-04-13,340.9
2015-04-15,341.3
2015-04-16,336.95
2015-04-17,329.45
2015-04-20,327.2
2015-04-21,323.6
2015-04-22,323.25
2015-04-23,328.6
2015-04-24,326.25
2015-04-27,312.95
2015-04-28,315.6
2015-04-29,312.5
2015-04-30,315.8
2015-05-04,328.45
2015-05-05,329.85
2015-05-06,313.15
2015-05-07,313.95
2015-05-08,318.5
2015-05-11,321.3
2015-05-12,318.1
2015-05-13,327.6
2015-05-14,327.5
2015-05-15,321.8
2015-05-18,324.9
2015-05-19,327.35
2015-05-20,335.0
2015-05-21,336.4
2015-05-22,338.75
2015-05-25,320.9
2015-05-26,319.8
2015-05-27,314.05
2015-05-28,314.35
2015-05-29,318.75
2015-06-01,320.05
2015-06-02,317.95
2015-06-03,319.2
2015-06-04,310.05
2015-06-05,311.1
2015-06-08,309.4
2015-06-09,301.55
2015-06-10,303.75
2015-06-11,292.2
2015-06-12,293.1
2015-06-15,289.55
2015-06-16,293.3
2015-06-17,292.4
2015-06-18,301.25
2015-06-19,308.15
2015-06-22,308.9
2015-06-23,300.5
2015-06-24,298.15
2015-06-25,296.3
2015-06-26,300.05
2015-06-29,290.05
2015-06-30,295.05
2015-07-01,296.15
2015-07-02,289.9
2015-07-03,285.05
2015-07-06,291.8
2015-07-07,309.65
2015-07-08,316.1
2015-07-09,314.15
2015-07-10,316.95
2015-07-13,321.7
2015-07-14,322.9
2015-07-15,314.7
2015-07-16,314.15
2015-07-17,313.9
2015-07-20,323.25
2015-07-21,318.3
2015-07-22,325.2
2015-07-23,328.9
2015-07-24,338.0
2015-07-27,405.6
2015-07-28,457.45
2015-07-29,449.65
2015-07-30,464.6
2015-07-31,490.2
2015-08-03,530.0
2015-08-04,521.85
2015-08-05,500.45
2015-08-06,504.5
2015-08-07,496.0
2015-08-10,475.65
2015-08-11,469.9
2015-08-12,474.9
2015-08-13,455.05
2015-08-14,487.05
2015-08-17,471.25
2015-08-18,469.45
2015-08-19,516.35
2015-08-20,486.5
2015-08-21,479.75
2015-08-24,431.8
2015-08-25,426.7
2015-08-26,422.5
2015-08-27,430.25
2015-08-28,436.55
2015-08-31,425.2
2015-09-01,414.75
2015-09-02,421.3
2015-09-03,430.3
2015-09-04,418.9
2015-09-07,407.65
2015-09-08,398.8
2015-09-09,398.8
2015-09-10,412.3
2015-09-11,413.05
2015-09-14,430.45
2015-09-15,423.75
2015-09-16,422.75
2015-09-18,426.1
2015-09-21,438.25
2015-09-22,423.0
2015-09-23,424.35
2015-09-24,428.8
2015-09-28,420.85
2015-09-29,414.75
2015-09-30,429.75
2015-10-01,435.3
2015-10-05,434.5
2015-10-06,438.8
2015-10-07,434.0
2015-10-08,428.7
2015-10-09,432.15
2015-10-12,421.5
2015-10-13,460.15
2015-10-14,462.55
2015-10-15,465.15
2015-10-16,470.25
2015-10-19,466.9
2015-10-20,471.5
2015-10-21,461.35
2015-10-23,467.05
2015-10-26,460.1
2015-10-27,448.15
2015-10-28,437.95
2015-10-29,426.05
2015-10-30,415.0
2015-11-02,433.55
2015-11-03,460.65
2015-11-04,465.2
2015-11-05,483.2
2015-11-06,485.85
2015-11-09,448.75
2015-11-10,435.95
2015-11-11,440.45
2015-11-13,427.35
2015-11-16,428.8
2015-11-17,429.95
2015-11-18,428.4
2015-11-19,430.45
2015-11-20,431.6
2015-11-23,439.5
2015-11-24,463.95
2015-11-26,527.55
2015-11-27,505.15
2015-11-30,497.85
2015-12-01,517.85
2015-12-02,507.0
2015-12-03,497.2
2015-12-04,481.35
2015-12-07,466.95
2015-12-08,455.45
2015-12-09,441.15
2015-12-10,447.85
2015-12-11,432.45
2015-12-14,445.7
2015-12-15,447.15
2015-12-16,453.3
2015-12-17,455.95
2015-12-18,463.1
2015-12-21,466.1
2015-12-22,461.3
2015-12-23,460.0
2015-12-24,465.4
2015-12-28,463.6
2015-12-29,460.1
2015-12-30,452.1
2015-12-31,467.35
