Date,HARITASEAT
2015-01-01,169.5
2015-01-02,172.4
2015-01-05,171.95
2015-01-06,169.55
2015-01-07,170.75
2015-01-08,169.15
2015-01-09,171.95
2015-01-12,172.7
2015-01-13,169.95
2015-01-14,171.0
2015-01-15,166.35
2015-01-16,171.95
2015-01-19,176.15
2015-01-20,176.5
2015-01-21,187.7
2015-01-22,196.75
2015-01-23,198.9
2015-01-27,206.2
2015-01-28,206.45
2015-01-29,205.7
2015-01-30,201.25
2015-02-02,207.45
2015-02-03,205.8
2015-02-04,208.6
2015-02-05,220.0
2015-02-06,217.65
2015-02-09,200.95
2015-02-10,197.0
2015-02-11,199.75
2015-02-12,209.8
2015-02-13,213.05
2015-02-16,210.9
2015-02-18,209.2
2015-02-19,209.4
2015-02-20,208.95
2015-02-23,207.65
2015-02-24,207.7
2015-02-25,205.7
2015-02-26,205.0
2015-02-27,206.9
2015-02-28,204.1
2015-03-02,205.45
2015-03-03,205.2
2015-03-04,200.0
2015-03-05,198.75
2015-03-09,197.85
2015-03-10,197.9
2015-03-11,186.1
2015-03-12,184.7
2015-03-13,177.1
2015-03-16,176.0
2015-03-17,177.05
2015-03-18,178.8
2015-03-19,175.85
2015-03-20,171.15
2015-03-23,177.3
2015-03-24,170.1
2015-03-25,169.0
2015-03-26,164.9
2015-03-27,164.1
2015-03-30,169.9
2015-03-31,170.4
2015-04-01,171.05
2015-04-06,180.95
2015-04-07,191.0
2015-04-08,186.05
2015-04-09,192.1
2015-04-10,186.3
2015-04-13,188.5
2015-04-15,190.25
2015-04-16,193.9
2015-04-17,190.7
2015-04-20,184.0
2015-04-21,180.25
2015-04-22,177.45
2015-04-23,176.0
2015-04-24,172.65
2015-04-27,165.65
2015-04-28,177.6
2015-04-29,174.3
2015-04-30,170.85
2015-05-04,178.65
2015-05-05,172.0
2015-05-06,166.9
2015-05-07,159.4
2015-05-08,161.35
2015-05-11,164.3
2015-05-12,163.75
2015-05-13,164.0
2015-05-14,178.85
2015-05-15,179.75
2015-05-18,183.0
2015-05-19,181.85
2015-05-20,176.55
2015-05-21,178.4
2015-05-22,178.0
2015-05-25,175.0
2015-05-26,176.5
2015-05-27,180.0
2015-05-28,171.0
2015-05-29,178.0
2015-06-01,173.05
2015-06-02,165.45
2015-06-03,162.3
2015-06-04,163.1
2015-06-05,164.2
2015-06-08,159.4
2015-06-09,157.0
2015-06-10,160.0
2015-06-11,164.0
2015-06-12,158.05
2015-06-17,167.6
2015-06-18,167.45
2015-06-19,165.4
2015-06-22,170.05
2015-06-23,170.25
2015-06-24,168.85
2015-06-25,170.75
2015-06-26,170.65
2015-06-29,166.0
2015-06-30,167.2
2015-07-01,177.8
2015-07-02,172.55
2015-07-03,178.0
2015-07-06,182.5
2015-07-07,178.0
2015-07-08,170.0
2015-07-09,178.55
2015-07-10,173.0
2015-07-13,183.95
2015-07-14,182.45
2015-07-15,185.75
2015-07-16,187.05
2015-07-17,184.05
2015-07-20,181.3
2015-07-21,185.05
2015-07-22,185.5
2015-07-23,186.05
2015-07-24,185.4
2015-07-27,185.0
2015-07-28,185.0
2015-07-29,193.8
2015-07-30,209.8
2015-07-31,225.8
2015-08-03,215.25
2015-08-04,219.0
2015-08-05,216.25
2015-08-06,247.2
2015-08-07,268.5
2015-08-10,255.35
2015-08-11,251.9
2015-08-12,245.1
2015-08-13,243.35
2015-08-14,247.3
2015-08-17,242.1
2015-08-18,238.3
2015-08-19,237.4
2015-08-20,227.35
2015-08-21,224.75
2015-08-24,207.35
2015-08-25,207.4
2015-08-26,216.5
2015-08-27,222.9
2015-08-28,223.65
2015-08-31,220.3
2015-09-01,216.8
2015-09-02,219.25
2015-09-03,218.5
2015-09-04,209.6
2015-09-07,197.25
2015-09-08,201.15
2015-09-09,208.0
2015-09-10,204.9
2015-09-11,205.0
2015-09-14,213.25
2015-09-15,210.95
2015-09-16,206.55
2015-09-18,214.15
2015-09-21,212.55
2015-09-22,202.9
2015-09-23,201.75
2015-09-24,209.6
2015-09-28,201.05
2015-09-29,202.05
2015-09-30,200.7
2015-10-01,212.65
2015-10-05,230.6
2015-10-06,236.1
2015-10-07,245.9
2015-10-08,242.0
2015-10-09,240.4
2015-10-12,238.55
2015-10-13,239.0
2015-10-14,241.85
2015-10-15,249.95
2015-10-16,261.6
2015-10-19,261.05
2015-10-20,265.35
2015-10-21,269.35
2015-10-23,264.35
2015-10-26,266.2
2015-10-27,266.4
2015-10-28,265.0
2015-10-29,265.2
2015-10-30,264.1
2015-11-02,270.7
2015-11-03,324.8
2015-11-04,383.5
2015-11-05,369.8
2015-11-06,390.55
2015-11-09,410.75
2015-11-10,411.8
2015-11-11,419.75
2015-11-13,436.0
2015-11-16,445.7
2015-11-17,404.75
2015-11-18,421.2
2015-11-19,418.65
2015-11-20,413.2
2015-11-23,408.7
2015-11-24,397.55
2015-11-26,399.75
2015-11-27,387.95
2015-11-30,373.6
2015-12-01,410.95
2015-12-02,425.25
2015-12-03,435.6
2015-12-04,431.5
2015-12-07,478.9
2015-12-08,475.75
2015-12-09,433.35
2015-12-10,446.75
2015-12-11,439.45
2015-12-14,433.15
2015-12-15,429.15
2015-12-16,430.3
2015-12-17,442.35
2015-12-18,441.2
2015-12-21,438.55
2015-12-22,459.25
2015-12-23,461.35
2015-12-24,462.25
2015-12-28,452.55
2015-12-29,442.7
2015-12-30,437.2
2015-12-31,433.8
