Date,SINTEX
2015-01-01,97.2
2015-01-02,96.8
2015-01-05,98.15
2015-01-06,93.9
2015-01-07,93.15
2015-01-08,96.4
2015-01-09,95.5
2015-01-12,94.75
2015-01-13,96.05
2015-01-14,94.5
2015-01-15,95.65
2015-01-16,97.75
2015-01-19,105.2
2015-01-20,107.15
2015-01-21,105.4
2015-01-22,103.85
2015-01-23,106.4
2015-01-27,113.25
2015-01-28,114.4
2015-01-29,114.15
2015-01-30,110.95
2015-02-02,109.45
2015-02-03,114.45
2015-02-04,112.35
2015-02-05,107.95
2015-02-06,105.95
2015-02-09,106.05
2015-02-10,106.05
2015-02-11,107.85
2015-02-12,107.35
2015-02-13,105.7
2015-02-16,107.25
2015-02-18,107.95
2015-02-19,106.55
2015-02-20,106.25
2015-02-23,104.85
2015-02-24,107.45
2015-02-25,106.15
2015-02-26,108.3
2015-02-27,117.15
2015-02-28,113.8
2015-03-02,118.0
2015-03-03,118.15
2015-03-04,113.75
2015-03-05,113.5
2015-03-09,113.05
2015-03-10,116.2
2015-03-11,122.05
2015-03-12,132.6
2015-03-13,125.15
2015-03-16,129.35
2015-03-17,130.65
2015-03-18,128.65
2015-03-19,125.15
2015-03-20,123.25
2015-03-23,119.0
2015-03-24,117.25
2015-03-25,113.45
2015-03-26,114.6
2015-03-27,115.8
2015-03-30,116.65
2015-03-31,120.7
2015-04-01,120.4
2015-04-06,122.2
2015-04-07,123.15
2015-04-08,121.6
2015-04-09,121.2
2015-04-10,120.85
2015-04-13,121.3
2015-04-15,120.2
2015-04-16,120.75
2015-04-17,117.3
2015-04-20,114.9
2015-04-21,112.6
2015-04-22,116.7
2015-04-23,115.8
2015-04-24,113.85
2015-04-27,102.75
2015-04-28,104.85
2015-04-29,107.3
2015-04-30,110.85
2015-05-04,115.35
2015-05-05,116.85
2015-05-06,109.6
2015-05-07,104.65
2015-05-08,108.45
2015-05-11,111.3
2015-05-12,107.4
2015-05-13,109.8
2015-05-14,110.2
2015-05-15,109.55
2015-05-18,111.5
2015-05-19,112.9
2015-05-20,113.0
2015-05-21,113.55
2015-05-22,111.25
2015-05-25,111.6
2015-05-26,111.1
2015-05-27,109.15
2015-05-28,109.55
2015-05-29,110.55
2015-06-01,108.85
2015-06-02,106.85
2015-06-03,102.2
2015-06-04,101.55
2015-06-05,100.9
2015-06-08,98.2
2015-06-09,95.55
2015-06-10,97.4
2015-06-11,96.9
2015-06-12,97.7
2015-06-15,102.3
2015-06-16,102.0
2015-06-17,101.85
2015-06-18,101.55
2015-06-19,103.6
2015-06-22,104.95
2015-06-23,105.8
2015-06-24,103.7
2015-06-25,106.0
2015-06-26,103.6
2015-06-29,100.05
2015-06-30,100.45
2015-07-01,102.1
2015-07-02,101.15
2015-07-03,101.6
2015-07-06,104.0
2015-07-07,110.25
2015-07-08,106.8
2015-07-09,106.4
2015-07-10,107.95
2015-07-13,101.7
2015-07-14,100.5
2015-07-15,105.45
2015-07-16,103.6
2015-07-17,103.3
2015-07-20,106.2
2015-07-21,106.05
2015-07-22,110.25
2015-07-23,116.6
2015-07-24,115.55
2015-07-27,109.25
2015-07-28,106.15
2015-07-29,111.9
2015-07-30,112.15
2015-07-31,115.35
2015-08-03,117.75
2015-08-04,115.65
2015-08-05,117.0
2015-08-06,114.35
2015-08-07,113.3
2015-08-10,111.1
2015-08-11,108.0
2015-08-12,103.05
2015-08-13,102.05
2015-08-14,104.05
2015-08-17,103.35
2015-08-18,102.75
2015-08-19,102.6
2015-08-20,100.1
2015-08-21,97.2
2015-08-24,84.9
2015-08-25,90.3
2015-08-26,90.75
2015-08-27,94.35
2015-08-28,95.15
2015-08-31,94.45
2015-09-01,90.45
2015-09-02,90.35
2015-09-03,93.2
2015-09-04,90.9
2015-09-07,90.8
2015-09-08,95.15
2015-09-09,97.45
2015-09-10,97.75
2015-09-11,95.95
2015-09-14,96.25
2015-09-15,95.45
2015-09-16,94.7
2015-09-18,99.8
2015-09-21,100.25
2015-09-22,96.85
2015-09-23,97.15
2015-09-24,101.95
2015-09-28,101.85
2015-09-29,104.6
2015-09-30,105.3
2015-10-01,102.95
2015-10-05,104.75
2015-10-06,104.75
2015-10-07,102.45
2015-10-08,103.75
2015-10-09,103.35
2015-10-12,103.95
2015-10-13,104.0
2015-10-14,104.05
2015-10-15,104.55
2015-10-16,103.5
2015-10-19,103.9
2015-10-20,102.6
2015-10-21,102.35
2015-10-23,100.7
2015-10-26,99.15
2015-10-27,99.25
2015-10-28,102.3
2015-10-29,102.5
2015-10-30,101.05
2015-11-02,101.65
2015-11-03,102.15
2015-11-04,101.6
2015-11-05,99.85
2015-11-06,99.0
2015-11-09,100.25
2015-11-10,100.4
2015-11-11,102.65
2015-11-13,99.9
2015-11-16,101.45
2015-11-17,100.6
2015-11-18,98.6
2015-11-19,100.45
2015-11-20,103.05
2015-11-23,101.75
2015-11-24,106.2
2015-11-26,103.8
2015-11-27,102.85
2015-11-30,104.45
2015-12-01,103.8
2015-12-02,105.0
2015-12-03,103.05
2015-12-04,100.9
2015-12-07,101.85
2015-12-08,101.0
2015-12-09,97.95
2015-12-10,99.0
2015-12-11,97.45
2015-12-14,97.9
2015-12-15,99.4
2015-12-16,98.65
2015-12-17,100.65
2015-12-18,99.45
2015-12-21,100.3
2015-12-22,100.55
2015-12-23,103.05
2015-12-24,103.0
2015-12-28,102.7
2015-12-29,102.95
2015-12-30,101.75
2015-12-31,101.8
