Date,ALKYLAMINE
2015-01-01,370.0
2015-01-02,381.6
2015-01-05,399.35
2015-01-06,383.55
2015-01-07,381.0
2015-01-08,386.45
2015-01-09,385.15
2015-01-12,394.55
2015-01-13,391.3
2015-01-14,384.45
2015-01-15,383.0
2015-01-16,380.3
2015-01-19,381.55
2015-01-20,383.2
2015-01-21,377.85
2015-01-22,385.05
2015-01-23,373.2
2015-01-27,370.9
2015-01-28,362.65
2015-01-29,330.5
2015-01-30,330.45
2015-02-02,320.9
2015-02-03,318.95
2015-02-04,311.7
2015-02-05,330.0
2015-02-06,327.6
2015-02-09,325.7
2015-02-10,327.2
2015-02-11,329.85
2015-02-12,328.75
2015-02-13,328.65
2015-02-16,317.25
2015-02-18,320.1
2015-02-19,324.4
2015-02-20,323.95
2015-02-23,320.15
2015-02-24,315.25
2015-02-25,330.45
2015-02-26,318.65
2015-02-27,328.45
2015-02-28,315.3
2015-03-02,325.9
2015-03-03,329.1
2015-03-04,320.0
2015-03-05,322.55
2015-03-09,321.2
2015-03-10,321.1
2015-03-11,320.5
2015-03-12,317.85
2015-03-13,316.6
2015-03-16,315.45
2015-03-17,310.1
2015-03-18,302.45
2015-03-19,304.95
2015-03-20,296.35
2015-03-23,298.55
2015-03-24,285.4
2015-03-25,282.15
2015-03-26,284.0
2015-03-27,281.05
2015-03-30,315.7
2015-03-31,314.55
2015-04-01,328.8
2015-04-06,330.35
2015-04-07,346.0
2015-04-08,352.3
2015-04-09,351.5
2015-04-10,341.15
2015-04-13,349.5
2015-04-15,343.95
2015-04-16,335.1
2015-04-17,325.35
2015-04-20,321.65
2015-04-21,319.9
2015-04-22,319.9
2015-04-23,315.05
2015-04-24,316.6
2015-04-27,315.3
2015-04-28,326.7
2015-04-29,334.95
2015-04-30,330.15
2015-05-04,334.5
2015-05-05,337.75
2015-05-06,324.15
2015-05-07,314.95
2015-05-08,316.45
2015-05-11,320.55
2015-05-12,319.0
2015-05-13,327.0
2015-05-14,328.7
2015-05-15,313.75
2015-05-18,310.95
2015-05-19,309.0
2015-05-20,297.85
2015-05-21,295.65
2015-05-22,299.0
2015-05-25,290.95
2015-05-26,297.85
2015-05-27,289.6
2015-05-28,286.9
2015-05-29,287.05
2015-06-01,274.65
2015-06-02,283.85
2015-06-03,282.45
2015-06-04,270.55
2015-06-05,275.25
2015-06-08,271.85
2015-06-09,271.5
2015-06-10,272.1
2015-06-11,259.2
2015-06-12,260.0
2015-06-15,253.3
2015-06-16,254.9
2015-06-17,259.65
2015-06-18,265.3
2015-06-19,280.1
2015-06-22,296.2
2015-06-23,293.2
2015-06-24,291.3
2015-06-25,286.2
2015-06-26,294.35
2015-06-29,275.05
2015-06-30,281.6
2015-07-01,283.55
2015-07-02,281.1
2015-07-03,288.75
2015-07-06,292.0
2015-07-07,290.9
2015-07-08,283.6
2015-07-09,283.8
2015-07-10,282.0
2015-07-13,288.0
2015-07-14,291.4
2015-07-15,290.0
2015-07-16,285.0
2015-07-17,284.95
2015-07-20,273.7
2015-07-21,270.25
2015-07-22,280.0
2015-07-23,275.4
2015-07-24,275.0
2015-07-27,283.4
2015-07-28,282.15
2015-07-29,282.05
2015-07-30,275.05
2015-07-31,276.5
2015-08-03,282.4
2015-08-04,276.5
2015-08-05,278.15
2015-08-06,279.7
2015-08-07,278.45
2015-08-10,276.85
2015-08-11,276.55
2015-08-12,264.1
2015-08-13,286.35
2015-08-14,324.55
2015-08-17,330.6
2015-08-18,323.75
2015-08-19,322.65
2015-08-20,318.4
2015-08-21,314.65
2015-08-24,289.95
2015-08-25,299.95
2015-08-26,291.05
2015-08-27,307.05
2015-08-28,294.2
2015-08-31,300.35
2015-09-01,302.3
2015-09-02,300.0
2015-09-03,302.65
2015-09-04,304.95
2015-09-07,295.45
2015-09-08,300.65
2015-09-09,309.95
2015-09-10,304.1
2015-09-11,307.0
2015-09-14,303.1
2015-09-15,296.75
2015-09-16,295.05
2015-09-18,298.4
2015-09-21,300.1
2015-09-22,303.65
2015-09-23,307.0
2015-09-24,309.9
2015-09-28,306.95
2015-09-29,303.85
2015-09-30,308.75
2015-10-01,305.0
2015-10-05,305.1
2015-10-06,306.75
2015-10-07,307.25
2015-10-08,309.0
2015-10-09,305.55
2015-10-12,306.2
2015-10-13,308.4
2015-10-14,305.55
2015-10-15,307.3
2015-10-16,307.6
2015-10-19,310.1
2015-10-20,310.0
2015-10-21,309.85
2015-10-23,314.75
2015-10-26,306.7
2015-10-27,309.0
2015-10-28,304.9
2015-10-29,308.0
2015-10-30,306.05
2015-11-02,308.3
2015-11-03,307.0
2015-11-04,311.05
2015-11-05,308.8
2015-11-06,295.75
2015-11-09,293.05
2015-11-10,298.85
2015-11-11,308.8
2015-11-13,305.0
2015-11-16,302.9
2015-11-17,307.6
2015-11-18,310.0
2015-11-19,309.2
2015-11-20,319.65
2015-11-23,319.05
2015-11-24,327.4
2015-11-26,323.95
2015-11-27,321.1
2015-11-30,323.2
2015-12-01,317.25
2015-12-02,314.65
2015-12-03,313.9
2015-12-04,313.75
2015-12-07,316.0
2015-12-08,306.75
2015-12-09,307.05
2015-12-10,310.95
2015-12-11,308.6
2015-12-14,321.4
2015-12-15,327.8
2015-12-16,317.55
2015-12-17,353.05
2015-12-18,374.15
2015-12-21,370.95
2015-12-22,365.6
2015-12-23,369.9
2015-12-24,374.5
2015-12-28,377.05
2015-12-29,378.2
2015-12-30,369.25
2015-12-31,365.3
