Date,ESSDEE
2015-01-01,356.5
2015-01-02,354.3
2015-01-05,350.7
2015-01-06,342.95
2015-01-07,336.9
2015-01-08,337.6
2015-01-09,332.6
2015-01-12,333.15
2015-01-13,323.55
2015-01-14,309.5
2015-01-15,313.65
2015-01-16,312.05
2015-01-19,304.5
2015-01-20,303.95
2015-01-21,294.15
2015-01-22,281.35
2015-01-23,289.55
2015-01-27,276.1
2015-01-28,273.0
2015-01-29,273.5
2015-01-30,266.15
2015-02-02,266.85
2015-02-03,267.3
2015-02-04,264.75
2015-02-05,254.8
2015-02-06,247.45
2015-02-09,230.6
2015-02-10,227.85
2015-02-11,258.95
2015-02-12,265.25
2015-02-13,248.45
2015-02-16,229.8
2015-02-18,223.95
2015-02-19,240.05
2015-02-20,232.6
2015-02-23,233.15
2015-02-24,222.95
2015-02-25,206.8
2015-02-26,204.55
2015-02-27,193.8
2015-02-28,190.65
2015-03-02,180.4
2015-03-03,181.65
2015-03-04,179.25
2015-03-05,181.7
2015-03-09,184.45
2015-03-10,184.55
2015-03-11,181.3
2015-03-12,181.05
2015-03-13,175.25
2015-03-16,170.75
2015-03-17,136.6
2015-03-18,147.0
2015-03-19,151.7
2015-03-20,138.25
2015-03-23,137.9
2015-03-24,136.65
2015-03-25,129.2
2015-03-26,126.35
2015-03-27,123.25
2015-03-30,122.95
2015-03-31,122.65
2015-04-01,134.9
2015-04-06,148.35
2015-04-07,178.0
2015-04-08,213.6
2015-04-09,234.95
2015-04-10,257.1
2015-04-13,282.8
2015-04-15,296.9
2015-04-16,311.7
2015-04-17,296.15
2015-04-20,281.35
2015-04-21,267.3
2015-04-22,253.95
2015-04-23,266.6
2015-04-24,253.3
2015-04-27,240.65
2015-04-28,233.7
2015-04-29,235.1
2015-04-30,233.15
2015-05-04,279.75
2015-05-05,308.4
2015-05-06,276.55
2015-05-07,280.35
2015-05-08,288.45
2015-05-11,279.45
2015-05-12,272.85
2015-05-13,274.2
2015-05-14,277.4
2015-05-15,276.15
2015-05-18,268.65
2015-05-19,262.2
2015-05-20,260.35
2015-05-21,252.3
2015-05-22,271.8
2015-05-25,287.1
2015-05-26,294.6
2015-05-27,283.4
2015-05-28,282.0
2015-05-29,281.0
2015-06-01,277.3
2015-06-02,267.1
2015-06-03,252.65
2015-06-04,255.6
2015-06-05,262.3
2015-06-08,256.4
2015-06-09,252.7
2015-06-10,254.0
2015-06-11,247.7
2015-06-12,247.45
2015-06-15,254.35
2015-06-16,261.35
2015-06-17,261.3
2015-06-18,267.95
2015-06-19,269.45
2015-06-22,294.0
2015-06-23,308.8
2015-06-24,317.8
2015-06-25,316.65
2015-06-26,322.15
2015-06-29,308.25
2015-06-30,314.9
2015-07-01,316.45
2015-07-02,323.2
2015-07-03,322.1
2015-07-06,319.2
2015-07-07,319.4
2015-07-08,307.6
2015-07-09,303.65
2015-07-10,302.6
2015-07-13,302.2
2015-07-14,302.1
2015-07-15,302.25
2015-07-16,301.55
2015-07-17,299.65
2015-07-20,312.95
2015-07-21,296.3
2015-07-22,301.3
2015-07-23,303.4
2015-07-24,310.4
2015-07-27,302.4
2015-07-28,299.7
2015-07-29,300.7
2015-07-30,360.8
2015-07-31,367.75
2015-08-03,382.35
2015-08-04,372.4
2015-08-05,375.7
2015-08-06,370.35
2015-08-07,379.15
2015-08-10,373.05
2015-08-11,378.35
2015-08-12,361.95
2015-08-13,345.85
2015-08-14,349.45
2015-08-17,361.75
2015-08-18,366.55
2015-08-19,372.4
2015-08-20,353.35
2015-08-21,351.45
2015-08-24,297.95
2015-08-25,287.25
2015-08-26,279.95
2015-08-27,302.2
2015-08-28,304.4
2015-08-31,279.75
2015-09-01,264.55
2015-09-02,275.0
2015-09-03,274.85
2015-09-04,264.75
2015-09-07,249.9
2015-09-08,251.45
2015-09-09,269.8
2015-09-10,265.3
2015-09-11,273.5
2015-09-14,283.25
2015-09-15,278.8
2015-09-16,278.1
2015-09-18,286.8
2015-09-21,286.2
2015-09-22,276.9
2015-09-23,276.5
2015-09-24,276.35
2015-09-28,271.0
2015-09-29,273.4
2015-09-30,270.75
2015-10-01,272.5
2015-10-05,290.35
2015-10-06,298.15
2015-10-07,309.0
2015-10-08,358.25
2015-10-09,352.2
2015-10-12,355.7
2015-10-13,350.15
2015-10-14,356.3
2015-10-15,358.25
2015-10-16,374.05
2015-10-19,374.5
2015-10-20,355.45
2015-10-21,343.65
2015-10-23,343.45
2015-10-26,331.65
2015-10-27,335.45
2015-10-28,336.7
2015-10-29,336.2
2015-10-30,337.85
2015-11-02,337.15
2015-11-03,336.3
2015-11-04,331.25
2015-11-05,327.85
2015-11-06,319.2
2015-11-09,321.7
2015-11-10,319.7
2015-11-11,296.05
2015-11-13,288.05
2015-11-16,322.25
2015-11-17,324.85
2015-11-18,316.9
2015-11-19,322.25
2015-11-20,316.65
2015-11-23,313.55
2015-11-24,302.05
2015-11-26,306.45
2015-11-27,300.35
2015-11-30,306.65
2015-12-01,307.65
2015-12-02,306.3
2015-12-03,310.35
2015-12-04,304.45
2015-12-07,300.75
2015-12-08,293.55
2015-12-09,280.75
2015-12-10,275.7
2015-12-11,271.25
2015-12-14,268.7
2015-12-15,270.1
2015-12-16,265.85
2015-12-17,274.5
2015-12-18,269.55
2015-12-21,274.95
2015-12-22,279.05
2015-12-23,277.85
2015-12-24,277.6
2015-12-28,270.25
2015-12-29,267.95
2015-12-30,263.35
2015-12-31,263.0
