Date,OPTOCIRCUI
2015-01-01,25.2
2015-01-02,24.85
2015-01-05,24.75
2015-01-06,24.7
2015-01-07,24.9
2015-01-08,25.2
2015-01-09,25.3
2015-01-12,25.35
2015-01-13,24.65
2015-01-14,24.3
2015-01-15,24.4
2015-01-16,25.35
2015-01-19,25.7
2015-01-20,25.15
2015-01-21,24.65
2015-01-22,24.75
2015-01-23,24.35
2015-01-27,24.5
2015-01-28,24.3
2015-01-29,24.05
2015-01-30,24.1
2015-02-02,23.95
2015-02-03,24.1
2015-02-04,23.9
2015-02-05,23.05
2015-02-06,22.3
2015-02-09,21.7
2015-02-10,21.45
2015-02-11,22.3
2015-02-12,22.35
2015-02-13,22.65
2015-02-16,20.85
2015-02-18,21.35
2015-02-19,21.45
2015-02-20,25.2
2015-02-23,25.25
2015-02-24,24.85
2015-02-25,24.8
2015-02-26,24.1
2015-02-27,24.4
2015-02-28,23.85
2015-03-02,23.25
2015-03-03,23.4
2015-03-04,22.8
2015-03-05,22.6
2015-03-09,22.85
2015-03-10,22.25
2015-03-11,21.95
2015-03-12,22.35
2015-03-13,22.0
2015-03-16,20.95
2015-03-17,21.2
2015-03-18,21.1
2015-03-19,20.7
2015-03-20,20.05
2015-03-23,19.45
2015-03-24,19.4
2015-03-25,18.85
2015-03-26,18.75
2015-03-27,18.5
2015-03-30,18.8
2015-03-31,18.85
2015-04-01,19.95
2015-04-06,20.85
2015-04-07,21.9
2015-04-08,21.7
2015-04-09,22.5
2015-04-10,22.2
2015-04-13,22.45
2015-04-15,22.8
2015-04-16,22.1
2015-04-17,21.45
2015-04-20,20.8
2015-04-21,20.6
2015-04-22,20.45
2015-04-23,20.25
2015-04-24,19.65
2015-04-27,18.8
2015-04-28,19.35
2015-04-29,19.4
2015-04-30,19.45
2015-05-04,19.6
2015-05-05,19.7
2015-05-06,21.15
2015-05-07,20.05
2015-05-08,20.3
2015-05-11,20.4
2015-05-12,19.65
2015-05-13,20.9
2015-05-14,20.85
2015-05-15,20.65
2015-05-18,20.7
2015-05-19,20.7
2015-05-20,20.6
2015-05-21,20.3
2015-05-22,20.25
2015-05-25,19.8
2015-05-26,19.75
2015-05-27,19.65
2015-05-28,19.65
2015-05-29,19.7
2015-06-01,20.25
2015-06-02,19.45
2015-06-03,18.45
2015-06-04,18.25
2015-06-05,18.3
2015-06-08,19.0
2015-06-09,18.9
2015-06-10,18.9
2015-06-11,18.55
2015-06-12,18.25
2015-06-15,18.35
2015-06-16,18.35
2015-06-17,18.95
2015-06-18,19.4
2015-06-19,19.1
2015-06-22,19.4
2015-06-23,19.6
2015-06-24,21.2
2015-06-25,21.95
2015-06-26,21.5
2015-06-29,20.55
2015-06-30,20.8
2015-07-01,20.8
2015-07-02,20.7
2015-07-03,20.55
2015-07-06,20.9
2015-07-07,20.95
2015-07-08,20.6
2015-07-09,21.35
2015-07-10,21.65
2015-07-13,21.75
2015-07-14,21.5
2015-07-15,21.0
2015-07-16,21.15
2015-07-17,21.0
2015-07-20,20.85
2015-07-21,20.45
2015-07-22,21.15
2015-07-23,21.35
2015-07-24,20.7
2015-07-27,20.15
2015-07-28,20.05
2015-07-29,19.95
2015-07-30,20.2
2015-07-31,20.1
2015-08-03,20.2
2015-08-04,19.95
2015-08-05,20.95
2015-08-06,21.65
2015-08-07,22.05
2015-08-10,21.2
2015-08-11,21.1
2015-08-12,20.3
2015-08-13,19.6
2015-08-14,20.05
2015-08-17,19.65
2015-08-18,19.85
2015-08-19,19.7
2015-08-20,19.0
2015-08-21,18.75
2015-08-24,16.25
2015-08-25,16.6
2015-08-26,16.95
2015-08-27,17.2
2015-08-28,17.6
2015-08-31,17.5
2015-09-01,17.05
2015-09-02,17.05
2015-09-03,17.25
2015-09-04,16.75
2015-09-07,16.4
2015-09-08,16.4
2015-09-09,16.7
2015-09-10,16.45
2015-09-11,16.65
2015-09-14,16.9
2015-09-15,17.0
2015-09-16,16.85
2015-09-18,17.1
2015-09-21,17.15
2015-09-22,16.85
2015-09-23,16.85
2015-09-24,16.7
2015-09-28,16.55
2015-09-29,16.45
2015-09-30,16.15
2015-10-01,15.9
2015-10-05,16.25
2015-10-06,16.2
2015-10-07,16.75
2015-10-08,16.65
2015-10-09,16.65
2015-10-12,17.1
2015-10-13,17.0
2015-10-14,17.95
2015-10-15,18.2
2015-10-16,17.85
2015-10-19,18.0
2015-10-20,17.9
2015-10-21,17.55
2015-10-23,17.1
2015-10-26,16.6
2015-10-27,16.4
2015-10-28,15.5
2015-10-29,15.25
2015-10-30,14.9
2015-11-02,13.15
2015-11-03,13.3
2015-11-04,13.35
2015-11-05,13.1
2015-11-06,12.3
2015-11-09,12.2
2015-11-10,12.5
2015-11-11,13.2
2015-11-13,13.15
2015-11-16,12.3
2015-11-17,12.75
2015-11-18,12.15
2015-11-19,12.55
2015-11-20,13.1
2015-11-23,13.0
2015-11-24,13.6
2015-11-26,13.75
2015-11-27,12.95
2015-11-30,12.9
2015-12-01,12.9
2015-12-02,12.75
2015-12-03,12.85
2015-12-04,12.65
2015-12-07,12.7
2015-12-08,12.4
2015-12-09,11.75
2015-12-10,11.9
2015-12-11,11.6
2015-12-14,11.7
2015-12-15,11.45
2015-12-16,11.05
2015-12-17,11.35
2015-12-18,11.3
2015-12-21,11.3
2015-12-22,11.6
2015-12-23,12.05
2015-12-24,12.95
2015-12-28,12.65
2015-12-29,12.25
2015-12-30,12.8
2015-12-31,12.7
