Date,HAVELLS
2015-01-01,276.3
2015-01-02,275.1
2015-01-05,277.8
2015-01-06,262.65
2015-01-07,266.25
2015-01-08,273.8
2015-01-09,273.1
2015-01-12,270.85
2015-01-13,270.35
2015-01-14,263.65
2015-01-15,266.25
2015-01-16,271.65
2015-01-19,271.6
2015-01-20,271.3
2015-01-21,272.1
2015-01-22,280.2
2015-01-23,280.2
2015-01-27,276.3
2015-01-28,268.45
2015-01-29,263.1
2015-01-30,258.45
2015-02-02,250.25
2015-02-03,247.65
2015-02-04,250.65
2015-02-05,249.0
2015-02-06,244.4
2015-02-09,246.85
2015-02-10,249.85
2015-02-11,260.5
2015-02-12,261.85
2015-02-13,269.7
2015-02-16,267.15
2015-02-18,268.85
2015-02-19,272.7
2015-02-20,271.45
2015-02-23,268.7
2015-02-24,274.45
2015-02-25,268.2
2015-02-26,263.8
2015-02-27,273.9
2015-02-28,270.25
2015-03-02,278.55
2015-03-03,283.0
2015-03-04,278.25
2015-03-05,276.75
2015-03-09,284.4
2015-03-10,286.65
2015-03-11,283.1
2015-03-12,294.2
2015-03-13,294.25
2015-03-16,295.15
2015-03-17,298.7
2015-03-18,296.8
2015-03-19,299.65
2015-03-20,300.4
2015-03-23,313.75
2015-03-24,304.55
2015-03-25,303.6
2015-03-26,308.85
2015-03-27,303.25
2015-03-30,308.65
2015-03-31,305.25
2015-04-01,304.85
2015-04-06,304.15
2015-04-07,302.65
2015-04-08,293.7
2015-04-09,284.85
2015-04-10,292.5
2015-04-13,293.9
2015-04-15,289.7
2015-04-16,288.15
2015-04-17,285.7
2015-04-20,290.9
2015-04-21,288.5
2015-04-22,289.55
2015-04-23,288.75
2015-04-24,279.55
2015-04-27,269.45
2015-04-28,276.75
2015-04-29,280.9
2015-04-30,279.8
2015-05-04,287.15
2015-05-05,291.2
2015-05-06,279.85
2015-05-07,280.65
2015-05-08,278.7
2015-05-11,285.75
2015-05-12,284.65
2015-05-13,279.85
2015-05-14,276.9
2015-05-15,270.65
2015-05-18,270.25
2015-05-19,270.85
2015-05-20,269.7
2015-05-21,269.1
2015-05-22,268.05
2015-05-25,266.95
2015-05-26,269.8
2015-05-27,270.95
2015-05-28,271.35
2015-05-29,275.75
2015-06-01,276.8
2015-06-02,274.8
2015-06-03,274.35
2015-06-04,276.85
2015-06-05,277.95
2015-06-08,272.35
2015-06-09,270.4
2015-06-10,270.0
2015-06-11,266.05
2015-06-12,266.65
2015-06-15,265.75
2015-06-16,271.1
2015-06-17,270.45
2015-06-18,277.75
2015-06-19,285.55
2015-06-22,286.25
2015-06-23,290.95
2015-06-24,287.1
2015-06-25,282.8
2015-06-26,287.2
2015-06-29,281.7
2015-06-30,282.65
2015-07-01,287.6
2015-07-02,286.75
2015-07-03,283.35
2015-07-06,287.05
2015-07-07,299.25
2015-07-08,301.6
2015-07-09,298.25
2015-07-10,297.55
2015-07-13,297.6
2015-07-14,299.15
2015-07-15,299.7
2015-07-16,301.2
2015-07-17,307.7
2015-07-20,310.15
2015-07-21,297.45
2015-07-22,300.1
2015-07-23,304.25
2015-07-24,298.05
2015-07-27,283.05
2015-07-28,275.4
2015-07-29,273.2
2015-07-30,278.4
2015-07-31,279.1
2015-08-03,277.15
2015-08-04,272.6
2015-08-05,277.65
2015-08-06,277.1
2015-08-07,277.55
2015-08-10,277.8
2015-08-11,275.75
2015-08-12,270.45
2015-08-13,271.65
2015-08-14,270.8
2015-08-17,266.9
2015-08-18,274.9
2015-08-19,269.25
2015-08-20,266.15
2015-08-21,266.0
2015-08-24,247.35
2015-08-25,256.55
2015-08-26,259.05
2015-08-27,263.4
2015-08-28,264.85
2015-08-31,260.15
2015-09-01,258.45
2015-09-02,257.15
2015-09-03,257.8
2015-09-04,257.4
2015-09-07,261.0
2015-09-08,259.15
2015-09-09,267.3
2015-09-10,259.95
2015-09-11,259.8
2015-09-14,261.35
2015-09-15,261.05
2015-09-16,253.5
2015-09-18,251.35
2015-09-21,253.75
2015-09-22,250.4
2015-09-23,251.15
2015-09-24,249.65
2015-09-28,245.9
2015-09-29,250.6
2015-09-30,252.25
2015-10-01,251.5
2015-10-05,259.3
2015-10-06,255.3
2015-10-07,258.1
2015-10-08,255.5
2015-10-09,260.45
2015-10-12,259.0
2015-10-13,265.85
2015-10-14,259.0
2015-10-15,256.35
2015-10-16,259.95
2015-10-19,259.75
2015-10-20,259.15
2015-10-21,256.65
2015-10-23,258.0
2015-10-26,257.3
2015-10-27,258.0
2015-10-28,255.75
2015-10-29,252.5
2015-10-30,253.6
2015-11-02,254.15
2015-11-03,249.3
2015-11-04,248.7
2015-11-05,243.65
2015-11-06,241.8
2015-11-09,258.2
2015-11-10,259.45
2015-11-11,260.1
2015-11-13,255.95
2015-11-16,258.15
2015-11-17,256.45
2015-11-18,263.35
2015-11-19,274.65
2015-11-20,294.1
2015-11-23,295.55
2015-11-24,289.6
2015-11-26,293.4
2015-11-27,287.15
2015-11-30,285.75
2015-12-01,294.75
2015-12-02,289.1
2015-12-03,299.95
2015-12-04,299.9
2015-12-07,295.25
2015-12-08,291.8
2015-12-09,283.05
2015-12-10,305.0
2015-12-11,300.65
2015-12-14,303.3
2015-12-15,302.25
2015-12-16,300.95
2015-12-17,306.25
2015-12-18,304.85
2015-12-21,305.0
2015-12-22,303.95
2015-12-23,303.5
2015-12-24,304.95
2015-12-28,300.45
2015-12-29,301.5
2015-12-30,299.85
2015-12-31,304.7
